SMILES0,SMILES,gamma1,gamma2
COCC(OC)=O,OC(C)C(O)=O,-1.88309278,-0.49616509
COCC(OC)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.22593039,0.06384331
COCC(OC)=O,OCC(O)C,0.59661695,0.14333215
COCC(OC)=O,O=C1CCO1,0.32400923,0.07592398
COCC(OC)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.0483904,0.01144819
COCC(OC)=O,CCOCC,0.92178744,0.22736598
COCC(OC)=O,OCC,0.83245194,0.19901306
COCC(OC)=O,CCCCCC=O,0.39348844,0.09955085
COCC(OC)=O,CO,0.98001446,0.23074819
COCC(OC)=O,OC(C)C,0.82932581,0.20033482
COCC(OC)=O,CC(C)=O,-0.1011948,-0.02415599
COCC(OC)=O,OCCC,0.69139631,0.17050834
COCC(OC)=O,OCCCC,0.7611584,0.19519657
COCC(OC)=O,OCCCCC,0.79654884,0.20759045
COCC(OC)=O,CC1OC1,0.03892089,0.00992936
COCC(OC)=O,CCC(C)(C)C,2.84678545,0.67811393
COCC(OC)=O,CC(C)(C)C(C)=O,0.40113578,0.10123213
COCC(OC)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.90029142,0.22327831
COCC(OC)=O,COC(C)(C)OC,0.60282133,0.15097164
COCC(OC)=O,CCC1(CC)CCCCC1,2.79793204,0.68851237
COCC(OC)=O,CCOC(C)(OCC)OCC,0.73367494,0.18548653
COCC(OC)=O,CC(C)CCCC(O)(C)CC,1.1487183,0.28988234
COCC(OC)=O,CCC(C)C,2.91584266,0.68070074
COCC(OC)=O,CC(=C)C=C,0.86312245,0.20358739
COCC(OC)=O,CC(=C)C#C,-1.29917999,-0.29008113
COCC(OC)=O,OCC(C)C,0.48841923,0.13159515
COCC(OC)=O,CC(C)C=O,0.17527588,0.04364666
COCC(OC)=O,CC(=C)C=O,0.07168159,0.01784465
COCC(OC)=O,CCC(O)C,0.73377361,0.18336184
COCC(OC)=O,CCC(C)=O,0.05762364,0.01510212
COCC(OC)=O,COC(C)=O,0.00152738,0.0004954
COCC(OC)=O,CC(C)C(C)C,2.88027894,0.68764107
COCC(OC)=O,CC(C)C(O)=O,-1.92453823,-0.50137231
COCC(OC)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.57635233,0.13978537
COCC(OC)=O,OOC(C)(C)C(CC1)CCC1C,-1.20432139,-0.30704132
COCC(OC)=O,CCOC(C(O)(C)C)=O,0.30743239,0.07758982
COCC(OC)=O,COC(=O)C(C)=C,0.26068376,0.06537919
COCC(OC)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.54640135,-0.13046547
COCC(OC)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.01630743,-0.0036268
COCC(OC)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.74029961,0.13827356
COCC(OC)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.01261757,0.00531655
COCC(OC)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.260137,0.0633056
COCC(OC)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.4523744,0.10083182
COCC(OC)=O,CC(C)CCOC(=O)c1ccccc1O,0.61018747,0.15550937
COCC(OC)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.08713477,0.02959844
COCC(OC)=O,O=C2c1ccccc1CO2,-0.04303433,-0.01126332
COCC(OC)=O,OCC(O)C(O)C(O)CO,0.10395233,0.016813
COCC(OC)=O,CCC(CC)C(O)=O,-1.81791644,-0.46685675
COCC(OC)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.62298033,-0.15124618
COCC(OC)=O,COc1cc(C)ccc1C(C)(C)C,0.95618169,0.2432736
COCC(OC)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.03920239,0.50926713
COCC(OC)=O,COC(=O)c1ccccc1C,0.29905992,0.07792312
COCC(OC)=O,CC(=O)c1ccc(C)cc1C,0.33425594,0.08558892
COCC(OC)=O,Cc2c1ccccc1ccc2,0.37117086,0.09682687
COCC(OC)=O,O=C2CCCCC2C1CCCCC1,0.92236528,0.22829505
COCC(OC)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.14865803,-0.032451
COCC(OC)=O,CC(C=O)c1ccccc1,0.00844721,0.00344775
COCC(OC)=O,CCC(O)c1ccccc1,-1.04277787,-0.24841244
COCC(OC)=O,CCOC(=O)c1ccccc1,0.29932655,0.07750983
COCC(OC)=O,CC(OC(C)c2ccccc2)c1ccccc1,0.35754652,0.09554987
COCC(OC)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.14972114,-0.0291918
COCC(OC)=O,CCOC(=O)c(cc1)ccc1C,0.41493368,0.10643977
COCC(OC)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.27005352,0.04615052
COCC(OC)=O,O=C(OCCc1ccccc1)c2ccccc2,0.12442272,0.03673495
COCC(OC)=O,CCCc2cc1OCOc1cc2,0.02997724,0.01293186
COCC(OC)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.08331746,0.02014426
COCC(OC)=O,CCCC1CCCCC1=O,0.7002265,0.17629514
COCC(OC)=O,CCOc1ccc(C=CC)cc1O,-1.85425225,-0.42873137
COCC(OC)=O,CCCC(O)C(CO)CC,0.8878841,0.2108656
COCC(OC)=O,Cc(ccc1C)cc1C,0.97297539,0.24428827
COCC(OC)=O,CCOC(=O)C(OCC)=O,0.01517139,0.00390655
COCC(OC)=O,CC1OC(C(C)OC1=O)=O,-0.50566719,-0.12632153
COCC(OC)=O,CCCCC(=O)C(C)=O,0.23186207,0.05875996
COCC(OC)=O,C=CCOC(=O)C(C)=C,0.33720488,0.08629261
COCC(OC)=O,C1OC1c2ccccc2,-0.00605264,-0.00119456
COCC(OC)=O,CCC(C)CC,2.91593849,0.69761463
COCC(OC)=O,CCC(CC)=O,0.27361076,0.06898079
COCC(OC)=O,OCC(CO)=O,0.13810783,0.02122197
COCC(OC)=O,COC(=O)C=C,0.06610393,0.01622125
COCC(OC)=O,COC(CO)=O,-0.08134899,-0.02427756
COCC(OC)=O,CC1CCCC1,2.90462116,0.68478111
COCC(OC)=O,CC1CCCO1,0.63775911,0.16121861
COCC(OC)=O,O=C1CCCO1,0.02381645,0.00632194
COCC(OC)=O,CCCC(C)C(O)=O,-1.84291551,-0.47401823
COCC(OC)=O,CCOC(C(C)C)=O,0.55203302,0.1389487
COCC(OC)=O,CCOC(=O)C(C)=C,0.48698479,0.12299372
COCC(OC)=O,CCOC(C(O)C)=O,0.11085635,0.02758606
COCC(OC)=O,CC(C)C(OC(C(C)C)=O)=O,0.36452125,0.09119653
COCC(OC)=O,CC(C)COC(C(C)C)=O,0.86804503,0.21641125
COCC(OC)=O,CC(C)COC(=O)C(C)=C,0.75651869,0.19057929
COCC(OC)=O,CCCCOC(C(C)C)=O,0.84507956,0.2108027
COCC(OC)=O,CCCCOC(=O)C(C)=C,0.75043353,0.18923776
COCC(OC)=O,CCC(CC)C=O,0.55620959,0.13917312
COCC(OC)=O,OCC1CCCO1,0.46806652,0.11467641
COCC(OC)=O,OCc1occc1,-1.08392364,-0.266988
COCC(OC)=O,O=Cc1occc1,-0.04964009,-0.01429883
COCC(OC)=O,CC(C)(C)c1ccccc1,0.96516606,0.24443104
COCC(OC)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-1.61292381,-0.42331261
COCC(OC)=O,CC(C)(C)c(cc1)ccc1C,1.17053084,0.2957439
COCC(OC)=O,OC1CCC(CC1)C(C)(C)C,0.94869276,0.24246565
COCC(OC)=O,CC(C)(C)C1CCC(CC1)=O,0.52962769,0.13162992
COCC(OC)=O,CC(C)c1ccccc1,0.90360569,0.22803131
COCC(OC)=O,COC(=O)c(ccc1)cc1C,0.28066269,0.07210963
COCC(OC)=O,OC1CC(CC=C1C)C(C)=C,-0.10025742,-0.02136102
COCC(OC)=O,CC(C)c1cc(C(C)C)ccc1,1.2882006,0.32381537
COCC(OC)=O,CCCC(CCC)C(O)=O,-1.690571,-0.43778469
COCC(OC)=O,CC(C=O)c(cc1)ccc1C,0.15175373,0.04028357
COCC(OC)=O,CC1CCC(C(C)C)CC1,2.86497129,0.70520687
COCC(OC)=O,CC(C)c(cc1)ccc1C,1.10706782,0.27974073
COCC(OC)=O,C=CC1CC=CCC1,1.25813207,0.3112521
COCC(OC)=O,CCc1ccccc1,0.77862613,0.19432567
COCC(OC)=O,C=Cc1ccccc1,0.22023494,0.05604335
COCC(OC)=O,OCC1CCCCC1,0.67822023,0.17962043
COCC(OC)=O,COc1ccccc1,0.08103809,0.0200845
COCC(OC)=O,OCC1CCCCO1,0.67458096,0.16139722
COCC(OC)=O,OCC(CO1)OC1(C)C,0.09877643,0.02314069
COCC(OC)=O,Cc1cc(C=C)ccc1,0.43594019,0.11189751
COCC(OC)=O,COc(ccc1)cc1C,0.26516478,0.06768914
COCC(OC)=O,COC(=O)Cc1ccccc1,-0.00927144,-0.00034278
COCC(OC)=O,COC(OC)Cc1ccccc1,0.17476216,0.04737574
COCC(OC)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.13834732,-0.02772421
COCC(OC)=O,CC(C)COC(=O)Cc1ccccc1,0.2382925,0.06256218
COCC(OC)=O,O=C(OCc2ccccc2)Cc1ccccc1,-0.15329311,-0.03126894
COCC(OC)=O,CCc1cc(CC)cc(CC)c1,1.43098885,0.35909228
COCC(OC)=O,CC(=O)Oc(ccc1)cc1O,-3.08609154,-0.81759208
COCC(OC)=O,COC(OC)CC(OC)OC,0.27444301,0.06878707
COCC(OC)=O,CCCCC(CC)COC(C)=O,0.86384361,0.21199453
COCC(OC)=O,CCCCC(CC)COC(=O)C=C,0.87921553,0.21813984
COCC(OC)=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.79044778,0.157731
COCC(OC)=O,COC(CCc1ccccc1)=O,0.05783571,0.0160301
COCC(OC)=O,CC(C)C(OCc1ccccc1)=O,0.21638819,0.05615646
COCC(OC)=O,CCCC(OCc1ccccc1)=O,0.19950393,0.05323733
COCC(OC)=O,CC(C)CC(OCc1ccccc1)=O,0.25233084,0.06888029
COCC(OC)=O,CC(OCCc1ccccc1)=O,0.09923797,0.02700597
COCC(OC)=O,CC(C)C(OCCc1ccccc1)=O,0.32973714,0.08560707
COCC(OC)=O,CC(C)C(OCCOc1ccccc1)=O,-0.04849501,-0.00751678
COCC(OC)=O,CCCc1ccccc1,0.9143283,0.23100484
COCC(OC)=O,CC(C)C(=O)Oc(cc1)ccc1C,0.28081491,0.07203437
COCC(OC)=O,CCCc(cc1)ccc1OC,0.51262554,0.13220595
COCC(OC)=O,CCCCC1OC(CC1)=O,0.13223858,0.03308228
COCC(OC)=O,CCCCc1ccccc1,1.03745823,0.26318551
COCC(OC)=O,O=COCc1ccccc1,-0.22021888,-0.05527747
COCC(OC)=O,CCCCCC1OC(CC1)=O,0.20371007,0.05032368
COCC(OC)=O,O=COCCc1ccccc1,-0.1516365,-0.0366293
COCC(OC)=O,CCCCCCCC1OC(CC1)=O,0.33872316,0.08196051
COCC(OC)=O,CCCCC(CO)CC,0.58340659,0.15996671
COCC(OC)=O,COc(cc1)ccc1C,0.27127066,0.06933803
COCC(OC)=O,CC(C)COC(CCc1occc1)=O,0.20684588,0.05504999
COCC(OC)=O,CCc1ccc(CC)cc1,1.16028179,0.29279592
COCC(OC)=O,C=Cc1ccc(C=C)cc1,0.12179026,0.03492467
COCC(OC)=O,CCCC1OC(CC1)=O,0.06579146,0.01664037
COCC(OC)=O,OCC=C(C)C#C,-1.62894562,-0.40603224
COCC(OC)=O,CCCC(C)CO,0.55915272,0.15587868
COCC(OC)=O,CCCC(O)C#C,-2.38866127,-0.58795414
COCC(OC)=O,CCOC(CC)=O,0.34744752,0.0870098
COCC(OC)=O,CCC(OC=C)=O,0.25881188,0.06487619
COCC(OC)=O,CCC(C)CC(C)=O,0.49056085,0.12408796
COCC(OC)=O,CCC(C)CC(O)=O,-1.91024151,-0.49471637
COCC(OC)=O,CCC(C)OC(C)=O,0.4698889,0.11856337
COCC(OC)=O,CCOC(CC(OCC)=O)=O,-0.03807773,-0.00913528
COCC(OC)=O,CCOC(CCC)=O,0.51058787,0.12851467
COCC(OC)=O,CCOC(C)OCC,0.71809652,0.18336989
COCC(OC)=O,CCOC(OCC)=O,0.2004893,0.05064324
COCC(OC)=O,CCCOC(CCC)=O,0.66845038,0.16832006
COCC(OC)=O,CC(C)CCOC(CC)=O,0.74512369,0.18630816
COCC(OC)=O,CCCCOC(=O)C=CC(OCCCC)=O,0.13520092,0.0330934
COCC(OC)=O,O=C1OCCOC(CCCCCCCCCCC1)=O,0.23911567,0.05893471
COCC(OC)=O,CCCCCCCCCCCC(OCCCC)=O,1.31715698,0.2962091
COCC(OC)=O,OCCC(C)CCCC(C)C,0.83022004,0.21491442
COCC(OC)=O,CC(C)CCOC(CCC)=O,0.85133056,0.21211842
COCC(OC)=O,CCCCCCC(OCC)=O,0.83162831,0.20642988
COCC(OC)=O,CCCC(OC(CCC)=O)=O,0.25818012,0.06455842
COCC(OC)=O,CCCCCCCC(OCC)=O,0.9096234,0.2241055
COCC(OC)=O,CCCCC(CC)=O,0.55725269,0.14000456
COCC(OC)=O,CCCOC(CC)=O,0.51834,0.13076427
COCC(OC)=O,CC(C)COC(=O)C=C,0.50081055,0.12729048
COCC(OC)=O,CCCCCC(CC)=O,0.68717332,0.17257296
COCC(OC)=O,CCCCCC(OC)=O,0.55353954,0.13981442
COCC(OC)=O,CC(CCC=C(C)C)C=O,0.54510131,0.13843793
COCC(OC)=O,CCCCCCC(OC)=O,0.66506304,0.16680199
COCC(OC)=O,CCOCCOC(=O)C=C,0.10282857,0.02650101
COCC(OC)=O,C=CC2CC1OC1CC2,0.44471011,0.11231634
COCC(OC)=O,C1OC1C3CC2OC2CC3,0.10378947,0.0261047
COCC(OC)=O,CCC1OC1,0.28891916,0.07174865
COCC(OC)=O,C=CC(OCC1OC1)=O,-0.05863833,-0.01508937
COCC(OC)=O,CC(=C)C(OCC1OC1)=O,-0.00458979,-0.00105151
COCC(OC)=O,C=CCOCC1OC1,-0.00194703,0.00049849
COCC(OC)=O,O=CC=C,0.01830223,0.00394862
COCC(OC)=O,OCC=C,-0.47235537,-0.09905293
COCC(OC)=O,OCC#C,-2.34946608,-0.56786211
COCC(OC)=O,COC=O,-0.09294296,-0.02341007
COCC(OC)=O,CC(C)(C)CC(C)=C,2.0961464,0.51629673
COCC(OC)=O,CC(C)(C)C=C(C)C,2.14582452,0.52901194
COCC(OC)=O,OC(C)CC(O)(C)C,0.96197462,0.22475516
COCC(OC)=O,COC(C)(C)CC(C)=O,0.2299863,0.059066
COCC(OC)=O,OCCC(C)CCCC(O)(C)C,0.71109574,0.16139308
COCC(OC)=O,OC(C)(C)CCCC(C)CC=O,0.29388588,0.06821279
COCC(OC)=O,CCCC(C)C,2.91805264,0.7000231
COCC(OC)=O,CC(C)=CC=O,0.00162385,0.00116907
COCC(OC)=O,CCCC(C)=O,0.20871279,0.05304923
