SMILES0,SMILES,gamma1,gamma2
COCC1CCCO1,OC(C)C(O)=O,-3.28340414,-0.94020527
COCC1CCCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.12014559,-0.02977654
COCC1CCCO1,OCC(O)C,-0.34961057,-0.09336564
COCC1CCCO1,O=C1CCO1,1.56148893,0.35575506
COCC1CCCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.28350575,-0.06329081
COCC1CCCO1,CCOCC,0.13879619,0.03538705
COCC1CCCO1,OCC,-0.28744755,-0.06047747
COCC1CCCO1,CCCCCC=O,-0.07218701,-0.01852772
COCC1CCCO1,CO,0.21801224,0.05484033
COCC1CCCO1,OC(C)C,-0.39759679,-0.09131021
COCC1CCCO1,CC(C)=O,0.20151446,0.04811201
COCC1CCCO1,OCCC,-0.72198857,-0.16978731
COCC1CCCO1,OCCCC,-0.74016408,-0.17192588
COCC1CCCO1,OCCCCC,-0.81177684,-0.1908596
COCC1CCCO1,CC1OC1,0.02919499,0.00585724
COCC1CCCO1,CCC(C)(C)C,1.0513375,0.25934601
COCC1CCCO1,CC(C)(C)C(C)=O,0.01209,0.00307489
COCC1CCCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.00940997,0.00505005
COCC1CCCO1,COC(C)(C)OC,0.03624898,0.00964887
COCC1CCCO1,CCC1(CC)CCCCC1,1.01772403,0.26063916
COCC1CCCO1,CCOC(C)(OCC)OCC,0.05009303,0.01473701
COCC1CCCO1,CC(C)CCCC(O)(C)CC,-0.49811223,-0.11922507
COCC1CCCO1,CCC(C)C,1.09524157,0.26429124
COCC1CCCO1,CC(=C)C=C,0.07257935,0.01793849
COCC1CCCO1,CC(=C)C#C,-1.72309145,-0.42290543
COCC1CCCO1,OCC(C)C,-1.11947708,-0.26722415
COCC1CCCO1,CC(C)C=O,-0.01508362,-0.00445937
COCC1CCCO1,CC(=C)C=O,0.20825602,0.04799544
COCC1CCCO1,CCC(O)C,-0.69541969,-0.16817027
COCC1CCCO1,CCC(C)=O,0.05338797,0.01211973
COCC1CCCO1,COC(C)=O,0.20076517,0.04637269
COCC1CCCO1,CC(C)C(C)C,1.07743549,0.26657979
COCC1CCCO1,CC(C)C(O)=O,-4.19244601,-1.16890972
COCC1CCCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.09054936,-0.01979795
COCC1CCCO1,OOC(C)(C)C(CC1)CCC1C,-3.58889691,-0.96592623
COCC1CCCO1,CCOC(C(O)(C)C)=O,-0.25965864,-0.0669438
COCC1CCCO1,COC(=O)C(C)=C,0.06622844,0.01536918
COCC1CCCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.15820893,-0.28732511
