SMILES0,SMILES,gamma1,gamma2
COCC1OC1,OC(C)C(O)=O,-1.2632169,-0.33036799
COCC1OC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.02251515,0.01279402
COCC1OC1,OCC(O)C,0.66837702,0.15692374
COCC1OC1,O=C1CCO1,0.46493841,0.11143635
COCC1OC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.15024175,-0.03015629
COCC1OC1,CCOCC,0.64736846,0.16252254
COCC1OC1,OCC,0.86123096,0.2050941
COCC1OC1,CCCCCC=O,0.21227387,0.05449434
COCC1OC1,CO,1.10049322,0.25874514
COCC1OC1,OC(C)C,0.78118785,0.18810016
COCC1OC1,CC(C)=O,-0.02604752,-0.0063852
COCC1OC1,OCCC,0.69129534,0.16792879
COCC1OC1,OCCCC,0.70550328,0.17754301
COCC1OC1,OCCCCC,0.70434861,0.17968635
COCC1OC1,CC1OC1,0.02634665,0.00666598
COCC1OC1,CCC(C)(C)C,2.12084838,0.52363013
COCC1OC1,CC(C)(C)C(C)=O,0.24861315,0.06293658
COCC1OC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.51762254,0.12914841
COCC1OC1,COC(C)(C)OC,0.37510011,0.09476024
COCC1OC1,CCC1(CC)CCCCC1,2.05735032,0.51697783
COCC1OC1,CCOC(C)(OCC)OCC,0.44950594,0.11390035
COCC1OC1,CC(C)CCCC(O)(C)CC,0.86639271,0.21691118
COCC1OC1,CCC(C)C,2.18510893,0.53167571
COCC1OC1,CC(=C)C=C,0.56307019,0.13857791
COCC1OC1,CC(=C)C#C,-1.14228622,-0.26766116
COCC1OC1,OCC(C)C,0.48244565,0.12482982
COCC1OC1,CC(C)C=O,0.09014778,0.02274432
COCC1OC1,CC(=C)C=O,0.05867194,0.01463399
COCC1OC1,CCC(O)C,0.65750588,0.1633088
COCC1OC1,CCC(C)=O,0.03740949,0.00956778
COCC1OC1,COC(C)=O,-0.02276041,-0.00568978
COCC1OC1,CC(C)C(C)C,2.14823227,0.53136834
COCC1OC1,CC(C)C(O)=O,-1.32224353,-0.33364879
COCC1OC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.29509373,0.07231552
COCC1OC1,OOC(C)(C)C(CC1)CCC1C,-0.89390204,-0.22445243
COCC1OC1,CCOC(C(O)(C)C)=O,0.13172295,0.03426995
COCC1OC1,COC(=O)C(C)=C,0.11299712,0.02867784
COCC1OC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.77318559,-0.18146166
COCC1OC1,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.06104935,-0.01457427
COCC1OC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.46375439,0.08150636
COCC1OC1,CCOC(=O)c1ccccc1C(OCC)=O,-0.11026708,-0.02390176
COCC1OC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.02617101,0.00979386
COCC1OC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.14701867,0.03406888
COCC1OC1,CC(C)CCOC(=O)c1ccccc1O,0.26827477,0.07125258
COCC1OC1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.12038218,-0.0210071
COCC1OC1,O=C2c1ccccc1CO2,0.01208891,0.00275398
COCC1OC1,OCC(O)C(O)C(O)CO,0.12752456,0.01888647
COCC1OC1,CCC(CC)C(O)=O,-1.26889442,-0.31555072
COCC1OC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.52853346,-0.13085611
COCC1OC1,COc1cc(C)ccc1C(C)(C)C,0.57796825,0.1496033
COCC1OC1,CC2CCC(CC1=C2CCC1C)=C(C)C,1.42468252,0.35787609
COCC1OC1,COC(=O)c1ccccc1C,0.11014101,0.03019695
COCC1OC1,CC(=O)c1ccc(C)cc1C,0.17445972,0.04520293
COCC1OC1,Cc2c1ccccc1ccc2,0.16807551,0.04633553
COCC1OC1,O=C2CCCCC2C1CCCCC1,0.59728664,0.14778611
COCC1OC1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.21805714,-0.04855062
COCC1OC1,CC(C=O)c1ccccc1,-0.07390019,-0.01723971
COCC1OC1,CCC(O)c1ccccc1,-0.81860379,-0.19942534
COCC1OC1,CCOC(=O)c1ccccc1,0.12154127,0.03249464
COCC1OC1,CC(OC(C)c2ccccc2)c1ccccc1,0.11019707,0.03425561
COCC1OC1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.26494236,-0.0541475
COCC1OC1,CCOC(=O)c(cc1)ccc1C,0.20207003,0.05274607
COCC1OC1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.0250031,-0.00051696
COCC1OC1,O=C(OCCc1ccccc1)c2ccccc2,-0.04657225,-0.00568126
COCC1OC1,CCCc2cc1OCOc1cc2,-0.18077726,-0.03924624
COCC1OC1,COC(C1CCC(CC1)C(OC)=O)=O,-0.06902881,-0.01596468
COCC1OC1,CCCC1CCCCC1=O,0.45053171,0.11367662
COCC1OC1,CCOc1ccc(C=CC)cc1O,-1.50368136,-0.3608307
COCC1OC1,CCCC(O)C(CO)CC,0.7145014,0.16469169
COCC1OC1,Cc(ccc1C)cc1C,0.63439213,0.16288648
COCC1OC1,CCOC(=O)C(OCC)=O,-0.08520837,-0.02071947
COCC1OC1,CC1OC(C(C)OC1=O)=O,-0.38686873,-0.09291995
COCC1OC1,CCCCC(=O)C(C)=O,0.03309217,0.00949321
COCC1OC1,C=CCOC(=O)C(C)=C,0.14924008,0.03910289
COCC1OC1,C1OC1c2ccccc2,-0.069291,-0.01692923
COCC1OC1,CCC(C)CC,2.17739816,0.53914632
COCC1OC1,CCC(CC)=O,0.16289744,0.04119534
COCC1OC1,OCC(CO)=O,0.33494204,0.07136038
COCC1OC1,COC(=O)C=C,-0.00624102,-0.00167098
COCC1OC1,COC(CO)=O,0.05246552,0.01068245
COCC1OC1,CC1CCCC1,2.16954224,0.53186811
COCC1OC1,CC1CCCO1,0.45021789,0.11443679
COCC1OC1,O=C1CCCO1,0.1296487,0.03249145
COCC1OC1,CCCC(C)C(O)=O,-1.28853597,-0.32005069
COCC1OC1,CCOC(C(C)C)=O,0.31452123,0.07972352
COCC1OC1,CCOC(=O)C(C)=C,0.27536516,0.07029985
COCC1OC1,CCOC(C(O)C)=O,0.00920029,0.00235469
COCC1OC1,CC(C)C(OC(C(C)C)=O)=O,0.14229463,0.03623232
COCC1OC1,CC(C)COC(C(C)C)=O,0.55082654,0.13733596
COCC1OC1,CC(C)COC(=O)C(C)=C,0.46707704,0.11817951
COCC1OC1,CCCCOC(C(C)C)=O,0.52700725,0.1314928
COCC1OC1,CCCCOC(=O)C(C)=C,0.46030929,0.1166276
COCC1OC1,CCC(CC)C=O,0.34363587,0.08665618
COCC1OC1,OCC1CCCO1,0.38701254,0.0939131
COCC1OC1,OCc1occc1,-0.77250834,-0.19553672
COCC1OC1,O=Cc1occc1,0.04683531,0.0100452
COCC1OC1,CC(C)(C)c1ccccc1,0.60720069,0.1574202
COCC1OC1,OOC(C)(C)c(cc1)ccc1C(C)C,-1.26572751,-0.32625456
COCC1OC1,CC(C)(C)c(cc1)ccc1C,0.76327717,0.19596562
COCC1OC1,OC1CCC(CC1)C(C)(C)C,0.743546,0.18751511
COCC1OC1,CC(C)(C)C1CCC(CC1)=O,0.32239498,0.08001707
COCC1OC1,CC(C)c1ccccc1,0.56902408,0.1473357
COCC1OC1,COC(=O)c(ccc1)cc1C,0.10418661,0.02769079
COCC1OC1,OC1CC(CC=C1C)C(C)=C,-0.10368804,-0.0239922
COCC1OC1,CC(C)c1cc(C(C)C)ccc1,0.84759514,0.21514966
COCC1OC1,CCCC(CCC)C(O)=O,-1.18916773,-0.29652589
COCC1OC1,CC(C=O)c(cc1)ccc1C,0.01436417,0.00591127
COCC1OC1,CC1CCC(C(C)C)CC1,2.10926153,0.52852795
COCC1OC1,CC(C)c(cc1)ccc1C,0.72196132,0.18586975
COCC1OC1,C=CC1CC=CCC1,0.8425702,0.21413918
COCC1OC1,CCc1ccccc1,0.48468348,0.12471916
COCC1OC1,C=Cc1ccccc1,0.06751655,0.01911607
COCC1OC1,OCC1CCCCC1,0.58361917,0.15119989
COCC1OC1,COc1ccccc1,-0.03970217,-0.00934691
COCC1OC1,OCC1CCCCO1,0.53967381,0.12742672
COCC1OC1,OCC(CO1)OC1(C)C,0.08860002,0.0199968
COCC1OC1,Cc1cc(C=C)ccc1,0.21885987,0.05865546
COCC1OC1,COc(ccc1)cc1C,0.08333669,0.02288895
COCC1OC1,COC(=O)Cc1ccccc1,-0.09316262,-0.02159313
COCC1OC1,COC(OC)Cc1ccccc1,0.02119478,0.00867315
COCC1OC1,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.2288902,-0.0489491
COCC1OC1,CC(C)COC(=O)Cc1ccccc1,0.04831761,0.01593021
COCC1OC1,O=C(OCc2ccccc2)Cc1ccccc1,-0.2319264,-0.04975057
COCC1OC1,CCc1cc(CC)cc(CC)c1,0.96522907,0.24434076
COCC1OC1,CC(=O)Oc(ccc1)cc1O,-2.25659616,-0.57680863
COCC1OC1,COC(OC)CC(OC)OC,0.08788299,0.02232084
COCC1OC1,CCCCC(CC)COC(C)=O,0.53280543,0.13037745
COCC1OC1,CCCCC(CC)COC(=O)C=C,0.53065748,0.13199044
COCC1OC1,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.41311763,0.07826663
COCC1OC1,COC(CCc1ccccc1)=O,-0.06635479,-0.01472788
COCC1OC1,CC(C)C(OCc1ccccc1)=O,0.03256728,0.01082661
COCC1OC1,CCCC(OCc1ccccc1)=O,0.01551775,0.00756603
COCC1OC1,CC(C)CC(OCc1ccccc1)=O,0.03984764,0.01611155
COCC1OC1,CC(OCCc1ccccc1)=O,-0.03031683,-0.00545867
COCC1OC1,CC(C)C(OCCc1ccccc1)=O,0.10713223,0.03057718
COCC1OC1,CC(C)C(OCCOc1ccccc1)=O,-0.19124302,-0.04122663
COCC1OC1,CCCc1ccccc1,0.57670623,0.14937144
COCC1OC1,CC(C)C(=O)Oc(cc1)ccc1C,0.08624613,0.02392921
COCC1OC1,CCCc(cc1)ccc1OC,0.24084159,0.06469261
COCC1OC1,CCCCC1OC(CC1)=O,0.0399823,0.01034775
COCC1OC1,CCCCc1ccccc1,0.66202226,0.17125413
COCC1OC1,O=COCc1ccccc1,-0.24042426,-0.06013697
COCC1OC1,CCCCCC1OC(CC1)=O,0.07488859,0.01895732
COCC1OC1,O=COCCc1ccccc1,-0.21573714,-0.05238837
COCC1OC1,CCCCCCCC1OC(CC1)=O,0.14862998,0.03654952
COCC1OC1,CCCCC(CO)CC,0.47672677,0.12553032
COCC1OC1,COc(cc1)ccc1C,0.086774,0.02387225
COCC1OC1,CC(C)COC(CCc1occc1)=O,-0.01065175,0.00227737
COCC1OC1,CCc1ccc(CC)cc1,0.76376794,0.19617947
COCC1OC1,C=Cc1ccc(C=C)cc1,-0.02933686,-0.00305753
COCC1OC1,CCCC1OC(CC1)=O,0.01461769,0.00385797
COCC1OC1,OCC=C(C)C#C,-1.22582308,-0.31204632
COCC1OC1,CCCC(C)CO,0.4884983,0.13170956
COCC1OC1,CCCC(O)C#C,-1.87614413,-0.46652822
COCC1OC1,CCOC(CC)=O,0.17335986,0.04347499
COCC1OC1,CCC(OC=C)=O,0.07017666,0.01820939
COCC1OC1,CCC(C)CC(C)=O,0.29896737,0.07597498
COCC1OC1,CCC(C)CC(O)=O,-1.34652159,-0.33643392
COCC1OC1,CCC(C)OC(C)=O,0.26387587,0.06695683
COCC1OC1,CCOC(CC(OCC)=O)=O,-0.13799537,-0.03334096
COCC1OC1,CCOC(CCC)=O,0.28083746,0.07120544
COCC1OC1,CCOC(C)OCC,0.45763906,0.11763484
COCC1OC1,CCOC(OCC)=O,0.04939247,0.01274545
COCC1OC1,CCCOC(CCC)=O,0.39872627,0.10090987
COCC1OC1,CC(C)CCOC(CC)=O,0.44702728,0.11212479
COCC1OC1,CCCCOC(=O)C=CC(OCCCC)=O,-0.05872509,-0.01084396
COCC1OC1,O=C1OCCOC(CCCCCCCCCCC1)=O,-0.00182482,0.0037411
COCC1OC1,CCCCCCCCCCCC(OCCCC)=O,0.84847785,0.18623424
COCC1OC1,OCCC(C)CCCC(C)C,0.64907937,0.16318567
COCC1OC1,CC(C)CCOC(CCC)=O,0.52475067,0.13090686
COCC1OC1,CCCCCCC(OCC)=O,0.50208787,0.12474312
COCC1OC1,CCCC(OC(CCC)=O)=O,0.05912862,0.01583745
COCC1OC1,CCCCCCCC(OCC)=O,0.55594268,0.13682839
COCC1OC1,CCCCC(CC)=O,0.34936723,0.08789226
COCC1OC1,CCCOC(CC)=O,0.29584954,0.07497996
COCC1OC1,CC(C)COC(=O)C=C,0.27706618,0.07108129
COCC1OC1,CCCCCC(CC)=O,0.43556786,0.10963336
COCC1OC1,CCCCCC(OC)=O,0.29861819,0.07624592
COCC1OC1,CC(CCC=C(C)C)C=O,0.30641535,0.07863972
COCC1OC1,CCCCCCC(OC)=O,0.37410669,0.09456335
COCC1OC1,CCOCCOC(=O)C=C,-0.01980511,-0.00390989
COCC1OC1,C=CC2CC1OC1CC2,0.24774533,0.06340083
COCC1OC1,C1OC1C3CC2OC2CC3,0.02448822,0.00623397
COCC1OC1,CCC1OC1,0.17629859,0.0444482
COCC1OC1,C=CC(OCC1OC1)=O,-0.08213451,-0.02081709
COCC1OC1,CC(=C)C(OCC1OC1)=O,-0.07995005,-0.01999775
COCC1OC1,C=CCOCC1OC1,-0.03243974,-0.0075577
COCC1OC1,O=CC=C,0.11761655,0.02811566
COCC1OC1,OCC=C,-0.21761318,-0.04517999
COCC1OC1,OCC#C,-1.64888269,-0.40528951
COCC1OC1,COC=O,-0.04300291,-0.01110915
COCC1OC1,CC(C)(C)CC(C)=C,1.50596996,0.37995326
COCC1OC1,CC(C)(C)C=C(C)C,1.54593004,0.39006802
COCC1OC1,OC(C)CC(O)(C)C,0.81307347,0.18405776
COCC1OC1,COC(C)(C)CC(C)=O,0.09948337,0.02589802
COCC1OC1,OCCC(C)CCCC(O)(C)C,0.60258105,0.13024279
COCC1OC1,OC(C)(C)CCCC(C)CC=O,0.20211098,0.04588251
COCC1OC1,CCCC(C)C,2.17799733,0.54025705
COCC1OC1,CC(C)=CC=O,0.04024904,0.01018286
COCC1OC1,CCCC(C)=O,0.12338934,0.03134677
COCC1OC1,OCCC(O)C,0.8527872,0.19289838
COCC1OC1,COCC(O)C,0.4334026,0.1040554
COCC1OC1,CC(OC=C)=O,-0.05668217,-0.0143337
COCC1OC1,CC(C)CC(C)C,2.11938353,0.52976607
COCC1OC1,CC(C)CC(C)=O,0.22595655,0.05724568
COCC1OC1,OC(C)CC(C)C,0.61894408,0.16144131
COCC1OC1,CC(C)OC(C)C,0.85055339,0.21539091
COCC1OC1,CC(C)OC(C)=O,0.15879267,0.04058978
COCC1OC1,CC(OC(C)=C)=O,0.02873755,0.00784068
COCC1OC1,CC(OC(C)=O)=O,-0.02378822,-0.00603889
COCC1OC1,O=C1C=CC(O1)=C,-0.06051624,-0.01571331
COCC1OC1,CC1OC(CC1)=O,0.03312143,0.0082025
COCC1OC1,CC1OC(OC1)=O,0.17983112,0.04450548
COCC1OC1,Cc1cc(C)ccc1,0.53791568,0.13777993
COCC1OC1,C=Cc1cc(C=C)ccc1,-0.01249191,0.00108524
COCC1OC1,COC(CC(OC)=O)=O,-0.1164324,-0.02891515
COCC1OC1,CCOC(CC(C)C)=O,0.35674157,0.08998917
COCC1OC1,COCC(C)OC(C)=O,0.0209551,0.00578763
COCC1OC1,Cc1cc(C)cc(C)c1,0.69440481,0.17791039
COCC1OC1,CC(C)CC(O)CC(C)C,0.64057409,0.1664207
COCC1OC1,CC(C)CC(CC(C)C)=O,0.60711905,0.15224101
COCC1OC1,CC(C)CC(C)OC(C)=O,0.41117048,0.10296183
COCC1OC1,CC1CCCCC1,2.18360033,0.54107975
COCC1OC1,Cc1ccccc1,0.36935757,0.09368604
COCC1OC1,O=C1CCCCC1,0.11284988,0.02866978
COCC1OC1,O=C1C=COC=C1,0.63821507,0.15442177
COCC1OC1,CCCCOC(CC(C)C)=O,0.54892347,0.13826104
COCC1OC1,CCCCOC(CCC)=O,0.48145847,0.12036762
COCC1OC1,O=C1CCCCCCCCCCCCCCCO1,0.65334402,0.15532648
COCC1OC1,CC(CCC=C)=O,0.01520571,0.00404684
COCC1OC1,CCC#CC(O)C,-0.44644438,-0.10686157
COCC1OC1,CCCCC(O)=O,-1.27952643,-0.32037762
COCC1OC1,CC(C)COC=C,0.58682761,0.15047957
COCC1OC1,OCCOC(C)C,0.53898035,0.12610175
