SMILES0,SMILES,gamma1,gamma2
COCC=O,OC(C)C(O)=O,-2.07572518,-0.52405333
COCC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.5617145,0.14605896
COCC=O,OCC(O)C,0.60104463,0.14538765
COCC=O,O=C1CCO1,0.08438333,0.02013921
COCC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.21624012,0.04411037
COCC=O,CCOCC,1.18806639,0.30609534
COCC=O,OCC,1.0380885,0.24839581
COCC=O,CCCCCC=O,0.654706,0.16861291
COCC=O,CO,1.00621843,0.23423046
COCC=O,OC(C)C,1.10382834,0.27066783
COCC=O,CC(C)=O,0.03410006,0.0100417
COCC=O,OCCC,1.00562463,0.24903261
COCC=O,OCCCC,1.10762186,0.28247797
COCC=O,OCCCCC,1.1709631,0.30073336
COCC=O,CC1OC1,0.27355945,0.07127035
COCC=O,CCC(C)(C)C,3.02606927,0.76777648
COCC=O,CC(C)(C)C(C)=O,0.62745515,0.16047274
COCC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.12657432,0.27164597
COCC=O,COC(C)(C)OC,0.82458446,0.21081573
COCC=O,CCC1(CC)CCCCC1,2.95066069,0.74684323
COCC=O,CCOC(C)(OCC)OCC,0.94589257,0.23369825
COCC=O,CC(C)CCCC(O)(C)CC,1.51797678,0.37143319
COCC=O,CCC(C)C,3.1027815,0.78147403
COCC=O,CC(=C)C=C,1.25136951,0.32360342
COCC=O,CC(=C)C#C,-0.66608588,-0.13641676
COCC=O,OCC(C)C,0.89427541,0.23220693
COCC=O,CC(C)C=O,0.41438204,0.10761999
COCC=O,CC(=C)C=O,0.27037058,0.07015766
COCC=O,CCC(O)C,1.09069089,0.27480213
COCC=O,CCC(C)=O,0.2526922,0.06600006
COCC=O,COC(C)=O,0.1192306,0.03113542
COCC=O,CC(C)C(C)C,3.05539406,0.77594612
COCC=O,CC(C)C(O)=O,-1.5852808,-0.40021404
COCC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.82567274,0.18954053
COCC=O,OOC(C)(C)C(CC1)CCC1C,-0.59562464,-0.15416716
COCC=O,CCOC(C(O)(C)C)=O,0.50726034,0.12861767
COCC=O,COC(=O)C(C)=C,0.48211947,0.12548521
