SMILES0,SMILES,gamma1,gamma2
COCCO,OC(C)C(O)=O,-2.07680276,-0.54675446
COCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.06198596,0.38797735
COCCO,OCC(O)C,-0.08411112,-0.02148801
COCCO,O=C1CCO1,1.6983473,0.38906376
COCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.77181606,0.17515121
COCCO,CCOCC,0.63773137,0.1566173
COCCO,OCC,0.00228943,0.00064986
COCCO,CCCCCC=O,0.9133503,0.20623792
COCCO,CO,0.13189469,0.03264662
COCCO,OC(C)C,0.03525841,0.00844159
COCCO,CC(C)=O,0.29819945,0.06944421
COCCO,OCCC,-0.06295266,-0.01621295
COCCO,OCCCC,0.00970987,0.00426791
COCCO,OCCCCC,0.05688041,0.016751
COCCO,CC1OC1,0.52663973,0.1157864
COCCO,CCC(C)(C)C,3.72470991,0.63959322
COCCO,CC(C)(C)C(C)=O,0.63829016,0.14894631
COCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.98391525,0.23508442
COCCO,COC(C)(C)OC,0.50706999,0.12257714
COCCO,CCC1(CC)CCCCC1,3.64384749,0.65498743
COCCO,CCOC(C)(OCC)OCC,0.43182709,0.11543901
COCCO,CC(C)CCCC(O)(C)CC,0.45079118,0.10919008
COCCO,CCC(C)C,3.79285618,0.63820227
COCCO,CC(=C)C=C,2.53116193,0.3991048
COCCO,CC(=C)C#C,0.76726505,0.07183671
COCCO,OCC(C)C,-0.12916606,-0.03120276
COCCO,CC(C)C=O,0.81781915,0.17630835
COCCO,CC(=C)C=O,0.82289585,0.18384227
COCCO,CCC(O)C,0.04443465,0.01089555
COCCO,CCC(C)=O,0.36944004,0.08632437
COCCO,COC(C)=O,0.74405819,0.16661784
COCCO,CC(C)C(C)C,3.75010811,0.64623532
COCCO,CC(C)C(O)=O,-2.30811348,-0.62177182
COCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.98197817,0.22531951
COCCO,OOC(C)(C)C(CC1)CCC1C,-1.3590797,-0.36573399
COCCO,CCOC(C(O)(C)C)=O,0.31685368,0.07869244
COCCO,COC(=O)C(C)=C,1.06352838,0.23312779
COCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.88445783,0.18280747
COCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,0.86031915,0.19897357
COCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.38198163,0.06224352
COCCO,CCOC(=O)c1ccccc1C(OCC)=O,1.02209415,0.23137791
COCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.09436444,0.24460571
COCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.21461565,0.26473589
COCCO,CC(C)CCOC(=O)c1ccccc1O,1.70336844,0.3541426
COCCO,Oc2ccccc2C(OCCc1ccccc1)=O,1.56353489,0.32628312
COCCO,O=C2c1ccccc1CO2,1.09164481,0.2570072
COCCO,OCC(O)C(O)C(O)CO,-0.18062926,-0.04318474
COCCO,CCC(CC)C(O)=O,-2.23129264,-0.60184833
COCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.60970529,-0.15120735
COCCO,COc1cc(C)ccc1C(C)(C)C,2.42214511,0.43797925
COCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,3.04749991,0.56994829
COCCO,COC(=O)c1ccccc1C,1.33097658,0.2898648
COCCO,CC(=O)c1ccc(C)cc1C,0.81119078,0.19285497
COCCO,Cc2c1ccccc1ccc2,2.20546659,0.38813787
COCCO,O=C2CCCCC2C1CCCCC1,0.99907142,0.23301933
COCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.7632937,0.17723693
COCCO,CC(C=O)c1ccccc1,1.1956559,0.26124165
COCCO,CCC(O)c1ccccc1,-0.71059174,-0.18183328
COCCO,CCOC(=O)c1ccccc1,1.27892713,0.2817474
COCCO,CC(OC(C)c2ccccc2)c1ccccc1,1.286824,0.29487134
COCCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.2655592,0.27463548
COCCO,CCOC(=O)c(cc1)ccc1C,1.26170141,0.28086618
COCCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-4.70734835,-0.22678284
COCCO,O=C(OCCc1ccccc1)c2ccccc2,1.40862152,0.30588227
COCCO,CCCc2cc1OCOc1cc2,1.63140258,0.30532677
COCCO,COC(C1CCC(CC1)C(OC)=O)=O,0.73994528,0.17179167
COCCO,CCCC1CCCCC1=O,0.78081808,0.18464597
COCCO,CCOc1ccc(C=CC)cc1O,-0.92040708,-0.20951484
COCCO,CCCC(O)C(CO)CC,0.11412889,0.02722675
COCCO,Cc(ccc1C)cc1C,2.52408769,0.43886371
COCCO,CCOC(=O)C(OCC)=O,1.04740326,0.23503139
COCCO,CC1OC(C(C)OC1=O)=O,0.82149037,0.19845262
COCCO,CCCCC(=O)C(C)=O,1.27181544,0.26965352
COCCO,C=CCOC(=O)C(C)=C,1.27549708,0.27880254
COCCO,C1OC1c2ccccc2,1.3839024,0.29131437
COCCO,CCC(C)CC,3.77790556,0.65391337
COCCO,CCC(CC)=O,0.54588453,0.12678805
COCCO,OCC(CO)=O,0.16155142,0.03831344
COCCO,COC(=O)C=C,1.0531578,0.23005646
COCCO,COC(CO)=O,0.08323443,0.02086276
COCCO,CC1CCCC1,3.75623754,0.63915232
COCCO,CC1CCCO1,0.0482423,0.01740074
COCCO,O=C1CCCO1,0.757175,0.18077529
COCCO,CCCC(C)C(O)=O,-2.25533778,-0.60847157
COCCO,CCOC(C(C)C)=O,1.01475618,0.22822705
COCCO,CCOC(=O)C(C)=C,1.10074344,0.2451416
COCCO,CCOC(C(O)C)=O,0.22315286,0.05602657
