SMILES0,SMILES,gamma1,gamma2
COCCOC,OC(C)C(O)=O,-2.96839853,-0.82705862
COCCOC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.25505645,-0.05791075
COCCOC,OCC(O)C,-0.27179158,-0.07011121
COCCOC,O=C1CCO1,1.09814647,0.25921331
COCCOC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.34025072,-0.07197652
COCCOC,CCOCC,0.22366645,0.05629416
COCCOC,OCC,-0.13513661,-0.0229248
COCCOC,CCCCCC=O,-0.05181089,-0.01287071
COCCOC,CO,0.27144998,0.07422168
COCCOC,OC(C)C,-0.21407095,-0.04632344
COCCOC,CC(C)=O,0.11799507,0.02876978
COCCOC,OCCC,-0.49100768,-0.11288184
COCCOC,OCCCC,-0.49221797,-0.11072399
COCCOC,OCCCCC,-0.54376072,-0.12406829
COCCOC,CC1OC1,0.00313544,0.00044626
COCCOC,CCC(C)(C)C,1.18512943,0.29607619
COCCOC,CC(C)(C)C(C)=O,0.0314244,0.00805226
COCCOC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.04595794,0.01498076
COCCOC,COC(C)(C)OC,0.07024008,0.01799636
COCCOC,CCC1(CC)CCCCC1,1.12993587,0.2892253
COCCOC,CCOC(C)(OCC)OCC,0.07786052,0.0218185
COCCOC,CC(C)CCCC(O)(C)CC,-0.26504834,-0.05995312
COCCOC,CCC(C)C,1.23593965,0.30364769
COCCOC,CC(=C)C=C,0.09462074,0.02332708
COCCOC,CC(=C)C#C,-1.67699703,-0.41288211
COCCOC,OCC(C)C,-0.83247512,-0.19565343
COCCOC,CC(C)C=O,-0.02258696,-0.0057925
COCCOC,CC(=C)C=O,0.08894717,0.02124738
COCCOC,CCC(O)C,-0.4642079,-0.10980268
COCCOC,CCC(C)=O,0.01564309,0.00362984
COCCOC,COC(C)=O,0.084464,0.02017502
COCCOC,CC(C)C(C)C,1.20831825,0.30265374
COCCOC,CC(C)C(O)=O,-3.57882171,-0.98754239
COCCOC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.08667063,-0.01691527
COCCOC,OOC(C)(C)C(CC1)CCC1C,-2.99702376,-0.80061608
COCCOC,CCOC(C(O)(C)C)=O,-0.22813326,-0.05701719
COCCOC,COC(=O)C(C)=C,-0.01208925,-0.00340536
COCCOC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.20286046,-0.29052768
COCCOC,COc2cccc3c2C(=O)c1ccccc1C3=O,0.03260634,0.00815665
COCCOC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.87909716,-0.22015968
COCCOC,CCOC(=O)c1ccccc1C(OCC)=O,-0.16213414,-0.03758128
COCCOC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.24883689,-0.05355745
COCCOC,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.24280815,-0.04778527
COCCOC,CC(C)CCOC(=O)c1ccccc1O,-0.16813607,-0.03787471
COCCOC,Oc2ccccc2C(OCCc1ccccc1)=O,-0.33846783,-0.07805133
COCCOC,O=C2c1ccccc1CO2,0.29108077,0.07314726
COCCOC,OCC(O)C(O)C(O)CO,-0.45066443,-0.11162673
COCCOC,CCC(CC)C(O)=O,-3.68452209,-1.00789449
COCCOC,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.98974501,-0.49383222
COCCOC,COc1cc(C)ccc1C(C)(C)C,0.03872835,0.01351475
COCCOC,CC2CCC(CC1=C2CCC1C)=C(C)C,0.63729794,0.16702128
COCCOC,COC(=O)c1ccccc1C,-0.08445886,-0.02100842
COCCOC,CC(=O)c1ccc(C)cc1C,-0.03156942,-0.00786628
COCCOC,Cc2c1ccccc1ccc2,-0.12983757,-0.03194939
COCCOC,O=C2CCCCC2C1CCCCC1,0.15745042,0.04063728
COCCOC,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.19231087,-0.04378801
COCCOC,CC(C=O)c1ccccc1,-0.11862113,-0.03002816
COCCOC,CCC(O)c1ccccc1,-2.14940435,-0.54480825
COCCOC,CCOC(=O)c1ccccc1,-0.05915777,-0.01500053
COCCOC,CC(OC(C)c2ccccc2)c1ccccc1,-0.22413152,-0.04974589
COCCOC,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.33131579,-0.07019237
COCCOC,CCOC(=O)c(cc1)ccc1C,-0.04221521,-0.01001805
COCCOC,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.26208562,-0.05273541
COCCOC,O=C(OCCc1ccccc1)c2ccccc2,-0.2106302,-0.04890497
COCCOC,CCCc2cc1OCOc1cc2,-0.53346876,-0.13155421
COCCOC,COC(C1CCC(CC1)C(OC)=O)=O,-0.12877101,-0.03124331
COCCOC,CCCC1CCCCC1=O,0.09773479,0.02589029
COCCOC,CCOc1ccc(C=CC)cc1O,-2.9814601,-0.71124486
COCCOC,CCCC(O)C(CO)CC,-0.25134485,-0.07009781
COCCOC,Cc(ccc1C)cc1C,0.14041603,0.03709259
COCCOC,CCOC(=O)C(OCC)=O,-0.00535369,-0.00158575
COCCOC,CC1OC(C(C)OC1=O)=O,-0.23260981,-0.04665244
COCCOC,CCCCC(=O)C(C)=O,-0.14694649,-0.03693428
COCCOC,C=CCOC(=O)C(C)=C,-0.04221921,-0.01055054
COCCOC,C1OC1c2ccccc2,-0.08186715,-0.02106518
COCCOC,CCC(C)CC,1.23265161,0.30911535
COCCOC,CCC(CC)=O,-0.00073362,-0.00030885
COCCOC,OCC(CO)=O,-0.01601222,-0.01680222
COCCOC,COC(=O)C=C,0.02646853,0.0058534
COCCOC,COC(CO)=O,-0.2666028,-0.07112538
COCCOC,CC1CCCC1,1.218519,0.30170956
COCCOC,CC1CCCO1,0.12705466,0.03248742
COCCOC,O=C1CCCO1,0.47603914,0.11956018
COCCOC,CCCC(C)C(O)=O,-3.71808375,-1.01898819
COCCOC,CCOC(C(C)C)=O,0.03207617,0.00849411
COCCOC,CCOC(=O)C(C)=C,0.02845427,0.00747926
COCCOC,CCOC(C(O)C)=O,-0.33638867,-0.08445028
COCCOC,CC(C)C(OC(C(C)C)=O)=O,-0.06949863,-0.01650811
COCCOC,CC(C)COC(C(C)C)=O,0.14377324,0.03665332
COCCOC,CC(C)COC(=O)C(C)=C,0.09166613,0.02391667
COCCOC,CCCCOC(C(C)C)=O,0.12377757,0.03197529
COCCOC,CCCCOC(=O)C(C)=C,0.08635927,0.02276665
COCCOC,CCC(CC)C=O,0.05195117,0.01339462
COCCOC,OCC1CCCO1,0.02169615,0.00339143
COCCOC,OCc1occc1,-1.59115825,-0.40146805
COCCOC,O=Cc1occc1,0.26062046,0.05914287
COCCOC,CC(C)(C)c1ccccc1,0.08665801,0.02430172
COCCOC,OOC(C)(C)c(cc1)ccc1C(C)C,-2.97301806,-0.79519613
COCCOC,CC(C)(C)c(cc1)ccc1C,0.18876854,0.05074891
COCCOC,OC1CCC(CC1)C(C)(C)C,-0.45110305,-0.10775129
COCCOC,CC(C)(C)C1CCC(CC1)=O,0.03242995,0.00868531
COCCOC,CC(C)c1ccccc1,0.07661532,0.02112027
COCCOC,COC(=O)c(ccc1)cc1C,-0.06513041,-0.01650632
COCCOC,OC1CC(CC=C1C)C(C)=C,-1.25300838,-0.31637043
COCCOC,CC(C)c1cc(C(C)C)ccc1,0.23708672,0.06251369
COCCOC,CCCC(CCC)C(O)=O,-3.68339406,-1.00923137
COCCOC,CC(C=O)c(cc1)ccc1C,-0.13716382,-0.03369179
COCCOC,CC1CCC(C(C)C)CC1,1.16910497,0.29872915
COCCOC,CC(C)c(cc1)ccc1C,0.17002956,0.04557625
COCCOC,C=CC1CC=CCC1,0.25232647,0.0652769
COCCOC,CCc1ccccc1,0.04016582,0.01105753
COCCOC,C=Cc1ccccc1,-0.16728131,-0.04241323
COCCOC,OCC1CCCCC1,-0.77252194,-0.18720967
COCCOC,COc1ccccc1,-0.17054398,-0.04338803
COCCOC,OCC1CCCCO1,-0.05275515,-0.02240391
COCCOC,OCC(CO1)OC1(C)C,-0.41861189,-0.10535087
COCCOC,Cc1cc(C=C)ccc1,-0.11296782,-0.02781114
COCCOC,COc(ccc1)cc1C,-0.15651044,-0.03931717
COCCOC,COC(=O)Cc1ccccc1,-0.08348673,-0.02084972
COCCOC,COC(OC)Cc1ccccc1,-0.14686435,-0.03512098
COCCOC,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.28728063,-0.06484896
COCCOC,CC(C)COC(=O)Cc1ccccc1,-0.17748969,-0.0410954
COCCOC,O=C(OCc2ccccc2)Cc1ccccc1,-0.2368818,-0.05279063
COCCOC,CCc1cc(CC)cc(CC)c1,0.32749437,0.08630548
COCCOC,CC(=O)Oc(ccc1)cc1O,-4.16458914,-1.16997387
COCCOC,COC(OC)CC(OC)OC,-0.08179337,-0.01994393
COCCOC,CCCCC(CC)COC(C)=O,0.10444441,0.02737921
COCCOC,CCCCC(CC)COC(=O)C=C,0.06453466,0.0190752
COCCOC,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-0.05317226,-0.01007468
COCCOC,COC(CCc1ccccc1)=O,-0.13587757,-0.03345904
COCCOC,CC(C)C(OCc1ccccc1)=O,-0.16379153,-0.03938113
COCCOC,CCCC(OCc1ccccc1)=O,-0.17971071,-0.04355089
COCCOC,CC(C)CC(OCc1ccccc1)=O,-0.21181556,-0.04886255
COCCOC,CC(OCCc1ccccc1)=O,-0.11416941,-0.02801809
COCCOC,CC(C)C(OCCc1ccccc1)=O,-0.14649,-0.03306991
COCCOC,CC(C)C(OCCOc1ccccc1)=O,-0.31573942,-0.07317082
COCCOC,CCCc1ccccc1,0.07661452,0.02127908
COCCOC,CC(C)C(=O)Oc(cc1)ccc1C,-0.14742137,-0.03552153
COCCOC,CCCc(cc1)ccc1OC,-0.143605,-0.03395247
COCCOC,CCCCC1OC(CC1)=O,-0.04647475,-0.01156539
COCCOC,CCCCc1ccccc1,0.11661842,0.03229355
COCCOC,O=COCc1ccccc1,-0.17806125,-0.04570444
COCCOC,CCCCCC1OC(CC1)=O,-0.07460905,-0.01797511
COCCOC,O=COCCc1ccccc1,-0.24907655,-0.06257013
COCCOC,CCCCCCCC1OC(CC1)=O,-0.10117016,-0.02321829
COCCOC,CCCCC(CO)CC,-0.9980788,-0.24367755
COCCOC,COc(cc1)ccc1C,-0.16061317,-0.04032154
COCCOC,CC(C)COC(CCc1occc1)=O,-0.28715136,-0.06696747
COCCOC,CCc1ccc(CC)cc1,0.19710151,0.05252317
COCCOC,C=Cc1ccc(C=C)cc1,-0.26561894,-0.06607037
COCCOC,CCCC1OC(CC1)=O,0.00250582,0.00032347
COCCOC,OCC=C(C)C#C,-2.27586499,-0.5854425
COCCOC,CCCC(C)CO,-0.90703747,-0.21545617
COCCOC,CCCC(O)C#C,-3.44460621,-0.88761153
COCCOC,CCOC(CC)=O,-0.01174983,-0.00337695
COCCOC,CCC(OC=C)=O,-0.1087751,-0.02781529
COCCOC,CCC(C)CC(C)=O,0.02062421,0.00561874
COCCOC,CCC(C)CC(O)=O,-3.71724893,-1.02258034
COCCOC,CCC(C)OC(C)=O,0.01522291,0.00415244
COCCOC,CCOC(CC(OCC)=O)=O,-0.13744577,-0.033978
COCCOC,CCOC(CCC)=O,0.00906642,0.00257812
COCCOC,CCOC(C)OCC,0.10440657,0.02813388
COCCOC,CCOC(OCC)=O,-0.04443982,-0.01162719
COCCOC,CCCOC(CCC)=O,0.05963535,0.0161824
COCCOC,CC(C)CCOC(CC)=O,0.07186557,0.01912022
COCCOC,CCCCOC(=O)C=CC(OCCCC)=O,-0.35346934,-0.08053823
COCCOC,O=C1OCCOC(CCCCCCCCCCC1)=O,-0.2697041,-0.05989112
COCCOC,CCCCCCCCCCCC(OCCCC)=O,0.25385863,0.05961128
COCCOC,OCCC(C)CCCC(C)C,-0.73281165,-0.17503373
COCCOC,CC(C)CCOC(CCC)=O,0.10825103,0.0291604
COCCOC,CCCCCCC(OCC)=O,0.08602515,0.02309497
COCCOC,CCCC(OC(CCC)=O)=O,-0.12959957,-0.03156199
COCCOC,CCCCCCCC(OCC)=O,0.10671306,0.02871568
COCCOC,CCCCC(CC)=O,0.04680793,0.0119796
COCCOC,CCCOC(CC)=O,0.02625614,0.00689014
COCCOC,CC(C)COC(=O)C=C,-0.01666803,-0.00391436
COCCOC,CCCCCC(CC)=O,0.07533081,0.02011275
COCCOC,CCCCCC(OC)=O,-0.01343917,-0.00245193
COCCOC,CC(CCC=C(C)C)C=O,-0.01212215,-0.0010937
COCCOC,CCCCCCC(OC)=O,0.00946545,0.00369109
COCCOC,CCOCCOC(=O)C=C,-0.09808675,-0.0241243
COCCOC,C=CC2CC1OC1CC2,-0.01647902,-0.00382817
COCCOC,C1OC1C3CC2OC2CC3,-0.00558196,-0.00166899
COCCOC,CCC1OC1,0.00215746,0.00060341
COCCOC,C=CC(OCC1OC1)=O,0.11585866,0.02863437
COCCOC,CC(=C)C(OCC1OC1)=O,-0.03212895,-0.00952914
COCCOC,C=CCOCC1OC1,0.03144308,0.00753566
COCCOC,O=CC=C,0.40268918,0.09322852
COCCOC,OCC=C,-1.27463254,-0.30065198
COCCOC,OCC#C,-2.62754846,-0.67837803
COCCOC,COC=O,0.21387322,0.04625719
COCCOC,CC(C)(C)CC(C)=C,0.72074755,0.18473397
