SMILES0,SMILES,gamma1,gamma2
COCCOCCO,OC(C)C(O)=O,-4.05699421,-1.11743308
COCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.74981066,0.16389567
COCCOCCO,OCC(O)C,-0.59353448,-0.13780616
COCCOCCO,O=C1CCO1,1.1924789,0.26738955
COCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.18968741,0.05113984
COCCOCCO,CCOCC,0.70699683,0.16415023
COCCOCCO,OCC,-0.35862298,-0.06358463
COCCOCCO,CCCCCC=O,0.44306245,0.10024566
COCCOCCO,CO,-0.10209175,-0.00192919
COCCOCCO,OC(C)C,-0.30822311,-0.05785783
COCCOCCO,CC(C)=O,0.11479826,0.02456108
COCCOCCO,OCCC,-0.63810691,-0.13269981
COCCOCCO,OCCCC,-0.54231309,-0.10499659
COCCOCCO,OCCCCC,-0.52528179,-0.09832428
COCCOCCO,CC1OC1,0.19227269,0.03782571
COCCOCCO,CCC(C)(C)C,2.93012816,0.60213992
COCCOCCO,CC(C)(C)C(C)=O,0.42109756,0.09821983
COCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.81730787,0.20347262
COCCOCCO,COC(C)(C)OC,0.47380432,0.11254695
COCCOCCO,CCC1(CC)CCCCC1,2.89518253,0.63607707
COCCOCCO,CCOC(C)(OCC)OCC,0.56089075,0.14440596
COCCOCCO,CC(C)CCCC(O)(C)CC,0.10991592,0.05356293
COCCOCCO,CCC(C)C,2.99653816,0.59729812
COCCOCCO,CC(=C)C=C,1.21176973,0.21913839
COCCOCCO,CC(=C)C#C,-1.39954891,-0.32227523
COCCOCCO,OCC(C)C,-0.9280554,-0.19713829
COCCOCCO,CC(C)C=O,0.32365193,0.06625089
COCCOCCO,CC(=C)C=O,0.3806891,0.08395045
COCCOCCO,CCC(O)C,-0.47430889,-0.09761664
COCCOCCO,CCC(C)=O,0.15512057,0.03421195
COCCOCCO,COC(C)=O,0.28969621,0.06306545
COCCOCCO,CC(C)C(C)C,2.9678962,0.61260784
COCCOCCO,CC(C)C(O)=O,-4.51903886,-1.24915601
COCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.64632579,0.15989605
COCCOCCO,OOC(C)(C)C(CC1)CCC1C,-3.45197242,-0.89468609
COCCOCCO,CCOC(C(O)(C)C)=O,0.02509224,0.0092575
COCCOCCO,COC(=O)C(C)=C,0.5003446,0.11123674
COCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.57661054,-0.14986897
COCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,0.45914198,0.11311442
COCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.44896926,-0.11135464
COCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,0.37267232,0.09027407
COCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.46872793,0.11511252
COCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.59828973,0.14585987
COCCOCCO,CC(C)CCOC(=O)c1ccccc1O,0.79676139,0.18386926
COCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,0.47882565,0.10960895
COCCOCCO,O=C2c1ccccc1CO2,0.55170108,0.1354109
COCCOCCO,OCC(O)C(O)C(O)CO,-0.80411612,-0.19729615
COCCOCCO,CCC(CC)C(O)=O,-4.50965182,-1.23567126
COCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.09056845,-0.49920331
COCCOCCO,COc1cc(C)ccc1C(C)(C)C,1.24172252,0.26921884
COCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,2.19398731,0.50296514
COCCOCCO,COC(=O)c1ccccc1C,0.61441396,0.14066211
COCCOCCO,CC(=O)c1ccc(C)cc1C,0.51203751,0.12473089
COCCOCCO,Cc2c1ccccc1ccc2,0.85951594,0.17338363
COCCOCCO,O=C2CCCCC2C1CCCCC1,0.84373998,0.20618691
COCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.24849135,0.06253068
COCCOCCO,CC(C=O)c1ccccc1,0.41594127,0.09250531
COCCOCCO,CCC(O)c1ccccc1,-2.40422603,-0.57677598
COCCOCCO,CCOC(=O)c1ccccc1,0.61552261,0.14264926
COCCOCCO,CC(OC(C)c2ccccc2)c1ccccc1,0.63303347,0.15237564
COCCOCCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.33982484,0.08272043
COCCOCCO,CCOC(=O)c(cc1)ccc1C,0.67667963,0.15955817
COCCOCCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.7540701,-0.05945571
COCCOCCO,O=C(OCCc1ccccc1)c2ccccc2,0.54948929,0.12925673
COCCOCCO,CCCc2cc1OCOc1cc2,0.26219386,0.04175449
COCCOCCO,COC(C1CCC(CC1)C(OC)=O)=O,0.27412729,0.06616357
COCCOCCO,CCCC1CCCCC1=O,0.64078068,0.15665134
COCCOCCO,CCOc1ccc(C=CC)cc1O,-3.33629104,-0.72039188
COCCOCCO,CCCC(O)C(CO)CC,-0.15580493,-0.02930912
COCCOCCO,Cc(ccc1C)cc1C,1.32522355,0.27373059
COCCOCCO,CCOC(=O)C(OCC)=O,0.39931773,0.09334012
COCCOCCO,CC1OC(C(C)OC1=O)=O,-0.27109967,-0.06359375
COCCOCCO,CCCCC(=O)C(C)=O,0.45262706,0.09748114
COCCOCCO,C=CCOC(=O)C(C)=C,0.62270749,0.14235869
COCCOCCO,C1OC1c2ccccc2,0.48593513,0.10413992
COCCOCCO,CCC(C)CC,3.00858122,0.62476835
COCCOCCO,CCC(CC)=O,0.30602525,0.06981649
COCCOCCO,OCC(CO)=O,-0.582944,-0.16614765
COCCOCCO,COC(=O)C=C,0.41412181,0.09088596
COCCOCCO,COC(CO)=O,-0.64718581,-0.15910516
COCCOCCO,CC1CCCC1,2.958763,0.59729703
COCCOCCO,CC1CCCO1,0.32925631,0.0810882
COCCOCCO,O=C1CCCO1,0.50110965,0.1213334
COCCOCCO,CCCC(C)C(O)=O,-4.5463168,-1.2506048
COCCOCCO,CCOC(C(C)C)=O,0.6164552,0.14253413
COCCOCCO,CCOC(=O)C(C)=C,0.64474251,0.14817999
COCCOCCO,CCOC(C(O)C)=O,-0.23797838,-0.05417558
COCCOCCO,CC(C)C(OC(C(C)C)=O)=O,0.60312206,0.13708936
COCCOCCO,CC(C)COC(C(C)C)=O,0.88817047,0.21164133
COCCOCCO,CC(C)COC(=O)C(C)=C,0.86225239,0.20397532
COCCOCCO,CCCCOC(C(C)C)=O,0.8676812,0.2070949
COCCOCCO,CCCCOC(=O)C(C)=C,0.84090211,0.19990784
COCCOCCO,CCC(CC)C=O,0.63239699,0.14219169
COCCOCCO,OCC1CCCO1,-0.01159682,-0.00178918
COCCOCCO,OCc1occc1,-2.05921119,-0.49627991
COCCOCCO,O=Cc1occc1,0.38525784,0.08938656
COCCOCCO,CC(C)(C)c1ccccc1,1.27833774,0.26679552
COCCOCCO,OOC(C)(C)c(cc1)ccc1C(C)C,-3.42001286,-0.89471722
COCCOCCO,CC(C)(C)c(cc1)ccc1C,1.45948692,0.31456912
