SMILES0,SMILES,gamma1,gamma2
COCCOCCOC,OC(C)C(O)=O,-5.41477411,-1.48628764
COCCOCCOC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.15564913,-0.03546293
COCCOCCOC,OCC(O)C,-1.13069729,-0.26250806
COCCOCCOC,O=C1CCO1,1.11589047,0.22620435
COCCOCCOC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.34675072,-0.07864148
COCCOCCOC,CCOCC,0.42069379,0.0967773
COCCOCCOC,OCC,-0.86923753,-0.15567148
COCCOCCOC,CCCCCC=O,-0.04572387,-0.01103908
COCCOCCOC,CO,-0.46705105,-0.06195052
COCCOCCOC,OC(C)C,-0.83384648,-0.16121928
COCCOCCOC,CC(C)=O,-0.00369305,-0.00215261
COCCOCCOC,OCCC,-1.30686685,-0.26485707
COCCOCCOC,OCCCC,-1.21809758,-0.24199047
COCCOCCOC,OCCCCC,-1.23698302,-0.24696013
COCCOCCOC,CC1OC1,-0.10441355,-0.02468206
COCCOCCOC,CCC(C)(C)C,2.009264,0.45823462
COCCOCCOC,CC(C)(C)C(C)=O,0.09286173,0.0228467
COCCOCCOC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.31307302,0.08342477
COCCOCCOC,COC(C)(C)OC,0.18747164,0.04539071
COCCOCCOC,CCC1(CC)CCCCC1,1.9940357,0.48950865
COCCOCCOC,CCOC(C)(OCC)OCC,0.30165229,0.07925983
COCCOCCOC,CC(C)CCCC(O)(C)CC,-0.52705546,-0.09000231
COCCOCCOC,CCC(C)C,2.06739701,0.45507405
COCCOCCOC,CC(=C)C=C,0.24223461,0.05207894
COCCOCCOC,CC(=C)C#C,-2.68698856,-0.58254939
COCCOCCOC,OCC(C)C,-1.74467574,-0.36423259
COCCOCCOC,CC(C)C=O,-0.0908974,-0.02167612
COCCOCCOC,CC(=C)C=O,0.01732746,0.00295811
COCCOCCOC,CCC(O)C,-1.12878202,-0.23577198
COCCOCCOC,CCC(C)=O,-0.06331586,-0.01533116
COCCOCCOC,COC(C)=O,-0.03021513,-0.00851167
COCCOCCOC,CC(C)C(C)C,2.04890145,0.4691698
COCCOCCOC,CC(C)C(O)=O,-6.10288188,-1.62318751
COCCOCCOC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.11868058,0.03435466
COCCOCCOC,OOC(C)(C)C(CC1)CCC1C,-4.93862203,-1.2245395
COCCOCCOC,CCOC(C(O)(C)C)=O,-0.40021828,-0.09583241
COCCOCCOC,COC(=O)C(C)=C,-0.01737949,-0.00404771
COCCOCCOC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.69655911,-0.42934646
COCCOCCOC,COc2cccc3c2C(=O)c1ccccc1C3=O,0.05989056,0.01538313
COCCOCCOC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.31498041,-0.30543597
COCCOCCOC,CCOC(=O)c1ccccc1C(OCC)=O,-0.15926755,-0.03823709
COCCOCCOC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.15107695,-0.03276493
