SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCO,OC(C)C(O)=O,-5.7716901,-1.50198972
COCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.18583457,0.23920818
COCCOCCOCCO,OCC(O)C,-1.04938042,-0.23084038
COCCOCCOCCO,O=C1CCO1,1.4323034,0.27386912
COCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.36102123,0.08691896
COCCOCCOCCO,CCOCC,0.94000632,0.19766961
COCCOCCOCCO,OCC,-0.73982858,-0.12148472
COCCOCCOCCO,CCCCCC=O,0.58120347,0.11637712
COCCOCCOCCO,CO,-0.49291202,-0.05996482
COCCOCCOCCO,OC(C)C,-0.5977796,-0.10560446
COCCOCCOCCO,CC(C)=O,0.06861006,0.00865222
COCCOCCOCCO,OCCC,-1.05227475,-0.19687826
COCCOCCOCCO,OCCCC,-0.86939297,-0.15319091
COCCOCCOCCO,OCCCCC,-0.80567877,-0.13564289
COCCOCCOCCO,CC1OC1,0.18132105,0.02470791
COCCOCCOCCO,CCC(C)(C)C,3.86610534,0.72684569
COCCOCCOCCO,CC(C)(C)C(C)=O,0.56761985,0.12107259
COCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.18636882,0.28667511
COCCOCCOCCO,COC(C)(C)OC,0.64714539,0.14218285
COCCOCCOCCO,CCC1(CC)CCCCC1,3.8715569,0.80662365
COCCOCCOCCO,CCOC(C)(OCC)OCC,0.83009594,0.20633129
COCCOCCOCCO,CC(C)CCCC(O)(C)CC,0.19012331,0.09335274
COCCOCCOCCO,CCC(C)C,3.93345499,0.70857144
COCCOCCOCCO,CC(=C)C=C,1.63435333,0.24963627
COCCOCCOCCO,CC(=C)C#C,-1.86142407,-0.40663073
COCCOCCOCCO,OCC(C)C,-1.39395279,-0.26519299
COCCOCCOCCO,CC(C)C=O,0.38141818,0.0632682
COCCOCCOCCO,CC(=C)C=O,0.45213783,0.08457822
COCCOCCOCCO,CCC(O)C,-0.77096177,-0.14553225
COCCOCCOCCO,CCC(C)=O,0.15653878,0.02785944
COCCOCCOCCO,COC(C)=O,0.30772883,0.05430291
COCCOCCOCCO,CC(C)C(C)C,3.916956,0.74110002
COCCOCCOCCO,CC(C)C(O)=O,-6.29227733,-1.55245222
COCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.98400067,0.23737233
COCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-4.65275913,-1.04412142
COCCOCCOCCO,CCOC(C(O)(C)C)=O,0.02033422,0.00568963
COCCOCCOCCO,COC(=O)C(C)=C,0.65868495,0.12923041
COCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.69175387,-0.20621135
COCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,0.68597389,0.1643433
COCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.37080279,-0.05573081
COCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,0.57965574,0.13024006
COCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.75551118,0.17675445
COCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.95874004,0.22953953
COCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,1.16220629,0.24991265
COCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,0.76933752,0.15814898
COCCOCCOCCO,O=C2c1ccccc1CO2,0.6974494,0.15344891
COCCOCCOCCO,OCC(O)C(O)C(O)CO,-1.22657835,-0.30686374
