SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOC,OC(C)C(O)=O,-9.46488995,-2.53967074
COCCOCCOCCOC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.08700076,-0.01884707
COCCOCCOCCOC,OCC(O)C,-2.92907821,-0.68171764
COCCOCCOCCOC,O=C1CCO1,0.85567897,0.1297826
COCCOCCOCCOC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.41257123,-0.09806866
COCCOCCOCCOC,CCOCC,0.73030391,0.14418045
COCCOCCOCCOC,OCC,-2.43889159,-0.45701273
COCCOCCOCCOC,CCCCCC=O,-0.03322866,-0.01110987
COCCOCCOCCOC,CO,-2.12929664,-0.38118445
COCCOCCOCCOC,OC(C)C,-2.18184758,-0.42555606
COCCOCCOCCOC,CC(C)=O,-0.19591018,-0.04506701
COCCOCCOCCOC,OCCC,-2.9648684,-0.589259
COCCOCCOCCOC,OCCCC,-2.73606761,-0.53646143
COCCOCCOCCOC,OCCCCC,-2.70751599,-0.52956535
COCCOCCOCCOC,CC1OC1,-0.23868586,-0.05354372
COCCOCCOCCOC,CCC(C)(C)C,3.11824637,0.62163404
COCCOCCOCCOC,CC(C)(C)C(C)=O,0.18428997,0.03921584
COCCOCCOCCOC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.6654055,0.16773858
COCCOCCOCCOC,COC(C)(C)OC,0.36596238,0.07795005
COCCOCCOCCOC,CCC1(CC)CCCCC1,3.13931387,0.70316217
COCCOCCOCCOC,CCOC(C)(OCC)OCC,0.60686637,0.14938127
COCCOCCOCCOC,CC(C)CCCC(O)(C)CC,-1.33157624,-0.22273259
COCCOCCOCCOC,CCC(C)C,3.19276147,0.60464674
COCCOCCOCCOC,CC(=C)C=C,0.46322853,0.07933515
COCCOCCOCCOC,CC(=C)C#C,-4.08852936,-0.78198903
COCCOCCOCCOC,OCC(C)C,-3.5001221,-0.70069165
COCCOCCOCCOC,CC(C)C=O,-0.17224188,-0.04086264
COCCOCCOCCOC,CC(=C)C=O,-0.13578191,-0.03196303
COCCOCCOCCOC,CCC(O)C,-2.51455143,-0.50707368
COCCOCCOCCOC,CCC(C)=O,-0.17782296,-0.04128005
COCCOCCOCCOC,COC(C)=O,-0.2317683,-0.05289189
