SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCO,OC(C)C(O)=O,-8.36569305,-2.00378842
COCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.83881673,0.32990831
COCCOCCOCCOCCO,OCC(O)C,-1.84339222,-0.37318217
COCCOCCOCCOCCO,O=C1CCO1,1.77826658,0.28516966
COCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.62889973,0.146312
COCCOCCOCCOCCO,CCOCC,1.23823185,0.23302936
COCCOCCOCCOCCO,OCC,-1.40230798,-0.21484322
COCCOCCOCCOCCO,CCCCCC=O,0.81421268,0.14573979
COCCOCCOCCOCCO,CO,-1.21315125,-0.16065892
COCCOCCOCCOCCO,OC(C)C,-1.11008213,-0.18181903
COCCOCCOCCOCCO,CC(C)=O,0.06875525,0.00155762
COCCOCCOCCOCCO,OCCC,-1.75182937,-0.29358945
COCCOCCOCCOCCO,OCCCC,-1.45358215,-0.23197457
COCCOCCOCCOCCO,OCCCCC,-1.33566249,-0.20267492
COCCOCCOCCOCCO,CC1OC1,0.23371976,0.0213693
COCCOCCOCCOCCO,CCC(C)(C)C,5.3166142,0.84330916
COCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.78804402,0.15341794
COCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.66735944,0.38427034
COCCOCCOCCOCCO,COC(C)(C)OC,0.88406344,0.17779155
COCCOCCOCCOCCO,CCC1(CC)CCCCC1,5.35745966,0.9730158
COCCOCCOCCOCCO,CCOC(C)(OCC)OCC,1.15696025,0.27499112
COCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,0.14645443,0.11724715
COCCOCCOCCOCCO,CCC(C)C,5.39611277,0.81084736
COCCOCCOCCOCCO,CC(=C)C=C,2.34637874,0.28504324
COCCOCCOCCOCCO,CC(=C)C#C,-2.41579555,-0.47583245
COCCOCCOCCOCCO,OCC(C)C,-2.15317092,-0.36203697
COCCOCCOCCOCCO,CC(C)C=O,0.52572159,0.07256068
COCCOCCOCCOCCO,CC(=C)C=O,0.59940885,0.09521771
COCCOCCOCCOCCO,CCC(O)C,-1.28665492,-0.21784184
COCCOCCOCCOCCO,CCC(C)=O,0.21191652,0.03146051
COCCOCCOCCOCCO,COC(C)=O,0.4031701,0.05758814
COCCOCCOCCOCCO,CC(C)C(C)C,5.38602066,0.86108604
COCCOCCOCCOCCO,CC(C)C(O)=O,-8.87166063,-1.92227595
COCCOCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.43374857,0.33361686
COCCOCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-6.43202164,-1.22562447
COCCOCCOCCOCCO,CCOC(C(O)(C)C)=O,0.02067684,0.00737954
COCCOCCOCCOCCO,COC(=O)C(C)=C,0.91915948,0.15908354
COCCOCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.76800235,-0.25081378
COCCOCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,0.97881507,0.22897507
COCCOCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.47955421,-0.00241458
COCCOCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,0.88776888,0.18894282
COCCOCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.16453377,0.26141642
COCCOCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.46289413,0.34139801
COCCOCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,1.7069733,0.33223268
COCCOCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,1.20836311,0.22326956
COCCOCCOCCOCCO,O=C2c1ccccc1CO2,0.90806174,0.17880699
COCCOCCOCCOCCO,OCC(O)C(O)C(O)CO,-1.95584416,-0.46999509
COCCOCCOCCOCCO,CCC(CC)C(O)=O,-8.68113056,-1.85442288
COCCOCCOCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-3.71147174,-0.72771019
COCCOCCOCCOCCO,COc1cc(C)ccc1C(C)(C)C,2.58199484,0.45327511
COCCOCCOCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,4.24861069,0.85085717
COCCOCCOCCOCCO,COC(=O)c1ccccc1C,1.25257778,0.23423276
COCCOCCOCCOCCO,CC(=O)c1ccc(C)cc1C,1.04602636,0.22479911
COCCOCCOCCOCCO,Cc2c1ccccc1ccc2,1.87129296,0.27809983
COCCOCCOCCOCCO,O=C2CCCCC2C1CCCCC1,1.6457592,0.36760258
COCCOCCOCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.65622803,0.14869838
COCCOCCOCCOCCO,CC(C=O)c1ccccc1,0.85854812,0.14589373
COCCOCCOCCOCCO,CCC(O)c1ccccc1,-4.40572692,-0.83614192
COCCOCCOCCOCCO,CCOC(=O)c1ccccc1,1.24926071,0.24104322
COCCOCCOCCOCCO,CC(OC(C)c2ccccc2)c1ccccc1,1.45767868,0.30298236
COCCOCCOCCOCCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.97301924,0.20838025
COCCOCCOCCOCCO,CCOC(=O)c(cc1)ccc1C,1.39199411,0.2827396
COCCOCCOCCOCCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-2.56224842,0.01231932
COCCOCCOCCOCCO,O=C(OCCc1ccccc1)c2ccccc2,1.29853535,0.26257383
COCCOCCOCCOCCO,CCCc2cc1OCOc1cc2,0.72169555,0.05873742
COCCOCCOCCOCCO,COC(C1CCC(CC1)C(OC)=O)=O,0.63894507,0.1367257
COCCOCCOCCOCCO,CCCC1CCCCC1=O,1.2465213,0.27213237
COCCOCCOCCOCCO,CCOc1ccc(C=CC)cc1O,-5.83787885,-0.91405065
COCCOCCOCCOCCO,CCCC(O)C(CO)CC,-0.43200398,-0.06148778
COCCOCCOCCOCCO,Cc(ccc1C)cc1C,2.65135946,0.41976144
COCCOCCOCCOCCO,CCOC(=O)C(OCC)=O,0.77884371,0.14989038
COCCOCCOCCOCCO,CC1OC(C(C)OC1=O)=O,-0.75966534,-0.22839035
COCCOCCOCCOCCO,CCCCC(=O)C(C)=O,0.89899991,0.14592179
COCCOCCOCCOCCO,C=CCOC(=O)C(C)=C,1.23410606,0.23076877
COCCOCCOCCOCCO,C1OC1c2ccccc2,0.97269857,0.15126811
COCCOCCOCCOCCO,CCC(C)CC,5.46171384,0.88421178
COCCOCCOCCOCCO,CCC(CC)=O,0.54417268,0.09962004
COCCOCCOCCOCCO,OCC(CO)=O,-1.87580055,-0.50931623
COCCOCCOCCOCCO,COC(=O)C=C,0.68749244,0.10735986
COCCOCCOCCOCCO,COC(CO)=O,-1.59254035,-0.33914831
COCCOCCOCCOCCO,CC1CCCC1,5.31843134,0.81523332
COCCOCCOCCOCCO,CC1CCCO1,0.58008426,0.11947257
COCCOCCOCCOCCO,O=C1CCCO1,0.6991102,0.13677707
COCCOCCOCCOCCO,CCCC(C)C(O)=O,-8.74413709,-1.88314491
COCCOCCOCCOCCO,CCOC(C(C)C)=O,1.17086584,0.22689511
COCCOCCOCCOCCO,CCOC(=O)C(C)=C,1.22685552,0.23319547
COCCOCCOCCOCCO,CCOC(C(O)C)=O,-0.51075392,-0.10826627
COCCOCCOCCOCCO,CC(C)C(OC(C(C)C)=O)=O,1.24805358,0.23821337
COCCOCCOCCOCCO,CC(C)COC(C(C)C)=O,1.71877501,0.36259095
COCCOCCOCCOCCO,CC(C)COC(=O)C(C)=C,1.68837138,0.34775439
COCCOCCOCCOCCO,CCCCOC(C(C)C)=O,1.6822086,0.35503486
COCCOCCOCCOCCO,CCCCOC(=O)C(C)=C,1.64299563,0.34118808
COCCOCCOCCOCCO,CCC(CC)C=O,1.1768255,0.21574502
COCCOCCOCCOCCO,OCC1CCCO1,-0.22139044,-0.04840772
COCCOCCOCCOCCO,OCc1occc1,-4.09932307,-0.82499162
COCCOCCOCCOCCO,O=Cc1occc1,0.41001094,0.05242267
COCCOCCOCCOCCO,CC(C)(C)c1ccccc1,2.58848142,0.4166779
COCCOCCOCCOCCO,OOC(C)(C)c(cc1)ccc1C(C)C,-6.1255164,-1.23546325
COCCOCCOCCOCCO,CC(C)(C)c(cc1)ccc1C,2.93281707,0.50790961
COCCOCCOCCOCCO,OC1CCC(CC1)C(C)(C)C,-0.5624514,-0.04361024
COCCOCCOCCOCCO,CC(C)(C)C1CCC(CC1)=O,0.99743145,0.22345821
COCCOCCOCCOCCO,CC(C)c1ccccc1,2.49719617,0.38700207
COCCOCCOCCOCCO,COC(=O)c(ccc1)cc1C,1.23340255,0.23643508
COCCOCCOCCOCCO,OC1CC(CC=C1C)C(C)=C,-2.24365133,-0.43621249
COCCOCCOCCOCCO,CC(C)c1cc(C(C)C)ccc1,3.12707585,0.56823863
COCCOCCOCCOCCO,CCCC(CCC)C(O)=O,-8.37397226,-1.79097076
COCCOCCOCCOCCO,CC(C=O)c(cc1)ccc1C,1.01413354,0.18653261
COCCOCCOCCOCCO,CC1CCC(C(C)C)CC1,5.41361535,1.00434266
COCCOCCOCCOCCO,CC(C)c(cc1)ccc1C,2.82630086,0.4737868
COCCOCCOCCOCCO,C=CC1CC=CCC1,2.91183759,0.44558562
COCCOCCOCCOCCO,CCc1ccccc1,2.30050579,0.33045659
COCCOCCOCCOCCO,C=Cc1ccccc1,1.58781264,0.19640777
COCCOCCOCCOCCO,OCC1CCCCC1,-1.65417573,-0.27049343
COCCOCCOCCOCCO,COc1ccccc1,1.15672555,0.14222346
COCCOCCOCCOCCO,OCC1CCCCO1,-0.24337973,-0.05624091
COCCOCCOCCOCCO,OCC(CO1)OC1(C)C,-1.14442797,-0.25607356
COCCOCCOCCOCCO,Cc1cc(C=C)ccc1,1.889857,0.26933289
COCCOCCOCCOCCO,COc(ccc1)cc1C,1.38671693,0.19826727
COCCOCCOCCOCCO,COC(=O)Cc1ccccc1,0.86535682,0.16251985
COCCOCCOCCOCCO,COC(OC)Cc1ccccc1,0.91548697,0.18810265
COCCOCCOCCOCCO,Cc2ccc(OC(=O)Cc1ccccc1)cc2,0.87979725,0.16929792
COCCOCCOCCOCCO,CC(C)COC(=O)Cc1ccccc1,1.09869751,0.22818679
COCCOCCOCCOCCO,O=C(OCc2ccccc2)Cc1ccccc1,0.87743161,0.17890163
COCCOCCOCCOCCO,CCc1cc(CC)cc(CC)c1,3.35381435,0.62283913
COCCOCCOCCOCCO,CC(=O)Oc(ccc1)cc1O,-10.07918437,-2.35330435
COCCOCCOCCOCCO,COC(OC)CC(OC)OC,0.66636732,0.14679013
COCCOCCOCCOCCO,CCCCC(CC)COC(C)=O,1.72902029,0.38770171
COCCOCCOCCOCCO,CCCCC(CC)COC(=O)C=C,1.90430093,0.42058549
COCCOCCOCCOCCO,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,1.84881019,0.44993784
COCCOCCOCCOCCO,COC(CCc1ccccc1)=O,0.9124291,0.17472335
COCCOCCOCCOCCO,CC(C)C(OCc1ccccc1)=O,1.09902236,0.2172782
COCCOCCOCCOCCO,CCCC(OCc1ccccc1)=O,1.07153485,0.2106259
COCCOCCOCCOCCO,CC(C)CC(OCc1ccccc1)=O,1.13348328,0.2273652
COCCOCCOCCOCCO,CC(OCCc1ccccc1)=O,0.94037305,0.18879126
COCCOCCOCCOCCO,CC(C)C(OCCc1ccccc1)=O,1.26698522,0.26341042
COCCOCCOCCOCCO,CC(C)C(OCCOc1ccccc1)=O,0.70449134,0.13231612
COCCOCCOCCOCCO,CCCc1ccccc1,2.4966269,0.389978
COCCOCCOCCOCCO,CC(C)C(=O)Oc(cc1)ccc1C,1.21945476,0.23871904
COCCOCCOCCOCCO,CCCc(cc1)ccc1OC,1.69356385,0.28160464
COCCOCCOCCOCCO,CCCCC1OC(CC1)=O,0.51737503,0.10765251
COCCOCCOCCOCCO,CCCCc1ccccc1,2.68120685,0.44767526
COCCOCCOCCOCCO,O=COCc1ccccc1,0.46997882,0.05942169
COCCOCCOCCOCCO,CCCCCC1OC(CC1)=O,0.61374546,0.13228639
COCCOCCOCCOCCO,O=COCCc1ccccc1,0.50923757,0.07279657
COCCOCCOCCOCCO,CCCCCCCC1OC(CC1)=O,0.82834782,0.1882122
COCCOCCOCCOCCO,CCCCC(CO)CC,-1.78888616,-0.26092872
COCCOCCOCCOCCO,COc(cc1)ccc1C,1.37158925,0.19686838
COCCOCCOCCOCCO,CC(C)COC(CCc1occc1)=O,0.90333211,0.17746932
COCCOCCOCCOCCO,CCc1ccc(CC)cc1,2.89894394,0.49065743
COCCOCCOCCOCCO,C=Cc1ccc(C=C)cc1,1.47612244,0.19692544
COCCOCCOCCOCCO,CCCC1OC(CC1)=O,0.43741225,0.08809032
COCCOCCOCCOCCO,OCC=C(C)C#C,-5.32082071,-1.10420685
COCCOCCOCCOCCO,CCCC(C)CO,-1.89160058,-0.30238083
COCCOCCOCCOCCO,CCCC(O)C#C,-7.75547705,-1.59109094
COCCOCCOCCOCCO,CCOC(CC)=O,0.82462587,0.14979311
COCCOCCOCCOCCO,CCC(OC=C)=O,1.02982039,0.15054035
COCCOCCOCCOCCO,CCC(C)CC(C)=O,0.92095452,0.19137338
COCCOCCOCCOCCO,CCC(C)CC(O)=O,-8.77319598,-1.90827454
COCCOCCOCCOCCO,CCC(C)OC(C)=O,1.02691013,0.20299248
COCCOCCOCCOCCO,CCOC(CC(OCC)=O)=O,0.47586351,0.08672375
COCCOCCOCCOCCO,CCOC(CCC)=O,1.11908405,0.21506986
COCCOCCOCCOCCO,CCOC(C)OCC,1.11971078,0.24441986
COCCOCCOCCOCCO,CCOC(OCC)=O,0.84138621,0.14788428
COCCOCCOCCOCCO,CCCOC(CCC)=O,1.36307122,0.27967591
COCCOCCOCCOCCO,CC(C)CCOC(CC)=O,1.52345601,0.32001655
COCCOCCOCCOCCO,CCCCOC(=O)C=CC(OCCCC)=O,0.64288209,0.13285995
COCCOCCOCCOCCO,O=C1OCCOC(CCCCCCCCCCC1)=O,0.77058919,0.17100941
COCCOCCOCCOCCO,CCCCCCCCCCCC(OCCCC)=O,2.59554381,0.61812527
COCCOCCOCCOCCO,OCCC(C)CCCC(C)C,-1.0399586,-0.10241678
COCCOCCOCCOCCO,CC(C)CCOC(CCC)=O,1.71257288,0.3734112
COCCOCCOCCOCCO,CCCCCCC(OCC)=O,1.65757786,0.3602346
COCCOCCOCCOCCO,CCCC(OC(CCC)=O)=O,1.01787172,0.19127519
COCCOCCOCCOCCO,CCCCCCCC(OCC)=O,1.80269558,0.40142739
COCCOCCOCCOCCO,CCCCC(CC)=O,1.00863509,0.21198648
COCCOCCOCCOCCO,CCCOC(CC)=O,1.10022489,0.21617634
COCCOCCOCCOCCO,CC(C)COC(=O)C=C,1.22056985,0.240752
COCCOCCOCCOCCO,CCCCCC(CC)=O,1.23378565,0.268784
COCCOCCOCCOCCO,CCCCCC(OC)=O,1.16563586,0.23283727
COCCOCCOCCOCCO,CC(CCC=C(C)C)C=O,1.37791174,0.28095905
COCCOCCOCCOCCO,CCCCCCC(OC)=O,1.36556552,0.28343624
COCCOCCOCCOCCO,CCOCCOC(=O)C=C,0.60934639,0.12664223
COCCOCCOCCOCCO,C=CC2CC1OC1CC2,1.06059531,0.1996953
COCCOCCOCCOCCO,C1OC1C3CC2OC2CC3,0.5324843,0.10798251
COCCOCCOCCOCCO,CCC1OC1,0.59208029,0.09154984
COCCOCCOCCOCCO,C=CC(OCC1OC1)=O,0.75713238,0.14374636
COCCOCCOCCOCCO,CC(=C)C(OCC1OC1)=O,0.71340865,0.13621137
COCCOCCOCCOCCO,C=CCOCC1OC1,0.60518503,0.11757094
COCCOCCOCCOCCO,O=CC=C,0.74159666,0.11099644
COCCOCCOCCOCCO,OCC=C,-3.62225227,-0.64291564
COCCOCCOCCOCCO,OCC#C,-7.26370045,-1.45786088
COCCOCCOCCOCCO,COC=O,0.28970894,0.01108303
COCCOCCOCCOCCO,CC(C)(C)CC(C)=C,4.24261399,0.72097623
COCCOCCOCCOCCO,CC(C)(C)C=C(C)C,4.34046008,0.74553282
COCCOCCOCCOCCO,OC(C)CC(O)(C)C,-0.17898738,-0.01652118
COCCOCCOCCOCCO,COC(C)(C)CC(C)=O,0.53188029,0.11337788
COCCOCCOCCOCCO,OCCC(C)CCCC(O)(C)C,-1.09474034,-0.23185419
COCCOCCOCCOCCO,OC(C)(C)CCCC(C)CC=O,-0.58215484,-0.12638453
COCCOCCOCCOCCO,CCCC(C)C,5.44989794,0.88915805
COCCOCCOCCOCCO,CC(C)=CC=O,0.39146678,0.07982554
COCCOCCOCCOCCO,CCCC(C)=O,0.40637617,0.07579236
COCCOCCOCCOCCO,OCCC(O)C,-0.49797585,-0.08396853
COCCOCCOCCOCCO,COCC(O)C,-0.31868707,-0.07196509
COCCOCCOCCOCCO,CC(OC=C)=O,0.76051997,0.09714144
COCCOCCOCCOCCO,CC(C)CC(C)C,5.38489388,0.91956062
COCCOCCOCCOCCO,CC(C)CC(C)=O,0.69752938,0.13771457
COCCOCCOCCOCCO,OC(C)CC(C)C,-1.15732028,-0.1695447
COCCOCCOCCOCCO,CC(C)OC(C)C,1.50483595,0.32940773
COCCOCCOCCOCCO,CC(C)OC(C)=O,0.78030504,0.14428831
COCCOCCOCCOCCO,CC(OC(C)=C)=O,0.83276748,0.13948635
COCCOCCOCCOCCO,CC(OC(C)=O)=O,0.86932923,0.14715654
COCCOCCOCCOCCO,O=C1C=CC(O1)=C,0.45870767,0.04148135
COCCOCCOCCOCCO,CC1OC(CC1)=O,0.45513609,0.08873385
COCCOCCOCCOCCO,CC1OC(OC1)=O,1.02811477,0.183747
COCCOCCOCCOCCO,Cc1cc(C)ccc1,2.41617903,0.35374834
COCCOCCOCCOCCO,C=Cc1cc(C=C)ccc1,1.51779173,0.20654827
COCCOCCOCCOCCO,COC(CC(OC)=O)=O,0.56610551,0.10147147
COCCOCCOCCOCCO,CCOC(CC(C)C)=O,1.30931555,0.26024751
COCCOCCOCCOCCO,COCC(C)OC(C)=O,0.61361947,0.12560892
COCCOCCOCCOCCO,Cc1cc(C)cc(C)c1,2.76267792,0.44446847
COCCOCCOCCOCCO,CC(C)CC(O)CC(C)C,-0.70290803,-0.04051349
COCCOCCOCCOCCO,CC(C)CC(CC(C)C)=O,1.7339641,0.37229996
COCCOCCOCCOCCO,CC(C)CC(C)OC(C)=O,1.40398725,0.29798114
COCCOCCOCCOCCO,CC1CCCCC1,5.40333305,0.87221351
COCCOCCOCCOCCO,Cc1ccccc1,2.06562709,0.26771442
COCCOCCOCCOCCO,O=C1CCCCC1,0.34240551,0.06453271
COCCOCCOCCOCCO,O=C1C=COC=C1,0.89375883,0.17628216
COCCOCCOCCOCCO,CCCCOC(CC(C)C)=O,1.73919114,0.37969416
COCCOCCOCCOCCO,CCCCOC(CCC)=O,1.58276999,0.33407857
COCCOCCOCCOCCO,O=C1CCCCCCCCCCCCCCCO1,2.10852948,0.48646633
COCCOCCOCCOCCO,CC(CCC=C)=O,0.52366969,0.09692578
COCCOCCOCCOCCO,CCC#CC(O)C,-3.87305125,-0.72022272
COCCOCCOCCOCCO,CCCCC(O)=O,-8.59809625,-1.8701123
COCCOCCOCCOCCO,CC(C)COC=C,2.21740721,0.33398583
COCCOCCOCCOCCO,OCCOC(C)C,-0.02110864,-0.00255332
COCCOCCOCCOCCO,CCCOC(C)=O,0.73893564,0.13726248
COCCOCCOCCOCCO,CCCCC,5.45421481,0.83426565
COCCOCCOCCOCCO,CCCC=C,3.56532845,0.50476105
COCCOCCOCCOCCO,COCCO,-0.70673375,-0.15375426
COCCOCCOCCOCCO,COCOC,0.26936818,0.03999052
COCCOCCOCCOCCO,CCOC=C,1.2291542,0.14156959
COCCOCCOCCOCCO,C=COC=C,-0.14974209,-0.15372598
COCCOCCOCCOCCO,CCOC=O,0.14550777,-0.00485938
COCCOCCOCCOCCO,O1CCCC1,-0.03489799,-0.00866987
COCCOCCOCCOCCO,c1cocc1,-0.53033369,-0.22133523
COCCOCCOCCOCCO,CC(C)(C)OOC(C)(C)C,2.68621089,0.54287135
COCCOCCOCCOCCO,CC(C)CCC(C)=O,0.82264713,0.17180809
COCCOCCOCCOCCO,CC(C)COC(C)=O,0.99395619,0.19625568
COCCOCCOCCOCCO,CCCCCCOC(CCCCC(OCCCCCC)=O)=O,1.48378088,0.35945479
COCCOCCOCCOCCO,CCCCCCCCOC(CCC)=O,2.19022712,0.5043723
COCCOCCOCCOCCO,CCCCCCCCCC(C)C=O,2.22589212,0.50225471
COCCOCCOCCOCCO,CCCCCC(C)=O,0.85532243,0.18205437
COCCOCCOCCOCCO,CC(C)CCOC=O,0.61171064,0.09781753
COCCOCCOCCOCCO,COCCOC(C)=O,0.46271001,0.09501932
COCCOCCOCCOCCO,CCCCCC,5.48977241,0.90705672
COCCOCCOCCOCCO,CCCCC=O,0.60603183,0.09870217
COCCOCCOCCOCCO,COCCOC,0.15509217,0.03205782
COCCOCCOCCOCCO,CCCOC=O,0.26518558,0.02076747
COCCOCCOCCOCCO,OCCOCC,-0.48957537,-0.11100465
COCCOCCOCCOCCO,C1CC=CCC1,3.66430345,0.51572562
COCCOCCOCCOCCO,C1OC=CCC1,1.0902395,0.13648725
COCCOCCOCCOCCO,CC(CCC=C(C)C)=O,0.84188634,0.17697251
COCCOCCOCCOCCO,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,5.20577312,1.14654785
COCCOCCOCCOCCO,CCCCCCCC(OC)=O,1.52121998,0.32787689
COCCOCCOCCOCCO,CCCCCC#CC(OC)=O,1.16907205,0.22774917
COCCOCCOCCOCCO,CCOCCOC(C)=O,0.5192949,0.10789515
COCCOCCOCCOCCO,OCCCCCC,-1.37946605,-0.20482746
COCCOCCOCCOCCO,O=CCCCC=O,0.88088156,0.18327198
COCCOCCOCCOCCO,COCCCCO,0.04479608,0.0076793
COCCOCCOCCOCCO,CCCCOC=C,2.03238877,0.31676817
COCCOCCOCCOCCO,CCOCCCO,-0.00656254,-0.01100317
COCCOCCOCCOCCO,CCCOCCC,2.51061609,0.50915415
COCCOCCOCCOCCO,OCCOCC=C,-0.61831794,-0.12860223
COCCOCCOCCOCCO,CC(OCCOC(C)=O)=O,0.62550219,0.13251124
COCCOCCOCCOCCO,CCCCCCCCC=CCCCCCCCC(OCC)=O,2.53067216,0.60170827
COCCOCCOCCOCCO,CCCCCCCC,5.49904027,1.00909578
COCCOCCOCCOCCO,CCCCCCC=C,4.11051754,0.72563795
COCCOCCOCCOCCO,OCCCCCCC,-1.26229447,-0.17279791
COCCOCCOCCOCCO,CCCCCCC=O,1.03812941,0.20005244
COCCOCCOCCOCCO,OCCOCCCC,0.0968047,0.03533663
COCCOCCOCCOCCO,COCCOCCO,-0.07137649,-0.01590802
COCCOCCOCCOCCO,C1C=CCCC=CC1,2.63466498,0.39930041
COCCOCCOCCOCCO,CCCCCCC#CC(OC)=O,1.27997617,0.25724373
COCCOCCOCCOCCO,CCCCCCCCC,5.52518556,1.05281144
COCCOCCOCCOCCO,OCCOCCOCC,-0.00061985,0.00193698
COCCOCCOCCOCCO,COCCOCCOC,0.01052132,0.00458596
COCCOCCOCCOCCO,CCCCCCCOC(C)=O,1.48865949,0.33093914
COCCOCCOCCOCCO,CCCCOCCOC(C)=O,0.68664039,0.15268358
COCCOCCOCCOCCO,CCCCCCCCOC(C)=O,1.63571055,0.36950061
COCCOCCOCCOCCO,CCCCCCCOC=O,1.02905076,0.20323337
COCCOCCOCCOCCO,OCCOCCCCCC,0.418791,0.11818673
COCCOCCOCCOCCO,CCCCCCCCOC=O,1.21624651,0.25190067
COCCOCCOCCOCCO,OCCOCCOCCCC,0.2094149,0.05355791
COCCOCCOCCOCCO,COCCOCCOCCO,-0.0069197,-0.00146758
COCCOCCOCCOCCO,CCOCCOCCOCC,0.15817933,0.04442371
COCCOCCOCCOCCO,CCCCCCCCCCC=C,4.4467153,0.8962997
COCCOCCOCCOCCO,CCCCOCCOCCCC,1.38330173,0.34188266
