SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCOC,OC(C)C(O)=O,-11.1678648,-2.7559005
COCCOCCOCCOCCOC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.02736961,0.00975416
COCCOCCOCCOCCOC,OCC(O)C,-3.03637153,-0.61898398
COCCOCCOCCOCCOC,O=C1CCO1,1.19524798,0.16260462
COCCOCCOCCOCCOC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.38308851,-0.0925519
COCCOCCOCCOCCOC,CCOCC,0.70518744,0.12471846
COCCOCCOCCOCCOC,OCC,-2.50621297,-0.3850635
COCCOCCOCCOCCOC,CCCCCC=O,-0.09088582,-0.02427007
COCCOCCOCCOCCOC,CO,-2.13130611,-0.29765363
COCCOCCOCCOCCOC,OC(C)C,-2.21696648,-0.36417368
COCCOCCOCCOCCOC,CC(C)=O,-0.29041561,-0.06470913
COCCOCCOCCOCCOC,OCCC,-3.12028382,-0.52441255
COCCOCCOCCOCCOC,OCCCC,-2.84470112,-0.47188189
COCCOCCOCCOCCOC,OCCCCC,-2.80118599,-0.46346357
COCCOCCOCCOCCOC,CC1OC1,-0.37393965,-0.07987492
COCCOCCOCCOCCOC,CCC(C)(C)C,3.50292207,0.64020438
COCCOCCOCCOCCOC,CC(C)(C)C(C)=O,0.14092717,0.02628868
COCCOCCOCCOCCOC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.76414058,0.18581845
COCCOCCOCCOCCOC,COC(C)(C)OC,0.33672266,0.06500715
COCCOCCOCCOCCOC,CCC1(CC)CCCCC1,3.56743415,0.75037294
COCCOCCOCCOCCOC,CCOC(C)(OCC)OCC,0.65699803,0.1553683
COCCOCCOCCOCCOC,CC(C)CCCC(O)(C)CC,-1.18890393,-0.14422252
COCCOCCOCCOCCOC,CCC(C)C,3.5721188,0.61490493
COCCOCCOCCOCCOC,CC(=C)C=C,0.47526901,0.06884294
COCCOCCOCCOCCOC,CC(=C)C#C,-4.64082636,-0.78511251
COCCOCCOCCOCCOC,OCC(C)C,-3.74869631,-0.64113306
COCCOCCOCCOCCOC,CC(C)C=O,-0.28387936,-0.06326279
COCCOCCOCCOCCOC,CC(=C)C=O,-0.15292637,-0.0364875
COCCOCCOCCOCCOC,CCC(O)C,-2.60007249,-0.45002777
COCCOCCOCCOCCOC,CCC(C)=O,-0.27304007,-0.06057306
