SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCOCCO,OC(C)C(O)=O,-10.57716787,-2.39367317
COCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.86912226,0.30586241
COCCOCCOCCOCCOCCO,OCC(O)C,-2.57990111,-0.49428949
COCCOCCOCCOCCOCCO,O=C1CCO1,1.73484854,0.22813491
COCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.55648069,0.11388328
COCCOCCOCCOCCOCCO,CCOCC,1.37901198,0.22373009
COCCOCCOCCOCCOCCO,OCC,-2.02556007,-0.29078545
COCCOCCOCCOCCOCCO,CCCCCC=O,0.75315486,0.10840666
COCCOCCOCCOCCOCCO,CO,-1.7913184,-0.2278262
COCCOCCOCCOCCOCCO,OC(C)C,-1.65552217,-0.25681256
COCCOCCOCCOCCOCCO,CC(C)=O,-0.09628214,-0.03803707
COCCOCCOCCOCCOCCO,OCCC,-2.48662409,-0.38976517
COCCOCCOCCOCCOCCO,OCCCC,-2.11723412,-0.32127332
COCCOCCOCCOCCOCCO,OCCCCC,-1.97873869,-0.28988212
COCCOCCOCCOCCOCCO,CC1OC1,0.07027983,-0.02222036
COCCOCCOCCOCCOCCO,CCC(C)(C)C,6.05782126,0.86876407
COCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.78705381,0.13084821
COCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.87167615,0.40259983
COCCOCCOCCOCCOCCO,COC(C)(C)OC,0.94785052,0.16618991
COCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,6.13828251,1.03454268
COCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,1.33249484,0.29327339
COCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-0.1137101,0.08774448
COCCOCCOCCOCCOCCO,CCC(C)C,6.14430128,0.82704601
COCCOCCOCCOCCOCCO,CC(=C)C=C,2.42033439,0.24558152
COCCOCCOCCOCCOCCO,CC(=C)C#C,-3.49579206,-0.60031863
COCCOCCOCCOCCOCCO,OCC(C)C,-3.00753284,-0.4723357
COCCOCCOCCOCCOCCO,CC(C)C=O,0.38947849,0.02708701
COCCOCCOCCOCCOCCO,CC(=C)C=O,0.46952701,0.0519638
