SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCOCCOC,OC(C)C(O)=O,-12.34676002,-2.78938845
COCCOCCOCCOCCOCCOC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.1288324,0.0321034
COCCOCCOCCOCCOCCOC,OCC(O)C,-3.40923126,-0.64678552
COCCOCCOCCOCCOCCOC,O=C1CCO1,1.26446654,0.13755884
COCCOCCOCCOCCOCCOC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.39102627,-0.09618352
COCCOCCOCCOCCOCCOC,CCOCC,0.80840867,0.12512811
COCCOCCOCCOCCOCCOC,OCC,-2.82436002,-0.39954847
COCCOCCOCCOCCOCCOC,CCCCCC=O,-0.12260382,-0.03400452
COCCOCCOCCOCCOCCOC,CO,-2.41447175,-0.30876644
COCCOCCOCCOCCOCCOC,OC(C)C,-2.48644387,-0.38018259
COCCOCCOCCOCCOCCOC,CC(C)=O,-0.44719455,-0.09459724
COCCOCCOCCOCCOCCOC,OCCC,-3.49756376,-0.54284846
COCCOCCOCCOCCOCCOC,OCCCC,-3.16121439,-0.48478196
COCCOCCOCCOCCOCCOC,OCCCCC,-3.08888672,-0.47111323
COCCOCCOCCOCCOCCOC,CC1OC1,-0.52475097,-0.10731142
COCCOCCOCCOCCOCCOC,CCC(C)(C)C,4.18569903,0.69208797
COCCOCCOCCOCCOCCOC,CC(C)(C)C(C)=O,0.14242517,0.02076406
COCCOCCOCCOCCOCCOC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.96486722,0.22274052
COCCOCCOCCOCCOCCOC,COC(C)(C)OC,0.38268248,0.06463278
COCCOCCOCCOCCOCCOC,CCC1(CC)CCCCC1,4.29043905,0.83562785
COCCOCCOCCOCCOCCOC,CCOC(C)(OCC)OCC,0.80364935,0.17913156
COCCOCCOCCOCCOCCOC,CC(C)CCCC(O)(C)CC,-1.19881464,-0.11505161
COCCOCCOCCOCCOCCOC,CCC(C)C,4.25809602,0.65767803
COCCOCCOCCOCCOCCOC,CC(=C)C=C,0.57470467,0.06738762
COCCOCCOCCOCCOCCOC,CC(=C)C#C,-5.44031814,-0.83256531
COCCOCCOCCOCCOCCOC,OCC(C)C,-4.20999109,-0.66244827
COCCOCCOCCOCCOCCOC,CC(C)C=O,-0.39405796,-0.08511797
COCCOCCOCCOCCOCCOC,CC(=C)C=O,-0.23636259,-0.05525725
COCCOCCOCCOCCOCCOC,CCC(O)C,-2.90846744,-0.46773594
COCCOCCOCCOCCOCCOC,CCC(C)=O,-0.39071623,-0.08368035
COCCOCCOCCOCCOCCOC,COC(C)=O,-0.4156538,-0.08917604
COCCOCCOCCOCCOCCOC,CC(C)C(C)C,4.2706616,0.71188506
COCCOCCOCCOCCOCCOC,CC(C)C(O)=O,-13.27102277,-2.63365729
COCCOCCOCCOCCOCCOC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.61103322,0.14824963
COCCOCCOCCOCCOCCOC,OOC(C)(C)C(CC1)CCC1C,-10.37534004,-1.82891655
COCCOCCOCCOCCOCCOC,CCOC(C(O)(C)C)=O,-0.9114478,-0.18019537
COCCOCCOCCOCCOCCOC,COC(=O)C(C)=C,-0.08850152,-0.02390301
COCCOCCOCCOCCOCCOC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-3.008671,-0.71059576
COCCOCCOCCOCCOCCOC,COc2cccc3c2C(=O)c1ccccc1C3=O,0.20062504,0.04587912
COCCOCCOCCOCCOCCOC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-2.45607202,-0.34868522
COCCOCCOCCOCCOCCOC,CCOC(=O)c1ccccc1C(OCC)=O,-0.16209697,-0.03822144
COCCOCCOCCOCCOCCOC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.076177,0.02075476
COCCOCCOCCOCCOCCOC,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.37095405,0.10133534
COCCOCCOCCOCCOCCOC,CC(C)CCOC(=O)c1ccccc1O,0.27027088,0.06438421
COCCOCCOCCOCCOCCOC,Oc2ccccc2C(OCCc1ccccc1)=O,-0.36086271,-0.08499643
COCCOCCOCCOCCOCCOC,O=C2c1ccccc1CO2,0.0876479,-0.00572378
COCCOCCOCCOCCOCCOC,OCC(O)C(O)C(O)CO,-3.52892449,-0.81707279
COCCOCCOCCOCCOCCOC,CCC(CC)C(O)=O,-13.17327922,-2.58543046
COCCOCCOCCOCCOCCOC,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-6.6647964,-1.2410869
COCCOCCOCCOCCOCCOC,COc1cc(C)ccc1C(C)(C)C,0.98011736,0.20946729
COCCOCCOCCOCCOCCOC,CC2CCC(CC1=C2CCC1C)=C(C)C,3.02771886,0.68489008
COCCOCCOCCOCCOCCOC,COC(=O)c1ccccc1C,0.05667992,0.00998101
COCCOCCOCCOCCOCCOC,CC(=O)c1ccc(C)cc1C,0.26073101,0.05529942
COCCOCCOCCOCCOCCOC,Cc2c1ccccc1ccc2,0.10931907,0.01552738
COCCOCCOCCOCCOCCOC,O=C2CCCCC2C1CCCCC1,1.03733434,0.2284802
COCCOCCOCCOCCOCCOC,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.28832951,-0.07241638
COCCOCCOCCOCCOCCOC,CC(C=O)c1ccccc1,-0.35425272,-0.0814334
COCCOCCOCCOCCOCCOC,CCC(O)c1ccccc1,-7.57312546,-1.33181403
COCCOCCOCCOCCOCCOC,CCOC(=O)c1ccccc1,0.12022267,0.02457379
COCCOCCOCCOCCOCCOC,CC(OC(C)c2ccccc2)c1ccccc1,0.20513306,0.0476398
COCCOCCOCCOCCOCCOC,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.3886762,-0.09496581
COCCOCCOCCOCCOCCOC,CCOC(=O)c(cc1)ccc1C,0.33752895,0.07393925
COCCOCCOCCOCCOCCOC,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.27477679,0.07223143
COCCOCCOCCOCCOCCOC,O=C(OCCc1ccccc1)c2ccccc2,-0.01769615,-0.0042361
COCCOCCOCCOCCOCCOC,CCCc2cc1OCOc1cc2,-1.19145821,-0.27020804
COCCOCCOCCOCCOCCOC,COC(C1CCC(CC1)C(OC)=O)=O,-0.20919037,-0.05109481
COCCOCCOCCOCCOCCOC,CCCC1CCCCC1=O,0.66456729,0.13986643
COCCOCCOCCOCCOCCOC,CCOc1ccc(C=CC)cc1O,-9.83532412,-1.46648916
COCCOCCOCCOCCOCCOC,CCCC(O)C(CO)CC,-1.71156431,-0.29545697
COCCOCCOCCOCCOCCOC,Cc(ccc1C)cc1C,1.03369054,0.19370773
COCCOCCOCCOCCOCCOC,CCOC(=O)C(OCC)=O,-0.22059953,-0.0513109
COCCOCCOCCOCCOCCOC,CC1OC(C(C)OC1=O)=O,-2.2623649,-0.57812494
COCCOCCOCCOCCOCCOC,CCCCC(=O)C(C)=O,-0.37117688,-0.08625604
COCCOCCOCCOCCOCCOC,C=CCOC(=O)C(C)=C,0.11229166,0.02090987
COCCOCCOCCOCCOCCOC,C1OC1c2ccccc2,-0.35437462,-0.07996647
COCCOCCOCCOCCOCCOC,CCC(C)CC,4.36238888,0.73700091
COCCOCCOCCOCCOCCOC,CCC(CC)=O,-0.11978896,-0.03247766
COCCOCCOCCOCCOCCOC,OCC(CO)=O,-3.51683574,-0.91803569
COCCOCCOCCOCCOCCOC,COC(=O)C=C,-0.35884326,-0.07696065
COCCOCCOCCOCCOCCOC,COC(CO)=O,-3.1823706,-0.64212945
COCCOCCOCCOCCOCCOC,CC1CCCC1,4.17953806,0.66071325
COCCOCCOCCOCCOCCOC,CC1CCCO1,0.39553463,0.05915403
COCCOCCOCCOCCOCCOC,O=C1CCCO1,0.24223854,0.03441482
COCCOCCOCCOCCOCCOC,CCCC(C)C(O)=O,-13.26046287,-2.6258703
COCCOCCOCCOCCOCCOC,CCOC(C(C)C)=O,0.32213113,0.05933885
COCCOCCOCCOCCOCCOC,CCOC(=O)C(C)=C,0.30626859,0.05664863
COCCOCCOCCOCCOCCOC,CCOC(C(O)C)=O,-1.68924686,-0.3358175
COCCOCCOCCOCCOCCOC,CC(C)C(OC(C(C)C)=O)=O,0.1237,0.0256748
COCCOCCOCCOCCOCCOC,CC(C)COC(C(C)C)=O,0.95603866,0.20231105
COCCOCCOCCOCCOCCOC,CC(C)COC(=O)C(C)=C,0.81150489,0.17085428
COCCOCCOCCOCCOCCOC,CCCCOC(C(C)C)=O,0.88875312,0.18927508
COCCOCCOCCOCCOCCOC,CCCCOC(=O)C(C)=C,0.78085965,0.16517898
COCCOCCOCCOCCOCCOC,CCC(CC)C=O,0.29680169,0.05024106
COCCOCCOCCOCCOCCOC,OCC1CCCO1,-0.85488011,-0.17594934
COCCOCCOCCOCCOCCOC,OCc1occc1,-6.842347,-1.26317606
COCCOCCOCCOCCOCCOC,O=Cc1occc1,-0.47052139,-0.14687348
COCCOCCOCCOCCOCCOC,CC(C)(C)c1ccccc1,0.94962562,0.18184262
COCCOCCOCCOCCOCCOC,OOC(C)(C)c(cc1)ccc1C(C)C,-9.99751785,-1.87624075
COCCOCCOCCOCCOCCOC,CC(C)(C)c(cc1)ccc1C,1.37895567,0.28254663
COCCOCCOCCOCCOCCOC,OC1CCC(CC1)C(C)(C)C,-2.11968766,-0.30737296
COCCOCCOCCOCCOCCOC,CC(C)(C)C1CCC(CC1)=O,0.46285183,0.09907755
COCCOCCOCCOCCOCCOC,CC(C)c1ccccc1,0.8299105,0.15205239
COCCOCCOCCOCCOCCOC,COC(=O)c(ccc1)cc1C,0.09331576,0.01829172
COCCOCCOCCOCCOCCOC,OC1CC(CC=C1C)C(C)=C,-4.57337424,-0.84060305
COCCOCCOCCOCCOCCOC,CC(C)c1cc(C(C)C)ccc1,1.62409976,0.34721218
COCCOCCOCCOCCOCCOC,CCCC(CCC)C(O)=O,-12.87999957,-2.54170035
COCCOCCOCCOCCOCCOC,CC(C=O)c(cc1)ccc1C,-0.16689716,-0.0402425
COCCOCCOCCOCCOCCOC,CC1CCC(C(C)C)CC1,4.36878373,0.8715181
COCCOCCOCCOCCOCCOC,CC(C)c(cc1)ccc1C,1.242358,0.24642282
COCCOCCOCCOCCOCCOC,C=CC1CC=CCC1,1.3222735,0.22851036
COCCOCCOCCOCCOCCOC,CCc1ccccc1,0.5883189,0.0962621
COCCOCCOCCOCCOCCOC,C=Cc1ccccc1,-0.25833855,-0.06236777
COCCOCCOCCOCCOCCOC,OCC1CCCCC1,-3.6454812,-0.58926588
COCCOCCOCCOCCOCCOC,COc1ccccc1,-0.49082467,-0.10776102
COCCOCCOCCOCCOCCOC,OCC1CCCCO1,-1.11868074,-0.2408455
COCCOCCOCCOCCOCCOC,OCC(CO1)OC1(C)C,-2.51799573,-0.53885025
COCCOCCOCCOCCOCCOC,Cc1cc(C=C)ccc1,0.11097894,0.01254981
COCCOCCOCCOCCOCCOC,COc(ccc1)cc1C,-0.20868738,-0.05264758
COCCOCCOCCOCCOCCOC,COC(=O)Cc1ccccc1,-0.26561435,-0.06130171
COCCOCCOCCOCCOCCOC,COC(OC)Cc1ccccc1,-0.06947202,-0.01733853
COCCOCCOCCOCCOCCOC,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.46662049,-0.11346257
COCCOCCOCCOCCOCCOC,CC(C)COC(=O)Cc1ccccc1,-0.00227975,-0.00194242
COCCOCCOCCOCCOCCOC,O=C(OCc2ccccc2)Cc1ccccc1,-0.37156631,-0.08985099
COCCOCCOCCOCCOCCOC,CCc1cc(CC)cc(CC)c1,1.91388502,0.41438771
COCCOCCOCCOCCOCCOC,CC(=O)Oc(ccc1)cc1O,-14.85118897,-3.23028073
COCCOCCOCCOCCOCCOC,COC(OC)CC(OC)OC,0.0204687,0.00265226
COCCOCCOCCOCCOCCOC,CCCCC(CC)COC(C)=O,0.98397932,0.22477207
COCCOCCOCCOCCOCCOC,CCCCC(CC)COC(=O)C=C,0.97675634,0.22942638
COCCOCCOCCOCCOCCOC,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,1.13376621,0.29369466
COCCOCCOCCOCCOCCOC,COC(CCc1ccccc1)=O,-0.22575045,-0.05398779
COCCOCCOCCOCCOCCOC,CC(C)C(OCc1ccccc1)=O,-0.05826122,-0.01643933
COCCOCCOCCOCCOCCOC,CCCC(OCc1ccccc1)=O,-0.11146621,-0.02910214
COCCOCCOCCOCCOCCOC,CC(C)CC(OCc1ccccc1)=O,-0.08349934,-0.02028836
COCCOCCOCCOCCOCCOC,CC(OCCc1ccccc1)=O,-0.11958298,-0.02883142
COCCOCCOCCOCCOCCOC,CC(C)C(OCCc1ccccc1)=O,0.14268598,0.03305235
COCCOCCOCCOCCOCCOC,CC(C)C(OCCOc1ccccc1)=O,-0.57049071,-0.13929961
COCCOCCOCCOCCOCCOC,CCCc1ccccc1,0.83305565,0.15358132
COCCOCCOCCOCCOCCOC,CC(C)C(=O)Oc(cc1)ccc1C,0.02887472,0.00406916
COCCOCCOCCOCCOCCOC,CCCc(cc1)ccc1OC,0.14309271,0.02196689
COCCOCCOCCOCCOCCOC,CCCCC1OC(CC1)=O,-0.2179693,-0.05105852
COCCOCCOCCOCCOCCOC,CCCCc1ccccc1,1.06509824,0.21162204
COCCOCCOCCOCCOCCOC,O=COCc1ccccc1,-0.87394445,-0.20086279
COCCOCCOCCOCCOCCOC,CCCCCC1OC(CC1)=O,-0.13909727,-0.03374499
COCCOCCOCCOCCOCCOC,O=COCCc1ccccc1,-0.83305171,-0.19058884
COCCOCCOCCOCCOCCOC,CCCCCCCC1OC(CC1)=O,0.0549936,0.01218606
COCCOCCOCCOCCOCCOC,CCCCC(CO)CC,-4.00834076,-0.61118279
COCCOCCOCCOCCOCCOC,COc(cc1)ccc1C,-0.21451751,-0.0541854
COCCOCCOCCOCCOCCOC,CC(C)COC(CCc1occc1)=O,-0.36621204,-0.08535537
COCCOCCOCCOCCOCCOC,CCc1ccc(CC)cc1,1.33244052,0.26562312
COCCOCCOCCOCCOCCOC,C=Cc1ccc(C=C)cc1,-0.37860158,-0.08833851
COCCOCCOCCOCCOCCOC,CCCC1OC(CC1)=O,-0.25527726,-0.05842651
COCCOCCOCCOCCOCCOC,OCC=C(C)C#C,-8.54595387,-1.62135674
COCCOCCOCCOCCOCCOC,CCCC(C)CO,-4.01464321,-0.63372236
COCCOCCOCCOCCOCCOC,CCCC(O)C#C,-11.93310817,-2.24221152
