SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-12.9893456,-2.74990859
COCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.91317797,0.29979422
COCCOCCOCCOCCOCCOCCO,OCC(O)C,-3.42997296,-0.61975813
COCCOCCOCCOCCOCCOCCO,O=C1CCO1,1.73192143,0.18324839
COCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.52478584,0.09740418
COCCOCCOCCOCCOCCOCCO,CCOCC,1.56196987,0.22129299
COCCOCCOCCOCCOCCOCCO,OCC,-2.75958046,-0.37327521
COCCOCCOCCOCCOCCOCCO,CCCCCC=O,0.73657506,0.08750554
COCCOCCOCCOCCOCCOCCO,CO,-2.52576294,-0.30981271
COCCOCCOCCOCCOCCOCCO,OC(C)C,-2.28227337,-0.33274374
COCCOCCOCCOCCOCCOCCO,CC(C)=O,-0.23349223,-0.06843574
COCCOCCOCCOCCOCCOCCO,OCCC,-3.30152468,-0.4830812
COCCOCCOCCOCCOCCOCCO,OCCCC,-2.84700216,-0.40589217
COCCOCCOCCOCCOCCOCCO,OCCCCC,-2.67785139,-0.37021982
COCCOCCOCCOCCOCCOCCO,CC1OC1,-0.05599345,-0.05345979
COCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,6.79780193,0.90129251
COCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.82832998,0.12014721
COCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.11729254,0.43001799
COCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.04854922,0.16242076
COCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,6.91763315,1.09988652
COCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,1.54279699,0.31567114
COCCOCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-0.40086594,0.06574546
COCCOCCOCCOCCOCCOCCO,CCC(C)C,6.89093034,0.8511434
COCCOCCOCCOCCOCCOCCO,CC(=C)C=C,2.50303825,0.22280493
COCCOCCOCCOCCOCCOCCO,CC(=C)C#C,-4.51383176,-0.69220094
COCCOCCOCCOCCOCCOCCO,OCC(C)C,-3.91624688,-0.57191381
COCCOCCOCCOCCOCCOCCO,CC(C)C=O,0.29727225,-0.00245023
COCCOCCOCCOCCOCCOCCO,CC(=C)C=O,0.37672991,0.02217576
COCCOCCOCCOCCOCCOCCO,CCC(O)C,-2.57294218,-0.38602757
COCCOCCOCCOCCOCCOCCO,CCC(C)=O,-0.01224219,-0.03117115
COCCOCCOCCOCCOCCOCCO,COC(C)=O,0.09324181,-0.0246154
COCCOCCOCCOCCOCCOCCO,CC(C)C(C)C,6.89944164,0.92420884
COCCOCCOCCOCCOCCOCCO,CC(C)C(O)=O,-13.73462803,-2.50571132
COCCOCCOCCOCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.75194919,0.36613443
COCCOCCOCCOCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-10.25668035,-1.60953672
COCCOCCOCCOCCOCCOCCO,CCOC(C(O)(C)C)=O,-0.37952996,-0.07460173
COCCOCCOCCOCCOCCOCCO,COC(=O)C(C)=C,0.81563935,0.09735305
COCCOCCOCCOCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.85183283,-0.49673132
COCCOCCOCCOCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,0.96727507,0.200215
COCCOCCOCCOCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.3949662,-0.04074705
COCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,0.79916736,0.13794027
COCCOCCOCCOCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.25847571,0.25072339
COCCOCCOCCOCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.71066933,0.37407184
COCCOCCOCCOCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,1.84022547,0.3093804
COCCOCCOCCOCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,1.07884202,0.15406234
COCCOCCOCCOCCOCCOCCO,O=C2c1ccccc1CO2,0.68536613,0.09064007
COCCOCCOCCOCCOCCOCCO,OCC(O)C(O)C(O)CO,-3.53963666,-0.79191431
COCCOCCOCCOCCOCCOCCO,CCC(CC)C(O)=O,-13.47939072,-2.41987621
COCCOCCOCCOCCOCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-6.17492233,-1.04711139
COCCOCCOCCOCCOCCOCCO,COc1cc(C)ccc1C(C)(C)C,2.97472996,0.45800599
COCCOCCOCCOCCOCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,5.4058217,0.99071452
COCCOCCOCCOCCOCCOCCO,COC(=O)c1ccccc1C,1.24104119,0.18440762
COCCOCCOCCOCCOCCOCCO,CC(=O)c1ccc(C)cc1C,1.15199508,0.20580998
COCCOCCOCCOCCOCCOCCO,Cc2c1ccccc1ccc2,1.88076249,0.21961411
COCCOCCOCCOCCOCCOCCO,O=C2CCCCC2C1CCCCC1,2.08135983,0.40249187
COCCOCCOCCOCCOCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.51671546,0.09103027
COCCOCCOCCOCCOCCOCCO,CC(C=O)c1ccccc1,0.64639786,0.06457543
COCCOCCOCCOCCOCCOCCO,CCC(O)c1ccccc1,-7.25476627,-1.16778299
COCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1,1.26009966,0.19709217
COCCOCCOCCOCCOCCOCCO,CC(OC(C)c2ccccc2)c1ccccc1,1.61097023,0.28708348
COCCOCCOCCOCCOCCOCCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.81298561,0.14123938
COCCOCCOCCOCCOCCOCCO,CCOC(=O)c(cc1)ccc1C,1.51783431,0.26028642
COCCOCCOCCOCCOCCOCCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.35151581,0.12469463
COCCOCCOCCOCCOCCOCCO,O=C(OCCc1ccccc1)c2ccccc2,1.29642604,0.22111862
COCCOCCOCCOCCOCCOCCO,CCCc2cc1OCOc1cc2,0.26357152,-0.07231983
COCCOCCOCCOCCOCCOCCO,COC(C1CCC(CC1)C(OC)=O)=O,0.53528244,0.0868245
COCCOCCOCCOCCOCCOCCO,CCCC1CCCCC1=O,1.52580372,0.27913602
COCCOCCOCCOCCOCCOCCO,CCOc1ccc(C=CC)cc1O,-9.45777077,-1.24260882
COCCOCCOCCOCCOCCOCCO,CCCC(O)C(CO)CC,-1.2135272,-0.17961051
COCCOCCOCCOCCOCCOCCO,Cc(ccc1C)cc1C,3.02156355,0.40224374
COCCOCCOCCOCCOCCOCCO,CCOC(=O)C(OCC)=O,0.58480654,0.07711028
COCCOCCOCCOCCOCCOCCO,CC1OC(C(C)OC1=O)=O,-1.96892698,-0.51739459
COCCOCCOCCOCCOCCOCCO,CCCCC(=O)C(C)=O,0.70453973,0.06539779
COCCOCCOCCOCCOCCOCCO,C=CCOC(=O)C(C)=C,1.2387377,0.18363529
