SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-15.38798604,-3.04959172
COCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.01974421,0.29401939
COCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-4.25077282,-0.72937606
COCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,1.86920066,0.16116366
COCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.53228297,0.08480324
COCCOCCOCCOCCOCCOCCOCCO,CCOCC,1.62930538,0.20258236
COCCOCCOCCOCCOCCOCCOCCO,OCC,-3.48912452,-0.45172528
COCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,0.70526445,0.06275311
COCCOCCOCCOCCOCCOCCOCCO,CO,-3.24834272,-0.38609567
COCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-2.91239059,-0.40707615
COCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-0.37091318,-0.09728374
COCCOCCOCCOCCOCCOCCOCCO,OCCC,-4.11515879,-0.57237876
COCCOCCOCCOCCOCCOCCOCCO,OCCCC,-3.5819297,-0.49014025
COCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-3.38653659,-0.45285682
COCCOCCOCCOCCOCCOCCOCCO,CC1OC1,-0.19757523,-0.08555175
COCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,7.3924911,0.90206154
COCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.82611486,0.1010026
COCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.29090033,0.4383326
COCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.08081779,0.14683618
COCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,7.55650914,1.12466951
COCCOCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,1.66297368,0.31844808
COCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-0.72863667,0.02607045
COCCOCCOCCOCCOCCOCCOCCO,CCC(C)C,7.4840385,0.84558396
COCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=C,2.58312652,0.194249
COCCOCCOCCOCCOCCOCCOCCO,CC(=C)C#C,-5.40238486,-0.76144901
COCCOCCOCCOCCOCCOCCOCCO,OCC(C)C,-4.82360052,-0.66736843
COCCOCCOCCOCCOCCOCCOCCO,CC(C)C=O,0.19948314,-0.03303879
COCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=O,0.30959262,-0.00406253
