SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-17.85551438,-3.18009241
COCCOCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.40572967,0.36632236
COCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-4.86386207,-0.75508513
COCCOCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,2.10801892,0.15319836
COCCOCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.74831237,0.13578568
COCCOCCOCCOCCOCCOCCOCCOCCO,CCOCC,1.86505357,0.22098249
COCCOCCOCCOCCOCCOCCOCCOCCO,OCC,-3.96328026,-0.46296125
COCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,0.8741099,0.08580538
COCCOCCOCCOCCOCCOCCOCCOCCO,CO,-3.89567944,-0.4086203
COCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-3.1878381,-0.40692319
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-0.43611642,-0.10972702
COCCOCCOCCOCCOCCOCCOCCOCCO,OCCC,-4.52740054,-0.57025843
COCCOCCOCCOCCOCCOCCOCCOCCO,OCCCC,-3.84961755,-0.47687961
COCCOCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-3.57210495,-0.42872789
COCCOCCOCCOCCOCCOCCOCCOCCO,CC1OC1,-0.21019821,-0.09131944
COCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,8.34948641,0.97012647
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.98744366,0.12107639
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.68403148,0.50646852
COCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.25955809,0.16618163
COCCOCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,8.55307901,1.2252088
COCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,1.93582662,0.36160387
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-0.4711803,0.09831395
COCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)C,8.44464131,0.90473239
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=C,2.95314255,0.21972373
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C#C,-5.74653341,-0.75695214
COCCOCCOCCOCCOCCOCCOCCOCCO,OCC(C)C,-5.2163241,-0.6536037
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C=O,0.27011824,-0.02732524
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=O,0.39962852,0.00031805
COCCOCCOCCOCCOCCOCCOCCOCCO,CCC(O)C,-3.45759713,-0.45166266
COCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)=O,-0.1138712,-0.05974345
COCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)=O,0.01689606,-0.05629895
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(C)C,8.47811917,0.9964868
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)=O,-18.4261586,-2.75863503
COCCOCCOCCOCCOCCOCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.25036889,0.44481686
COCCOCCOCCOCCOCCOCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-13.24103429,-1.70801806
COCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C(O)(C)C)=O,-0.49576289,-0.09151229
COCCOCCOCCOCCOCCOCCOCCOCCO,COC(=O)C(C)=C,0.98279097,0.09514616
COCCOCCOCCOCCOCCOCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-2.25156286,-0.56177064
COCCOCCOCCOCCOCCOCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,1.32232988,0.25179127
COCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.60485936,0.07427474
COCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,1.06016113,0.1724205
COCCOCCOCCOCCOCCOCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.64662053,0.31684326
COCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.22432515,0.47498961
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,2.31129336,0.36560611
COCCOCCOCCOCCOCCOCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,1.39151007,0.19247989
COCCOCCOCCOCCOCCOCCOCCOCCO,O=C2c1ccccc1CO2,0.89964467,0.08779986
COCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C(O)C(O)CO,-4.88032813,-0.97272959
COCCOCCOCCOCCOCCOCCOCCOCCO,CCC(CC)C(O)=O,-17.90032221,-2.64697366
COCCOCCOCCOCCOCCOCCOCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-7.89129283,-1.14415046
COCCOCCOCCOCCOCCOCCOCCOCCO,COc1cc(C)ccc1C(C)(C)C,3.65195009,0.52313893
COCCOCCOCCOCCOCCOCCOCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,6.70750097,1.14303401
COCCOCCOCCOCCOCCOCCOCCOCCO,COC(=O)c1ccccc1C,1.56162918,0.20912037
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(=O)c1ccc(C)cc1C,1.46157112,0.23603911
COCCOCCOCCOCCOCCOCCOCCOCCO,Cc2c1ccccc1ccc2,2.28166603,0.24364294
COCCOCCOCCOCCOCCOCCOCCOCCO,O=C2CCCCC2C1CCCCC1,2.61387905,0.46434852
COCCOCCOCCOCCOCCOCCOCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.74078223,0.12250642
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(C=O)c1ccccc1,0.80639934,0.06722742
COCCOCCOCCOCCOCCOCCOCCOCCO,CCC(O)c1ccccc1,-9.34258753,-1.27519146
COCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1,1.59196596,0.22510006
COCCOCCOCCOCCOCCOCCOCCOCCO,CC(OC(C)c2ccccc2)c1ccccc1,2.04277275,0.34394107
