SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-22.9709704,-4.10276693
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.90775753,0.32551168
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-7.11514659,-1.04500907
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,1.73639472,0.07986807
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.50847788,0.08926655
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOCC,2.03726048,0.21804797
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC,-5.8449478,-0.62908876
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,0.7221877,0.05754662
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CO,-5.80527912,-0.58309252
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-4.85017493,-0.55262644
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-0.60812253,-0.13896843
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCC,-6.67438079,-0.75922857
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCC,-5.89951301,-0.65421652
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-5.65009808,-0.60695435
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1OC1,-0.39282018,-0.12066299
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,8.50582121,0.97998518
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.97297221,0.10646919
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.79753562,0.51537261
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.33925997,0.16020954
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,8.75288582,1.25695413
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,2.13072588,0.3778613
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-1.81885277,0.00306196
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)C,8.60733092,0.90984792
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=C,2.51294697,0.18832668
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C#C,-7.68122941,-0.86234527
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(C)C,-7.60616798,-0.85342309
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C=O,0.06744501,-0.05879414
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=O,0.18075889,-0.03546008
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(O)C,-5.28626229,-0.60544705
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)=O,-0.24400839,-0.0850007
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)=O,-0.23588108,-0.09564906
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(C)C,8.65085013,1.00823264
COCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)=O,-23.68190544,-3.40726834
