SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-18.19345861,-3.06848738
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.00978959,0.42992222
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-4.59690504,-0.66820855
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,2.71625915,0.16832101
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.99653909,0.16627307
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOCC,1.89900047,0.17799311
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC,-3.87634034,-0.42498129
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,0.92950621,0.06172393
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CO,-3.62043558,-0.36059851
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-3.15168623,-0.37988218
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-0.70889716,-0.1588629
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCC,-4.51219955,-0.53216702
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCC,-3.80342675,-0.44069293
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-3.48973253,-0.38948288
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1OC1,-0.45708353,-0.14116059
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,9.58691707,0.97102384
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.99461376,0.0888308
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.06884855,0.52536274
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.26724416,0.13061776
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,9.87726679,1.2604302
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,2.0920417,0.34854054
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-0.1166789,0.14960467
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)C,9.67369599,0.89624802
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=C,3.37017495,0.2013639
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C#C,-6.14356052,-0.74402446
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(C)C,-5.26918169,-0.61518735
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C=O,0.16618372,-0.06820921
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=O,0.42607935,-0.02457244
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(O)C,-3.43777426,-0.42328606
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)=O,-0.31058947,-0.10399341
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)=O,-0.05995287,-0.08956816
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(C)C,9.73719072,0.99901869
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)=O,-19.28518981,-2.70359307
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.62367865,0.47448999
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-13.81852591,-1.64670242
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C(O)(C)C)=O,-0.52445427,-0.10075227
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(=O)C(C)=C,1.14018804,0.08236056
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-2.17528392,-0.52962628
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,1.82745242,0.32463066
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.10904177,0.21163622
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,1.38130112,0.20531656
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.01712298,0.35766039
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.681729,0.53495339
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,2.80196777,0.40049596
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,1.84603614,0.24378458
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C2c1ccccc1CO2,1.36443369,0.12893118
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C(O)C(O)CO,-4.65748567,-0.88135214
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(CC)C(O)=O,-18.76788837,-2.59224833
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-8.05826273,-1.07133142
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COc1cc(C)ccc1C(C)(C)C,4.27254259,0.54754787
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,7.7836083,1.20484558
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(=O)c1ccccc1C,1.92073789,0.22776882
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=O)c1ccc(C)cc1C,1.71049998,0.24467638
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Cc2c1ccccc1ccc2,2.76355273,0.26390027
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C2CCCCC2C1CCCCC1,2.94132386,0.46549882
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.09073557,0.17641048
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C=O)c1ccccc1,1.05294235,0.0789232
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(O)c1ccccc1,-9.70543625,-1.22310592
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1,1.95393964,0.24473182
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(OC(C)c2ccccc2)c1ccccc1,2.44439176,0.38164891
