SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-22.37456559,-3.55772966
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.85182206,0.40431931
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-6.31758839,-0.8902908
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,2.64616553,0.11572135
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.95257839,0.15177715
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOCC,2.25873895,0.18177017
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC,-5.35050715,-0.57187974
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,0.98754342,0.04918121
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CO,-5.14659175,-0.51134498
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-4.4362232,-0.51318423
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-0.74359306,-0.17279967
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCC,-6.13878823,-0.69261818
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCC,-5.31253634,-0.59211442
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-4.98265154,-0.53955217
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1OC1,-0.47758108,-0.15763614
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,10.33778486,0.98211449
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,1.17174635,0.08802803
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.44120889,0.55032253
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.52039503,0.13543111
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,10.67330026,1.29551205
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,2.46117735,0.37650663
