SMILES0,SMILES,gamma1,gamma2
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-22.55243346,-3.46155829
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.65794453,0.34531474
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-6.16345451,-0.83212645
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,2.49510151,0.08754109
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.59386317,0.08094374
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOCC,1.88034227,0.12905684
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC,-5.26841373,-0.53634871
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,0.52486017,-0.01131337
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CO,-4.96341626,-0.46417767
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-4.39230844,-0.49141696
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-1.21147334,-0.21928028
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCC,-6.11786456,-0.66519036
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCC,-5.28267114,-0.57047076
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-4.94449563,-0.52110053
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1OC1,-1.01184299,-0.20812906
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,10.49945041,0.92684445
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.72808558,0.03100197
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.1478003,0.48959163
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.13533697,0.0822547
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,10.87478944,1.24034362
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,2.17129467,0.3221104
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-0.91122616,0.06156318
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)C,10.59026313,0.8466383
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=C,3.05993965,0.1198275
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C#C,-8.72495098,-0.88787134
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(C)C,-7.13304359,-0.76330726
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C=O,-0.36568647,-0.14041433
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=O,-0.07131838,-0.09557286
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(O)C,-4.8364844,-0.54950592
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)=O,-0.77068525,-0.16622025
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)=O,-0.60899841,-0.1600224
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(C)C,10.67783198,0.95648389
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)=O,-23.88432468,-3.0084243
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.56741048,0.42895704
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-17.78419471,-1.8890882
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C(O)(C)C)=O,-1.1323073,-0.18120989
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(=O)C(C)=C,0.71069344,0.00976702
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-3.62906366,-0.71248499
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,1.56732421,0.26093264
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-2.42333593,0.12431594
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,0.98260633,0.12672004
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.74934612,0.28911491
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.53793856,0.48347774
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,2.51843884,0.32396597
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,1.33757485,0.14515958
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C2c1ccccc1CO2,0.92881607,0.04320905
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C(O)C(O)CO,-6.20433088,-1.09521062
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(CC)C(O)=O,-23.35048566,-2.89925069
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-10.75892948,-1.30097688
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COc1cc(C)ccc1C(C)(C)C,4.20410976,0.48019528
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,8.42072375,1.19314326
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(=O)c1ccccc1C,1.54688221,0.15076499
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=O)c1ccc(C)cc1C,1.49354323,0.18455621
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Cc2c1ccccc1ccc2,2.34421269,0.17591949
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C2CCCCC2C1CCCCC1,3.00348713,0.42720858
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.69118125,0.09447113
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C=O)c1ccccc1,0.52054323,-0.00850897
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(O)c1ccccc1,-12.79981246,-1.4409897
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1,1.6061317,0.17052642
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(OC(C)c2ccccc2)c1ccccc1,2.21355309,0.30862756
