SMILES0,SMILES,gamma1,gamma2
COCOC,OC(C)C(O)=O,-1.25376771,-0.33316104
COCOC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.23666775,-0.05048436
COCOC,OCC(O)C,0.35801854,0.08019948
COCOC,O=C1CCO1,0.8523762,0.21094004
COCOC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.2938318,-0.05985536
COCOC,CCOCC,0.24010381,0.06010589
COCOC,OCC,0.41744806,0.09933239
COCOC,CCCCCC=O,-0.01046174,-0.002375
COCOC,CO,0.77824394,0.18474944
COCOC,OC(C)C,0.28569931,0.06726477
COCOC,CC(C)=O,0.06266235,0.01571721
COCOC,OCCC,0.15236583,0.03469584
COCOC,OCCCC,0.11486483,0.02820249
COCOC,OCCCCC,0.064752,0.01568951
COCOC,CC1OC1,-0.00034228,-9.344e-05
COCOC,CCC(C)(C)C,1.14392596,0.28513506
COCOC,CC(C)(C)C(C)=O,0.03400306,0.00845008
COCOC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.06703272,0.01786955
COCOC,COC(C)(C)OC,0.08790039,0.02191899
COCOC,CCC1(CC)CCCCC1,1.07258937,0.26694234
COCOC,CCOC(C)(OCC)OCC,0.07701128,0.02008973
COCOC,CC(C)CCCC(O)(C)CC,0.12795787,0.02916177
COCOC,CCC(C)C,1.19465855,0.29559013
COCOC,CC(=C)C=C,0.14876552,0.03744007
COCOC,CC(=C)C#C,-1.13539307,-0.28664843
COCOC,OCC(C)C,-0.10771944,-0.02665559
COCOC,CC(C)C=O,-0.00900375,-0.00225176
COCOC,CC(=C)C=O,0.06062202,0.01513009
COCOC,CCC(O)C,0.09125755,0.02106326
COCOC,CCC(C)=O,0.00288311,0.00072155
COCOC,COC(C)=O,0.06075817,0.01515672
COCOC,CC(C)C(C)C,1.16207333,0.29024152
COCOC,CC(C)C(O)=O,-1.74300632,-0.4526488
COCOC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.07552166,-0.01521783
COCOC,OOC(C)(C)C(CC1)CCC1C,-1.54403513,-0.40379317
COCOC,CCOC(C(O)(C)C)=O,-0.07797286,-0.01852971
COCOC,COC(=O)C(C)=C,0.00040117,0.00011062
COCOC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.86798938,-0.19806378
COCOC,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.03121612,-0.00702348
COCOC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.34716146,-0.09443043
