SMILES0,SMILES,gamma1,gamma2
O(CCC2C1CCOC1)C2,OC(C)C(O)=O,-3.98194461,-1.13966756
O(CCC2C1CCOC1)C2,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.08317872,0.01870176
O(CCC2C1CCOC1)C2,OCC(O)C,-0.75556283,-0.1874201
O(CCC2C1CCOC1)C2,O=C1CCO1,1.52330655,0.33002129
O(CCC2C1CCOC1)C2,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.29107295,-0.06523468
O(CCC2C1CCOC1)C2,CCOCC,0.25899113,0.06111031
O(CCC2C1CCOC1)C2,OCC,-0.64634077,-0.13178144
O(CCC2C1CCOC1)C2,CCCCCC=O,-0.07234775,-0.01793555
O(CCC2C1CCOC1)C2,CO,-0.16029527,-0.02273877
O(CCC2C1CCOC1)C2,OC(C)C,-0.71018634,-0.15299184
O(CCC2C1CCOC1)C2,CC(C)=O,0.15944158,0.03691089
O(CCC2C1CCOC1)C2,OCCC,-1.10242052,-0.24727258
O(CCC2C1CCOC1)C2,OCCCC,-1.09025169,-0.2409866
O(CCC2C1CCOC1)C2,OCCCCC,-1.15099489,-0.25694581
O(CCC2C1CCOC1)C2,CC1OC1,0.01805312,0.00344265
O(CCC2C1CCOC1)C2,CCC(C)(C)C,1.45498488,0.3391465
O(CCC2C1CCOC1)C2,CC(C)(C)C(C)=O,0.05557034,0.01371613
O(CCC2C1CCOC1)C2,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.14717474,0.0384116
O(CCC2C1CCOC1)C2,COC(C)(C)OC,0.10811083,0.02652853
O(CCC2C1CCOC1)C2,CCC1(CC)CCCCC1,1.43221848,0.35339909
O(CCC2C1CCOC1)C2,CCOC(C)(OCC)OCC,0.16973352,0.04404649
O(CCC2C1CCOC1)C2,CC(C)CCCC(O)(C)CC,-0.65640375,-0.14375804
O(CCC2C1CCOC1)C2,CCC(C)C,1.50885018,0.34138471
O(CCC2C1CCOC1)C2,CC(=C)C=C,0.2708189,0.06386495
O(CCC2C1CCOC1)C2,CC(=C)C#C,-1.9697302,-0.45753059
O(CCC2C1CCOC1)C2,OCC(C)C,-1.52479004,-0.34995496
O(CCC2C1CCOC1)C2,CC(C)C=O,-0.03453683,-0.00846938
O(CCC2C1CCOC1)C2,CC(=C)C=O,0.2336888,0.05381427
O(CCC2C1CCOC1)C2,CCC(O)C,-1.01532234,-0.23264198
O(CCC2C1CCOC1)C2,CCC(C)=O,0.03113522,0.00720071
