SMILES0,SMILES,gamma1,gamma2
O1CCC1,OC(C)C(O)=O,-2.38077293,-0.57846329
O1CCC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.51074035,-0.10155362
O1CCC1,OCC(O)C,-0.46502386,-0.11092154
O1CCC1,O=C1CCO1,0.71801939,0.18455879
O1CCC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.49083069,-0.09101594
O1CCC1,CCOCC,0.13746635,0.03459565
O1CCC1,OCC,-0.32566316,-0.08569392
O1CCC1,CCCCCC=O,-0.12267483,-0.02889617
O1CCC1,CO,0.01345877,-0.00181616
O1CCC1,OC(C)C,-0.39985994,-0.10305226
O1CCC1,CC(C)=O,0.0862885,0.02160493
O1CCC1,OCCC,-0.62632132,-0.16228517
O1CCC1,OCCCC,-0.65045083,-0.1641875
O1CCC1,OCCCCC,-0.71213404,-0.17870035
O1CCC1,CC1OC1,-0.00168727,-0.00040934
O1CCC1,CCC(C)(C)C,0.7758387,0.19622861
O1CCC1,CC(C)(C)C(C)=O,-0.0460984,-0.01091493
O1CCC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.1477115,-0.02834547
O1CCC1,COC(C)(C)OC,-0.01574052,-0.00342711
O1CCC1,CCC1(CC)CCCCC1,0.68632376,0.17191024
O1CCC1,CCOC(C)(OCC)OCC,-0.07260026,-0.0144157
O1CCC1,CC(C)CCCC(O)(C)CC,-0.5479591,-0.1333859
O1CCC1,CCC(C)C,0.83300887,0.21003994
O1CCC1,CC(=C)C=C,-0.05863989,-0.01349866
O1CCC1,CC(=C)C#C,-1.4599766,-0.38163176
O1CCC1,OCC(C)C,-0.90491239,-0.23241987
O1CCC1,CC(C)C=O,-0.04497819,-0.011101
O1CCC1,CC(=C)C=O,-0.02379079,-0.00562119
O1CCC1,CCC(O)C,-0.61520992,-0.15773287
O1CCC1,CCC(C)=O,-0.01843422,-0.00450414
O1CCC1,COC(C)=O,0.01443814,0.00393072
O1CCC1,CC(C)C(C)C,0.79177711,0.20049162
O1CCC1,CC(C)C(O)=O,-2.88731518,-0.77006747
O1CCC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.27992012,-0.05517201
O1CCC1,OOC(C)(C)C(CC1)CCC1C,-2.57290294,-0.69987282
O1CCC1,CCOC(C(O)(C)C)=O,-0.33805922,-0.08015566
O1CCC1,COC(=O)C(C)=C,-0.13652588,-0.03299614
O1CCC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.21946666,-0.25578587
O1CCC1,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.28921491,-0.05738805
O1CCC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.13661192,-0.26452074
O1CCC1,CCOC(=O)c1ccccc1C(OCC)=O,-0.35289699,-0.07223549
O1CCC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.4329936,-0.0829957
O1CCC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.44450253,-0.07972967
O1CCC1,CC(C)CCOC(=O)c1ccccc1O,-0.37080854,-0.07726417
O1CCC1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.54764877,-0.11008041
O1CCC1,O=C2c1ccccc1CO2,-0.01636042,0.00391272
O1CCC1,OCC(O)C(O)C(O)CO,-0.61024938,-0.12089439
O1CCC1,CCC(CC)C(O)=O,-3.01655695,-0.8024742
O1CCC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.90213927,-0.45200436
O1CCC1,COc1cc(C)ccc1C(C)(C)C,-0.1824507,-0.03644166
O1CCC1,CC2CCC(CC1=C2CCC1C)=C(C)C,0.26828959,0.07051231
O1CCC1,COC(=O)c1ccccc1C,-0.27702278,-0.06281151
O1CCC1,CC(=O)c1ccc(C)cc1C,-0.21900238,-0.04945525
O1CCC1,Cc2c1ccccc1ccc2,-0.33151543,-0.07531093
O1CCC1,O=C2CCCCC2C1CCCCC1,-0.00811006,-6.53e-06
O1CCC1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.43365042,-0.08521534
O1CCC1,CC(C=O)c1ccccc1,-0.28061065,-0.06369198
O1CCC1,CCC(O)c1ccccc1,-1.94661722,-0.49903829
O1CCC1,CCOC(=O)c1ccccc1,-0.25748307,-0.05841161
O1CCC1,CC(OC(C)c2ccccc2)c1ccccc1,-0.43507797,-0.08729842
O1CCC1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.61167037,-0.10984086
O1CCC1,CCOC(=O)c(cc1)ccc1C,-0.239531,-0.05302599
O1CCC1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.43657817,-0.0782393
O1CCC1,O=C(OCCc1ccccc1)c2ccccc2,-0.44320372,-0.08993534
O1CCC1,CCCc2cc1OCOc1cc2,-0.62011258,-0.13817602
O1CCC1,COC(C1CCC(CC1)C(OC)=O)=O,-0.25144559,-0.05429518
O1CCC1,CCCC1CCCCC1=O,-0.02666184,-0.00469463
O1CCC1,CCOc1ccc(C=CC)cc1O,-2.57323814,-0.65253974
O1CCC1,CCCC(O)C(CO)CC,-0.51757226,-0.1306257
O1CCC1,Cc(ccc1C)cc1C,-0.07194379,-0.01421183
O1CCC1,CCOC(=O)C(OCC)=O,-0.14222253,-0.03160962
O1CCC1,CC1OC(C(C)OC1=O)=O,-0.38075105,-0.05771444
O1CCC1,CCCCC(=O)C(C)=O,-0.23764497,-0.05485256
O1CCC1,C=CCOC(=O)C(C)=C,-0.21708521,-0.05001731
O1CCC1,C1OC1c2ccccc2,-0.25730101,-0.05940228
O1CCC1,CCC(C)CC,0.80728725,0.2039386
O1CCC1,CCC(CC)=O,-0.05265364,-0.01281674
O1CCC1,OCC(CO)=O,-0.27274251,-0.03481335
O1CCC1,COC(=O)C=C,-0.10752968,-0.02571649
O1CCC1,COC(CO)=O,-0.43958461,-0.10421794
O1CCC1,CC1CCCC1,0.82382455,0.20814879
O1CCC1,CC1CCCO1,0.07290428,0.01843518
O1CCC1,O=C1CCCO1,0.30902107,0.07770402
O1CCC1,CCCC(C)C(O)=O,-3.04389063,-0.8058816
O1CCC1,CCOC(C(C)C)=O,-0.0706922,-0.01630115
O1CCC1,CCOC(=O)C(C)=C,-0.11352393,-0.02635439
O1CCC1,CCOC(C(O)C)=O,-0.4365977,-0.1040853
O1CCC1,CC(C)C(OC(C(C)C)=O)=O,-0.18514633,-0.04124524
O1CCC1,CC(C)COC(C(C)C)=O,-0.0175867,-0.00302617
O1CCC1,CC(C)COC(=O)C(C)=C,-0.08956572,-0.01921891
O1CCC1,CCCCOC(C(C)C)=O,-0.03301025,-0.00641748
O1CCC1,CCCCOC(=O)C(C)=C,-0.0903568,-0.01926728
O1CCC1,CCC(CC)C=O,-0.03041401,-0.00689167
O1CCC1,OCC1CCCO1,-0.13035993,-0.03216349
O1CCC1,OCc1occc1,-1.4690416,-0.36562808
O1CCC1,O=Cc1occc1,-0.04662581,-0.00455738
O1CCC1,CC(C)(C)c1ccccc1,-0.1269037,-0.02609278
O1CCC1,OOC(C)(C)c(cc1)ccc1C(C)C,-2.57705076,-0.68293498
O1CCC1,CC(C)(C)c(cc1)ccc1C,-0.05538962,-0.00813852
O1CCC1,OC1CCC(CC1)C(C)(C)C,-0.68583316,-0.17025705
O1CCC1,CC(C)(C)C1CCC(CC1)=O,-0.08978929,-0.01986514
O1CCC1,CC(C)c1ccccc1,-0.12806967,-0.02744642
O1CCC1,COC(=O)c(ccc1)cc1C,-0.25926894,-0.0587495
O1CCC1,OC1CC(CC=C1C)C(C)=C,-1.28628589,-0.31874681
O1CCC1,CC(C)c1cc(C(C)C)ccc1,-0.02975896,-0.00218073
O1CCC1,CCCC(CCC)C(O)=O,-3.06096265,-0.81109724
O1CCC1,CC(C=O)c(cc1)ccc1C,-0.29336263,-0.06540567
O1CCC1,CC1CCC(C(C)C)CC1,0.7222025,0.17835517
O1CCC1,CC(C)c(cc1)ccc1C,-0.06170509,-0.01039639
O1CCC1,C=CC1CC=CCC1,0.04543926,0.01439725
O1CCC1,CCc1ccccc1,-0.14125991,-0.03207834
O1CCC1,C=Cc1ccccc1,-0.33540523,-0.07979241
O1CCC1,OCC1CCCCC1,-0.89697319,-0.23030739
O1CCC1,COc1ccccc1,-0.30422719,-0.07239822
O1CCC1,OCC1CCCCO1,-0.24858282,-0.06710555
O1CCC1,OCC(CO1)OC1(C)C,-0.55628234,-0.12715965
O1CCC1,Cc1cc(C=C)ccc1,-0.29355633,-0.06785137
O1CCC1,COc(ccc1)cc1C,-0.29493316,-0.06884385
O1CCC1,COC(=O)Cc1ccccc1,-0.26762097,-0.05915365
O1CCC1,COC(OC)Cc1ccccc1,-0.30391106,-0.06632982
O1CCC1,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.49331635,-0.09715686
O1CCC1,CC(C)COC(=O)Cc1ccccc1,-0.34801122,-0.07291795
O1CCC1,O=C(OCc2ccccc2)Cc1ccccc1,-0.45678162,-0.08915024
O1CCC1,CCc1cc(CC)cc(CC)c1,0.04947161,0.01701742
O1CCC1,CC(=O)Oc(ccc1)cc1O,-3.35422146,-0.84748848
O1CCC1,COC(OC)CC(OC)OC,-0.19157635,-0.04302194
O1CCC1,CCCCC(CC)COC(C)=O,-0.08117355,-0.0163304
O1CCC1,CCCCC(CC)COC(=O)C=C,-0.15044807,-0.02964875
O1CCC1,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-0.28740916,-0.05345675
O1CCC1,COC(CCc1ccccc1)=O,-0.30387974,-0.06668016
O1CCC1,CC(C)C(OCc1ccccc1)=O,-0.33484337,-0.07222693
O1CCC1,CCCC(OCc1ccccc1)=O,-0.34843847,-0.07527763
O1CCC1,CC(C)CC(OCc1ccccc1)=O,-0.37844093,-0.07900134
O1CCC1,CC(OCCc1ccccc1)=O,-0.2910366,-0.06383572
O1CCC1,CC(C)C(OCCc1ccccc1)=O,-0.32214065,-0.06710371
O1CCC1,CC(C)C(OCCOc1ccccc1)=O,-0.46716354,-0.09507332
O1CCC1,CCCc1ccccc1,-0.12360716,-0.02622322
O1CCC1,CC(C)C(=O)Oc(cc1)ccc1C,-0.31711703,-0.0688344
O1CCC1,CCCc(cc1)ccc1OC,-0.30098817,-0.06619666
O1CCC1,CCCCC1OC(CC1)=O,-0.14444836,-0.03261692
O1CCC1,CCCCc1ccccc1,-0.10231274,-0.0198369
O1CCC1,O=COCc1ccccc1,-0.3597576,-0.08004779
O1CCC1,CCCCCC1OC(CC1)=O,-0.1796401,-0.03976828
O1CCC1,O=COCCc1ccccc1,-0.40679054,-0.09034266
O1CCC1,CCCCCCCC1OC(CC1)=O,-0.22539666,-0.04800155
O1CCC1,CCCCC(CO)CC,-1.11588708,-0.28665415
O1CCC1,COc(cc1)ccc1C,-0.2982824,-0.06959906
O1CCC1,CC(C)COC(CCc1occc1)=O,-0.43680665,-0.09127727
O1CCC1,CCc1ccc(CC)cc1,-0.03748117,-0.00459707
O1CCC1,C=Cc1ccc(C=C)cc1,-0.44463382,-0.10080769
O1CCC1,CCCC1OC(CC1)=O,-0.09278638,-0.02109716
O1CCC1,OCC=C(C)C#C,-1.98350584,-0.49402856
O1CCC1,CCCC(C)CO,-1.0086461,-0.25468614
O1CCC1,CCCC(O)C#C,-2.79824573,-0.70790529
O1CCC1,CCOC(CC)=O,-0.08791856,-0.02150478
O1CCC1,CCC(OC=C)=O,-0.22144953,-0.05340732
O1CCC1,CCC(C)CC(C)=O,-0.08231709,-0.01890893
O1CCC1,CCC(C)CC(O)=O,-3.04109092,-0.80309643
O1CCC1,CCC(C)OC(C)=O,-0.08941404,-0.02072755
O1CCC1,CCOC(CC(OCC)=O)=O,-0.26585943,-0.0577042
O1CCC1,CCOC(CCC)=O,-0.09310157,-0.02165045
O1CCC1,CCOC(C)OCC,-0.01263556,-0.00135761
O1CCC1,CCOC(OCC)=O,-0.13164862,-0.03133348
O1CCC1,CCCOC(CCC)=O,-0.06889432,-0.01476374
O1CCC1,CC(C)CCOC(CC)=O,-0.07835768,-0.01672677
O1CCC1,CCCCOC(=O)C=CC(OCCCC)=O,-0.49243575,-0.09902046
O1CCC1,O=C1OCCOC(CCCCCCCCCCC1)=O,-0.40974567,-0.08048863
O1CCC1,CCCCCCCCCCCC(OCCCC)=O,-0.01854301,-0.00417715
O1CCC1,OCCC(C)CCCC(C)C,-0.93747106,-0.23388047
O1CCC1,CC(C)CCOC(CCC)=O,-0.06325719,-0.01205482
O1CCC1,CCCCCCC(OCC)=O,-0.07777898,-0.01595518
O1CCC1,CCCC(OC(CCC)=O)=O,-0.2455341,-0.05442262
O1CCC1,CCCCCCCC(OCC)=O,-0.07440651,-0.01448102
O1CCC1,CCCCC(CC)=O,-0.05523481,-0.01282174
O1CCC1,CCCOC(CC)=O,-0.07647115,-0.01774168
O1CCC1,CC(C)COC(=O)C=C,-0.16745565,-0.03840506
O1CCC1,CCCCCC(CC)=O,-0.0519466,-0.0108688
O1CCC1,CCCCCC(OC)=O,-0.12915452,-0.02904285
O1CCC1,CC(CCC=C(C)C)C=O,-0.15397956,-0.03337573
O1CCC1,CCCCCCC(OC)=O,-0.12721356,-0.02779371
O1CCC1,CCOCCOC(=O)C=C,-0.23404242,-0.05213325
O1CCC1,C=CC2CC1OC1CC2,-0.12409778,-0.02888392
O1CCC1,C1OC1C3CC2OC2CC3,-0.1009795,-0.02328008
O1CCC1,CCC1OC1,-0.03150125,-0.00767846
O1CCC1,C=CC(OCC1OC1)=O,-0.09526582,-0.01829037
O1CCC1,CC(=C)C(OCC1OC1)=O,-0.20075326,-0.04556892
O1CCC1,C=CCOCC1OC1,-0.09982582,-0.02237498
O1CCC1,O=CC=C,0.20145503,0.05083955
O1CCC1,OCC=C,-1.19608323,-0.3046707
O1CCC1,OCC#C,-2.12557446,-0.53885329
O1CCC1,COC=O,0.08894741,0.02328249
O1CCC1,CC(C)(C)CC(C)=C,0.38753684,0.09935937
O1CCC1,CC(C)(C)C=C(C)C,0.40914982,0.10455058
O1CCC1,OC(C)CC(O)(C)C,-0.24612969,-0.07050987
O1CCC1,COC(C)(C)CC(C)=O,-0.13708078,-0.03234064
O1CCC1,OCCC(C)CCCC(O)(C)C,-0.74659552,-0.17278205
O1CCC1,OC(C)(C)CCCC(C)CC=O,-0.56874527,-0.12823739
O1CCC1,CCCC(C)C,0.80833335,0.20406265
O1CCC1,CC(C)=CC=O,0.00878881,0.00206125
O1CCC1,CCCC(C)=O,-0.05307727,-0.01288148
O1CCC1,OCCC(O)C,-0.14905352,-0.04761365
O1CCC1,COCC(O)C,-0.20502169,-0.05364755
O1CCC1,CC(OC=C)=O,-0.19000603,-0.04595786
O1CCC1,CC(C)CC(C)C,0.75514174,0.19013641
O1CCC1,CC(C)CC(C)=O,-0.07158957,-0.01698284
O1CCC1,OC(C)CC(C)C,-0.76282295,-0.1889139
O1CCC1,CC(C)OC(C)C,0.17332314,0.04358788
O1CCC1,CC(C)OC(C)=O,-0.08598772,-0.02047249
O1CCC1,CC(OC(C)=C)=O,-0.13726025,-0.03322037
O1CCC1,CC(OC(C)=O)=O,0.06746928,0.02031366
O1CCC1,O=C1C=CC(O1)=C,-0.07542539,-0.00678834
O1CCC1,CC1OC(CC1)=O,0.11845569,0.02935806
O1CCC1,CC1OC(OC1)=O,0.34990447,0.09445238
O1CCC1,Cc1cc(C)ccc1,-0.10403193,-0.02302238
O1CCC1,C=Cc1cc(C=C)ccc1,-0.4343869,-0.09850855
O1CCC1,COC(CC(OC)=O)=O,-0.06933206,-0.00951161
O1CCC1,CCOC(CC(C)C)=O,-0.09419456,-0.02141007
O1CCC1,COCC(C)OC(C)=O,-0.13684612,-0.03189336
O1CCC1,Cc1cc(C)cc(C)c1,-0.04088433,-0.00664088
O1CCC1,CC(C)CC(O)CC(C)C,-0.82817445,-0.20579827
O1CCC1,CC(C)CC(CC(C)C)=O,-0.01598893,-0.00162714
O1CCC1,CC(C)CC(C)OC(C)=O,-0.0920267,-0.02016428
O1CCC1,CC1CCCCC1,0.81690587,0.20644644
O1CCC1,Cc1ccccc1,-0.16308855,-0.03897959
O1CCC1,O=C1CCCCC1,-0.0266139,-0.00646319
O1CCC1,O=C1C=COC=C1,0.36384452,0.08919465
O1CCC1,CCCCOC(CC(C)C)=O,-0.0506816,-0.00863581
O1CCC1,CCCCOC(CCC)=O,-0.06164525,-0.01322244
O1CCC1,O=C1CCCCCCCCCCCCCCCO1,-0.10105322,-0.01798644
