SMILES0,SMILES,gamma1,gamma2
O2C1CC3CC(OC2O3)C1,OC(C)C(O)=O,-1.48875252,-0.38448729
O2C1CC3CC(OC2O3)C1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.61142558,0.15053966
O2C1CC3CC(OC2O3)C1,OCC(O)C,0.77108021,0.18602441
O2C1CC3CC(OC2O3)C1,O=C1CCO1,0.4346776,0.10102653
O2C1CC3CC(OC2O3)C1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.09078079,0.02057736
O2C1CC3CC(OC2O3)C1,CCOCC,0.89690694,0.22234198
O2C1CC3CC(OC2O3)C1,OCC,1.0300991,0.24489724
O2C1CC3CC(OC2O3)C1,CCCCCC=O,0.39120419,0.09884503
O2C1CC3CC(OC2O3)C1,CO,1.17460184,0.27755769
O2C1CC3CC(OC2O3)C1,OC(C)C,0.99993909,0.23980453
O2C1CC3CC(OC2O3)C1,CC(C)=O,-0.09006443,-0.02143952
O2C1CC3CC(OC2O3)C1,OCCC,0.90891198,0.22190521
O2C1CC3CC(OC2O3)C1,OCCCC,0.96933718,0.24453547
O2C1CC3CC(OC2O3)C1,OCCCCC,1.00574557,0.25797115
O2C1CC3CC(OC2O3)C1,CC1OC1,0.06834387,0.01746425
O2C1CC3CC(OC2O3)C1,CCC(C)(C)C,2.8719358,0.68665745
O2C1CC3CC(OC2O3)C1,CC(C)(C)C(C)=O,0.39717618,0.10022108
O2C1CC3CC(OC2O3)C1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.91892072,0.22739396
O2C1CC3CC(OC2O3)C1,COC(C)(C)OC,0.58401488,0.14637934
O2C1CC3CC(OC2O3)C1,CCC1(CC)CCCCC1,2.82746827,0.698535
O2C1CC3CC(OC2O3)C1,CCOC(C)(OCC)OCC,0.73616882,0.18588763
O2C1CC3CC(OC2O3)C1,CC(C)CCCC(O)(C)CC,1.31647406,0.33251315
O2C1CC3CC(OC2O3)C1,CCC(C)C,2.94352708,0.68949805
O2C1CC3CC(OC2O3)C1,CC(=C)C=C,1.09579801,0.25998206
O2C1CC3CC(OC2O3)C1,CC(=C)C#C,-0.89609155,-0.18157218
O2C1CC3CC(OC2O3)C1,OCC(C)C,0.72337339,0.1890972
O2C1CC3CC(OC2O3)C1,CC(C)C=O,0.16897901,0.04208854
O2C1CC3CC(OC2O3)C1,CC(=C)C=O,0.21005814,0.05182285
O2C1CC3CC(OC2O3)C1,CCC(O)C,0.92380224,0.22913577
O2C1CC3CC(OC2O3)C1,CCC(C)=O,0.06237312,0.01620456
O2C1CC3CC(OC2O3)C1,COC(C)=O,0.03356181,0.00838312
O2C1CC3CC(OC2O3)C1,CC(C)C(C)C,2.91008947,0.69725613
O2C1CC3CC(OC2O3)C1,CC(C)C(O)=O,-1.42069442,-0.35001693
O2C1CC3CC(OC2O3)C1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.67143649,0.16099004
O2C1CC3CC(OC2O3)C1,OOC(C)(C)C(CC1)CCC1C,-0.81097567,-0.18635196
O2C1CC3CC(OC2O3)C1,CCOC(C(O)(C)C)=O,0.34125193,0.08655143
