SMILES0,SMILES,gamma1,gamma2
O=C,OC(C)C(O)=O,0.03664014,-0.00084327
O=C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.23247071,0.04931964
O=C,OCC(O)C,0.94955048,0.19905444
O=C,O=C1CCO1,-0.0698482,-0.016634
O=C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.05198823,-0.01063896
O=C,CCOCC,0.94809199,0.21139022
O=C,OCC,1.26660848,0.29229004
O=C,CCCCCC=O,0.53516301,0.10908882
O=C,CO,1.27167487,0.28846545
O=C,OC(C)C,1.23211415,0.28145649
O=C,CC(C)=O,0.08743042,0.01754542
O=C,OCCC,1.27277658,0.29087637
O=C,OCCCC,1.28652193,0.28889312
O=C,OCCCCC,1.30884987,0.28509564
O=C,CC1OC1,0.28586263,0.0658108
O=C,CCC(C)(C)C,2.29648429,0.5253995
O=C,CC(C)(C)C(C)=O,0.48597185,0.09788008
O=C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.76676036,0.13475214
O=C,COC(C)(C)OC,0.62548843,0.130284
O=C,CCC1(CC)CCCCC1,2.18787973,0.46899691
O=C,CCOC(C)(OCC)OCC,0.65552673,0.11855022
O=C,CC(C)CCCC(O)(C)CC,1.33409513,0.25473216
O=C,CCC(C)C,2.38064471,0.55316562
O=C,CC(=C)C=C,0.93446108,0.22872339
O=C,CC(=C)C#C,-0.10714083,-0.02155617
O=C,OCC(C)C,1.22434547,0.27714039
O=C,CC(C)C=O,0.37625458,0.08310146
O=C,CC(=C)C=O,0.21983044,0.05053161
O=C,CCC(O)C,1.23827575,0.28022626
O=C,CCC(C)=O,0.24887138,0.05194314
O=C,COC(C)=O,0.11496015,0.02496575
O=C,CC(C)C(C)C,2.31752465,0.52971326
O=C,CC(C)C(O)=O,0.41586462,0.0985525
O=C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.50109416,0.07407518
O=C,OOC(C)(C)C(CC1)CCC1C,0.66164893,0.1183232
O=C,CCOC(C(O)(C)C)=O,0.44373549,0.0887671
O=C,COC(=O)C(C)=C,0.34716519,0.07738453
O=C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.02939304,-0.00051352
O=C,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.11059695,-0.0203653
O=C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.06049972,0.1271748
O=C,CCOC(=O)c1ccccc1C(OCC)=O,0.01176586,-0.00194871
O=C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.25152802,0.0278577
O=C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.39526772,0.03638852
O=C,CC(C)CCOC(=O)c1ccccc1O,0.59686979,0.11164281
O=C,Oc2ccccc2C(OCCc1ccccc1)=O,0.12352227,0.02860206
O=C,O=C2c1ccccc1CO2,-0.13246599,-0.02596919
O=C,OCC(O)C(O)C(O)CO,0.2806956,0.04073904
O=C,CCC(CC)C(O)=O,0.53959422,0.11586186
O=C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.4848111,0.07066853
O=C,COc1cc(C)ccc1C(C)(C)C,0.8844846,0.17965256
O=C,CC2CCC(CC1=C2CCC1C)=C(C)C,1.59518037,0.3096061
O=C,COC(=O)c1ccccc1C,0.33789743,0.0756209
O=C,CC(=O)c1ccc(C)cc1C,0.36377109,0.07381958
O=C,Cc2c1ccccc1ccc2,0.44068704,0.10602303
O=C,O=C2CCCCC2C1CCCCC1,0.82651935,0.1464693
O=C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.15896855,-0.02764757
O=C,CC(C=O)c1ccccc1,0.09479779,0.02456465
O=C,CCC(O)c1ccccc1,0.27427524,0.05611411
O=C,CCOC(=O)c1ccccc1,0.32867142,0.07122255
O=C,CC(OC(C)c2ccccc2)c1ccccc1,0.35163274,0.06834856
O=C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.14639989,-0.02696209
O=C,CCOC(=O)c(cc1)ccc1C,0.40997668,0.08227409
O=C,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.16064358,-0.01537918
O=C,O=C(OCCc1ccccc1)c2ccccc2,0.11856359,0.02529472
O=C,CCCc2cc1OCOc1cc2,0.31255698,0.06827459
O=C,COC(C1CCC(CC1)C(OC)=O)=O,0.06486031,0.00233965
O=C,CCCC1CCCCC1=O,0.68613537,0.12732556
O=C,CCOc1ccc(C=CC)cc1O,-0.13457386,-0.04118898
O=C,CCCC(O)C(CO)CC,1.05363568,0.19825045
O=C,Cc(ccc1C)cc1C,0.91237062,0.20437558
O=C,CCOC(=O)C(OCC)=O,0.00344704,-0.00378889
O=C,CC1OC(C(C)OC1=O)=O,-0.31254823,-0.06382024
O=C,CCCCC(=O)C(C)=O,0.33450015,0.06551028
O=C,C=CCOC(=O)C(C)=C,0.36767676,0.07920303
O=C,C1OC1c2ccccc2,0.08880081,0.02596098
O=C,CCC(C)CC,2.34008185,0.53165075
O=C,CCC(CC)=O,0.4245284,0.08714791
O=C,OCC(CO)=O,0.19902546,0.0252828
O=C,COC(=O)C=C,0.16748521,0.03982847
O=C,COC(CO)=O,0.14190873,0.0263258
O=C,CC1CCCC1,2.37286624,0.54727035
