SMILES0,SMILES,gamma1,gamma2
O=C1C=CC=CC=C1,OC(C)C(O)=O,-5.099018,-1.4101754
O=C1C=CC=CC=C1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.598616,0.15042522
O=C1C=CC=CC=C1,OCC(O)C,-0.78794655,-0.19317527
O=C1C=CC=CC=C1,O=C1CCO1,0.29261854,0.07235046
O=C1C=CC=CC=C1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.38823365,0.08084259
O=C1C=CC=CC=C1,CCOCC,1.45391583,0.34237086
O=C1C=CC=CC=C1,OCC,-0.41506925,-0.07632489
O=C1C=CC=CC=C1,CCCCCC=O,0.87080583,0.21457644
O=C1C=CC=CC=C1,CO,-0.49952885,-0.0957914
O=C1C=CC=CC=C1,OC(C)C,-0.13413353,-0.01127939
O=C1C=CC=CC=C1,CC(C)=O,0.04955938,0.01113918
O=C1C=CC=CC=C1,OCCC,-0.55231063,-0.10792703
O=C1C=CC=CC=C1,OCCCC,-0.3336809,-0.04724556
O=C1C=CC=CC=C1,OCCCCC,-0.2411747,-0.02211033
O=C1C=CC=CC=C1,CC1OC1,0.28201068,0.0639339
O=C1C=CC=CC=C1,CCC(C)(C)C,3.82289579,0.86305836
O=C1C=CC=CC=C1,CC(C)(C)C(C)=O,0.8245895,0.20147291
O=C1C=CC=CC=C1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.50246394,0.36209136
O=C1C=CC=CC=C1,COC(C)(C)OC,1.08146764,0.26192077
O=C1C=CC=CC=C1,CCC1(CC)CCCCC1,3.77453759,0.88740537
O=C1C=CC=CC=C1,CCOC(C)(OCC)OCC,1.27359326,0.31221293
O=C1C=CC=CC=C1,CC(C)CCCC(O)(C)CC,0.67501382,0.18542022
O=C1C=CC=CC=C1,CCC(C)C,3.87559749,0.8541383
O=C1C=CC=CC=C1,CC(=C)C=C,1.41976071,0.32163704
O=C1C=CC=CC=C1,CC(=C)C#C,-1.74755351,-0.37636307
O=C1C=CC=CC=C1,OCC(C)C,-0.74763968,-0.14698073
O=C1C=CC=CC=C1,CC(C)C=O,0.54464115,0.13050969
O=C1C=CC=CC=C1,CC(=C)C=O,0.19688207,0.04685809
O=C1C=CC=CC=C1,CCC(O)C,-0.21684319,-0.02896267
O=C1C=CC=CC=C1,CCC(C)=O,0.33196516,0.08060204
O=C1C=CC=CC=C1,COC(C)=O,0.13064638,0.03093416
O=C1C=CC=CC=C1,CC(C)C(C)C,3.84978187,0.87049761
