SMILES0,SMILES,gamma1,gamma2
O=C1C=CC=CO1,OC(C)C(O)=O,-1.06289862,-0.27431963
O=C1C=CC=CO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.29718666,0.31076366
O=C1C=CC=CO1,OCC(O)C,1.23299671,0.29925265
O=C1C=CC=CO1,O=C1CCO1,0.27902678,0.0703415
O=C1C=CC=CO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.77432938,0.14674651
O=C1C=CC=CO1,CCOCC,1.58424136,0.3896373
O=C1C=CC=CO1,OCC,1.50253022,0.35663453
O=C1C=CC=CO1,CCCCCC=O,1.19312812,0.28877496
O=C1C=CC=CO1,CO,1.3474426,0.30938866
O=C1C=CC=CO1,OC(C)C,1.63471916,0.39352983
O=C1C=CC=CO1,CC(C)=O,-0.03779904,-0.00837486
O=C1C=CC=CO1,OCCC,1.61032546,0.38930741
O=C1C=CC=CO1,OCCCC,1.7762893,0.43490231
O=C1C=CC=CO1,OCCCCC,1.9140259,0.46761818
O=C1C=CC=CO1,CC1OC1,0.35828639,0.08859441
O=C1C=CC=CO1,CCC(C)(C)C,4.63369027,1.03989416
O=C1C=CC=CO1,CC(C)(C)C(C)=O,0.94929049,0.23116556
O=C1C=CC=CO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.9174534,0.43843637
O=C1C=CC=CO1,COC(C)(C)OC,1.18871663,0.28960951
O=C1C=CC=CO1,CCC1(CC)CCCCC1,4.57735441,1.04960998
O=C1C=CC=CO1,CCOC(C)(OCC)OCC,1.41117696,0.33134356
O=C1C=CC=CO1,CC(C)CCCC(O)(C)CC,2.4089045,0.56092179
O=C1C=CC=CO1,CCC(C)C,4.69902881,1.03800577
O=C1C=CC=CO1,CC(=C)C=C,2.1514789,0.48816976
O=C1C=CC=CO1,CC(=C)C#C,-0.12575136,-0.00334354
O=C1C=CC=CO1,OCC(C)C,1.62300597,0.3999174
O=C1C=CC=CO1,CC(C)C=O,0.74807043,0.1832298
O=C1C=CC=CO1,CC(=C)C=O,0.36910671,0.09083358
O=C1C=CC=CO1,CCC(O)C,1.7360423,0.42200725
O=C1C=CC=CO1,CCC(C)=O,0.35733213,0.0895823
O=C1C=CC=CO1,COC(C)=O,0.24626392,0.06089638
O=C1C=CC=CO1,CC(C)C(C)C,4.66166223,1.04758549
O=C1C=CC=CO1,CC(C)C(O)=O,-0.73923311,-0.19036532
O=C1C=CC=CO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.47137818,0.31901793
O=C1C=CC=CO1,OOC(C)(C)C(CC1)CCC1C,0.38177405,0.07348027
O=C1C=CC=CO1,CCOC(C(O)(C)C)=O,0.9285418,0.22314621
O=C1C=CC=CO1,COC(=O)C(C)=C,0.79616771,0.19535748
O=C1C=CC=CO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.24004837,0.06326276
O=C1C=CC=CO1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.24205064,0.057355
O=C1C=CC=CO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.29746889,0.42884038
O=C1C=CC=CO1,CCOC(=O)c1ccccc1C(OCC)=O,0.59021969,0.13587889
O=C1C=CC=CO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.1019794,0.23267313
O=C1C=CC=CO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.45520242,0.28393676
O=C1C=CC=CO1,CC(C)CCOC(=O)c1ccccc1O,1.68073264,0.39444693
O=C1C=CC=CO1,Oc2ccccc2C(OCCc1ccccc1)=O,0.98059947,0.23575523
O=C1C=CC=CO1,O=C2c1ccccc1CO2,0.10857609,0.02695567
O=C1C=CC=CO1,OCC(O)C(O)C(O)CO,0.63613909,0.1470405
O=C1C=CC=CO1,CCC(CC)C(O)=O,-0.41082164,-0.10881731
O=C1C=CC=CO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.77545381,0.165978
O=C1C=CC=CO1,COc1cc(C)ccc1C(C)(C)C,2.36782193,0.55779328
O=C1C=CC=CO1,CC2CCC(CC1=C2CCC1C)=C(C)C,3.66563685,0.84479596
O=C1C=CC=CO1,COC(=O)c1ccccc1C,1.03499161,0.25375013
O=C1C=CC=CO1,CC(=O)c1ccc(C)cc1C,0.93386615,0.22592953
O=C1C=CC=CO1,Cc2c1ccccc1ccc2,1.48976334,0.36048059
O=C1C=CC=CO1,O=C2CCCCC2C1CCCCC1,1.81286207,0.41692774
O=C1C=CC=CO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.33602984,0.07768063
O=C1C=CC=CO1,CC(C=O)c1ccccc1,0.68073715,0.16711441
O=C1C=CC=CO1,CCC(O)c1ccccc1,0.19678306,0.05717964
O=C1C=CC=CO1,CCOC(=O)c1ccccc1,0.97792636,0.23936281
O=C1C=CC=CO1,CC(OC(C)c2ccccc2)c1ccccc1,1.44076982,0.33893214
O=C1C=CC=CO1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.45617385,0.10336398
O=C1C=CC=CO1,CCOC(=O)c(cc1)ccc1C,1.14605328,0.27600152
O=C1C=CC=CO1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.88610603,0.12159538
O=C1C=CC=CO1,O=C(OCCc1ccccc1)c2ccccc2,0.91163011,0.21777878
O=C1C=CC=CO1,CCCc2cc1OCOc1cc2,1.20844023,0.29251586
O=C1C=CC=CO1,COC(C1CCC(CC1)C(OC)=O)=O,0.61898328,0.13813796
O=C1C=CC=CO1,CCCC1CCCCC1=O,1.42355888,0.3360228
O=C1C=CC=CO1,CCOc1ccc(C=CC)cc1O,-0.51289679,-0.1043798
O=C1C=CC=CO1,CCCC(O)C(CO)CC,1.84986452,0.42871284
O=C1C=CC=CO1,Cc(ccc1C)cc1C,2.27713775,0.53868339
O=C1C=CC=CO1,CCOC(=O)C(OCC)=O,0.45820598,0.10997135
O=C1C=CC=CO1,CC1OC(C(C)OC1=O)=O,-0.10528761,-0.02655999
O=C1C=CC=CO1,CCCCC(=O)C(C)=O,1.07055569,0.25720814
O=C1C=CC=CO1,C=CCOC(=O)C(C)=C,1.0198617,0.24848415
O=C1C=CC=CO1,C1OC1c2ccccc2,0.67876894,0.16661514
O=C1C=CC=CO1,CCC(C)CC,4.69018606,1.05509478
O=C1C=CC=CO1,CCC(CC)=O,0.76670278,0.1882431
