SMILES0,SMILES,gamma1,gamma2
O=C1C=CCC1,OC(C)C(O)=O,-2.83096245,-0.74290771
O=C1C=CCC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.03174966,0.01912348
O=C1C=CCC1,OCC(O)C,-0.055164,-0.01223282
O=C1C=CCC1,O=C1CCO1,0.25410457,0.0622704
O=C1C=CCC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.06925254,-0.01453875
O=C1C=CCC1,CCOCC,0.91264934,0.22493205
O=C1C=CCC1,OCC,0.25297853,0.07172335
O=C1C=CCC1,CCCCCC=O,0.39263639,0.09868602
O=C1C=CCC1,CO,0.35884626,0.09730654
O=C1C=CCC1,OC(C)C,0.31956937,0.08710274
O=C1C=CCC1,CC(C)=O,0.0158596,0.00392606
O=C1C=CCC1,OCCC,0.09734682,0.03642917
O=C1C=CCC1,OCCCC,0.19067015,0.06464699
O=C1C=CCC1,OCCCCC,0.22198053,0.07350921
O=C1C=CCC1,CC1OC1,0.12488504,0.03035371
O=C1C=CCC1,CCC(C)(C)C,2.54914723,0.61486701
O=C1C=CCC1,CC(C)(C)C(C)=O,0.4237179,0.1054099
O=C1C=CCC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.76388324,0.18564264
O=C1C=CCC1,COC(C)(C)OC,0.5950977,0.14798503
O=C1C=CCC1,CCC1(CC)CCCCC1,2.47953815,0.60947548
O=C1C=CCC1,CCOC(C)(OCC)OCC,0.68339712,0.16893386
O=C1C=CCC1,CC(C)CCCC(O)(C)CC,0.65799908,0.16784222
O=C1C=CCC1,CCC(C)C,2.61579206,0.62149626
O=C1C=CCC1,CC(=C)C=C,0.74142075,0.17990397
O=C1C=CCC1,CC(=C)C#C,-1.52469608,-0.3607934
O=C1C=CCC1,OCC(C)C,-0.11001066,-0.00755603
O=C1C=CCC1,CC(C)C=O,0.23988369,0.05954449
O=C1C=CCC1,CC(=C)C=O,0.05113955,0.01269664
O=C1C=CCC1,CCC(O)C,0.20919808,0.0629544
O=C1C=CCC1,CCC(C)=O,0.13685255,0.03414524
O=C1C=CCC1,COC(C)=O,0.00709229,0.00174596
O=C1C=CCC1,CC(C)C(C)C,2.57602508,0.6223099
O=C1C=CCC1,CC(C)C(O)=O,-2.82964675,-0.75381525
O=C1C=CCC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.477995,0.1122989
O=C1C=CCC1,OOC(C)(C)C(CC1)CCC1C,-1.95836724,-0.51903479
O=C1C=CCC1,CCOC(C(O)(C)C)=O,0.12475013,0.03199498
O=C1C=CCC1,COC(=O)C(C)=C,0.16829222,0.04252027
O=C1C=CCC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.05350503,-0.24264485
O=C1C=CCC1,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.24378482,-0.05440497
