SMILES0,SMILES,gamma1,gamma2
O=C1C=CCCC1,OC(C)C(O)=O,-2.42306461,-0.63811213
O=C1C=CCCC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.16139552,-0.03307133
O=C1C=CCCC1,OCC(O)C,0.01426941,0.00438227
O=C1C=CCCC1,O=C1CCO1,0.61590014,0.14848939
O=C1C=CCCC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.2460986,-0.05204824
O=C1C=CCCC1,CCOCC,0.53783722,0.13210249
O=C1C=CCCC1,OCC,0.18183692,0.05273727
O=C1C=CCCC1,CCCCCC=O,0.12870663,0.03256907
O=C1C=CCCC1,CO,0.45046825,0.11708922
O=C1C=CCCC1,OC(C)C,0.15142825,0.04347476
O=C1C=CCCC1,CC(C)=O,-0.01652111,-0.00394011
O=C1C=CCCC1,OCCC,-0.05902108,-0.00582352
O=C1C=CCCC1,OCCCC,-0.02328538,0.00711607
O=C1C=CCCC1,OCCCCC,-0.03255496,0.00553594
O=C1C=CCCC1,CC1OC1,-0.01656795,-0.00412903
O=C1C=CCCC1,CCC(C)(C)C,1.89426614,0.45822338
O=C1C=CCCC1,CC(C)(C)C(C)=O,0.17936875,0.04474563
O=C1C=CCCC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.38834393,0.0967649
O=C1C=CCCC1,COC(C)(C)OC,0.29725169,0.0741007
O=C1C=CCCC1,CCC1(CC)CCCCC1,1.83983694,0.45691304
O=C1C=CCCC1,CCOC(C)(OCC)OCC,0.36017644,0.09094138
O=C1C=CCCC1,CC(C)CCCC(O)(C)CC,0.27870705,0.07559128
O=C1C=CCCC1,CCC(C)C,1.95086384,0.46339502
O=C1C=CCCC1,CC(=C)C=C,0.36243227,0.08714312
O=C1C=CCCC1,CC(=C)C#C,-1.63950655,-0.39691995
O=C1C=CCCC1,OCC(C)C,-0.32235738,-0.06595838
O=C1C=CCCC1,CC(C)C=O,0.04823861,0.01191326
O=C1C=CCCC1,CC(=C)C=O,-0.00680202,-0.00167803
O=C1C=CCCC1,CCC(O)C,-0.02097578,0.00224521
O=C1C=CCCC1,CCC(C)=O,0.01038237,0.00257945
O=C1C=CCCC1,COC(C)=O,-0.03530014,-0.00876409
O=C1C=CCCC1,CC(C)C(C)C,1.92046163,0.46542936
O=C1C=CCCC1,CC(C)C(O)=O,-2.76046751,-0.73283304
O=C1C=CCCC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.16736966,0.04139788
O=C1C=CCCC1,OOC(C)(C)C(CC1)CCC1C,-2.15393442,-0.57079151
O=C1C=CCCC1,CCOC(C(O)(C)C)=O,-0.07920931,-0.01895606
O=C1C=CCCC1,COC(=O)C(C)=C,0.01225872,0.0030701
O=C1C=CCCC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.18876912,-0.28389709
O=C1C=CCCC1,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.15982565,-0.03689859
O=C1C=CCCC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.23056705,-0.07999882
O=C1C=CCCC1,CCOC(=O)c1ccccc1C(OCC)=O,-0.18732118,-0.04260795
O=C1C=CCCC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.09901023,-0.01981652
O=C1C=CCCC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.00335593,0.00301754
O=C1C=CCCC1,CC(C)CCOC(=O)c1ccccc1O,0.05561297,0.01750857
O=C1C=CCCC1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.29666538,-0.06511538
O=C1C=CCCC1,O=C2c1ccccc1CO2,-0.02459881,-0.00449352
