SMILES0,SMILES,gamma1,gamma2
O=C1C=CCO1,OC(C)C(O)=O,-0.85994265,-0.21513576
O=C1C=CCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.87274289,0.44426312
O=C1C=CCO1,OCC(O)C,1.47981045,0.35572521
O=C1C=CCO1,O=C1CCO1,0.1185318,0.02943999
O=C1C=CCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.06363035,0.20001541
O=C1C=CCO1,CCOCC,2.11565366,0.52178008
O=C1C=CCO1,OCC,1.96118141,0.46224746
O=C1C=CCO1,CCCCCC=O,1.57206279,0.37964057
O=C1C=CCO1,CO,1.6774957,0.38132261
O=C1C=CCO1,OC(C)C,2.13932346,0.51294207
O=C1C=CCO1,CC(C)=O,0.15793887,0.04173074
O=C1C=CCO1,OCCC,2.15444719,0.51761614
O=C1C=CCO1,OCCCC,2.35506709,0.57285189
O=C1C=CCO1,OCCCCC,2.52544861,0.61323963
O=C1C=CCO1,CC1OC1,0.68195328,0.17020852
O=C1C=CCO1,CCC(C)(C)C,5.47171774,1.24144237
O=C1C=CCO1,CC(C)(C)C(C)=O,1.3257713,0.32187854
O=C1C=CCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.42432091,0.54993174
O=C1C=CCO1,COC(C)(C)OC,1.60846104,0.3911372
O=C1C=CCO1,CCC1(CC)CCCCC1,5.40018553,1.24288835
O=C1C=CCO1,CCOC(C)(OCC)OCC,1.87562208,0.43504823
O=C1C=CCO1,CC(C)CCCC(O)(C)CC,3.08882069,0.71554832
O=C1C=CCO1,CCC(C)C,5.56505784,1.24642906
O=C1C=CCO1,CC(=C)C=C,2.81636041,0.65492252
O=C1C=CCO1,CC(=C)C#C,0.42775473,0.14503994
O=C1C=CCO1,OCC(C)C,2.22572602,0.54375198
O=C1C=CCO1,CC(C)C=O,1.06727972,0.26203574
O=C1C=CCO1,CC(=C)C=O,0.69322554,0.17195979
O=C1C=CCO1,CCC(O)C,2.3127751,0.5599964
O=C1C=CCO1,CCC(C)=O,0.63283081,0.15830219
O=C1C=CCO1,COC(C)=O,0.45432602,0.1128615
O=C1C=CCO1,CC(C)C(C)C,5.5094981,1.25130274
O=C1C=CCO1,CC(C)C(O)=O,-0.09532853,-0.02438696
O=C1C=CCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.96547166,0.42319588
O=C1C=CCO1,OOC(C)(C)C(CC1)CCC1C,1.11612128,0.25196581
O=C1C=CCO1,CCOC(C(O)(C)C)=O,1.2907418,0.30895512
O=C1C=CCO1,COC(=O)C(C)=C,1.19098421,0.29322681
O=C1C=CCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.77588657,0.19299698
O=C1C=CCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.56558275,0.13209499
O=C1C=CCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.02438003,0.56738472
O=C1C=CCO1,CCOC(=O)c1ccccc1C(OCC)=O,0.90954463,0.2070197
O=C1C=CCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.53567693,0.31998704
O=C1C=CCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.93800936,0.37209798
O=C1C=CCO1,CC(C)CCOC(=O)c1ccccc1O,2.24350212,0.52398887
O=C1C=CCO1,Oc2ccccc2C(OCCc1ccccc1)=O,1.44886635,0.3457532
O=C1C=CCO1,O=C2c1ccccc1CO2,0.26089801,0.06527876
O=C1C=CCO1,OCC(O)C(O)C(O)CO,0.63640057,0.14299535
O=C1C=CCO1,CCC(CC)C(O)=O,0.33020457,0.07954813
O=C1C=CCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.43963639,0.3187329
O=C1C=CCO1,COc1cc(C)ccc1C(C)(C)C,3.00243861,0.70863359
O=C1C=CCO1,CC2CCC(CC1=C2CCC1C)=C(C)C,4.40262344,1.01078108
O=C1C=CCO1,COC(=O)c1ccccc1C,1.50876278,0.37078778
O=C1C=CCO1,CC(=O)c1ccc(C)cc1C,1.41578061,0.34169472
O=C1C=CCO1,Cc2c1ccccc1ccc2,2.07027832,0.50743079
O=C1C=CCO1,O=C2CCCCC2C1CCCCC1,2.28453249,0.52188169
O=C1C=CCO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.65456403,0.15108133
O=C1C=CCO1,CC(C=O)c1ccccc1,1.02514321,0.25293464
O=C1C=CCO1,CCC(O)c1ccccc1,0.81999771,0.2142532
