SMILES0,SMILES,gamma1,gamma2
O=C1C=COC=C1,OC(C)C(O)=O,-3.88569813,-1.05418078
O=C1C=COC=C1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.25387542,0.53246156
O=C1C=COC=C1,OCC(O)C,-0.01324528,0.00190265
O=C1C=COC=C1,O=C1CCO1,0.74260383,0.18177991
O=C1C=COC=C1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.38723026,0.29342302
O=C1C=COC=C1,CCOCC,2.220451,0.51126585
O=C1C=COC=C1,OCC,0.42752171,0.11372751
O=C1C=COC=C1,CCCCCC=O,1.83179632,0.43220456
O=C1C=COC=C1,CO,0.11392809,0.03491473
O=C1C=COC=C1,OC(C)C,0.7892777,0.20007144
O=C1C=COC=C1,CC(C)=O,0.38485593,0.08728412
O=C1C=COC=C1,OCCC,0.51164498,0.13948804
O=C1C=COC=C1,OCCCC,0.80272192,0.2142496
O=C1C=COC=C1,OCCCCC,0.98970314,0.25998406
O=C1C=COC=C1,CC1OC1,0.89906004,0.19927936
O=C1C=COC=C1,CCC(C)(C)C,5.95660687,1.21889426
O=C1C=COC=C1,CC(C)(C)C(C)=O,1.53282546,0.36123566
O=C1C=COC=C1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.71287185,0.62473373
O=C1C=COC=C1,COC(C)(C)OC,1.79254838,0.42026158
O=C1C=COC=C1,CCC1(CC)CCCCC1,5.89515411,1.25970747
O=C1C=COC=C1,CCOC(C)(OCC)OCC,2.03596961,0.48036848
O=C1C=COC=C1,CC(C)CCCC(O)(C)CC,2.04906165,0.48765261
O=C1C=COC=C1,CCC(C)C,6.03380397,1.20563555
O=C1C=COC=C1,CC(=C)C=C,3.22936338,0.66727325
O=C1C=COC=C1,CC(=C)C#C,-0.02317041,0.04370893
O=C1C=COC=C1,OCC(C)C,0.51893229,0.1506273
O=C1C=COC=C1,CC(C)C=O,1.3578143,0.31254252
O=C1C=COC=C1,CC(=C)C=O,0.90540303,0.20880552
O=C1C=COC=C1,CCC(O)C,0.90888293,0.23321103
O=C1C=COC=C1,CCC(C)=O,0.83115004,0.19612416
O=C1C=COC=C1,COC(C)=O,0.79456649,0.18510475
O=C1C=COC=C1,CC(C)C(C)C,5.99018052,1.2274633
O=C1C=COC=C1,CC(C)C(O)=O,-3.65228253,-1.02425885
O=C1C=COC=C1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.21612774,0.49976238
O=C1C=COC=C1,OOC(C)(C)C(CC1)CCC1C,-1.75803879,-0.47654205
O=C1C=COC=C1,CCOC(C(O)(C)C)=O,1.19306205,0.28893802
O=C1C=COC=C1,COC(=O)C(C)=C,1.45679552,0.34239343
O=C1C=COC=C1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.65700493,0.16583198
O=C1C=COC=C1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.75726714,0.18333498
O=C1C=COC=C1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.80241156,0.32309163
O=C1C=COC=C1,CCOC(=O)c1ccccc1C(OCC)=O,1.24426097,0.29558491
O=C1C=COC=C1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.8335666,0.41044104
O=C1C=COC=C1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.24266351,0.47428586
O=C1C=COC=C1,CC(C)CCOC(=O)c1ccccc1O,2.54393569,0.59351794
O=C1C=COC=C1,Oc2ccccc2C(OCCc1ccccc1)=O,1.79487084,0.42895457
O=C1C=COC=C1,O=C2c1ccccc1CO2,0.54495955,0.13378494
O=C1C=COC=C1,OCC(O)C(O)C(O)CO,-0.29666317,-0.076252
O=C1C=COC=C1,CCC(CC)C(O)=O,-3.28802714,-0.92547161
O=C1C=COC=C1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.42261564,-0.11097396
O=C1C=COC=C1,COc1cc(C)ccc1C(C)(C)C,3.43920889,0.78194307
O=C1C=COC=C1,CC2CCC(CC1=C2CCC1C)=C(C)C,4.8820184,1.08450477
