SMILES0,SMILES,gamma1,gamma2
O=C1CC(CCC1)=O,OC(C)C(O)=O,-1.27666401,-0.31837033
O=C1CC(CCC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.38180406,0.3479891
O=C1CC(CCC1)=O,OCC(O)C,1.22476355,0.2923059
O=C1CC(CCC1)=O,O=C1CCO1,0.10883159,0.02547228
O=C1CC(CCC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.61263392,0.13736436
O=C1CC(CCC1)=O,CCOCC,1.7110449,0.4234743
O=C1CC(CCC1)=O,OCC,1.68031483,0.38148456
O=C1CC(CCC1)=O,CCCCCC=O,1.05514293,0.26555787
O=C1CC(CCC1)=O,CO,1.57734887,0.35003881
O=C1CC(CCC1)=O,OC(C)C,1.76804464,0.4128208
O=C1CC(CCC1)=O,CC(C)=O,-0.01753371,-0.00165757
O=C1CC(CCC1)=O,OCCC,1.74648949,0.41045095
O=C1CC(CCC1)=O,OCCCC,1.90050792,0.46263743
O=C1CC(CCC1)=O,OCCCCC,2.02629784,0.50256491
O=C1CC(CCC1)=O,CC1OC1,0.3777489,0.09295221
O=C1CC(CCC1)=O,CCC(C)(C)C,4.71886745,1.08130265
O=C1CC(CCC1)=O,CC(C)(C)C(C)=O,0.94902535,0.23999017
O=C1CC(CCC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.88528936,0.46477182
O=C1CC(CCC1)=O,COC(C)(C)OC,1.23133283,0.30898925
O=C1CC(CCC1)=O,CCC1(CC)CCCCC1,4.66642868,1.11449792
O=C1CC(CCC1)=O,CCOC(C)(OCC)OCC,1.48659396,0.37343045
O=C1CC(CCC1)=O,CC(C)CCCC(O)(C)CC,2.53372913,0.62964555
O=C1CC(CCC1)=O,CCC(C)C,4.81637507,1.07825728
O=C1CC(CCC1)=O,CC(=C)C=C,2.17228728,0.49555174
O=C1CC(CCC1)=O,CC(=C)C#C,-0.35035724,-0.0331769
O=C1CC(CCC1)=O,OCC(C)C,1.69591082,0.41679191
O=C1CC(CCC1)=O,CC(C)C=O,0.64297784,0.15840673
O=C1CC(CCC1)=O,CC(=C)C=O,0.45306317,0.11165197
O=C1CC(CCC1)=O,CCC(O)C,1.84416358,0.44423624
O=C1CC(CCC1)=O,CCC(C)=O,0.34618381,0.08875414
O=C1CC(CCC1)=O,COC(C)=O,0.20096164,0.05005192
O=C1CC(CCC1)=O,CC(C)C(C)C,4.76669375,1.09434545
O=C1CC(CCC1)=O,CC(C)C(O)=O,-0.65817969,-0.15375261
O=C1CC(CCC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.4860795,0.35739052
O=C1CC(CCC1)=O,OOC(C)(C)C(CC1)CCC1C,0.34022229,0.1127395
O=C1CC(CCC1)=O,CCOC(C(O)(C)C)=O,0.8939366,0.2252975
O=C1CC(CCC1)=O,COC(=O)C(C)=C,0.8486655,0.21166244
O=C1CC(CCC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.29122812,0.08181065
O=C1CC(CCC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.4536187,0.11116608
O=C1CC(CCC1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.3518226,0.50627091
O=C1CC(CCC1)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.57024068,0.14185651
O=C1CC(CCC1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.072334,0.25247942
O=C1CC(CCC1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.40603395,0.31119044
O=C1CC(CCC1)=O,CC(C)CCOC(=O)c1ccccc1O,1.69761062,0.42467794
O=C1CC(CCC1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.98830637,0.25396453
O=C1CC(CCC1)=O,O=C2c1ccccc1CO2,0.16003913,0.0402657
O=C1CC(CCC1)=O,OCC(O)C(O)C(O)CO,0.36871078,0.07985823
