SMILES0,SMILES,gamma1,gamma2
O=C1CCC(CC1)=O,OC(C)C(O)=O,-2.43848551,-0.6025514
O=C1CCC(CC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.57783757,0.40833812
O=C1CCC(CC1)=O,OCC(O)C,0.95005337,0.23368721
O=C1CCC(CC1)=O,O=C1CCO1,-0.03129646,-0.007976
O=C1CCC(CC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.82663713,0.19281953
O=C1CCC(CC1)=O,CCOCC,2.22086054,0.53940632
O=C1CCC(CC1)=O,OCC,1.5915767,0.36375146
O=C1CCC(CC1)=O,CCCCCC=O,1.35916719,0.34301794
O=C1CCC(CC1)=O,CO,1.37470204,0.30735367
O=C1CCC(CC1)=O,OC(C)C,1.79113155,0.42215406
O=C1CCC(CC1)=O,CC(C)=O,0.18862635,0.04751747
O=C1CCC(CC1)=O,OCCC,1.66656012,0.40077823
O=C1CCC(CC1)=O,OCCCC,1.88691638,0.47259071
O=C1CCC(CC1)=O,OCCCCC,2.03989766,0.523316
O=C1CCC(CC1)=O,CC1OC1,0.64321422,0.15247652
O=C1CCC(CC1)=O,CCC(C)(C)C,5.33922476,1.22904681
O=C1CCC(CC1)=O,CC(C)(C)C(C)=O,1.30430543,0.32792106
O=C1CCC(CC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.31193863,0.5775502
O=C1CCC(CC1)=O,COC(C)(C)OC,1.659967,0.41264816
O=C1CCC(CC1)=O,CCC1(CC)CCCCC1,5.28277419,1.27283827
O=C1CCC(CC1)=O,CCOC(C)(OCC)OCC,1.94885081,0.49189759
O=C1CCC(CC1)=O,CC(C)CCCC(O)(C)CC,2.76916422,0.70534465
O=C1CCC(CC1)=O,CCC(C)C,5.4483555,1.22319611
O=C1CCC(CC1)=O,CC(=C)C=C,2.49881617,0.57455601
O=C1CCC(CC1)=O,CC(=C)C#C,-0.55817554,-0.05194517
O=C1CCC(CC1)=O,OCC(C)C,1.59560097,0.4106095
O=C1CCC(CC1)=O,CC(C)C=O,0.90524499,0.22003977
O=C1CCC(CC1)=O,CC(=C)C=O,0.64985819,0.15793461
O=C1CCC(CC1)=O,CCC(O)C,1.87269746,0.4604225
O=C1CCC(CC1)=O,CCC(C)=O,0.61050299,0.1522992
O=C1CCC(CC1)=O,COC(C)=O,0.36764832,0.08918719
O=C1CCC(CC1)=O,CC(C)C(C)C,5.39267614,1.24371768
O=C1CCC(CC1)=O,CC(C)C(O)=O,-1.57635488,-0.37238629
O=C1CCC(CC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.86543132,0.4582823
O=C1CCC(CC1)=O,OOC(C)(C)C(CC1)CCC1C,-0.20287963,0.0089358
O=C1CCC(CC1)=O,CCOC(C(O)(C)C)=O,1.11952443,0.28375909
O=C1CCC(CC1)=O,COC(=O)C(C)=C,1.09764029,0.27323624
O=C1CCC(CC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.26054748,0.08354653
O=C1CCC(CC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.55441388,0.14125686
