SMILES0,SMILES,gamma1,gamma2
O=C1CCC1,OC(C)C(O)=O,-0.71604425,-0.19447616
O=C1CCC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.21333309,-0.04100461
O=C1CCC1,OCC(O)C,0.67472617,0.15046462
O=C1CCC1,O=C1CCO1,0.47273061,0.11774101
O=C1CCC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.26677755,-0.05356081
O=C1CCC1,CCOCC,0.48931899,0.12236003
O=C1CCC1,OCC,0.81372266,0.19080683
O=C1CCC1,CCCCCC=O,0.11963907,0.03012136
O=C1CCC1,CO,1.08724692,0.25304568
O=C1CCC1,OC(C)C,0.69465402,0.16387725
O=C1CCC1,CC(C)=O,0.00439744,0.00110519
O=C1CCC1,OCCC,0.63910985,0.15060632
O=C1CCC1,OCCCC,0.61702215,0.14885311
O=C1CCC1,OCCCCC,0.59395955,0.14344771
O=C1CCC1,CC1OC1,0.02032814,0.00506661
O=C1CCC1,CCC(C)(C)C,1.63198591,0.40517149
O=C1CCC1,CC(C)(C)C(C)=O,0.15194806,0.03758775
O=C1CCC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.29005662,0.06998867
O=C1CCC1,COC(C)(C)OC,0.25247673,0.06270974
O=C1CCC1,CCC1(CC)CCCCC1,1.5540887,0.38496093
O=C1CCC1,CCOC(C)(OCC)OCC,0.27347193,0.06690768
O=C1CCC1,CC(C)CCCC(O)(C)CC,0.63114976,0.14841059
O=C1CCC1,CCC(C)C,1.6954956,0.41797609
O=C1CCC1,CC(=C)C=C,0.329131,0.0830336
O=C1CCC1,CC(=C)C#C,-1.06241864,-0.26389605
O=C1CCC1,OCC(C)C,0.44038724,0.10710127
O=C1CCC1,CC(C)C=O,0.06138715,0.01536517
O=C1CCC1,CC(=C)C=O,0.01049845,0.00262625
O=C1CCC1,CCC(O)C,0.56441835,0.13579037
O=C1CCC1,CCC(C)=O,0.02481962,0.0061979
O=C1CCC1,COC(C)=O,-0.02189268,-0.00546883
O=C1CCC1,CC(C)C(C)C,1.65420204,0.41115431
O=C1CCC1,CC(C)C(O)=O,-0.8631775,-0.21390874
O=C1CCC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.08214429,0.02027964
O=C1CCC1,OOC(C)(C)C(CC1)CCC1C,-0.66452888,-0.1687074
O=C1CCC1,CCOC(C(O)(C)C)=O,0.04520152,0.01179251
O=C1CCC1,COC(=O)C(C)=C,0.01151485,0.00314775
O=C1CCC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.83544606,-0.18639704
O=C1CCC1,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.20445789,-0.04543273
O=C1CCC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.23969888,0.0283095
O=C1CCC1,CCOC(=O)c1ccccc1C(OCC)=O,-0.22197755,-0.04800803
