SMILES0,SMILES,gamma1,gamma2
O=C1CCCC1,OC(C)C(O)=O,-1.39572777,-0.36922507
O=C1CCCC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.21421448,-0.0462779
O=C1CCCC1,OCC(O)C,0.3042294,0.0681407
O=C1CCCC1,O=C1CCO1,0.81384163,0.19806968
O=C1CCCC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.35001568,-0.07147089
O=C1CCCC1,CCOCC,0.342442,0.08525469
O=C1CCCC1,OCC,0.42499679,0.10421288
O=C1CCCC1,CCCCCC=O,-0.00732589,-0.0013578
O=C1CCCC1,CO,0.79990592,0.19219783
O=C1CCCC1,OC(C)C,0.2897287,0.07065355
O=C1CCCC1,CC(C)=O,0.05992812,0.01493006
O=C1CCCC1,OCCC,0.15644356,0.03898308
O=C1CCCC1,OCCCC,0.1251701,0.03433214
O=C1CCCC1,OCCCCC,0.0800949,0.02344237
O=C1CCCC1,CC1OC1,0.01280108,0.00316056
O=C1CCCC1,CCC(C)(C)C,1.36387989,0.33757407
O=C1CCCC1,CC(C)(C)C(C)=O,0.06018559,0.01507636
O=C1CCCC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.12859842,0.03422542
O=C1CCCC1,COC(C)(C)OC,0.14275963,0.03577448
O=C1CCCC1,CCC1(CC)CCCCC1,1.29594678,0.32581521
O=C1CCCC1,CCOC(C)(OCC)OCC,0.15129446,0.03917265
O=C1CCCC1,CC(C)CCCC(O)(C)CC,0.18751274,0.04821443
O=C1CCCC1,CCC(C)C,1.42852681,0.34869136
O=C1CCCC1,CC(=C)C=C,0.21570415,0.05359802
O=C1CCCC1,CC(=C)C#C,-1.32809596,-0.33076961
O=C1CCCC1,OCC(C)C,-0.11570523,-0.02403276
O=C1CCCC1,CC(C)C=O,0.00206417,0.00051255
O=C1CCCC1,CC(=C)C=O,0.06195905,0.01540692
O=C1CCCC1,CCC(O)C,0.09954548,0.02570064
O=C1CCCC1,CCC(C)=O,0.00593147,0.00148275
