SMILES0,SMILES,gamma1,gamma2
O=C1CCCCC1,OC(C)C(O)=O,-1.39961929,-0.3757206
O=C1CCCCC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,-0.2174806,-0.0492554
O=C1CCCCC1,OCC(O)C,0.29889718,0.06986994
O=C1CCCCC1,O=C1CCO1,1.19252531,0.28602815
O=C1CCCCC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.33836151,-0.07107924
O=C1CCCCC1,CCOCC,0.21193625,0.05236258
O=C1CCCCC1,OCC,0.3348127,0.08446418
O=C1CCCCC1,CCCCCC=O,-0.05013298,-0.01240222
O=C1CCCCC1,CO,0.80047929,0.19225024
O=C1CCCCC1,OC(C)C,0.16265051,0.04135541
O=C1CCCCC1,CC(C)=O,0.12739811,0.03182665
O=C1CCCCC1,OCCC,0.0073241,0.0040906
O=C1CCCCC1,OCCCC,-0.04298819,-0.00589058
O=C1CCCCC1,OCCCCC,-0.10623816,-0.02186603
O=C1CCCCC1,CC1OC1,0.00865953,0.00206408
O=C1CCCCC1,CCC(C)(C)C,1.13863282,0.27919341
O=C1CCCCC1,CC(C)(C)C(C)=O,0.01517572,0.00377703
O=C1CCCCC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.0305295,0.00976701
O=C1CCCCC1,COC(C)(C)OC,0.0615569,0.0153988
O=C1CCCCC1,CCC1(CC)CCCCC1,1.09010998,0.27394161
O=C1CCCCC1,CCOC(C)(OCC)OCC,0.0699348,0.01867888
O=C1CCCCC1,CC(C)CCCC(O)(C)CC,-0.01185783,-0.00038064
O=C1CCCCC1,CCC(C)C,1.1947583,0.28789793
O=C1CCCCC1,CC(=C)C=C,0.08746802,0.02128727
O=C1CCCCC1,CC(=C)C#C,-1.41477808,-0.35314841
O=C1CCCCC1,OCC(C)C,-0.30687789,-0.07056171
O=C1CCCCC1,CC(C)C=O,-0.01130415,-0.00281963
O=C1CCCCC1,CC(=C)C=O,0.11742685,0.028766
O=C1CCCCC1,CCC(O)C,-0.06800293,-0.01491335
O=C1CCCCC1,CCC(C)=O,0.02351544,0.00584181
O=C1CCCCC1,COC(C)=O,0.10745075,0.02625454
O=C1CCCCC1,CC(C)C(C)C,1.16570788,0.28637225
O=C1CCCCC1,CC(C)C(O)=O,-2.07596688,-0.53636971
O=C1CCCCC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.10616168,-0.02244806
O=C1CCCCC1,OOC(C)(C)C(CC1)CCC1C,-1.92101257,-0.50056216
O=C1CCCCC1,CCOC(C(O)(C)C)=O,-0.1563971,-0.03831279
O=C1CCCCC1,COC(=O)C(C)=C,0.0067595,0.00168638
O=C1CCCCC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.01191396,-0.24016819
O=C1CCCCC1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.11387184,0.02915579
O=C1CCCCC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.52544841,-0.13132237
O=C1CCCCC1,CCOC(=O)c1ccccc1C(OCC)=O,-0.12510713,-0.0280318
O=C1CCCCC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.23870128,-0.05188285
O=C1CCCCC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.24818654,-0.05007705
O=C1CCCCC1,CC(C)CCOC(=O)c1ccccc1O,-0.15741639,-0.03602672
O=C1CCCCC1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.2962491,-0.06732963
O=C1CCCCC1,O=C2c1ccccc1CO2,0.38173247,0.0976989
O=C1CCCCC1,OCC(O)C(O)C(O)CO,0.07376088,0.01874513
O=C1CCCCC1,CCC(CC)C(O)=O,-2.22217119,-0.57188756
O=C1CCCCC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.30381445,-0.32329414
O=C1CCCCC1,COc1cc(C)ccc1C(C)(C)C,0.03732825,0.01174942
O=C1CCCCC1,CC2CCC(CC1=C2CCC1C)=C(C)C,0.60195236,0.15441386
O=C1CCCCC1,COC(=O)c1ccccc1C,-0.05479769,-0.01334039
O=C1CCCCC1,CC(=O)c1ccc(C)cc1C,-0.01688133,-0.00419692
O=C1CCCCC1,Cc2c1ccccc1ccc2,-0.1032631,-0.02513657
O=C1CCCCC1,O=C2CCCCC2C1CCCCC1,0.12723575,0.03198716
O=C1CCCCC1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.13441471,-0.0283117
O=C1CCCCC1,CC(C=O)c1ccccc1,-0.08913691,-0.0215639
O=C1CCCCC1,CCC(O)c1ccccc1,-1.39186155,-0.35373474
O=C1CCCCC1,CCOC(=O)c1ccccc1,-0.03216537,-0.00783454
O=C1CCCCC1,CC(OC(C)c2ccccc2)c1ccccc1,-0.21049036,-0.0472665
O=C1CCCCC1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.26370316,-0.05332185
O=C1CCCCC1,CCOC(=O)c(cc1)ccc1C,-0.02519193,-0.00604557
O=C1CCCCC1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.28442156,-0.05756088
O=C1CCCCC1,O=C(OCCc1ccccc1)c2ccccc2,-0.18082753,-0.04131649
O=C1CCCCC1,CCCc2cc1OCOc1cc2,-0.49812964,-0.12150963
O=C1CCCCC1,COC(C1CCC(CC1)C(OC)=O)=O,-0.12145452,-0.02854185
O=C1CCCCC1,CCCC1CCCCC1=O,0.07840529,0.02031046
O=C1CCCCC1,CCOc1ccc(C=CC)cc1O,-2.06356714,-0.51126674
O=C1CCCCC1,CCCC(O)C(CO)CC,0.06529556,0.00510666
O=C1CCCCC1,Cc(ccc1C)cc1C,0.14113287,0.03624036
O=C1CCCCC1,CCOC(=O)C(OCC)=O,0.02435976,0.00664449
O=C1CCCCC1,CC1OC(C(C)OC1=O)=O,0.02875447,0.02306822
O=C1CCCCC1,CCCCC(=O)C(C)=O,-0.14212605,-0.03516192
O=C1CCCCC1,C=CCOC(=O)C(C)=C,-0.03174034,-0.00773298
O=C1CCCCC1,C1OC1c2ccccc2,-0.0383221,-0.00902786
O=C1CCCCC1,CCC(C)CC,1.19415884,0.29387156
O=C1CCCCC1,CCC(CC)=O,0.00147033,0.00038301
O=C1CCCCC1,OCC(CO)=O,0.72561897,0.17304082
O=C1CCCCC1,COC(=O)C=C,0.06801165,0.01677554
O=C1CCCCC1,COC(CO)=O,0.21366142,0.05054741
O=C1CCCCC1,CC1CCCC1,1.16760891,0.2836357
O=C1CCCCC1,CC1CCCO1,0.10269296,0.02565791
O=C1CCCCC1,O=C1CCCO1,0.48447832,0.12400723
O=C1CCCCC1,CCCC(C)C(O)=O,-2.24576878,-0.57716684
O=C1CCCCC1,CCOC(C(C)C)=O,0.02510342,0.00637905
O=C1CCCCC1,CCOC(=O)C(C)=C,0.03465269,0.00878794
O=C1CCCCC1,CCOC(C(O)C)=O,-0.1905844,-0.04736749
O=C1CCCCC1,CC(C)C(OC(C(C)C)=O)=O,-0.06410336,-0.01542819
O=C1CCCCC1,CC(C)COC(C(C)C)=O,0.12151712,0.03030034
O=C1CCCCC1,CC(C)COC(=O)C(C)=C,0.08202872,0.02059745
O=C1CCCCC1,CCCCOC(C(C)C)=O,0.10490915,0.02619647
O=C1CCCCC1,CCCCOC(=O)C(C)=C,0.07637877,0.01930575
O=C1CCCCC1,CCC(CC)C=O,0.04568031,0.0113028
O=C1CCCCC1,OCC1CCCO1,0.13205642,0.03083754
O=C1CCCCC1,OCc1occc1,-0.81623691,-0.20964276
O=C1CCCCC1,O=Cc1occc1,0.43044342,0.10249085
O=C1CCCCC1,CC(C)(C)c1ccccc1,0.07616698,0.02059116
O=C1CCCCC1,OOC(C)(C)c(cc1)ccc1C(C)C,-1.98048503,-0.52016552
O=C1CCCCC1,CC(C)(C)c(cc1)ccc1C,0.17433239,0.04551451
O=C1CCCCC1,OC1CCC(CC1)C(C)(C)C,-0.12179507,-0.02929426
O=C1CCCCC1,CC(C)(C)C1CCC(CC1)=O,0.01030539,0.00275588
O=C1CCCCC1,CC(C)c1ccccc1,0.0730435,0.01936613
O=C1CCCCC1,COC(=O)c(ccc1)cc1C,-0.03659825,-0.00904085
O=C1CCCCC1,OC1CC(CC=C1C)C(C)=C,-0.77496012,-0.19521268
O=C1CCCCC1,CC(C)c1cc(C(C)C)ccc1,0.22144268,0.05656037
O=C1CCCCC1,CCCC(CCC)C(O)=O,-2.25744178,-0.5816594
O=C1CCCCC1,CC(C=O)c(cc1)ccc1C,-0.12174754,-0.02929695
O=C1CCCCC1,CC1CCC(C(C)C)CC1,1.11732674,0.2805268
O=C1CCCCC1,CC(C)c(cc1)ccc1C,0.16219913,0.04217982
O=C1CCCCC1,C=CC1CC=CCC1,0.22489525,0.05697647
O=C1CCCCC1,CCc1ccccc1,0.04373889,0.01148208
O=C1CCCCC1,C=Cc1ccccc1,-0.137748,-0.03439767
O=C1CCCCC1,OCC1CCCCC1,-0.30345787,-0.07317241
O=C1CCCCC1,COc1ccccc1,-0.1279041,-0.03183299
O=C1CCCCC1,OCC1CCCCO1,0.11968078,0.0216573
O=C1CCCCC1,OCC(CO1)OC1(C)C,-0.13537642,-0.03366466
O=C1CCCCC1,Cc1cc(C=C)ccc1,-0.09703032,-0.02374038
O=C1CCCCC1,COc(ccc1)cc1C,-0.12920034,-0.03201929
O=C1CCCCC1,COC(=O)Cc1ccccc1,-0.05055645,-0.01162888
O=C1CCCCC1,COC(OC)Cc1ccccc1,-0.12742089,-0.03023152
O=C1CCCCC1,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.24837067,-0.05411941
O=C1CCCCC1,CC(C)COC(=O)Cc1ccccc1,-0.17508029,-0.04053243
O=C1CCCCC1,O=C(OCc2ccccc2)Cc1ccccc1,-0.20073049,-0.04261231
O=C1CCCCC1,CCc1cc(CC)cc(CC)c1,0.31505304,0.08091962
O=C1CCCCC1,CC(=O)Oc(ccc1)cc1O,-2.43213953,-0.62456106
O=C1CCCCC1,COC(OC)CC(OC)OC,-0.07443959,-0.01828278
O=C1CCCCC1,CCCCC(CC)COC(C)=O,0.07821019,0.01988437
O=C1CCCCC1,CCCCC(CC)COC(=O)C=C,0.04605741,0.01321373
O=C1CCCCC1,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-0.08176131,-0.01743806
O=C1CCCCC1,COC(CCc1ccccc1)=O,-0.11270315,-0.02682684
O=C1CCCCC1,CC(C)C(OCc1ccccc1)=O,-0.15355213,-0.03648859
O=C1CCCCC1,CCCC(OCc1ccccc1)=O,-0.16916241,-0.0402539
O=C1CCCCC1,CC(C)CC(OCc1ccccc1)=O,-0.20821327,-0.04777866
O=C1CCCCC1,CC(OCCc1ccccc1)=O,-0.09631373,-0.02309294
O=C1CCCCC1,CC(C)C(OCCc1ccccc1)=O,-0.14449397,-0.03299536
O=C1CCCCC1,CC(C)C(OCCOc1ccccc1)=O,-0.29011229,-0.06576493
O=C1CCCCC1,CCCc1ccccc1,0.07281037,0.01941277
O=C1CCCCC1,CC(C)C(=O)Oc(cc1)ccc1C,-0.13574995,-0.03243928
O=C1CCCCC1,CCCc(cc1)ccc1OC,-0.13498641,-0.03208338
O=C1CCCCC1,CCCCC1OC(CC1)=O,-0.05206853,-0.01259918
O=C1CCCCC1,CCCCc1ccccc1,0.1072582,0.02864434
O=C1CCCCC1,O=COCc1ccccc1,-0.09911476,-0.02354201
O=C1CCCCC1,CCCCCC1OC(CC1)=O,-0.08502388,-0.02033315
O=C1CCCCC1,O=COCCc1ccccc1,-0.19057465,-0.04618172
O=C1CCCCC1,CCCCCCCC1OC(CC1)=O,-0.11703193,-0.02710572
O=C1CCCCC1,CCCCC(CO)CC,-0.48817029,-0.11984745
O=C1CCCCC1,COc(cc1)ccc1C,-0.13368915,-0.03312863
O=C1CCCCC1,CC(C)COC(CCc1occc1)=O,-0.28237474,-0.06553615
O=C1CCCCC1,CCc1ccc(CC)cc1,0.18748064,0.04856485
O=C1CCCCC1,C=Cc1ccc(C=C)cc1,-0.23492592,-0.05760885
O=C1CCCCC1,CCCC1OC(CC1)=O,0.00183501,0.00063511
O=C1CCCCC1,OCC=C(C)C#C,-1.4193432,-0.36804668
O=C1CCCCC1,CCCC(C)CO,-0.40220566,-0.09370089
