SMILES0,SMILES,gamma1,gamma2
O=C1CCCCCO1,OC(C)C(O)=O,-2.70518388,-0.69991092
O=C1CCCCCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.12992703,0.03883678
O=C1CCCCCO1,OCC(O)C,0.02380033,0.01213156
O=C1CCCCCO1,O=C1CCO1,0.48181637,0.10913294
O=C1CCCCCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.16725397,-0.0336232
O=C1CCCCCO1,CCOCC,0.8164437,0.19690459
O=C1CCCCCO1,OCC,0.33700823,0.09531908
O=C1CCCCCO1,CCCCCC=O,0.24969441,0.06328099
O=C1CCCCCO1,CO,0.55334571,0.14888285
O=C1CCCCCO1,OC(C)C,0.33528907,0.09133553
O=C1CCCCCO1,CC(C)=O,-0.02126473,-0.00516226
O=C1CCCCCO1,OCCC,0.12856414,0.04730398
O=C1CCCCCO1,OCCCC,0.20011555,0.07026671
O=C1CCCCCO1,OCCCCC,0.21943121,0.07820236
O=C1CCCCCO1,CC1OC1,0.05221003,0.01211363
O=C1CCCCCO1,CCC(C)(C)C,2.5643335,0.60588896
O=C1CCCCCO1,CC(C)(C)C(C)=O,0.32106294,0.08002604
O=C1CCCCCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.68306214,0.17425025
O=C1CCCCCO1,COC(C)(C)OC,0.48756275,0.12083028
O=C1CCCCCO1,CCC1(CC)CCCCC1,2.51741701,0.62271056
O=C1CCCCCO1,CCOC(C)(OCC)OCC,0.60746086,0.15557674
O=C1CCCCCO1,CC(C)CCCC(O)(C)CC,0.64917404,0.179876
O=C1CCCCCO1,CCC(C)C,2.64491145,0.60931466
O=C1CCCCCO1,CC(=C)C=C,0.71229387,0.16664836
O=C1CCCCCO1,CC(=C)C#C,-1.70914287,-0.38266262
O=C1CCCCCO1,OCC(C)C,-0.13203003,-0.00601464
O=C1CCCCCO1,CC(C)C=O,0.12432453,0.02994058
O=C1CCCCCO1,CC(=C)C=O,0.08624174,0.02127739
O=C1CCCCCO1,CCC(O)C,0.19741991,0.06194197
O=C1CCCCCO1,CCC(C)=O,0.05527405,0.01353092
O=C1CCCCCO1,COC(C)=O,-0.01443091,-0.00341657
O=C1CCCCCO1,CC(C)C(C)C,2.60530453,0.61690452
O=C1CCCCCO1,CC(C)C(O)=O,-2.80317452,-0.71018683
O=C1CCCCCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.41641243,0.10625085
O=C1CCCCCO1,OOC(C)(C)C(CC1)CCC1C,-2.07214553,-0.50730756
O=C1CCCCCO1,CCOC(C(O)(C)C)=O,0.04428867,0.01291621
O=C1CCCCCO1,COC(=O)C(C)=C,0.17394794,0.04324437
O=C1CCCCCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.9743397,-0.2383177
O=C1CCCCCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.01793651,-0.00500112
O=C1CCCCCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.16733692,0.02597808
O=C1CCCCCO1,CCOC(=O)c1ccccc1C(OCC)=O,-0.06908249,-0.01465187
O=C1CCCCCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.10429343,0.02942208
O=C1CCCCCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.2532399,0.0631647
O=C1CCCCCO1,CC(C)CCOC(=O)c1ccccc1O,0.36578475,0.09723631
O=C1CCCCCO1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.08734845,-0.01397815
O=C1CCCCCO1,O=C2c1ccccc1CO2,-0.02805243,-0.00664801
O=C1CCCCCO1,OCC(O)C(O)C(O)CO,-0.42212646,-0.10750404
O=C1CCCCCO1,CCC(CC)C(O)=O,-2.74133354,-0.68432319
O=C1CCCCCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.25737782,-0.29484133
O=C1CCCCCO1,COc1cc(C)ccc1C(C)(C)C,0.76377558,0.19811565
O=C1CCCCCO1,CC2CCC(CC1=C2CCC1C)=C(C)C,1.77911225,0.45347316
O=C1CCCCCO1,COC(=O)c1ccccc1C,0.18768515,0.04920753
O=C1CCCCCO1,CC(=O)c1ccc(C)cc1C,0.27046361,0.06929042
O=C1CCCCCO1,Cc2c1ccccc1ccc2,0.26919397,0.07093081
O=C1CCCCCO1,O=C2CCCCC2C1CCCCC1,0.74616083,0.18847978
O=C1CCCCCO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.21027966,-0.04822768
O=C1CCCCCO1,CC(C=O)c1ccccc1,-0.06948706,-0.01648137
O=C1CCCCCO1,CCC(O)c1ccccc1,-1.60196239,-0.37887452
O=C1CCCCCO1,CCOC(=O)c1ccccc1,0.20197143,0.05251101
O=C1CCCCCO1,CC(OC(C)c2ccccc2)c1ccccc1,0.21729123,0.06137878
O=C1CCCCCO1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.2682487,-0.05678494
O=C1CCCCCO1,CCOC(=O)c(cc1)ccc1C,0.31621931,0.08147995
O=C1CCCCCO1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.09549003,0.01835681
O=C1CCCCCO1,O=C(OCCc1ccccc1)c2ccccc2,0.01830709,0.00966568
O=C1CCCCCO1,CCCc2cc1OCOc1cc2,-0.25864035,-0.05914084
O=C1CCCCCO1,COC(C1CCC(CC1)C(OC)=O)=O,-0.04670351,-0.01091513
O=C1CCCCCO1,CCCC1CCCCC1=O,0.57707093,0.14686992
O=C1CCCCCO1,CCOc1ccc(C=CC)cc1O,-2.44484752,-0.55363358
O=C1CCCCCO1,CCCC(O)C(CO)CC,0.45563379,0.11154184
