SMILES0,SMILES,gamma1,gamma2
O=C1CCCCO1,OC(C)C(O)=O,-3.35448928,-0.862037
O=C1CCCCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.22758972,0.0705522
O=C1CCCCO1,OCC(O)C,-0.22052482,-0.04674713
O=C1CCCCO1,O=C1CCO1,0.14740863,0.03263234
O=C1CCCCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.08645621,-0.01131245
O=C1CCCCO1,CCOCC,1.09712098,0.26772603
O=C1CCCCO1,OCC,0.24137861,0.07480737
O=C1CCCCO1,CCCCCC=O,0.41432094,0.10653612
O=C1CCCCO1,CO,0.33497652,0.10113666
O=C1CCCCO1,OC(C)C,0.32487625,0.09250113
O=C1CCCCO1,CC(C)=O,0.01860468,0.00448894
O=C1CCCCO1,OCCC,0.08059232,0.04110992
O=C1CCCCO1,OCCCC,0.19858655,0.07782826
O=C1CCCCO1,OCCCCC,0.24379594,0.09408886
O=C1CCCCO1,CC1OC1,0.17088827,0.04010124
O=C1CCCCO1,CCC(C)(C)C,2.98824621,0.71639582
O=C1CCCCO1,CC(C)(C)C(C)=O,0.49724556,0.12506696
O=C1CCCCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.9191944,0.23615012
O=C1CCCCO1,COC(C)(C)OC,0.70050447,0.17517822
O=C1CCCCO1,CCC1(CC)CCCCC1,2.92302967,0.72930258
O=C1CCCCO1,CCOC(C)(OCC)OCC,0.82903587,0.21331248
O=C1CCCCO1,CC(C)CCCC(O)(C)CC,0.79690657,0.22443448
O=C1CCCCO1,CCC(C)C,3.0808847,0.72171253
O=C1CCCCO1,CC(=C)C=C,0.96479434,0.23037343
O=C1CCCCO1,CC(=C)C#C,-1.71310708,-0.37748882
O=C1CCCCO1,OCC(C)C,-0.15245102,-0.0021793
O=C1CCCCO1,CC(C)C=O,0.25600688,0.06213889
O=C1CCCCO1,CC(=C)C=O,0.12825868,0.0312614
O=C1CCCCO1,CCC(O)C,0.22213783,0.07438549
O=C1CCCCO1,CCC(C)=O,0.1521319,0.03730955
O=C1CCCCO1,COC(C)=O,0.00960424,0.00213856
O=C1CCCCO1,CC(C)C(C)C,3.03052935,0.7278294
