SMILES0,SMILES,gamma1,gamma2
O=C1CCCO1,OC(C)C(O)=O,-1.58654138,-0.40491485
O=C1CCCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.59035837,0.16010678
O=C1CCCO1,OCC(O)C,0.73682797,0.17618143
O=C1CCCO1,O=C1CCO1,0.01678469,0.00388326
O=C1CCCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.20825553,0.04959284
O=C1CCCO1,CCOCC,1.39061638,0.34808964
O=C1CCCO1,OCC,1.18934701,0.28283277
O=C1CCCO1,CCCCCC=O,0.72050379,0.18520679
O=C1CCCO1,CO,1.19469008,0.27718219
O=C1CCCO1,OC(C)C,1.23594666,0.30163494
O=C1CCCO1,CC(C)=O,0.09532924,0.02391388
O=C1CCCO1,OCCC,1.15336485,0.28568852
O=C1CCCO1,OCCCC,1.25340222,0.32108066
O=C1CCCO1,OCCCCC,1.31838627,0.34250119
O=C1CCCO1,CC1OC1,0.34077942,0.08389158
O=C1CCCO1,CCC(C)(C)C,3.46471954,0.84376048
O=C1CCCO1,CC(C)(C)C(C)=O,0.73454747,0.18613845
O=C1CCCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.27093294,0.31391932
O=C1CCCO1,COC(C)(C)OC,0.9579088,0.24182235
O=C1CCCO1,CCC1(CC)CCCCC1,3.38719661,0.84028423
O=C1CCCO1,CCOC(C)(OCC)OCC,1.10496196,0.27672875
O=C1CCCO1,CC(C)CCCC(O)(C)CC,1.69015629,0.42525777
O=C1CCCO1,CCC(C)C,3.56025154,0.85388017
O=C1CCCO1,CC(=C)C=C,1.37916763,0.34060767
O=C1CCCO1,CC(=C)C#C,-0.85590486,-0.17186224
O=C1CCCO1,OCC(C)C,1.0262458,0.27001872
O=C1CCCO1,CC(C)C=O,0.47665042,0.11956695
O=C1CCCO1,CC(=C)C=O,0.29804667,0.07487427
O=C1CCCO1,CCC(O)C,1.21972383,0.30883366
O=C1CCCO1,CCC(C)=O,0.31810878,0.08036738
O=C1CCCO1,COC(C)=O,0.12881812,0.03210933
O=C1CCCO1,CC(C)C(C)C,3.50401636,0.85422659
O=C1CCCO1,CC(C)C(O)=O,-1.10562179,-0.26771624
O=C1CCCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.94079522,0.22616547
O=C1CCCO1,OOC(C)(C)C(CC1)CCC1C,-0.34708319,-0.07116923
O=C1CCCO1,CCOC(C(O)(C)C)=O,0.55403231,0.14247871
O=C1CCCO1,COC(=O)C(C)=C,0.51673674,0.13248858
O=C1CCCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.31891558,-0.05953661
O=C1CCCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.05836602,0.01942759
O=C1CCCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.35463124,0.26745038
O=C1CCCO1,CCOC(=O)c1ccccc1C(OCC)=O,0.17754818,0.0497631
O=C1CCCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.54800665,0.13094736
O=C1CCCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.78767695,0.17088853
O=C1CCCO1,CC(C)CCOC(=O)c1ccccc1O,0.96260746,0.24708032
O=C1CCCO1,Oc2ccccc2C(OCCc1ccccc1)=O,0.32866311,0.09784791
O=C1CCCO1,O=C2c1ccccc1CO2,-0.10929536,-0.02582164
O=C1CCCO1,OCC(O)C(O)C(O)CO,-0.00601966,-0.01251235
O=C1CCCO1,CCC(CC)C(O)=O,-0.8893662,-0.20262947
O=C1CCCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.01935296,0.01259437
O=C1CCCO1,COc1cc(C)ccc1C(C)(C)C,1.43744169,0.36926529
O=C1CCCO1,CC2CCC(CC1=C2CCC1C)=C(C)C,2.57205165,0.63806029
O=C1CCCO1,COC(=O)c1ccccc1C,0.58068762,0.15519127
O=C1CCCO1,CC(=O)c1ccc(C)cc1C,0.66157577,0.17168608
O=C1CCCO1,Cc2c1ccccc1ccc2,0.77185682,0.20781284
O=C1CCCO1,O=C2CCCCC2C1CCCCC1,1.30861354,0.32381428
O=C1CCCO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.03616003,0.00228991
O=C1CCCO1,CC(C=O)c1ccccc1,0.20624311,0.05877359
O=C1CCCO1,CCC(O)c1ccccc1,-0.41517386,-0.07869227
O=C1CCCO1,CCOC(=O)c1ccccc1,0.57847865,0.15335873
O=C1CCCO1,CC(OC(C)c2ccccc2)c1ccccc1,0.72673256,0.19175362
O=C1CCCO1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.00952663,0.01197081
O=C1CCCO1,CCOC(=O)c(cc1)ccc1C,0.73775513,0.19135002
O=C1CCCO1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.51635441,0.09001132
O=C1CCCO1,O=C(OCCc1ccccc1)c2ccccc2,0.37551144,0.10532635
O=C1CCCO1,CCCc2cc1OCOc1cc2,0.34004935,0.1025436
O=C1CCCO1,COC(C1CCC(CC1)C(OC)=O)=O,0.20776815,0.05216843
O=C1CCCO1,CCCC1CCCCC1=O,1.07976862,0.27206685
O=C1CCCO1,CCOc1ccc(C=CC)cc1O,-1.13312428,-0.24549798
O=C1CCCO1,CCCC(O)C(CO)CC,1.30687184,0.31717728
O=C1CCCO1,Cc(ccc1C)cc1C,1.47585911,0.37886825
O=C1CCCO1,CCOC(=O)C(OCC)=O,0.08068734,0.02176585
O=C1CCCO1,CC1OC(C(C)OC1=O)=O,-0.79832798,-0.1957954
O=C1CCCO1,CCCCC(=O)C(C)=O,0.4414638,0.1153357
O=C1CCCO1,C=CCOC(=O)C(C)=C,0.61680095,0.16134769
O=C1CCCO1,C1OC1c2ccccc2,0.19368899,0.05412234
O=C1CCCO1,CCC(C)CC,3.54635909,0.86557144
O=C1CCCO1,CCC(CC)=O,0.59712383,0.15153757
O=C1CCCO1,OCC(CO)=O,-0.21753213,-0.06638993
O=C1CCCO1,COC(=O)C=C,0.21018885,0.05357035
O=C1CCCO1,COC(CO)=O,-0.12717767,-0.0333492
O=C1CCCO1,CC1CCCC1,3.52137921,0.85138291
O=C1CCCO1,CC1CCCO1,1.04790406,0.2662473
O=C1CCCO1,O=C1CCCO1,0,0
O=C1CCCO1,CCCC(C)C(O)=O,-0.90534967,-0.20667815
O=C1CCCO1,CCOC(C(C)C)=O,0.88516933,0.22431617
O=C1CCCO1,CCOC(=O)C(C)=C,0.8203092,0.21007151
O=C1CCCO1,CCOC(C(O)C)=O,0.30880892,0.07987127
O=C1CCCO1,CC(C)C(OC(C(C)C)=O)=O,0.63856827,0.16034313
O=C1CCCO1,CC(C)COC(C(C)C)=O,1.2556336,0.31344346
O=C1CCCO1,CC(C)COC(=O)C(C)=C,1.14749798,0.29046382
O=C1CCCO1,CCCCOC(C(C)C)=O,1.22579329,0.30579822
O=C1CCCO1,CCCCOC(=O)C(C)=C,1.13615461,0.28759037
O=C1CCCO1,CCC(CC)C=O,0.92783828,0.23397226
O=C1CCCO1,OCC1CCCO1,0.69248044,0.17171025
O=C1CCCO1,OCc1occc1,-0.8367281,-0.20453478
O=C1CCCO1,O=Cc1occc1,-0.14011246,-0.03449291
O=C1CCCO1,CC(C)(C)c1ccccc1,1.45286936,0.37602306
O=C1CCCO1,OOC(C)(C)c(cc1)ccc1C(C)C,-0.84350448,-0.20976692
O=C1CCCO1,CC(C)(C)c(cc1)ccc1C,1.67603398,0.42889497
O=C1CCCO1,OC1CCC(CC1)C(C)(C)C,1.46961101,0.37636844
