SMILES0,SMILES,gamma1,gamma2
O=C1CCOCC1,OC(C)C(O)=O,-2.22252618,-0.57479242
O=C1CCOCC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.40861865,0.10813711
O=C1CCOCC1,OCC(O)C,0.39106467,0.09644934
O=C1CCOCC1,O=C1CCO1,0.19384856,0.04535249
O=C1CCOCC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.05440289,0.01502338
O=C1CCOCC1,CCOCC,1.08403374,0.26836539
O=C1CCOCC1,OCC,0.76923102,0.1895834
O=C1CCOCC1,CCCCCC=O,0.47302111,0.12068259
O=C1CCOCC1,CO,0.8535045,0.20834751
O=C1CCOCC1,OC(C)C,0.80405114,0.19993838
O=C1CCOCC1,CC(C)=O,0.00376433,0.00109218
O=C1CCOCC1,OCCC,0.65201246,0.16832157
O=C1CCOCC1,OCCCC,0.74121594,0.19838178
O=C1CCOCC1,OCCCCC,0.78492994,0.21354706
O=C1CCOCC1,CC1OC1,0.17851742,0.04341254
O=C1CCOCC1,CCC(C)(C)C,2.97459774,0.72022521
O=C1CCOCC1,CC(C)(C)C(C)=O,0.51322455,0.12925065
O=C1CCOCC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.981775,0.24431185
O=C1CCOCC1,COC(C)(C)OC,0.72144945,0.18094612
O=C1CCOCC1,CCC1(CC)CCCCC1,2.90984288,0.72339785
O=C1CCOCC1,CCOC(C)(OCC)OCC,0.85049615,0.21452921
O=C1CCOCC1,CC(C)CCCC(O)(C)CC,1.19088695,0.30648434
O=C1CCOCC1,CCC(C)C,3.05784271,0.72700894
O=C1CCOCC1,CC(=C)C=C,1.07108276,0.26008574
O=C1CCOCC1,CC(=C)C#C,-1.17334589,-0.25150569
O=C1CCOCC1,OCC(C)C,0.4614236,0.1347509
O=C1CCOCC1,CC(C)C=O,0.27362836,0.06785594
O=C1CCOCC1,CC(=C)C=O,0.19482855,0.04838371
O=C1CCOCC1,CCC(O)C,0.72872132,0.18957016
O=C1CCOCC1,CCC(C)=O,0.1640655,0.04107964
O=C1CCOCC1,COC(C)=O,0.05628772,0.01392552
O=C1CCOCC1,CC(C)C(C)C,3.01230125,0.73053631
O=C1CCOCC1,CC(C)C(O)=O,-2.01002866,-0.51054894
O=C1CCOCC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.6908071,0.16764445
