SMILES0,SMILES,gamma1,gamma2
O=C2OC1CCC2CC1,OC(C)C(O)=O,-2.4013009,-0.62177119
O=C2OC1CCC2CC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.09079907,0.02748839
O=C2OC1CCC2CC1,OCC(O)C,0.1545046,0.04261067
O=C2OC1CCC2CC1,O=C1CCO1,0.57451312,0.12793585
O=C2OC1CCC2CC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.22563082,-0.04666127
O=C2OC1CCC2CC1,CCOCC,0.72836589,0.1754505
O=C2OC1CCC2CC1,OCC,0.42981996,0.11572621
O=C2OC1CCC2CC1,CCCCCC=O,0.16678359,0.04251481
O=C2OC1CCC2CC1,CO,0.70566883,0.18219979
O=C2OC1CCC2CC1,OC(C)C,0.38471029,0.10155672
O=C2OC1CCC2CC1,CC(C)=O,-0.00625256,-0.00156186
O=C2OC1CCC2CC1,OCCC,0.19724211,0.06152474
O=C2OC1CCC2CC1,OCCCC,0.24397631,0.07829363
O=C2OC1CCC2CC1,OCCCCC,0.24803253,0.08246173
O=C2OC1CCC2CC1,CC1OC1,0.03239249,0.00760044
O=C2OC1CCC2CC1,CCC(C)(C)C,2.37422836,0.56404114
O=C2OC1CCC2CC1,CC(C)(C)C(C)=O,0.26461059,0.06595016
O=C2OC1CCC2CC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.57352414,0.14806578
O=C2OC1CCC2CC1,COC(C)(C)OC,0.41522061,0.10295272
O=C2OC1CCC2CC1,CCC1(CC)CCCCC1,2.3282004,0.58053483
O=C2OC1CCC2CC1,CCOC(C)(OCC)OCC,0.5250898,0.13540063
O=C2OC1CCC2CC1,CC(C)CCCC(O)(C)CC,0.61165789,0.17041673
O=C2OC1CCC2CC1,CCC(C)C,2.45367969,0.56778463
O=C2OC1CCC2CC1,CC(=C)C=C,0.62345371,0.1464201
O=C2OC1CCC2CC1,CC(=C)C#C,-1.70284895,-0.38106544
O=C2OC1CCC2CC1,OCC(C)C,-0.08003192,0.00387969
O=C2OC1CCC2CC1,CC(C)C=O,0.07398777,0.01768997
O=C2OC1CCC2CC1,CC(=C)C=O,0.08850319,0.02186304
O=C2OC1CCC2CC1,CCC(O)C,0.22778963,0.06741716
O=C2OC1CCC2CC1,CCC(C)=O,0.03345994,0.00817945
O=C2OC1CCC2CC1,COC(C)=O,-0.01861364,-0.00438329
O=C2OC1CCC2CC1,CC(C)C(C)C,2.41583415,0.57521053
O=C2OC1CCC2CC1,CC(C)C(O)=O,-2.54544736,-0.64316031
O=C2OC1CCC2CC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.33722651,0.08771574
O=C2OC1CCC2CC1,OOC(C)(C)C(CC1)CCC1C,-1.94867437,-0.475904
O=C2OC1CCC2CC1,CCOC(C(O)(C)C)=O,0.00979977,0.00419186
O=C2OC1CCC2CC1,COC(=O)C(C)=C,0.14018506,0.03486277
O=C2OC1CCC2CC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.99905718,-0.24635845
O=C2OC1CCC2CC1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.01773149,0.00323238
O=C2OC1CCC2CC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.12850717,0.02185361
O=C2OC1CCC2CC1,CCOC(=O)c1ccccc1C(OCC)=O,-0.09096628,-0.02054036
O=C2OC1CCC2CC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.0389269,0.0140477
O=C2OC1CCC2CC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.16241281,0.04383456
O=C2OC1CCC2CC1,CC(C)CCOC(=O)c1ccccc1O,0.2811398,0.0759882
O=C2OC1CCC2CC1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.12478648,-0.02465142
O=C2OC1CCC2CC1,O=C2c1ccccc1CO2,0.03280229,0.00854147
O=C2OC1CCC2CC1,OCC(O)C(O)C(O)CO,-0.30984063,-0.08151069
O=C2OC1CCC2CC1,CCC(CC)C(O)=O,-2.51206646,-0.62574884
O=C2OC1CCC2CC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.18888352,-0.28017454
O=C2OC1CCC2CC1,COc1cc(C)ccc1C(C)(C)C,0.65175967,0.17054067
O=C2OC1CCC2CC1,CC2CCC(CC1=C2CCC1C)=C(C)C,1.61828249,0.41668074
O=C2OC1CCC2CC1,COC(=O)c1ccccc1C,0.14810295,0.03882016
