SMILES0,SMILES,gamma1,gamma2
O=C2OC1CCCCC1CC2,OC(C)C(O)=O,-2.52256798,-0.68160579
O=C2OC1CCCCC1CC2,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.0822024,0.01981522
O=C2OC1CCCCC1CC2,OCC(O)C,0.09395653,0.03129743
O=C2OC1CCCCC1CC2,O=C1CCO1,1.28502019,0.27530266
O=C2OC1CCCCC1CC2,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.25309678,-0.05764512
O=C2OC1CCCCC1CC2,CCOCC,0.43068235,0.09964012
O=C2OC1CCCCC1CC2,OCC,0.18256326,0.06663223
O=C2OC1CCCCC1CC2,CCCCCC=O,0.0116356,0.00282803
O=C2OC1CCCCC1CC2,CO,0.64912193,0.17096851
O=C2OC1CCCCC1CC2,OC(C)C,0.06272572,0.03200151
O=C2OC1CCCCC1CC2,CC(C)=O,0.03405356,0.0079851
O=C2OC1CCCCC1CC2,OCCC,-0.18141113,-0.02033646
O=C2OC1CCCCC1CC2,OCCCC,-0.17517532,-0.01649977
O=C2OC1CCCCC1CC2,OCCCCC,-0.20895477,-0.02444277
O=C2OC1CCCCC1CC2,CC1OC1,-0.0486454,-0.01138374
O=C2OC1CCCCC1CC2,CCC(C)(C)C,1.94238863,0.44054478
O=C2OC1CCCCC1CC2,CC(C)(C)C(C)=O,0.10620119,0.02588399
O=C2OC1CCCCC1CC2,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.35187997,0.08991312
O=C2OC1CCCCC1CC2,COC(C)(C)OC,0.21627824,0.05245302
O=C2OC1CCCCC1CC2,CCC1(CC)CCCCC1,1.93258005,0.46864837
O=C2OC1CCCCC1CC2,CCOC(C)(OCC)OCC,0.32795655,0.08407813
O=C2OC1CCCCC1CC2,CC(C)CCCC(O)(C)CC,0.15073596,0.05586443
O=C2OC1CCCCC1CC2,CCC(C)C,2.00522746,0.43989396
O=C2OC1CCCCC1CC2,CC(=C)C=C,0.36860758,0.08322044
O=C2OC1CCCCC1CC2,CC(=C)C#C,-1.92953413,-0.42931613
O=C2OC1CCCCC1CC2,OCC(C)C,-0.55232942,-0.10319993
O=C2OC1CCCCC1CC2,CC(C)C=O,-0.02891337,-0.00700547
O=C2OC1CCCCC1CC2,CC(=C)C=O,0.14311687,0.0330573
O=C2OC1CCCCC1CC2,CCC(O)C,-0.18257396,-0.02706912
O=C2OC1CCCCC1CC2,CCC(C)=O,-0.01378758,-0.00337516
O=C2OC1CCCCC1CC2,COC(C)=O,0.06115504,0.01324247
O=C2OC1CCCCC1CC2,CC(C)C(C)C,1.98569282,0.45178396
O=C2OC1CCCCC1CC2,CC(C)C(O)=O,-3.27527269,-0.83436811
O=C2OC1CCCCC1CC2,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.16678122,0.04289356
O=C2OC1CCCCC1CC2,OOC(C)(C)C(CC1)CCC1C,-2.77735697,-0.68986111
O=C2OC1CCCCC1CC2,CCOC(C(O)(C)C)=O,-0.14831527,-0.03572676
O=C2OC1CCCCC1CC2,COC(=O)C(C)=C,0.10841086,0.02691861
O=C2OC1CCCCC1CC2,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.13709193,-0.28670559
O=C2OC1CCCCC1CC2,COc2cccc3c2C(=O)c1ccccc1C3=O,0.32604566,0.08108278
O=C2OC1CCCCC1CC2,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.41451916,-0.10217501
O=C2OC1CCCCC1CC2,CCOC(=O)c1ccccc1C(OCC)=O,0.00403442,0.00157602
O=C2OC1CCCCC1CC2,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.03984818,-0.00893707
O=C2OC1CCCCC1CC2,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.01026103,0.00522431
O=C2OC1CCCCC1CC2,CC(C)CCOC(=O)c1ccccc1O,0.1058575,0.02774481
O=C2OC1CCCCC1CC2,Oc2ccccc2C(OCCc1ccccc1)=O,-0.11041395,-0.02682654
O=C2OC1CCCCC1CC2,O=C2c1ccccc1CO2,0.48237528,0.11651912
O=C2OC1CCCCC1CC2,OCC(O)C(O)C(O)CO,-0.15065253,-0.03825258
O=C2OC1CCCCC1CC2,CCC(CC)C(O)=O,-3.37712904,-0.85189965
O=C2OC1CCCCC1CC2,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.71252291,-0.41109452
O=C2OC1CCCCC1CC2,COc1cc(C)ccc1C(C)(C)C,0.41367452,0.10514664
O=C2OC1CCCCC1CC2,CC2CCC(CC1=C2CCC1C)=C(C)C,1.27777696,0.32624523
O=C2OC1CCCCC1CC2,COC(=O)c1ccccc1C,0.13820083,0.03495437
O=C2OC1CCCCC1CC2,CC(=O)c1ccc(C)cc1C,0.18985252,0.04748272
O=C2OC1CCCCC1CC2,Cc2c1ccccc1ccc2,0.14845872,0.03744007
O=C2OC1CCCCC1CC2,O=C2CCCCC2C1CCCCC1,0.39536876,0.09942149
O=C2OC1CCCCC1CC2,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.01184116,0.00384861
O=C2OC1CCCCC1CC2,CC(C=O)c1ccccc1,-0.00324807,-0.00099161
O=C2OC1CCCCC1CC2,CCC(O)c1ccccc1,-1.93883025,-0.46407745
O=C2OC1CCCCC1CC2,CCOC(=O)c1ccccc1,0.16373838,0.04128624
O=C2OC1CCCCC1CC2,CC(OC(C)c2ccccc2)c1ccccc1,0.06320327,0.01677796
O=C2OC1CCCCC1CC2,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.07863176,-0.01684976
O=C2OC1CCCCC1CC2,CCOC(=O)c(cc1)ccc1C,0.20942962,0.0525266
O=C2OC1CCCCC1CC2,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.08885266,-0.01984377
O=C2OC1CCCCC1CC2,O=C(OCCc1ccccc1)c2ccccc2,0.03801662,0.0092561
O=C2OC1CCCCC1CC2,CCCc2cc1OCOc1cc2,-0.47012248,-0.11775223
O=C2OC1CCCCC1CC2,COC(C1CCC(CC1)C(OC)=O)=O,-0.06694429,-0.01655741
O=C2OC1CCCCC1CC2,CCCC1CCCCC1=O,0.27712816,0.07001314
O=C2OC1CCCCC1CC2,CCOc1ccc(C=CC)cc1O,-2.85030782,-0.64733586
O=C2OC1CCCCC1CC2,CCCC(O)C(CO)CC,0.14629444,0.03449926
O=C2OC1CCCCC1CC2,Cc(ccc1C)cc1C,0.51314069,0.12615819
O=C2OC1CCCCC1CC2,CCOC(=O)C(OCC)=O,0.05264326,0.01323697
O=C2OC1CCCCC1CC2,CC1OC(C(C)OC1=O)=O,-0.23746524,-0.05890582
O=C2OC1CCCCC1CC2,CCCCC(=O)C(C)=O,-0.10771056,-0.02717178
O=C2OC1CCCCC1CC2,C=CCOC(=O)C(C)=C,0.1458393,0.03674279
O=C2OC1CCCCC1CC2,C1OC1c2ccccc2,0.06057849,0.01459777
O=C2OC1CCCCC1CC2,CCC(C)CC,2.03236523,0.46493352
O=C2OC1CCCCC1CC2,CCC(CC)=O,0.04288067,0.0104207
O=C2OC1CCCCC1CC2,OCC(CO)=O,0.51356607,0.09191852
O=C2OC1CCCCC1CC2,COC(=O)C=C,0.10409584,0.02436701
O=C2OC1CCCCC1CC2,COC(CO)=O,-0.00545018,-0.01424881
O=C2OC1CCCCC1CC2,CC1CCCC1,1.94768605,0.43281324
O=C2OC1CCCCC1CC2,CC1CCCO1,0.22070561,0.05215545
O=C2OC1CCCCC1CC2,O=C1CCCO1,0.4427534,0.11039377
O=C2OC1CCCCC1CC2,CCCC(C)C(O)=O,-3.40661188,-0.86217533
O=C2OC1CCCCC1CC2,CCOC(C(C)C)=O,0.17790878,0.04398897
O=C2OC1CCCCC1CC2,CCOC(=O)C(C)=C,0.21640292,0.05374388
O=C2OC1CCCCC1CC2,CCOC(C(O)C)=O,-0.27449394,-0.06730158
O=C2OC1CCCCC1CC2,CC(C)C(OC(C(C)C)=O)=O,0.07044635,0.01771217
O=C2OC1CCCCC1CC2,CC(C)COC(C(C)C)=O,0.39515817,0.09861231
O=C2OC1CCCCC1CC2,CC(C)COC(=O)C(C)=C,0.36135146,0.09024377
O=C2OC1CCCCC1CC2,CCCCOC(C(C)C)=O,0.36882728,0.09208636
O=C2OC1CCCCC1CC2,CCCCOC(=O)C(C)=C,0.34703378,0.08682648
O=C2OC1CCCCC1CC2,CCC(CC)C=O,0.17950933,0.0433172
O=C2OC1CCCCC1CC2,OCC1CCCO1,0.11230768,0.02688283
O=C2OC1CCCCC1CC2,OCc1occc1,-1.34385952,-0.32772576
O=C2OC1CCCCC1CC2,O=Cc1occc1,0.46434956,0.09578816
O=C2OC1CCCCC1CC2,CC(C)(C)c1ccccc1,0.43503884,0.10821355
O=C2OC1CCCCC1CC2,OOC(C)(C)c(cc1)ccc1C(C)C,-2.77356041,-0.71318706
O=C2OC1CCCCC1CC2,CC(C)(C)c(cc1)ccc1C,0.60408252,0.15141975
O=C2OC1CCCCC1CC2,OC1CCC(CC1)C(C)(C)C,-0.08324904,-0.00176766
O=C2OC1CCCCC1CC2,CC(C)(C)C1CCC(CC1)=O,0.17348812,0.04344954
O=C2OC1CCCCC1CC2,CC(C)c1ccccc1,0.41217404,0.10169799
O=C2OC1CCCCC1CC2,COC(=O)c(ccc1)cc1C,0.15433793,0.0385204
O=C2OC1CCCCC1CC2,OC1CC(CC=C1C)C(C)=C,-1.00154135,-0.24004368
O=C2OC1CCCCC1CC2,CC(C)c1cc(C(C)C)ccc1,0.69389394,0.17410856
O=C2OC1CCCCC1CC2,CCCC(CCC)C(O)=O,-3.34883901,-0.84899883
O=C2OC1CCCCC1CC2,CC(C=O)c(cc1)ccc1C,0.00651851,0.00193026
O=C2OC1CCCCC1CC2,CC1CCC(C(C)C)CC1,1.95331544,0.47724448
O=C2OC1CCCCC1CC2,CC(C)c(cc1)ccc1C,0.56972194,0.14194991
O=C2OC1CCCCC1CC2,C=CC1CC=CCC1,0.61159688,0.14619756
O=C2OC1CCCCC1CC2,CCc1ccccc1,0.33930169,0.08240301
O=C2OC1CCCCC1CC2,C=Cc1ccccc1,0.04073888,0.01040008
O=C2OC1CCCCC1CC2,OCC1CCCCC1,-0.46332874,-0.08946155
O=C2OC1CCCCC1CC2,COc1ccccc1,-0.02438786,-0.00598533
O=C2OC1CCCCC1CC2,OCC1CCCCO1,0.13485645,0.02620505
O=C2OC1CCCCC1CC2,OCC(CO1)OC1(C)C,-0.27264339,-0.0681505
O=C2OC1CCCCC1CC2,Cc1cc(C=C)ccc1,0.1433529,0.03604081
O=C2OC1CCCCC1CC2,COc(ccc1)cc1C,0.02724446,0.00682268
O=C2OC1CCCCC1CC2,COC(=O)Cc1ccccc1,0.04659464,0.01167859
O=C2OC1CCCCC1CC2,COC(OC)Cc1ccccc1,0.0320009,0.00860364
O=C2OC1CCCCC1CC2,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.12332198,-0.02848689
O=C2OC1CCCCC1CC2,CC(C)COC(=O)Cc1ccccc1,-0.00550118,-0.00064238
O=C2OC1CCCCC1CC2,O=C(OCc2ccccc2)Cc1ccccc1,-0.07068106,-0.01504439
O=C2OC1CCCCC1CC2,CCc1cc(CC)cc(CC)c1,0.82900285,0.20941225
O=C2OC1CCCCC1CC2,CC(=O)Oc(ccc1)cc1O,-3.7218528,-0.99473472
O=C2OC1CCCCC1CC2,COC(OC)CC(OC)OC,0.04152088,0.01016842
O=C2OC1CCCCC1CC2,CCCCC(CC)COC(C)=O,0.36726175,0.09269451
