SMILES0,SMILES,gamma1,gamma2
O=CC1CCCO1,OC(C)C(O)=O,-1.51741624,-0.38931201
O=CC1CCCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.09982443,0.02870539
O=CC1CCCO1,OCC(O)C,0.66674586,0.15714772
O=CC1CCCO1,O=C1CCO1,0.53263237,0.12677795
O=CC1CCCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.12426081,-0.0256399
O=CC1CCCO1,CCOCC,0.62041891,0.15638939
O=CC1CCCO1,OCC,0.85798687,0.20370596
O=CC1CCCO1,CCCCCC=O,0.19735476,0.05102356
O=CC1CCCO1,CO,1.09595994,0.25727303
O=CC1CCCO1,OC(C)C,0.77376005,0.18561221
O=CC1CCCO1,CC(C)=O,-0.03516065,-0.00868544
O=CC1CCCO1,OCCC,0.67942074,0.16444501
O=CC1CCCO1,OCCCC,0.69087005,0.17335151
O=CC1CCCO1,OCCCCC,0.68746509,0.1750443
O=CC1CCCO1,CC1OC1,0.01940106,0.00530776
O=CC1CCCO1,CCC(C)(C)C,2.08469838,0.51502538
O=CC1CCCO1,CC(C)(C)C(C)=O,0.23045983,0.05879033
O=CC1CCCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.52285846,0.13016931
O=CC1CCCO1,COC(C)(C)OC,0.36296899,0.09217882
O=CC1CCCO1,CCC1(CC)CCCCC1,2.02718631,0.50983248
O=CC1CCCO1,CCOC(C)(OCC)OCC,0.44005167,0.1118857
O=CC1CCCO1,CC(C)CCCC(O)(C)CC,0.8550619,0.21405731
O=CC1CCCO1,CCC(C)C,2.14975904,0.52318093
O=CC1CCCO1,CC(=C)C=C,0.58644415,0.14555564
O=CC1CCCO1,CC(=C)C#C,-1.07828363,-0.25003136
O=CC1CCCO1,OCC(C)C,0.46389724,0.11983648
O=CC1CCCO1,CC(C)C=O,0.07782265,0.02005494
O=CC1CCCO1,CC(=C)C=O,0.09314767,0.0233928
O=CC1CCCO1,CCC(O)C,0.64889792,0.16038163
O=CC1CCCO1,CCC(C)=O,0.0272514,0.00723545
O=CC1CCCO1,COC(C)=O,0.00544318,0.00130919
O=CC1CCCO1,CC(C)C(C)C,2.11444048,0.52325531
O=CC1CCCO1,CC(C)C(O)=O,-1.55430666,-0.3868184
O=CC1CCCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.29714109,0.07229899
O=CC1CCCO1,OOC(C)(C)C(CC1)CCC1C,-1.01230791,-0.25094355
O=CC1CCCO1,CCOC(C(O)(C)C)=O,0.15486192,0.03977987
O=CC1CCCO1,COC(=O)C(C)=C,0.16014959,0.04078594
O=CC1CCCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.59206526,-0.14138807
O=CC1CCCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.05040224,0.01064436
O=CC1CCCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.44499032,0.0782499
O=CC1CCCO1,CCOC(=O)c1ccccc1C(OCC)=O,-0.05179483,-0.01104851
O=CC1CCCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.05689847,0.0153734
O=CC1CCCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.16168231,0.03603663
O=CC1CCCO1,CC(C)CCOC(=O)c1ccccc1O,0.32430968,0.08354002
O=CC1CCCO1,Oc2ccccc2C(OCCc1ccccc1)=O,-0.02940325,-0.00172478
O=CC1CCCO1,O=C2c1ccccc1CO2,0.11529061,0.02817843
O=CC1CCCO1,OCC(O)C(O)C(O)CO,0.1640908,0.02796169
O=CC1CCCO1,CCC(CC)C(O)=O,-1.48675398,-0.36491385
O=CC1CCCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.53638288,-0.13260656
O=CC1CCCO1,COc1cc(C)ccc1C(C)(C)C,0.59271822,0.15286249
O=CC1CCCO1,CC2CCC(CC1=C2CCC1C)=C(C)C,1.4073013,0.35374408
O=CC1CCCO1,COC(=O)c1ccccc1C,0.17774534,0.04670564
O=CC1CCCO1,CC(=O)c1ccc(C)cc1C,0.21459019,0.05487586
O=CC1CCCO1,Cc2c1ccccc1ccc2,0.2272908,0.06095254
O=CC1CCCO1,O=C2CCCCC2C1CCCCC1,0.56250674,0.13954387
O=CC1CCCO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.12861319,-0.02929634
O=CC1CCCO1,CC(C=O)c1ccccc1,-0.02061131,-0.00402741
O=CC1CCCO1,CCC(O)c1ccccc1,-0.82253842,-0.19944958
O=CC1CCCO1,CCOC(=O)c1ccccc1,0.18719083,0.04850732
O=CC1CCCO1,CC(OC(C)c2ccccc2)c1ccccc1,0.15765489,0.04399574
O=CC1CCCO1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.14847534,-0.03174268
O=CC1CCCO1,CCOC(=O)c(cc1)ccc1C,0.25243444,0.06473189
O=CC1CCCO1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.0134196,-0.00288339
O=CC1CCCO1,O=C(OCCc1ccccc1)c2ccccc2,0.03002501,0.01078473
O=CC1CCCO1,CCCc2cc1OCOc1cc2,-0.12960908,-0.02750246
O=CC1CCCO1,COC(C1CCC(CC1)C(OC)=O)=O,-0.04976731,-0.01152641
O=CC1CCCO1,CCCC1CCCCC1=O,0.42198159,0.10692639
O=CC1CCCO1,CCOc1ccc(C=CC)cc1O,-1.53004696,-0.36325807
O=CC1CCCO1,CCCC(O)C(CO)CC,0.71158213,0.16448018
