SMILES0,SMILES,gamma1,gamma2
O=CC=C,OC(C)C(O)=O,-0.63279055,-0.16532848
O=CC=C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.1423879,0.03947905
O=CC=C,OCC(O)C,0.89033011,0.20424604
O=CC=C,O=C1CCO1,0.21528054,0.05419273
O=CC=C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.04865288,0.00015547
O=CC=C,CCOCC,0.87303809,0.21371311
O=CC=C,OCC,1.09236662,0.25906438
O=CC=C,CCCCCC=O,0.47876768,0.11300752
O=CC=C,CO,1.18429064,0.27471233
O=CC=C,OC(C)C,1.06420458,0.25463299
O=CC=C,CC(C)=O,0.01321987,0.00322432
O=CC=C,OCCC,1.0330098,0.24736886
O=CC=C,OCCCC,1.06707293,0.25757222
O=CC=C,OCCCCC,1.09247104,0.26091452
O=CC=C,CC1OC1,0.15599046,0.03887098
O=CC=C,CCC(C)(C)C,2.41520044,0.58090081
O=CC=C,CC(C)(C)C(C)=O,0.43111481,0.10170144
O=CC=C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.772092,0.1672442
O=CC=C,COC(C)(C)OC,0.58118724,0.13879215
O=CC=C,CCC1(CC)CCCCC1,2.33138363,0.55158076
O=CC=C,CCOC(C)(OCC)OCC,0.64623017,0.14457902
O=CC=C,CC(C)CCCC(O)(C)CC,1.2197426,0.27110745
O=CC=C,CCC(C)C,2.47737155,0.59499547
O=CC=C,CC(=C)C=C,0.82389343,0.2034434
O=CC=C,CC(=C)C#C,-0.66028929,-0.1593262
O=CC=C,OCC(C)C,0.92316552,0.22403443
O=CC=C,CC(C)C=O,0.29646973,0.07275527
O=CC=C,CC(=C)C=O,0.09822994,0.02439373
O=CC=C,CCC(O)C,1.01732926,0.24544728
O=CC=C,CCC(C)=O,0.16526917,0.04015523
O=CC=C,COC(C)=O,0.0477975,0.0117911
O=CC=C,CC(C)C(C)C,2.4340036,0.58601311
O=CC=C,CC(C)C(O)=O,-0.51660872,-0.12645605
O=CC=C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.4970462,0.09793871
O=CC=C,OOC(C)(C)C(CC1)CCC1C,-0.06749625,-0.03797388
O=CC=C,CCOC(C(O)(C)C)=O,0.35385481,0.08242636
O=CC=C,COC(=O)C(C)=C,0.22858086,0.05613584
O=CC=C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.51368448,-0.10622134
O=CC=C,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.17604717,-0.03681638
O=CC=C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.9117844,0.13581162
O=CC=C,CCOC(=O)c1ccccc1C(OCC)=O,-0.02910687,-0.00635226
O=CC=C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.20454263,0.03636394
O=CC=C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.37118733,0.05824876
O=CC=C,CC(C)CCOC(=O)c1ccccc1O,0.48821487,0.11123722
O=CC=C,Oc2ccccc2C(OCCc1ccccc1)=O,0.01606915,0.0107063
O=CC=C,O=C2c1ccccc1CO2,-0.12308164,-0.02920094
O=CC=C,OCC(O)C(O)C(O)CO,0.34503425,0.06703233
O=CC=C,CCC(CC)C(O)=O,-0.40017031,-0.10054996
O=CC=C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.02976001,-0.01441763
O=CC=C,COc1cc(C)ccc1C(C)(C)C,0.85825674,0.20074699
O=CC=C,CC2CCC(CC1=C2CCC1C)=C(C)C,1.69861504,0.38544713
O=CC=C,COC(=O)c1ccccc1C,0.22420902,0.05641132
O=CC=C,CC(=O)c1ccc(C)cc1C,0.26704211,0.0633451
O=CC=C,Cc2c1ccccc1ccc2,0.33909979,0.0871089
O=CC=C,O=C2CCCCC2C1CCCCC1,0.84806121,0.18492258
O=CC=C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.20399764,-0.04135023
O=CC=C,CC(C=O)c1ccccc1,0.03977455,0.0109114
O=CC=C,CCC(O)c1ccccc1,-0.26478091,-0.06870057
O=CC=C,CCOC(=O)c1ccccc1,0.21606957,0.05357486
O=CC=C,CC(OC(C)c2ccccc2)c1ccccc1,0.29820939,0.07047201
O=CC=C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.26249426,-0.0481688
O=CC=C,CCOC(=O)c(cc1)ccc1C,0.31736036,0.07514461
O=CC=C,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.21793462,0.01280969
O=CC=C,O=C(OCCc1ccccc1)c2ccccc2,0.04159836,0.01411455
O=CC=C,CCCc2cc1OCOc1cc2,0.14440154,0.03673045
O=CC=C,COC(C1CCC(CC1)C(OC)=O)=O,0.08669209,0.01527338
O=CC=C,CCCC1CCCCC1=O,0.66968198,0.15114936
O=CC=C,CCOc1ccc(C=CC)cc1O,-0.83220393,-0.20829743
O=CC=C,CCCC(O)C(CO)CC,0.99365366,0.21449127
O=CC=C,Cc(ccc1C)cc1C,0.86792306,0.21188847
O=CC=C,CCOC(=O)C(OCC)=O,0.0002567,-0.00071473
