SMILES0,SMILES,gamma1,gamma2
O=CCCCC=O,OC(C)C(O)=O,-1.32596302,-0.33276444
O=CCCCC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.82682321,0.21649811
O=CCCCC=O,OCC(O)C,1.15573307,0.27696021
O=CCCCC=O,O=C1CCO1,0.06153908,0.01387704
O=CCCCC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.4100408,0.09331428
O=CCCCC=O,CCOCC,1.57857863,0.38932767
O=CCCCC=O,OCC,1.6006484,0.36818285
O=CCCCC=O,CCCCCC=O,0.89088956,0.22555568
O=CCCCC=O,CO,1.57398407,0.35383897
O=CCCCC=O,OC(C)C,1.64958546,0.3898394
O=CCCCC=O,CC(C)=O,0.04683883,0.01231488
O=CCCCC=O,OCCC,1.60151977,0.38220343
O=CCCCC=O,OCCCC,1.72281245,0.42622398
O=CCCCC=O,OCCCCC,1.81429271,0.45755724
O=CCCCC=O,CC1OC1,0.32944705,0.079767
O=CCCCC=O,CCC(C)(C)C,4.06358576,0.96656805
O=CCCCC=O,CC(C)(C)C(C)=O,0.86709418,0.21848054
O=CCCCC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.5845257,0.393126
O=CCCCC=O,COC(C)(C)OC,1.11329213,0.27878664
O=CCCCC=O,CCC1(CC)CCCCC1,4.01952178,0.98868054
O=CCCCC=O,CCOC(C)(OCC)OCC,1.34104126,0.33701958
O=CCCCC=O,CC(C)CCCC(O)(C)CC,2.22641846,0.56008303
O=CCCCC=O,CCC(C)C,4.15513386,0.96813246
O=CCCCC=O,CC(=C)C=C,1.58957091,0.37860969
O=CCCCC=O,CC(=C)C#C,-0.81861619,-0.1468824
O=CCCCC=O,OCC(C)C,1.48814659,0.37390509
O=CCCCC=O,CC(C)C=O,0.53559276,0.1320391
O=CCCCC=O,CC(=C)C=O,0.35564911,0.08751499
O=CCCCC=O,CCC(O)C,1.66106663,0.4065019
O=CCCCC=O,CCC(C)=O,0.34898055,0.08751967
O=CCCCC=O,COC(C)=O,0.12840894,0.03153957
O=CCCCC=O,CC(C)C(C)C,4.10873674,0.97907366
O=CCCCC=O,CC(C)C(O)=O,-0.76759347,-0.17935879
O=CCCCC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.20585619,0.29210624
O=CCCCC=O,OOC(C)(C)C(CC1)CCC1C,0.10645893,0.05318018
O=CCCCC=O,CCOC(C(O)(C)C)=O,0.73844362,0.18729327
O=CCCCC=O,COC(=O)C(C)=C,0.64090393,0.16103504
O=CCCCC=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.14066788,-0.02313295
O=CCCCC=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.25886897,0.06536557
O=CCCCC=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.93578082,0.41074871
O=CCCCC=O,CCOC(=O)c1ccccc1C(OCC)=O,0.34001766,0.08689118
O=CCCCC=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.78794576,0.18725966
O=CCCCC=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.08592475,0.24013603
O=CCCCC=O,CC(C)CCOC(=O)c1ccccc1O,1.24997387,0.31862594
O=CCCCC=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.53538805,0.14616308
O=CCCCC=O,O=C2c1ccccc1CO2,0.02467542,0.00674752
O=CCCCC=O,OCC(O)C(O)C(O)CO,0.26336124,0.05254937
O=CCCCC=O,CCC(CC)C(O)=O,-0.47867196,-0.09390289
O=CCCCC=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.42235558,0.11637091
O=CCCCC=O,COc1cc(C)ccc1C(C)(C)C,1.76088152,0.44885625
O=CCCCC=O,CC2CCC(CC1=C2CCC1C)=C(C)C,3.09550229,0.77204676
O=CCCCC=O,COC(=O)c1ccccc1C,0.77394684,0.20120571
O=CCCCC=O,CC(=O)c1ccc(C)cc1C,0.85036828,0.21749242
O=CCCCC=O,Cc2c1ccccc1ccc2,0.97239521,0.25402111
O=CCCCC=O,O=C2CCCCC2C1CCCCC1,1.60366796,0.39861019
O=CCCCC=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.12566246,0.03691278
O=CCCCC=O,CC(C=O)c1ccccc1,0.33273054,0.08796119
O=CCCCC=O,CCC(O)c1ccccc1,-0.14252749,-0.00570617
O=CCCCC=O,CCOC(=O)c1ccccc1,0.77129911,0.19965376
O=CCCCC=O,CC(OC(C)c2ccccc2)c1ccccc1,0.963296,0.24910648
O=CCCCC=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.21345799,0.05798881
O=CCCCC=O,CCOC(=O)c(cc1)ccc1C,0.94716105,0.24270432
O=CCCCC=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.76107224,0.14116505
O=CCCCC=O,O=C(OCCc1ccccc1)c2ccccc2,0.57895855,0.15317614
O=CCCCC=O,CCCc2cc1OCOc1cc2,0.53842865,0.14880285
O=CCCCC=O,COC(C1CCC(CC1)C(OC)=O)=O,0.33179256,0.08141726
O=CCCCC=O,CCCC1CCCCC1=O,1.3035772,0.32859219
O=CCCCC=O,CCOc1ccc(C=CC)cc1O,-0.95025013,-0.18978763
O=CCCCC=O,CCCC(O)C(CO)CC,1.75619127,0.42705871
O=CCCCC=O,Cc(ccc1C)cc1C,1.74517037,0.44037579
O=CCCCC=O,CCOC(=O)C(OCC)=O,0.16404121,0.04148263
O=CCCCC=O,CC1OC(C(C)OC1=O)=O,-0.67220539,-0.16844866
O=CCCCC=O,CCCCC(=O)C(C)=O,0.60325204,0.15378007
