SMILES0,SMILES,gamma1,gamma2
OC(=O)C#C,OC(C)C(O)=O,-1.17046174,-0.2839754
OC(=O)C#C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.80777144,0.75665201
OC(=O)C#C,OCC(O)C,-3.85689909,-0.9657344
OC(=O)C#C,O=C1CCO1,-2.55424578,-0.6405464
OC(=O)C#C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-2.47914134,-0.52913668
OC(=O)C#C,CCOCC,-5.59908601,-1.58731543
OC(=O)C#C,OCC,-4.65803344,-1.21234361
OC(=O)C#C,CCCCCC=O,-3.1022878,-0.86294654
OC(=O)C#C,CO,-4.93672098,-1.26323596
OC(=O)C#C,OC(C)C,-4.64046689,-1.24666986
OC(=O)C#C,CC(C)=O,-6.14428555,-1.71104381
OC(=O)C#C,OCCC,-3.90483392,-1.02640866
OC(=O)C#C,OCCCC,-3.81630455,-1.02483804
OC(=O)C#C,OCCCCC,-3.57175043,-0.97680605
OC(=O)C#C,CC1OC1,-5.19460786,-1.41884033
OC(=O)C#C,CCC(C)(C)C,7.260349,1.22801261
OC(=O)C#C,CC(C)(C)C(C)=O,-4.64747463,-1.32292157
OC(=O)C#C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.84204305,-1.12878752
OC(=O)C#C,COC(C)(C)OC,-5.42673209,-1.57117268
OC(=O)C#C,CCC1(CC)CCCCC1,7.16570299,1.25943996
OC(=O)C#C,CCOC(C)(OCC)OCC,-6.02311884,-1.57231994
OC(=O)C#C,CC(C)CCCC(O)(C)CC,-3.67883699,-1.12281495
OC(=O)C#C,CCC(C)C,7.3383838,1.2145676
OC(=O)C#C,CC(=C)C=C,4.5777173,0.77437912
OC(=O)C#C,CC(=C)C#C,3.37407585,0.58125636
OC(=O)C#C,OCC(C)C,-3.21811379,-0.87179531
OC(=O)C#C,CC(C)C=O,-3.61923735,-0.98096677
OC(=O)C#C,CC(=C)C=O,-4.13929607,-1.11939992
OC(=O)C#C,CCC(O)C,-3.96477467,-1.07813324
OC(=O)C#C,CCC(C)=O,-5.56891644,-1.57333319
OC(=O)C#C,COC(C)=O,-4.29505594,-1.16113179
OC(=O)C#C,CC(C)C(C)C,7.28435653,1.23311683
OC(=O)C#C,CC(C)C(O)=O,-0.88416161,-0.22503244
OC(=O)C#C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-3.16725074,-0.97333302
OC(=O)C#C,OOC(C)(C)C(CC1)CCC1C,0.09881317,-0.02443971
OC(=O)C#C,CCOC(C(O)(C)C)=O,-5.05604038,-1.49691397
OC(=O)C#C,COC(=O)C(C)=C,-2.80976952,-0.7773872
OC(=O)C#C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.6457336,0.15000442
OC(=O)C#C,COc2cccc3c2C(=O)c1ccccc1C3=O,-4.0474562,-0.98254022
OC(=O)C#C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.90002919,-0.76994314
OC(=O)C#C,CCOC(=O)c1ccccc1C(OCC)=O,-2.26614731,-0.53806055
OC(=O)C#C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-1.75881932,-0.46384327
OC(=O)C#C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-1.19453614,-0.36703933
OC(=O)C#C,CC(C)CCOC(=O)c1ccccc1O,0.56246857,0.10761217
OC(=O)C#C,Oc2ccccc2C(OCCc1ccccc1)=O,0.49255209,0.11401414
OC(=O)C#C,O=C2c1ccccc1CO2,-3.31987744,-0.84137744
OC(=O)C#C,OCC(O)C(O)C(O)CO,-3.97366055,-0.89376925
OC(=O)C#C,CCC(CC)C(O)=O,-0.44001419,-0.1242877
OC(=O)C#C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.07132334,-0.61415749
OC(=O)C#C,COc1cc(C)ccc1C(C)(C)C,4.70379095,0.89685219
OC(=O)C#C,CC2CCC(CC1=C2CCC1C)=C(C)C,5.35628782,1.06836763
OC(=O)C#C,COC(=O)c1ccccc1C,-1.64559946,-0.43947306
OC(=O)C#C,CC(=O)c1ccc(C)cc1C,-4.34088261,-1.2232275
OC(=O)C#C,Cc2c1ccccc1ccc2,3.95118114,0.74141234
OC(=O)C#C,O=C2CCCCC2C1CCCCC1,-3.58949217,-1.06758096
OC(=O)C#C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-3.79124397,-0.99926971
OC(=O)C#C,CC(C=O)c1ccccc1,-1.96924004,-0.51148047
OC(=O)C#C,CCC(O)c1ccccc1,-1.95390473,-0.53382308
OC(=O)C#C,CCOC(=O)c1ccccc1,-1.89001667,-0.52607892
OC(=O)C#C,CC(OC(C)c2ccccc2)c1ccccc1,-2.71907387,-0.57661008
OC(=O)C#C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.76293114,-0.18671932
OC(=O)C#C,CCOC(=O)c(cc1)ccc1C,-2.04265491,-0.58375627
OC(=O)C#C,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-21.76959109,-2.06811721
OC(=O)C#C,O=C(OCCc1ccccc1)c2ccccc2,-0.84557272,-0.23657695
OC(=O)C#C,CCCc2cc1OCOc1cc2,2.38568887,0.52639524
OC(=O)C#C,COC(C1CCC(CC1)C(OC)=O)=O,-3.34537468,-0.76907185
OC(=O)C#C,CCCC1CCCCC1=O,-4.27483737,-1.27366798
OC(=O)C#C,CCOc1ccc(C=CC)cc1O,0.61697808,0.15384655
OC(=O)C#C,CCCC(O)C(CO)CC,-4.67278541,-1.26737485
OC(=O)C#C,Cc(ccc1C)cc1C,4.50826856,0.83792641
OC(=O)C#C,CCOC(=O)C(OCC)=O,-2.58511877,-0.63901666
OC(=O)C#C,CC1OC(C(C)OC1=O)=O,-1.31531012,-0.31320184
OC(=O)C#C,CCCCC(=O)C(C)=O,-1.01072496,-0.26216107
OC(=O)C#C,C=CCOC(=O)C(C)=C,-1.98868843,-0.55293333
OC(=O)C#C,C1OC1c2ccccc2,-1.42418568,-0.31696882
OC(=O)C#C,CCC(C)CC,7.31563958,1.23920195
OC(=O)C#C,CCC(CC)=O,-4.86511636,-1.39954121
OC(=O)C#C,OCC(CO)=O,-3.20439732,-0.72537342
OC(=O)C#C,COC(=O)C=C,-2.8696244,-0.7785042
OC(=O)C#C,COC(CO)=O,-4.22030807,-1.07319854
OC(=O)C#C,CC1CCCC1,7.34472048,1.23594374
OC(=O)C#C,CC1CCCO1,-7.36395581,-2.27397255
OC(=O)C#C,O=C1CCCO1,-5.04650308,-1.30150869
OC(=O)C#C,CCCC(C)C(O)=O,-0.42459857,-0.12278146
OC(=O)C#C,CCOC(C(C)C)=O,-3.07179337,-0.86917665
