SMILES0,SMILES,gamma1,gamma2
OC(=O)C(C)=O,OC(C)C(O)=O,0.31611941,0.07605917
OC(=O)C(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.00844887,0.44974901
OC(=O)C(C)=O,OCC(O)C,-0.7994606,-0.19575147
OC(=O)C(C)=O,O=C1CCO1,-0.8143697,-0.20434807
OC(=O)C(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.48697205,-0.11811323
OC(=O)C(C)=O,CCOCC,-1.79621206,-0.49833947
OC(=O)C(C)=O,OCC,-1.17899009,-0.30982707
OC(=O)C(C)=O,CCCCCC=O,-0.64429989,-0.1782176
OC(=O)C(C)=O,CO,-1.37389708,-0.35842956
OC(=O)C(C)=O,OC(C)C,-1.16973041,-0.31643813
OC(=O)C(C)=O,CC(C)=O,-2.74831514,-0.72009343
OC(=O)C(C)=O,OCCC,-0.66205655,-0.17640804
OC(=O)C(C)=O,OCCCC,-0.57975191,-0.15976679
OC(=O)C(C)=O,OCCCCC,-0.39756866,-0.11729926
OC(=O)C(C)=O,CC1OC1,-2.03774151,-0.5249539
OC(=O)C(C)=O,CCC(C)(C)C,5.08561348,1.04497751
OC(=O)C(C)=O,CC(C)(C)C(C)=O,-1.51212779,-0.41140062
OC(=O)C(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.73964591,-0.23451899
OC(=O)C(C)=O,COC(C)(C)OC,-1.85919896,-0.51848517
OC(=O)C(C)=O,CCC1(CC)CCCCC1,5.01900414,1.05668984
OC(=O)C(C)=O,CCOC(C)(OCC)OCC,-2.22371557,-0.53756976
OC(=O)C(C)=O,CC(C)CCCC(O)(C)CC,-0.38681718,-0.16271155
OC(=O)C(C)=O,CCC(C)C,5.17496985,1.047521
OC(=O)C(C)=O,CC(=C)C=C,2.75023455,0.54695372
OC(=O)C(C)=O,CC(=C)C#C,1.3432061,0.25858823
OC(=O)C(C)=O,OCC(C)C,-0.26537271,-0.07972242
OC(=O)C(C)=O,CC(C)C=O,-1.08121814,-0.2811045
OC(=O)C(C)=O,CC(=C)C=O,-1.39687669,-0.36155102
OC(=O)C(C)=O,CCC(O)C,-0.7057543,-0.19407241
OC(=O)C(C)=O,CCC(C)=O,-2.28209887,-0.60592593
OC(=O)C(C)=O,COC(C)=O,-1.53551926,-0.39541726
OC(=O)C(C)=O,CC(C)C(C)C,5.12146039,1.05431075
OC(=O)C(C)=O,CC(C)C(O)=O,0.68547092,0.16974906
OC(=O)C(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.5454887,-0.19704627
OC(=O)C(C)=O,OOC(C)(C)C(CC1)CCC1C,1.2906189,0.29742203
OC(=O)C(C)=O,CCOC(C(O)(C)C)=O,-1.72529759,-0.49557716
OC(=O)C(C)=O,COC(=O)C(C)=C,-0.50770292,-0.1368469
OC(=O)C(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.27712329,0.29103251
OC(=O)C(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.34567813,-0.32930376
