SMILES0,SMILES,gamma1,gamma2
OC(=O)C(O)=O,OC(C)C(O)=O,-2.91305398,-0.73204254
OC(=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.94750056,0.90878185
OC(=O)C(O)=O,OCC(O)C,-8.03656646,-2.24660613
OC(=O)C(O)=O,O=C1CCO1,-4.44201302,-1.17625606
OC(=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-4.15099656,-0.95425408
OC(=O)C(O)=O,CCOCC,-9.77316813,-2.39974157
OC(=O)C(O)=O,OCC,-9.33725834,-2.44052313
OC(=O)C(O)=O,CCCCCC=O,-5.46156583,-1.43775226
OC(=O)C(O)=O,CO,-9.85115295,-2.56394182
OC(=O)C(O)=O,OC(C)C,-9.22835169,-2.4434109
OC(=O)C(O)=O,CC(C)=O,-9.92710216,-2.78158582
OC(=O)C(O)=O,OCCC,-8.09312067,-2.10702212
OC(=O)C(O)=O,OCCCC,-7.961789,-2.07633706
OC(=O)C(O)=O,OCCCCC,-7.62218112,-1.99571163
OC(=O)C(O)=O,CC1OC1,-8.50224164,-2.19777188
OC(=O)C(O)=O,CCC(C)(C)C,7.68856568,1.46964919
OC(=O)C(O)=O,CC(C)(C)C(C)=O,-7.79808612,-2.15706856
OC(=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-7.40838825,-1.86391611
OC(=O)C(O)=O,COC(C)(C)OC,-9.28783785,-2.65079051
OC(=O)C(O)=O,CCC1(CC)CCCCC1,7.60451567,1.52405462
OC(=O)C(O)=O,CCOC(C)(OCC)OCC,-10.67265518,-3.40098653
OC(=O)C(O)=O,CC(C)CCCC(O)(C)CC,-7.90225055,-2.16421917
OC(=O)C(O)=O,CCC(C)C,7.79901764,1.45418659
OC(=O)C(O)=O,CC(=C)C=C,4.7674983,0.92072066
OC(=O)C(O)=O,CC(=C)C#C,3.48249431,0.673365
OC(=O)C(O)=O,OCC(C)C,-7.02866453,-1.81451154
OC(=O)C(O)=O,CC(C)C=O,-6.00836647,-1.55869423
OC(=O)C(O)=O,CC(=C)C=O,-6.68665042,-1.76560362
OC(=O)C(O)=O,CCC(O)C,-8.13589891,-2.1470273
OC(=O)C(O)=O,CCC(C)=O,-9.1373536,-2.5792076
OC(=O)C(O)=O,COC(C)=O,-6.80965047,-1.86581463
OC(=O)C(O)=O,CC(C)C(C)C,7.7296643,1.48008963
OC(=O)C(O)=O,CC(C)C(O)=O,-2.03123704,-0.50646152
OC(=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-5.74670494,-1.7171154
OC(=O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,-0.91090281,-0.2479678
OC(=O)C(O)=O,CCOC(C(O)(C)C)=O,-8.94163281,-2.50238409
OC(=O)C(O)=O,COC(=O)C(C)=C,-4.51198482,-1.26930206
OC(=O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.2015743,0.2543405
OC(=O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-6.78960266,-1.66214764
OC(=O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-5.03005626,-1.53747463
OC(=O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-3.74535424,-0.93254906
OC(=O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-3.1342877,-0.83095502
OC(=O)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-2.38888642,-0.69539635
OC(=O)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,0.18304852,0.03466378
OC(=O)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.09298086,0.04335722
OC(=O)C(O)=O,O=C2c1ccccc1CO2,-5.59597692,-1.44780649
OC(=O)C(O)=O,OCC(O)C(O)C(O)CO,-7.82835278,-2.06362124
OC(=O)C(O)=O,CCC(CC)C(O)=O,-1.48141461,-0.36663733
OC(=O)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-5.0440692,-1.34078294
OC(=O)C(O)=O,COc1cc(C)ccc1C(C)(C)C,4.89004559,1.0759022
OC(=O)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,5.7216229,1.2818422
OC(=O)C(O)=O,COC(=O)c1ccccc1C,-2.98889636,-0.76489949
OC(=O)C(O)=O,CC(=O)c1ccc(C)cc1C,-7.538991,-1.95216517
OC(=O)C(O)=O,Cc2c1ccccc1ccc2,4.0584014,0.88892024
OC(=O)C(O)=O,O=C2CCCCC2C1CCCCC1,-6.4860256,-1.79047144
OC(=O)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-6.57693725,-1.82171611
OC(=O)C(O)=O,CC(C=O)c1ccccc1,-3.64229902,-0.88839809
OC(=O)C(O)=O,CCC(O)c1ccccc1,-4.55203105,-1.1014307
OC(=O)C(O)=O,CCOC(=O)c1ccccc1,-3.2765766,-0.91362234
OC(=O)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-6.21498208,-0.80180639
OC(=O)C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-1.47829577,-0.37635954
OC(=O)C(O)=O,CCOC(=O)c(cc1)ccc1C,-3.54452217,-1.01619886
OC(=O)C(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-45.08657661,-3.6027087
OC(=O)C(O)=O,O=C(OCCc1ccccc1)c2ccccc2,-1.86792417,-0.50109463
OC(=O)C(O)=O,CCCc2cc1OCOc1cc2,2.47480063,0.60637399
OC(=O)C(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-5.40686989,-1.35476465
OC(=O)C(O)=O,CCCC1CCCCC1=O,-7.38428681,-2.1325608
OC(=O)C(O)=O,CCOc1ccc(C=CC)cc1O,0.11529196,0.09767882
OC(=O)C(O)=O,CCCC(O)C(CO)CC,-9.31557003,-2.6025747
OC(=O)C(O)=O,Cc(ccc1C)cc1C,4.69648967,1.00964226
OC(=O)C(O)=O,CCOC(=O)C(OCC)=O,-4.12895014,-1.03995534
OC(=O)C(O)=O,CC1OC(C(C)OC1=O)=O,-2.69402779,-0.676973
OC(=O)C(O)=O,CCCCC(=O)C(C)=O,-1.98228234,-0.50097722
OC(=O)C(O)=O,C=CCOC(=O)C(C)=C,-3.43612207,-0.93633396
OC(=O)C(O)=O,C1OC1c2ccccc2,-2.89478463,-0.58018506
OC(=O)C(O)=O,CCC(C)CC,7.78153409,1.49336269
OC(=O)C(O)=O,CCC(CC)=O,-8.07521496,-2.30491301
OC(=O)C(O)=O,OCC(CO)=O,-6.81482949,-1.81443861
OC(=O)C(O)=O,COC(=O)C=C,-4.57308015,-1.26897773
OC(=O)C(O)=O,COC(CO)=O,-7.66800148,-2.01514268
OC(=O)C(O)=O,CC1CCCC1,7.75794666,1.46821685
OC(=O)C(O)=O,CC1CCCO1,-12.64888525,-3.5842247
OC(=O)C(O)=O,O=C1CCCO1,-8.23122315,-2.22935069
OC(=O)C(O)=O,CCCC(C)C(O)=O,-1.43895917,-0.36051254
OC(=O)C(O)=O,CCOC(C(C)C)=O,-5.09074229,-1.43264835
OC(=O)C(O)=O,CCOC(=O)C(C)=C,-4.77049687,-1.34471685
OC(=O)C(O)=O,CCOC(C(O)C)=O,-8.38534075,-2.31945728
OC(=O)C(O)=O,CC(C)C(OC(C(C)C)=O)=O,-2.04196381,-0.51302804
OC(=O)C(O)=O,CC(C)COC(C(C)C)=O,-4.58133498,-1.34352629
