SMILES0,SMILES,gamma1,gamma2
OC(=O)C=C(C)C(O)=O,OC(C)C(O)=O,0.05098709,0.00669611
OC(=O)C=C(C)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.2395318,0.78693325
OC(=O)C=C(C)C(O)=O,OCC(O)C,-1.3733162,-0.35881583
OC(=O)C=C(C)C(O)=O,O=C1CCO1,0.74957191,0.13688627
OC(=O)C=C(C)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.65129411,0.13848212
OC(=O)C=C(C)C(O)=O,CCOCC,-2.52468276,-0.51738573
OC(=O)C=C(C)C(O)=O,OCC,-2.15472067,-0.5524462
OC(=O)C=C(C)C(O)=O,CCCCCC=O,-0.03466885,0.00316902
OC(=O)C=C(C)C(O)=O,CO,-2.38499647,-0.58585966
OC(=O)C=C(C)C(O)=O,OC(C)C,-2.08763093,-0.54381562
OC(=O)C=C(C)C(O)=O,CC(C)=O,-3.12595146,-0.74966086
OC(=O)C=C(C)C(O)=O,OCCC,-1.48305187,-0.39204858
OC(=O)C=C(C)C(O)=O,OCCCC,-1.34508929,-0.36009844
OC(=O)C=C(C)C(O)=O,OCCCCC,-1.10776906,-0.30227442
OC(=O)C=C(C)C(O)=O,CC1OC1,-2.16732814,-0.47152635
OC(=O)C=C(C)C(O)=O,CCC(C)(C)C,10.33143757,1.16333375
OC(=O)C=C(C)C(O)=O,CC(C)(C)C(C)=O,-1.46657105,-0.33551769
OC(=O)C=C(C)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.80304549,-0.12911104
OC(=O)C=C(C)C(O)=O,COC(C)(C)OC,-2.3346286,-0.56408024
OC(=O)C=C(C)C(O)=O,CCC1(CC)CCCCC1,10.2949056,1.26188427
OC(=O)C=C(C)C(O)=O,CCOC(C)(OCC)OCC,-3.036123,-0.76576133
OC(=O)C=C(C)C(O)=O,CC(C)CCCC(O)(C)CC,-1.00227277,-0.29029842
OC(=O)C=C(C)C(O)=O,CCC(C)C,10.42250624,1.13301771
OC(=O)C=C(C)C(O)=O,CC(=C)C=C,7.06337689,0.6355818
OC(=O)C=C(C)C(O)=O,CC(=C)C#C,4.62728677,0.29471683
OC(=O)C=C(C)C(O)=O,OCC(C)C,-0.98493867,-0.26936597
OC(=O)C=C(C)C(O)=O,CC(C)C=O,-0.50722214,-0.12109353
OC(=O)C=C(C)C(O)=O,CC(=C)C=O,-1.02565951,-0.24174002
OC(=O)C=C(C)C(O)=O,CCC(O)C,-1.47812582,-0.38956305
OC(=O)C=C(C)C(O)=O,CCC(C)=O,-2.52303484,-0.60876486
OC(=O)C=C(C)C(O)=O,COC(C)=O,-1.07246881,-0.26039752
OC(=O)C=C(C)C(O)=O,CC(C)C(C)C,10.3772327,1.17331149
OC(=O)C=C(C)C(O)=O,CC(C)C(O)=O,0.2611131,0.06418274
OC(=O)C=C(C)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.08184347,-0.03818036
OC(=O)C=C(C)C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.36898808,0.32986189
OC(=O)C=C(C)C(O)=O,CCOC(C(O)(C)C)=O,-2.1325868,-0.5524289
OC(=O)C=C(C)C(O)=O,COC(=O)C(C)=C,0.38777355,0.05987462
OC(=O)C=C(C)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.34998601,0.62086154
OC(=O)C=C(C)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.03042933,-0.23794607
OC(=O)C=C(C)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.44827222,0.00589396
OC(=O)C=C(C)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.81133598,0.17913842
OC(=O)C=C(C)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.30033867,0.29138557
OC(=O)C=C(C)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.86560348,0.40158943
OC(=O)C=C(C)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,3.42292228,0.67288155
OC(=O)C=C(C)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.1067705,0.60026137
OC(=O)C=C(C)C(O)=O,O=C2c1ccccc1CO2,-0.32971902,-0.0871566
OC(=O)C=C(C)C(O)=O,OCC(O)C(O)C(O)CO,-1.32124674,-0.32950675
OC(=O)C=C(C)C(O)=O,CCC(CC)C(O)=O,0.61782185,0.15390423
OC(=O)C=C(C)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.50478002,-0.14564546
OC(=O)C=C(C)C(O)=O,COc1cc(C)ccc1C(C)(C)C,7.32370894,0.89683163
OC(=O)C=C(C)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.28315022,1.174592
OC(=O)C=C(C)C(O)=O,COC(=O)c1ccccc1C,1.28758512,0.26969981
OC(=O)C=C(C)C(O)=O,CC(=O)c1ccc(C)cc1C,-1.33986804,-0.29143601
OC(=O)C=C(C)C(O)=O,Cc2c1ccccc1ccc2,6.35818606,0.67594963
OC(=O)C=C(C)C(O)=O,O=C2CCCCC2C1CCCCC1,-0.3052947,-0.05597493
OC(=O)C=C(C)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.96293823,-0.23746273
OC(=O)C=C(C)C(O)=O,CC(C=O)c1ccccc1,0.79105217,0.16246115
OC(=O)C=C(C)C(O)=O,CCC(O)c1ccccc1,-0.58313985,-0.13702514
OC(=O)C=C(C)C(O)=O,CCOC(=O)c1ccccc1,1.12013573,0.23109963
OC(=O)C=C(C)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.46396477,0.09862646
OC(=O)C=C(C)C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.99781315,0.42439728
OC(=O)C=C(C)C(O)=O,CCOC(=O)c(cc1)ccc1C,1.03929611,0.22294278
OC(=O)C=C(C)C(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-27.18532333,-1.61561445
OC(=O)C=C(C)C(O)=O,O=C(OCCc1ccccc1)c2ccccc2,1.89328429,0.40333426
OC(=O)C=C(C)C(O)=O,CCCc2cc1OCOc1cc2,4.73787069,0.68272686
OC(=O)C=C(C)C(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-0.06428957,-0.02633171
OC(=O)C=C(C)C(O)=O,CCCC1CCCCC1=O,-1.01759546,-0.24387244
OC(=O)C=C(C)C(O)=O,CCOc1ccc(C=CC)cc1O,1.66911222,0.33592717
OC(=O)C=C(C)C(O)=O,CCCC(O)C(CO)CC,-1.94787133,-0.51235031
OC(=O)C=C(C)C(O)=O,Cc(ccc1C)cc1C,7.1415362,0.79184923
OC(=O)C=C(C)C(O)=O,CCOC(=O)C(OCC)=O,0.67311621,0.13189934
OC(=O)C=C(C)C(O)=O,CC1OC(C(C)OC1=O)=O,1.26726324,0.26815238
OC(=O)C=C(C)C(O)=O,CCCCC(=O)C(C)=O,2.0197501,0.39785092
OC(=O)C=C(C)C(O)=O,C=CCOC(=O)C(C)=C,1.05118821,0.21230957
OC(=O)C=C(C)C(O)=O,C1OC1c2ccccc2,1.18158552,0.23473464
OC(=O)C=C(C)C(O)=O,CCC(C)CC,10.43091522,1.18675763
OC(=O)C=C(C)C(O)=O,CCC(CC)=O,-1.73199954,-0.41552613
OC(=O)C=C(C)C(O)=O,OCC(CO)=O,-0.64466994,-0.15912041
OC(=O)C=C(C)C(O)=O,COC(=O)C=C,0.25540797,0.02080717
OC(=O)C=C(C)C(O)=O,COC(CO)=O,-1.43193946,-0.36182542
OC(=O)C=C(C)C(O)=O,CC1CCCC1,10.41294568,1.16274247
OC(=O)C=C(C)C(O)=O,CC1CCCO1,-4.64958278,-1.10825733
OC(=O)C=C(C)C(O)=O,O=C1CCCO1,-1.81985836,-0.44365209
OC(=O)C=C(C)C(O)=O,CCCC(C)C(O)=O,0.61814085,0.15334532
OC(=O)C=C(C)C(O)=O,CCOC(C(C)C)=O,0.25402502,0.05216594
OC(=O)C=C(C)C(O)=O,CCOC(=O)C(C)=C,0.35240611,0.06734916
