SMILES0,SMILES,gamma1,gamma2
OC(=O)C=C,OC(C)C(O)=O,0.12210076,0.02795794
OC(=O)C=C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.99955384,0.69082753
OC(=O)C=C,OCC(O)C,-1.0771356,-0.26980942
OC(=O)C=C,O=C1CCO1,0.16656528,0.04429081
OC(=O)C=C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.18074188,-0.05113929
OC(=O)C=C,CCOCC,-2.11247324,-0.59114043
OC(=O)C=C,OCC,-1.56652539,-0.4213376
OC(=O)C=C,CCCCCC=O,-0.51621868,-0.13203804
OC(=O)C=C,CO,-1.61688115,-0.42963449
OC(=O)C=C,OC(C)C,-1.59621199,-0.44287376
OC(=O)C=C,CC(C)=O,-2.47450265,-0.65978048
OC(=O)C=C,OCCC,-1.17169715,-0.31788355
OC(=O)C=C,OCCCC,-1.12170405,-0.31444841
OC(=O)C=C,OCCCCC,-0.98260394,-0.28460535
OC(=O)C=C,CC1OC1,-1.86945174,-0.47542971
OC(=O)C=C,CCC(C)(C)C,6.69093175,0.96504092
OC(=O)C=C,CC(C)(C)C(C)=O,-1.5062081,-0.40688472
OC(=O)C=C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.06489657,-0.31544672
OC(=O)C=C,COC(C)(C)OC,-2.04397789,-0.58131565
OC(=O)C=C,CCC1(CC)CCCCC1,6.60074922,1.00034988
OC(=O)C=C,CCOC(C)(OCC)OCC,-2.46583667,-0.61327248
OC(=O)C=C,CC(C)CCCC(O)(C)CC,-1.03311273,-0.35371924
OC(=O)C=C,CCC(C)C,6.76257,0.95207544
OC(=O)C=C,CC(=C)C=C,4.67181497,0.65025824
OC(=O)C=C,CC(=C)C#C,3.26664512,0.45015298
OC(=O)C=C,OCC(C)C,-0.82998269,-0.23534636
OC(=O)C=C,CC(C)C=O,-0.82392399,-0.20429884
OC(=O)C=C,CC(=C)C=O,-1.1492483,-0.28807256
OC(=O)C=C,CCC(O)C,-1.2287561,-0.34428696
OC(=O)C=C,CCC(C)=O,-2.13112141,-0.57404611
OC(=O)C=C,COC(C)=O,-1.21349266,-0.30802831
OC(=O)C=C,CC(C)C(C)C,6.71408113,0.96991324
OC(=O)C=C,CC(C)C(O)=O,0.1923013,0.04743087
OC(=O)C=C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.59459596,-0.20979662
OC(=O)C=C,OOC(C)(C)C(CC1)CCC1C,0.894787,0.201259
OC(=O)C=C,CCOC(C(O)(C)C)=O,-1.87786868,-0.56126425
OC(=O)C=C,COC(=O)C(C)=C,-0.26429235,-0.06917333
OC(=O)C=C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.73745859,0.38357424
OC(=O)C=C,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.1682314,-0.29607808
OC(=O)C=C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.02811542,-0.15285058
OC(=O)C=C,CCOC(=O)c1ccccc1C(OCC)=O,0.01653528,0.0076096
OC(=O)C=C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.32343388,0.05981273
OC(=O)C=C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.69331808,0.12176518
OC(=O)C=C,CC(C)CCOC(=O)c1ccccc1O,1.91543587,0.42904302
OC(=O)C=C,Oc2ccccc2C(OCCc1ccccc1)=O,1.81673006,0.41138542
OC(=O)C=C,O=C2c1ccccc1CO2,-0.59777372,-0.14670476
OC(=O)C=C,OCC(O)C(O)C(O)CO,-1.16226965,-0.26312701
OC(=O)C=C,CCC(CC)C(O)=O,0.44102728,0.10428289
OC(=O)C=C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.40480244,-0.13518935
OC(=O)C=C,COc1cc(C)ccc1C(C)(C)C,4.69878301,0.76878143
OC(=O)C=C,CC2CCC(CC1=C2CCC1C)=C(C)C,5.3299646,0.91276911
OC(=O)C=C,COC(=O)c1ccccc1C,0.45218835,0.1135784
OC(=O)C=C,CC(=O)c1ccc(C)cc1C,-1.36625335,-0.3729648
OC(=O)C=C,Cc2c1ccccc1ccc2,4.15354818,0.65702833
OC(=O)C=C,O=C2CCCCC2C1CCCCC1,-0.78490388,-0.24555406
OC(=O)C=C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-1.07977732,-0.29022856
OC(=O)C=C,CC(C=O)c1ccccc1,0.21026187,0.06027123
OC(=O)C=C,CCC(O)c1ccccc1,-0.34172716,-0.08966763
OC(=O)C=C,CCOC(=O)c1ccccc1,0.30188522,0.07297505
OC(=O)C=C,CC(OC(C)c2ccccc2)c1ccccc1,-0.48104778,-0.02672812
OC(=O)C=C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.95177011,0.2149632
OC(=O)C=C,CCOC(=O)c(cc1)ccc1C,0.20642839,0.04432779
OC(=O)C=C,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-14.08524195,-1.24443925
OC(=O)C=C,O=C(OCCc1ccccc1)c2ccccc2,0.93710056,0.22470471
OC(=O)C=C,CCCc2cc1OCOc1cc2,3.00922716,0.57893556
OC(=O)C=C,COC(C1CCC(CC1)C(OC)=O)=O,-0.66829557,-0.15538372
OC(=O)C=C,CCCC1CCCCC1=O,-1.25178073,-0.36747435
OC(=O)C=C,CCOc1ccc(C=CC)cc1O,1.26696714,0.29744142
OC(=O)C=C,CCCC(O)C(CO)CC,-1.63007294,-0.45646383
OC(=O)C=C,Cc(ccc1C)cc1C,4.6343285,0.72395805
OC(=O)C=C,CCOC(=O)C(OCC)=O,-0.09612934,-0.02648471
OC(=O)C=C,CC1OC(C(C)OC1=O)=O,0.58193641,0.1371674
