SMILES0,SMILES,gamma1,gamma2
OC(=O)C=CC(C)=O,OC(C)C(O)=O,0.08772942,0.01901371
OC(=O)C=CC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.88216652,0.78331053
OC(=O)C=CC(C)=O,OCC(O)C,-0.86819062,-0.22826119
OC(=O)C=CC(C)=O,O=C1CCO1,0.1065987,0.02272767
OC(=O)C=CC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.13283338,0.01212696
OC(=O)C=CC(C)=O,CCOCC,-1.9370403,-0.49825627
OC(=O)C=CC(C)=O,OCC,-1.36798839,-0.38749825
OC(=O)C=CC(C)=O,CCCCCC=O,-0.29754869,-0.06293112
OC(=O)C=CC(C)=O,CO,-1.51148708,-0.41546599
OC(=O)C=CC(C)=O,OC(C)C,-1.34785321,-0.39226996
OC(=O)C=CC(C)=O,CC(C)=O,-2.78636156,-0.73172538
OC(=O)C=CC(C)=O,OCCC,-0.86001614,-0.25318666
OC(=O)C=CC(C)=O,OCCCC,-0.74352393,-0.22602228
OC(=O)C=CC(C)=O,OCCCCC,-0.53686382,-0.17393615
OC(=O)C=CC(C)=O,CC1OC1,-2.04684355,-0.49294317
OC(=O)C=CC(C)=O,CCC(C)(C)C,8.65245914,1.22683654
OC(=O)C=CC(C)=O,CC(C)(C)C(C)=O,-1.40657132,-0.36655102
OC(=O)C=CC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.65015247,-0.17575547
OC(=O)C=CC(C)=O,COC(C)(C)OC,-1.93327648,-0.54075375
OC(=O)C=CC(C)=O,CCC1(CC)CCCCC1,8.60554464,1.30767937
OC(=O)C=CC(C)=O,CCOC(C)(OCC)OCC,-2.30482604,-0.60539631
OC(=O)C=CC(C)=O,CC(C)CCCC(O)(C)CC,-0.43256664,-0.18842986
OC(=O)C=CC(C)=O,CCC(C)C,8.73721643,1.20153849
OC(=O)C=CC(C)=O,CC(=C)C=C,5.67327504,0.70258473
OC(=O)C=CC(C)=O,CC(=C)C#C,3.52095441,0.35810904
OC(=O)C=CC(C)=O,OCC(C)C,-0.46368585,-0.15155818
OC(=O)C=CC(C)=O,CC(C)C=O,-0.77662292,-0.18073655
OC(=O)C=CC(C)=O,CC(=C)C=O,-1.20357843,-0.29103535
OC(=O)C=CC(C)=O,CCC(O)C,-0.88630817,-0.26565655
OC(=O)C=CC(C)=O,CCC(C)=O,-2.28948555,-0.60704029
OC(=O)C=CC(C)=O,COC(C)=O,-1.30983307,-0.32689581
OC(=O)C=CC(C)=O,CC(C)C(C)C,8.69372445,1.23666319
OC(=O)C=CC(C)=O,CC(C)C(O)=O,0.4444769,0.11018844
OC(=O)C=CC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.20792755,-0.10400679
OC(=O)C=CC(C)=O,OOC(C)(C)C(CC1)CCC1C,1.44267785,0.35053021
OC(=O)C=CC(C)=O,CCOC(C(O)(C)C)=O,-1.80695055,-0.53526225
OC(=O)C=CC(C)=O,COC(=O)C(C)=C,-0.06221653,-0.01709805
OC(=O)C=CC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.26568733,0.48603622
OC(=O)C=CC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.13793508,-0.2926559
OC(=O)C=CC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.75087443,0.041995
OC(=O)C=CC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.25885779,0.06324072
OC(=O)C=CC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.76492789,0.16873523
OC(=O)C=CC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.29004013,0.26701993
OC(=O)C=CC(C)=O,CC(C)CCOC(=O)c1ccccc1O,2.63518389,0.59500751
OC(=O)C=CC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.31618793,0.52089222
OC(=O)C=CC(C)=O,O=C2c1ccccc1CO2,-0.66409,-0.16362984
OC(=O)C=CC(C)=O,OCC(O)C(O)C(O)CO,-1.12668165,-0.26738119
OC(=O)C=CC(C)=O,CCC(CC)C(O)=O,0.84411513,0.21000438
OC(=O)C=CC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.09975705,-0.05408676
OC(=O)C=CC(C)=O,COc1cc(C)ccc1C(C)(C)C,5.88793606,0.91724497
OC(=O)C=CC(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,6.94081957,1.19005392
OC(=O)C=CC(C)=O,COC(=O)c1ccccc1C,0.78752222,0.19955151
OC(=O)C=CC(C)=O,CC(=O)c1ccc(C)cc1C,-1.2495639,-0.32069374
OC(=O)C=CC(C)=O,Cc2c1ccccc1ccc2,5.00263837,0.71057782
OC(=O)C=CC(C)=O,O=C2CCCCC2C1CCCCC1,-0.34533429,-0.11246349
