SMILES0,SMILES,gamma1,gamma2
OC(=O)C=CC(O)=O,OC(C)C(O)=O,-1.10431005,-0.27375499
OC(=O)C=CC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.27557588,1.24891186
OC(=O)C=CC(O)=O,OCC(O)C,-5.30190255,-1.46419412
OC(=O)C=CC(O)=O,O=C1CCO1,-2.06008644,-0.48489385
OC(=O)C=CC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-2.14283771,-0.54347533
OC(=O)C=CC(O)=O,CCOCC,-7.32792178,-1.6231393
OC(=O)C=CC(O)=O,OCC,-6.5671221,-1.65443658
OC(=O)C=CC(O)=O,CCCCCC=O,-3.4248205,-0.787369
OC(=O)C=CC(O)=O,CO,-6.9014767,-1.71435742
OC(=O)C=CC(O)=O,OC(C)C,-6.52846635,-1.66503431
OC(=O)C=CC(O)=O,CC(C)=O,-7.5503101,-2.01290831
OC(=O)C=CC(O)=O,OCCC,-5.53277333,-1.38806406
OC(=O)C=CC(O)=O,OCCCC,-5.40461721,-1.35649494
OC(=O)C=CC(O)=O,OCCCCC,-5.08050802,-1.2771215
OC(=O)C=CC(O)=O,CC1OC1,-6.29902344,-1.48308189
OC(=O)C=CC(O)=O,CCC(C)(C)C,11.5974788,1.49279866
OC(=O)C=CC(O)=O,CC(C)(C)C(C)=O,-5.58832031,-1.4262554
OC(=O)C=CC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-4.88104068,-1.09738835
OC(=O)C=CC(O)=O,COC(C)(C)OC,-6.90589548,-1.85449484
OC(=O)C=CC(O)=O,CCC1(CC)CCCCC1,11.52689168,1.62817722
OC(=O)C=CC(O)=O,CCOC(C)(OCC)OCC,-7.92018764,-2.46051374
OC(=O)C=CC(O)=O,CC(C)CCCC(O)(C)CC,-5.22065448,-1.34973848
OC(=O)C=CC(O)=O,CCC(C)C,11.70085057,1.44607898
OC(=O)C=CC(O)=O,CC(=C)C=C,8.14505663,0.99372193
OC(=O)C=CC(O)=O,CC(=C)C#C,6.13620838,0.74228428
OC(=O)C=CC(O)=O,OCC(C)C,-4.62230653,-1.14290672
OC(=O)C=CC(O)=O,CC(C)C=O,-3.99682872,-0.92496183
OC(=O)C=CC(O)=O,CC(=C)C=O,-4.62769277,-1.11170584
OC(=O)C=CC(O)=O,CCC(O)C,-5.59679801,-1.413736
OC(=O)C=CC(O)=O,CCC(C)=O,-6.84973288,-1.82517046
OC(=O)C=CC(O)=O,COC(C)=O,-4.69649059,-1.19177577
OC(=O)C=CC(O)=O,CC(C)C(C)C,11.64253916,1.50250325
OC(=O)C=CC(O)=O,CC(C)C(O)=O,-0.6618815,-0.15213925
OC(=O)C=CC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-3.55158711,-0.98657495
OC(=O)C=CC(O)=O,OOC(C)(C)C(CC1)CCC1C,0.56230982,0.16103056
OC(=O)C=CC(O)=O,CCOC(C(O)(C)C)=O,-6.40303532,-1.72154973
OC(=O)C=CC(O)=O,COC(=O)C(C)=C,-2.61468725,-0.65167337
OC(=O)C=CC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.86856365,0.65129272
OC(=O)C=CC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-4.47417976,-1.10220144
OC(=O)C=CC(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-2.58772908,-0.76420656
OC(=O)C=CC(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-1.74679967,-0.4204023
OC(=O)C=CC(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-1.15915828,-0.28822612
OC(=O)C=CC(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.40704425,-0.13808025
OC(=O)C=CC(O)=O,CC(C)CCOC(=O)c1ccccc1O,2.19032503,0.56152054
OC(=O)C=CC(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.24686049,0.5788251
OC(=O)C=CC(O)=O,O=C2c1ccccc1CO2,-3.3676142,-0.83420261
OC(=O)C=CC(O)=O,OCC(O)C(O)C(O)CO,-5.01723197,-1.36353587
