SMILES0,SMILES,gamma1,gamma2
OC(=O)C=O,OC(C)C(O)=O,-0.65936309,-0.15486699
OC(=O)C=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.03351987,0.6686355
OC(=O)C=O,OCC(O)C,-2.90937211,-0.72963962
OC(=O)C=O,O=C1CCO1,-2.18072855,-0.55979053
OC(=O)C=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.64848563,-0.35850885
OC(=O)C=O,CCOCC,-4.06496193,-1.21522559
OC(=O)C=O,OCC,-3.43746144,-0.95528164
OC(=O)C=O,CCCCCC=O,-2.1312885,-0.59249275
OC(=O)C=O,CO,-3.76558038,-1.03309634
OC(=O)C=O,OC(C)C,-3.39115653,-0.97431631
OC(=O)C=O,CC(C)=O,-4.95701908,-1.36337353
OC(=O)C=O,OCCC,-2.73606618,-0.76812728
OC(=O)C=O,OCCCC,-2.64182314,-0.7626792
OC(=O)C=O,OCCCCC,-2.42031452,-0.71690146
OC(=O)C=O,CC1OC1,-4.01656889,-1.0875153
OC(=O)C=O,CCC(C)(C)C,6.49923394,1.24640836
OC(=O)C=O,CC(C)(C)C(C)=O,-3.43502472,-0.97227462
OC(=O)C=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-2.73275103,-0.84871439
OC(=O)C=O,COC(C)(C)OC,-4.02651914,-1.19054972
OC(=O)C=O,CCC1(CC)CCCCC1,6.41581583,1.26447219
OC(=O)C=O,CCOC(C)(OCC)OCC,-4.60810394,-1.17108989
OC(=O)C=O,CC(C)CCCC(O)(C)CC,-2.48561771,-0.84999857
OC(=O)C=O,CCC(C)C,6.60477576,1.24639275
OC(=O)C=O,CC(=C)C=C,3.86443164,0.74097791
OC(=O)C=O,CC(=C)C#C,2.51279882,0.4779804
OC(=O)C=O,OCC(C)C,-2.15968185,-0.63085176
OC(=O)C=O,CC(C)C=O,-2.62665068,-0.70309981
OC(=O)C=O,CC(=C)C=O,-3.07156532,-0.82093355
OC(=O)C=O,CCC(O)C,-2.77046029,-0.80599067
OC(=O)C=O,CCC(C)=O,-4.36459219,-1.21746764
OC(=O)C=O,COC(C)=O,-3.22576691,-0.85707051
OC(=O)C=O,CC(C)C(C)C,6.53749179,1.25559734
OC(=O)C=O,CC(C)C(O)=O,-0.03742256,-0.00530755
OC(=O)C=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-2.1499203,-0.68325934
OC(=O)C=O,OOC(C)(C)C(CC1)CCC1C,0.75937084,0.15064748
OC(=O)C=O,CCOC(C(O)(C)C)=O,-3.84309174,-1.18571629
OC(=O)C=O,COC(=O)C(C)=C,-1.75981468,-0.4814122
OC(=O)C=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.40563223,0.30633954
OC(=O)C=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-3.10480166,-0.75670085
OC(=O)C=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.06590357,-0.56317966
OC(=O)C=O,CCOC(=O)c1ccccc1C(OCC)=O,-1.50018941,-0.35211809
OC(=O)C=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.95203152,-0.27107134
OC(=O)C=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.41651653,-0.18595926
OC(=O)C=O,CC(C)CCOC(=O)c1ccccc1O,1.16185344,0.25397493
OC(=O)C=O,Oc2ccccc2C(OCCc1ccccc1)=O,0.81321831,0.19854471
OC(=O)C=O,O=C2c1ccccc1CO2,-2.61999709,-0.65402473
OC(=O)C=O,OCC(O)C(O)C(O)CO,-3.19784292,-0.69803052
OC(=O)C=O,CCC(CC)C(O)=O,0.380948,0.08746028
OC(=O)C=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.45231434,-0.44960259
OC(=O)C=O,COc1cc(C)ccc1C(C)(C)C,3.981836,0.83917551
OC(=O)C=O,CC2CCC(CC1=C2CCC1C)=C(C)C,4.98995876,1.05644166
OC(=O)C=O,COC(=O)c1ccccc1C,-0.83129604,-0.221889
OC(=O)C=O,CC(=O)c1ccc(C)cc1C,-3.21570792,-0.92083945
OC(=O)C=O,Cc2c1ccccc1ccc2,3.17602474,0.66940244
OC(=O)C=O,O=C2CCCCC2C1CCCCC1,-2.40183202,-0.74073204
OC(=O)C=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-2.99119863,-0.77210385
OC(=O)C=O,CC(C=O)c1ccccc1,-1.38578579,-0.34627109
OC(=O)C=O,CCC(O)c1ccccc1,-1.41637108,-0.38231271
OC(=O)C=O,CCOC(=O)c1ccccc1,-1.01663299,-0.28355896
