SMILES0,SMILES,gamma1,gamma2
OC(=O)CC(=C)C(O)=O,OC(C)C(O)=O,-0.06123157,-0.01750001
OC(=O)CC(=C)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.11050622,1.0492269
OC(=O)CC(=C)C(O)=O,OCC(O)C,-2.651471,-0.69194824
OC(=O)CC(=C)C(O)=O,O=C1CCO1,-0.28756776,-0.06579434
OC(=O)CC(=C)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.07014046,-0.00633123
OC(=O)CC(=C)C(O)=O,CCOCC,-4.21087632,-0.75288596
OC(=O)CC(=C)C(O)=O,OCC,-3.60213911,-0.83053904
OC(=O)CC(=C)C(O)=O,CCCCCC=O,-0.91020717,-0.13334584
OC(=O)CC(=C)C(O)=O,CO,-4.04513388,-0.92141151
OC(=O)CC(=C)C(O)=O,OC(C)C,-3.48498074,-0.80484175
OC(=O)CC(=C)C(O)=O,CC(C)=O,-5.0263806,-1.2188325
OC(=O)CC(=C)C(O)=O,OCCC,-2.59226586,-0.59117517
OC(=O)CC(=C)C(O)=O,OCCCC,-2.3943802,-0.537421
OC(=O)CC(=C)C(O)=O,OCCCCC,-2.0378075,-0.45142772
OC(=O)CC(=C)C(O)=O,CC1OC1,-3.71952884,-0.75764754
OC(=O)CC(=C)C(O)=O,CCC(C)(C)C,11.47776215,1.46580285
OC(=O)CC(=C)C(O)=O,CC(C)(C)C(C)=O,-2.87700409,-0.62351507
OC(=O)CC(=C)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.80641888,-0.26603659
OC(=O)CC(=C)C(O)=O,COC(C)(C)OC,-3.98085801,-0.93337614
OC(=O)CC(=C)C(O)=O,CCC1(CC)CCCCC1,11.43049021,1.57583063
OC(=O)CC(=C)C(O)=O,CCOC(C)(OCC)OCC,-4.72407521,-1.35916384
OC(=O)CC(=C)C(O)=O,CC(C)CCCC(O)(C)CC,-1.91397437,-0.41828914
OC(=O)CC(=C)C(O)=O,CCC(C)C,11.57875194,1.42985248
OC(=O)CC(=C)C(O)=O,CC(=C)C=C,8.00638482,0.90607138
OC(=O)CC(=C)C(O)=O,CC(=C)C#C,5.4062955,0.55487675
OC(=O)CC(=C)C(O)=O,OCC(C)C,-1.73530025,-0.38651326
OC(=O)CC(=C)C(O)=O,CC(C)C=O,-1.59851532,-0.30415029
OC(=O)CC(=C)C(O)=O,CC(=C)C=O,-2.19295924,-0.45642899
OC(=O)CC(=C)C(O)=O,CCC(O)C,-2.57169417,-0.57856165
OC(=O)CC(=C)C(O)=O,CCC(C)=O,-4.2357562,-1.01000904
OC(=O)CC(=C)C(O)=O,COC(C)=O,-2.4238339,-0.5467843
OC(=O)CC(=C)C(O)=O,CC(C)C(C)C,11.52742336,1.4768279
OC(=O)CC(=C)C(O)=O,CC(C)C(O)=O,0.49157284,0.12142841
OC(=O)CC(=C)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.75275634,-0.17595253
OC(=O)CC(=C)C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.92663496,0.46881813
OC(=O)CC(=C)C(O)=O,CCOC(C(O)(C)C)=O,-3.5914184,-0.86328999
OC(=O)CC(=C)C(O)=O,COC(=O)C(C)=C,-0.315318,-0.05263714
OC(=O)CC(=C)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.81602496,0.7671949
OC(=O)CC(=C)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.89225467,-0.42209083
OC(=O)CC(=C)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.42404891,0.02337511
OC(=O)CC(=C)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.39434828,0.10662167
OC(=O)CC(=C)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.09383301,0.26312867
OC(=O)CC(=C)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.83758945,0.40452324
OC(=O)CC(=C)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,3.91615082,0.83256662
OC(=O)CC(=C)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.66104622,0.76733622
OC(=O)CC(=C)C(O)=O,O=C2c1ccccc1CO2,-1.14501878,-0.25332661
OC(=O)CC(=C)C(O)=O,OCC(O)C(O)C(O)CO,-2.65455223,-0.71428909
OC(=O)CC(=C)C(O)=O,CCC(CC)C(O)=O,1.04777389,0.2603266
OC(=O)CC(=C)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.31253992,-0.0825471
OC(=O)CC(=C)C(O)=O,COc1cc(C)ccc1C(C)(C)C,8.26417312,1.18041573
OC(=O)CC(=C)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,9.38043345,1.47564032
OC(=O)CC(=C)C(O)=O,COC(=O)c1ccccc1C,1.18510786,0.3063445
OC(=O)CC(=C)C(O)=O,CC(=O)c1ccc(C)cc1C,-2.34899188,-0.43389911
OC(=O)CC(=C)C(O)=O,Cc2c1ccccc1ccc2,7.2282966,0.94749007
OC(=O)CC(=C)C(O)=O,O=C2CCCCC2C1CCCCC1,-1.38271153,-0.24866564
OC(=O)CC(=C)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-1.68366408,-0.41079253
OC(=O)CC(=C)C(O)=O,CC(C=O)c1ccccc1,0.59575491,0.17749078
OC(=O)CC(=C)C(O)=O,CCC(O)c1ccccc1,-0.3243716,-0.04756726
OC(=O)CC(=C)C(O)=O,CCOC(=O)c1ccccc1,0.91062884,0.23352309
OC(=O)CC(=C)C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-0.49788501,0.25189325
OC(=O)CC(=C)C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.25430851,0.50475363
OC(=O)CC(=C)C(O)=O,CCOC(=O)c(cc1)ccc1C,0.76341171,0.20681314
OC(=O)CC(=C)C(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-28.49547648,-2.15793195
OC(=O)CC(=C)C(O)=O,O=C(OCCc1ccccc1)c2ccccc2,2.15404013,0.50331601
OC(=O)CC(=C)C(O)=O,CCCc2cc1OCOc1cc2,5.46854443,0.90401095
OC(=O)CC(=C)C(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-1.07238182,-0.27692809
OC(=O)CC(=C)C(O)=O,CCCC1CCCCC1=O,-2.3246314,-0.51834519
OC(=O)CC(=C)C(O)=O,CCOc1ccc(C=CC)cc1O,2.44648512,0.5428547
OC(=O)CC(=C)C(O)=O,CCCC(O)C(CO)CC,-3.25419602,-0.81143275
OC(=O)CC(=C)C(O)=O,Cc(ccc1C)cc1C,8.08236547,1.07368416
OC(=O)CC(=C)C(O)=O,CCOC(=O)C(OCC)=O,-0.05544665,-0.00335312
OC(=O)CC(=C)C(O)=O,CC1OC(C(C)OC1=O)=O,0.82678306,0.18651595
OC(=O)CC(=C)C(O)=O,CCCCC(=O)C(C)=O,1.83791294,0.40796599
OC(=O)CC(=C)C(O)=O,C=CCOC(=O)C(C)=C,0.77606148,0.20589827
OC(=O)CC(=C)C(O)=O,C1OC1c2ccccc2,1.2334314,0.3134557
OC(=O)CC(=C)C(O)=O,CCC(C)CC,11.58618712,1.49217011
OC(=O)CC(=C)C(O)=O,CCC(CC)=O,-3.22319882,-0.74338397
OC(=O)CC(=C)C(O)=O,OCC(CO)=O,-1.83255295,-0.47360439
OC(=O)CC(=C)C(O)=O,COC(=O)C=C,-0.48680423,-0.10583701
OC(=O)CC(=C)C(O)=O,COC(CO)=O,-2.72640494,-0.67439592
OC(=O)CC(=C)C(O)=O,CC1CCCC1,11.55018261,1.45810196
OC(=O)CC(=C)C(O)=O,CC1CCCO1,-6.68906182,-1.5596978
OC(=O)CC(=C)C(O)=O,O=C1CCCO1,-3.51300899,-0.86956658
OC(=O)CC(=C)C(O)=O,CCCC(C)C(O)=O,1.05974199,0.26239741
OC(=O)CC(=C)C(O)=O,CCOC(C(C)C)=O,-0.64814503,-0.10966587
OC(=O)CC(=C)C(O)=O,CCOC(=O)C(C)=C,-0.3707924,-0.04437994
OC(=O)CC(=C)C(O)=O,CCOC(C(O)C)=O,-3.27279962,-0.79445783
OC(=O)CC(=C)C(O)=O,CC(C)C(OC(C(C)C)=O)=O,1.87401454,0.42008785
OC(=O)CC(=C)C(O)=O,CC(C)COC(C(C)C)=O,-0.01433553,0.04357967
OC(=O)CC(=C)C(O)=O,CC(C)COC(=O)C(C)=C,0.43417216,0.14256336
OC(=O)CC(=C)C(O)=O,CCCCOC(C(C)C)=O,0.11774499,0.07035753
OC(=O)CC(=C)C(O)=O,CCCCOC(=O)C(C)=C,0.22758156,0.09799573
OC(=O)CC(=C)C(O)=O,CCC(CC)C=O,-0.51497435,-0.03605953
OC(=O)CC(=C)C(O)=O,OCC1CCCO1,-5.35920656,-1.44192699
OC(=O)CC(=C)C(O)=O,OCc1occc1,-1.73125211,-0.41435415
OC(=O)CC(=C)C(O)=O,O=Cc1occc1,-2.02283444,-0.46828875
OC(=O)CC(=C)C(O)=O,CC(C)(C)c1ccccc1,8.22603009,1.10969431
OC(=O)CC(=C)C(O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,1.67755363,0.40056682
OC(=O)CC(=C)C(O)=O,CC(C)(C)c(cc1)ccc1C,8.55831461,1.19452022
OC(=O)CC(=C)C(O)=O,OC1CCC(CC1)C(C)(C)C,-1.81003763,-0.40878202
OC(=O)CC(=C)C(O)=O,CC(C)(C)C1CCC(CC1)=O,-3.13961906,-0.75282011
OC(=O)CC(=C)C(O)=O,CC(C)c1ccccc1,8.09689991,1.0676174
OC(=O)CC(=C)C(O)=O,COC(=O)c(ccc1)cc1C,0.99971674,0.24888851
OC(=O)CC(=C)C(O)=O,OC1CC(CC=C1C)C(C)=C,-1.04298576,-0.21465871
OC(=O)CC(=C)C(O)=O,CC(C)c1cc(C(C)C)ccc1,8.77915212,1.25698331
OC(=O)CC(=C)C(O)=O,CCCC(CCC)C(O)=O,1.49201035,0.36599763
OC(=O)CC(=C)C(O)=O,CC(C=O)c(cc1)ccc1C,0.68487446,0.21024624
OC(=O)CC(=C)C(O)=O,CC1CCC(C(C)C)CC1,11.52369616,1.61410067
OC(=O)CC(=C)C(O)=O,CC(C)c(cc1)ccc1C,8.42802504,1.15553294
OC(=O)CC(=C)C(O)=O,C=CC1CC=CCC1,8.38212819,1.12199916
OC(=O)CC(=C)C(O)=O,CCc1ccccc1,7.8320373,0.99329806
OC(=O)CC(=C)C(O)=O,C=Cc1ccccc1,6.94422549,0.84037878
OC(=O)CC(=C)C(O)=O,OCC1CCCCC1,-1.16374765,-0.24424698
OC(=O)CC(=C)C(O)=O,COc1ccccc1,3.87420448,0.64930234
OC(=O)CC(=C)C(O)=O,OCC1CCCCO1,-4.45836129,-1.165606
OC(=O)CC(=C)C(O)=O,OCC(CO1)OC1(C)C,-3.00571054,-0.78325966
OC(=O)CC(=C)C(O)=O,Cc1cc(C=C)ccc1,7.31876733,0.93940053
OC(=O)CC(=C)C(O)=O,COc(ccc1)cc1C,4.09112815,0.72791192
OC(=O)CC(=C)C(O)=O,COC(=O)Cc1ccccc1,0.14805043,0.07232298
OC(=O)CC(=C)C(O)=O,COC(OC)Cc1ccccc1,-1.42028861,-0.23464294
OC(=O)CC(=C)C(O)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,1.60030692,0.38488461
OC(=O)CC(=C)C(O)=O,CC(C)COC(=O)Cc1ccccc1,0.4462946,0.13848154
OC(=O)CC(=C)C(O)=O,O=C(OCc2ccccc2)Cc1ccccc1,0.84533126,0.22916036
