SMILES0,SMILES,gamma1,gamma2
OC(=O)CC(=O)C(O)=O,OC(C)C(O)=O,-0.6872283,-0.15665064
OC(=O)CC(=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.15014785,1.17040165
OC(=O)CC(=O)C(O)=O,OCC(O)C,-4.05716094,-1.03236182
OC(=O)CC(=O)C(O)=O,O=C1CCO1,-3.10108588,-0.74317615
OC(=O)CC(=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-2.00173238,-0.5430377
OC(=O)CC(=O)C(O)=O,CCOCC,-6.1098455,-1.24998172
OC(=O)CC(=O)C(O)=O,OCC,-4.97412516,-1.13430931
OC(=O)CC(=O)C(O)=O,CCCCCC=O,-3.03873939,-0.65647048
OC(=O)CC(=O)C(O)=O,CO,-5.56720512,-1.25911819
OC(=O)CC(=O)C(O)=O,OC(C)C,-4.86763897,-1.12560603
OC(=O)CC(=O)C(O)=O,CC(C)=O,-7.59948571,-1.96246956
OC(=O)CC(=O)C(O)=O,OCCC,-3.83542141,-0.86097858
OC(=O)CC(=O)C(O)=O,OCCCC,-3.63942562,-0.8064428
OC(=O)CC(=O)C(O)=O,OCCCCC,-3.23586979,-0.71076594
OC(=O)CC(=O)C(O)=O,CC1OC1,-6.08032969,-1.37201374
OC(=O)CC(=O)C(O)=O,CCC(C)(C)C,11.18887511,1.78641962
OC(=O)CC(=O)C(O)=O,CC(C)(C)C(C)=O,-5.12143909,-1.24832323
OC(=O)CC(=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.44962029,-0.76577543
OC(=O)CC(=O)C(O)=O,COC(C)(C)OC,-5.98551517,-1.53624776
OC(=O)CC(=O)C(O)=O,CCC1(CC)CCCCC1,11.12920981,1.91241949
OC(=O)CC(=O)C(O)=O,CCOC(C)(OCC)OCC,-6.60023443,-1.95868202
OC(=O)CC(=O)C(O)=O,CC(C)CCCC(O)(C)CC,-3.11689484,-0.74017706
OC(=O)CC(=O)C(O)=O,CCC(C)C,11.31883896,1.74989957
OC(=O)CC(=O)C(O)=O,CC(=C)C=C,7.1500498,1.04246961
OC(=O)CC(=O)C(O)=O,CC(=C)C#C,4.90086421,0.67559477
OC(=O)CC(=O)C(O)=O,OCC(C)C,-2.84711017,-0.62360144
OC(=O)CC(=O)C(O)=O,CC(C)C=O,-3.9194834,-0.85899331
OC(=O)CC(=O)C(O)=O,CC(=C)C=O,-4.51762245,-1.04367317
OC(=O)CC(=O)C(O)=O,CCC(O)C,-3.83466186,-0.872333
OC(=O)CC(=O)C(O)=O,CCC(C)=O,-6.63900842,-1.69941003
OC(=O)CC(=O)C(O)=O,COC(C)=O,-4.81909437,-1.17767405
OC(=O)CC(=O)C(O)=O,CC(C)C(C)C,11.2490562,1.80182774
OC(=O)CC(=O)C(O)=O,CC(C)C(O)=O,0.08991521,0.07450527
OC(=O)CC(=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-2.72590739,-0.75590375
OC(=O)CC(=O)C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.5499632,0.43659977
OC(=O)CC(=O)C(O)=O,CCOC(C(O)(C)C)=O,-5.38610925,-1.41580115
OC(=O)CC(=O)C(O)=O,COC(=O)C(C)=C,-2.42671043,-0.54227012
OC(=O)CC(=O)C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.10572082,0.73830344
OC(=O)CC(=O)C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-3.97244219,-0.99986286
OC(=O)CC(=O)C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.62004348,-0.27875989
OC(=O)CC(=O)C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-1.72794736,-0.41514831
OC(=O)CC(=O)C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.84328224,-0.22434854
OC(=O)CC(=O)C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.01059836,-0.06299984
OC(=O)CC(=O)C(O)=O,CC(C)CCOC(=O)c1ccccc1O,2.55000455,0.69079474
OC(=O)CC(=O)C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.22897243,0.60978062
OC(=O)CC(=O)C(O)=O,O=C2c1ccccc1CO2,-3.47997722,-0.85978489
OC(=O)CC(=O)C(O)=O,OCC(O)C(O)C(O)CO,-4.23827978,-1.1100162
OC(=O)CC(=O)C(O)=O,CCC(CC)C(O)=O,0.82348168,0.26185497
OC(=O)CC(=O)C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.17686239,-0.25210075
OC(=O)CC(=O)C(O)=O,COc1cc(C)ccc1C(C)(C)C,7.43971472,1.35730856
OC(=O)CC(=O)C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.81297171,1.73010316
OC(=O)CC(=O)C(O)=O,COC(=O)c1ccccc1C,-0.67964356,-0.05248301
OC(=O)CC(=O)C(O)=O,CC(=O)c1ccc(C)cc1C,-4.35124267,-0.98102036
OC(=O)CC(=O)C(O)=O,Cc2c1ccccc1ccc2,6.23113421,1.05503407
OC(=O)CC(=O)C(O)=O,O=C2CCCCC2C1CCCCC1,-3.39655365,-0.82101771
OC(=O)CC(=O)C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-3.7355706,-0.99830517
OC(=O)CC(=O)C(O)=O,CC(C=O)c1ccccc1,-1.50556945,-0.25322491
OC(=O)CC(=O)C(O)=O,CCC(O)c1ccccc1,-1.27554938,-0.22198082
