SMILES0,SMILES,gamma1,gamma2
OC(=O)CCC(=O)C(O)=O,OC(C)C(O)=O,-0.30458299,-0.07437543
OC(=O)CCC(=O)C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.8209584,1.09651671
OC(=O)CCC(=O)C(O)=O,OCC(O)C,-3.15778578,-0.83723395
OC(=O)CCC(=O)C(O)=O,O=C1CCO1,-2.25267656,-0.54588456
OC(=O)CCC(=O)C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.28608658,-0.34082018
OC(=O)CCC(=O)C(O)=O,CCOCC,-4.96419716,-1.03569209
OC(=O)CCC(=O)C(O)=O,OCC,-4.02197885,-0.96443746
OC(=O)CCC(=O)C(O)=O,CCCCCC=O,-2.17243517,-0.48667694
OC(=O)CCC(=O)C(O)=O,CO,-4.55573316,-1.07096923
OC(=O)CCC(=O)C(O)=O,OC(C)C,-3.91315968,-0.95152733
OC(=O)CCC(=O)C(O)=O,CC(C)=O,-6.39656214,-1.63607989
OC(=O)CCC(=O)C(O)=O,OCCC,-2.94738015,-0.71004205
OC(=O)CCC(=O)C(O)=O,OCCCC,-2.74413607,-0.65461213
OC(=O)CCC(=O)C(O)=O,OCCCCC,-2.35854341,-0.55977868
OC(=O)CCC(=O)C(O)=O,CC1OC1,-5.0033849,-1.14473255
OC(=O)CCC(=O)C(O)=O,CCC(C)(C)C,10.57765928,1.65824961
OC(=O)CCC(=O)C(O)=O,CC(C)(C)C(C)=O,-4.02855034,-0.98826888
OC(=O)CCC(=O)C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-2.51430964,-0.5455715
OC(=O)CCC(=O)C(O)=O,COC(C)(C)OC,-4.87238664,-1.24862669
OC(=O)CCC(=O)C(O)=O,CCC1(CC)CCCCC1,10.53409934,1.78700427
OC(=O)CCC(=O)C(O)=O,CCOC(C)(OCC)OCC,-5.46988797,-1.58678857
OC(=O)CCC(=O)C(O)=O,CC(C)CCCC(O)(C)CC,-2.20787979,-0.54627768
OC(=O)CCC(=O)C(O)=O,CCC(C)C,10.69569058,1.62050262
OC(=O)CCC(=O)C(O)=O,CC(=C)C=C,6.73456092,0.95902482
OC(=O)CCC(=O)C(O)=O,CC(=C)C#C,4.46213109,0.60713268
OC(=O)CCC(=O)C(O)=O,OCC(C)C,-2.05248826,-0.49458153
OC(=O)CCC(=O)C(O)=O,CC(C)C=O,-3.01160826,-0.68448454
OC(=O)CCC(=O)C(O)=O,CC(=C)C=O,-3.54910783,-0.83819301
OC(=O)CCC(=O)C(O)=O,CCC(O)C,-2.94546825,-0.71376986
OC(=O)CCC(=O)C(O)=O,CCC(C)=O,-5.49619683,-1.40307043
OC(=O)CCC(=O)C(O)=O,COC(C)=O,-3.85570811,-0.95057373
OC(=O)CCC(=O)C(O)=O,CC(C)C(C)C,10.63751328,1.67343521
OC(=O)CCC(=O)C(O)=O,CC(C)C(O)=O,0.37807128,0.10339929
OC(=O)CCC(=O)C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-1.80185428,-0.51411445
