SMILES0,SMILES,gamma1,gamma2
OC(=O)c(cc1)ccc1O,OC(C)C(O)=O,-0.7360974,-0.18419874
OC(=O)c(cc1)ccc1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.98702002,1.13681946
OC(=O)c(cc1)ccc1O,OCC(O)C,-4.20213059,-1.13034044
OC(=O)c(cc1)ccc1O,O=C1CCO1,-1.62119688,-0.35654937
OC(=O)c(cc1)ccc1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.68398455,-0.37040243
OC(=O)c(cc1)ccc1O,CCOCC,-6.49211578,-1.46583948
OC(=O)c(cc1)ccc1O,OCC,-5.46226888,-1.35468086
OC(=O)c(cc1)ccc1O,CCCCCC=O,-2.83140396,-0.66825723
OC(=O)c(cc1)ccc1O,CO,-5.79612592,-1.40544195
OC(=O)c(cc1)ccc1O,OC(C)C,-5.41055404,-1.36313813
OC(=O)c(cc1)ccc1O,CC(C)=O,-6.91476262,-1.78027236
OC(=O)c(cc1)ccc1O,OCCC,-4.49099055,-1.11533852
OC(=O)c(cc1)ccc1O,OCCCC,-4.34660908,-1.08341087
OC(=O)c(cc1)ccc1O,OCCCCC,-4.02131171,-1.00571089
OC(=O)c(cc1)ccc1O,CC1OC1,-5.71361986,-1.3531684
OC(=O)c(cc1)ccc1O,CCC(C)(C)C,10.96840713,1.4102771
OC(=O)c(cc1)ccc1O,CC(C)(C)C(C)=O,-4.91220853,-1.23629318
OC(=O)c(cc1)ccc1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.98553882,-0.89376791
OC(=O)c(cc1)ccc1O,COC(C)(C)OC,-6.12672186,-1.60341543
OC(=O)c(cc1)ccc1O,CCC1(CC)CCCCC1,10.90934853,1.53194099
OC(=O)c(cc1)ccc1O,CCOC(C)(OCC)OCC,-6.90133037,-1.99454957
OC(=O)c(cc1)ccc1O,CC(C)CCCC(O)(C)CC,-4.07639353,-1.05691934
OC(=O)c(cc1)ccc1O,CCC(C)C,11.03123714,1.36112377
OC(=O)c(cc1)ccc1O,CC(=C)C=C,7.69481427,0.90922755
OC(=O)c(cc1)ccc1O,CC(=C)C#C,5.91941739,0.72631497
OC(=O)c(cc1)ccc1O,OCC(C)C,-3.61038814,-0.89170481
OC(=O)c(cc1)ccc1O,CC(C)C=O,-3.52260251,-0.84213406
OC(=O)c(cc1)ccc1O,CC(=C)C=O,-4.1010862,-0.99446674
OC(=O)c(cc1)ccc1O,CCC(O)C,-4.53717289,-1.13798871
OC(=O)c(cc1)ccc1O,CCC(C)=O,-6.16780147,-1.59880001
OC(=O)c(cc1)ccc1O,COC(C)=O,-4.30814344,-1.07661543
OC(=O)c(cc1)ccc1O,CC(C)C(C)C,10.99906523,1.41674511
OC(=O)c(cc1)ccc1O,CC(C)C(O)=O,-0.64312148,-0.15786262
OC(=O)c(cc1)ccc1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-2.77921657,-0.75460132
OC(=O)c(cc1)ccc1O,OOC(C)(C)C(CC1)CCC1C,0.80212629,0.19564541
OC(=O)c(cc1)ccc1O,CCOC(C(O)(C)C)=O,-5.60502946,-1.47369992
OC(=O)c(cc1)ccc1O,COC(=O)C(C)=C,-2.26091707,-0.58459488
OC(=O)c(cc1)ccc1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.44865936,0.50432978
OC(=O)c(cc1)ccc1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-3.68113978,-0.86182591
OC(=O)c(cc1)ccc1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.61135899,-0.52011772
OC(=O)c(cc1)ccc1O,CCOC(=O)c1ccccc1C(OCC)=O,-1.32815915,-0.30355707
OC(=O)c(cc1)ccc1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.72416445,-0.16840447
OC(=O)c(cc1)ccc1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.01494769,-0.01855293
OC(=O)c(cc1)ccc1O,CC(C)CCOC(=O)c1ccccc1O,2.32614999,0.50566958
OC(=O)c(cc1)ccc1O,Oc2ccccc2C(OCCc1ccccc1)=O,2.44808663,0.5380162
OC(=O)c(cc1)ccc1O,O=C2c1ccccc1CO2,-2.6552627,-0.6404541
OC(=O)c(cc1)ccc1O,OCC(O)C(O)C(O)CO,-4.04174719,-1.04853414
OC(=O)c(cc1)ccc1O,CCC(CC)C(O)=O,-0.07575889,-0.01601855
OC(=O)c(cc1)ccc1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.91567294,-0.49318848
OC(=O)c(cc1)ccc1O,COc1cc(C)ccc1C(C)(C)C,7.93805527,1.2095034
OC(=O)c(cc1)ccc1O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.74698759,1.43848744
OC(=O)c(cc1)ccc1O,COC(=O)c1ccccc1C,-0.61465693,-0.13910385
OC(=O)c(cc1)ccc1O,CC(=O)c1ccc(C)cc1C,-4.38221463,-1.0233927
OC(=O)c(cc1)ccc1O,Cc2c1ccccc1ccc2,7.06351783,1.00556795
OC(=O)c(cc1)ccc1O,O=C2CCCCC2C1CCCCC1,-3.50486725,-0.86234158
OC(=O)c(cc1)ccc1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-3.3988311,-0.88220351
OC(=O)c(cc1)ccc1O,CC(C=O)c1ccccc1,-0.99637901,-0.21297798
OC(=O)c(cc1)ccc1O,CCC(O)c1ccccc1,-1.72886391,-0.3844582
OC(=O)c(cc1)ccc1O,CCOC(=O)c1ccccc1,-0.9249192,-0.24154443
OC(=O)c(cc1)ccc1O,CC(OC(C)c2ccccc2)c1ccccc1,-2.40216607,-0.08624041
OC(=O)c(cc1)ccc1O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.89508346,0.20927126
OC(=O)c(cc1)ccc1O,CCOC(=O)c(cc1)ccc1C,-1.1590644,-0.3023187
OC(=O)c(cc1)ccc1O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-30.10757094,-2.50453636
OC(=O)c(cc1)ccc1O,O=C(OCCc1ccccc1)c2ccccc2,0.63286898,0.14864792
OC(=O)c(cc1)ccc1O,CCCc2cc1OCOc1cc2,4.84012885,0.85443653
OC(=O)c(cc1)ccc1O,COC(C1CCC(CC1)C(OC)=O)=O,-2.90692697,-0.69890985
OC(=O)c(cc1)ccc1O,CCCC1CCCCC1=O,-4.43422868,-1.15513668
OC(=O)c(cc1)ccc1O,CCOc1ccc(C=CC)cc1O,1.98738179,0.45947368
OC(=O)c(cc1)ccc1O,CCCC(O)C(CO)CC,-5.27909338,-1.41634264
OC(=O)c(cc1)ccc1O,Cc(ccc1C)cc1C,7.6880895,1.07650703
OC(=O)c(cc1)ccc1O,CCOC(=O)C(OCC)=O,-1.81471313,-0.43308038
OC(=O)c(cc1)ccc1O,CC1OC(C(C)OC1=O)=O,-0.06014067,-0.01016159
OC(=O)c(cc1)ccc1O,CCCCC(=O)C(C)=O,0.16985819,0.01768513
OC(=O)c(cc1)ccc1O,C=CCOC(=O)C(C)=C,-1.09152331,-0.27749747
OC(=O)c(cc1)ccc1O,C1OC1c2ccccc2,-0.23543916,-0.00069474
OC(=O)c(cc1)ccc1O,CCC(C)CC,11.03864707,1.42762106
OC(=O)c(cc1)ccc1O,CCC(CC)=O,-5.23092186,-1.35855177
OC(=O)c(cc1)ccc1O,OCC(CO)=O,-2.85106064,-0.72214148
OC(=O)c(cc1)ccc1O,COC(=O)C=C,-2.295403,-0.59119838
OC(=O)c(cc1)ccc1O,COC(CO)=O,-4.26352804,-1.07799768
OC(=O)c(cc1)ccc1O,CC1CCCC1,11.02888358,1.40088509
OC(=O)c(cc1)ccc1O,CC1CCCO1,-8.84327372,-2.33046193
OC(=O)c(cc1)ccc1O,O=C1CCCO1,-5.19896341,-1.29873588
OC(=O)c(cc1)ccc1O,CCCC(C)C(O)=O,-0.05767306,-0.01361137
OC(=O)c(cc1)ccc1O,CCOC(C(C)C)=O,-2.72485508,-0.69062958
OC(=O)c(cc1)ccc1O,CCOC(=O)C(C)=C,-2.43476049,-0.61958651
OC(=O)c(cc1)ccc1O,CCOC(C(O)C)=O,-5.20438039,-1.36018449
OC(=O)c(cc1)ccc1O,CC(C)C(OC(C(C)C)=O)=O,0.07799443,-0.00023841
OC(=O)c(cc1)ccc1O,CC(C)COC(C(C)C)=O,-2.14785851,-0.55389513
OC(=O)c(cc1)ccc1O,CC(C)COC(=O)C(C)=C,-1.66831502,-0.43587113
OC(=O)c(cc1)ccc1O,CCCCOC(C(C)C)=O,-2.00305726,-0.51945204
OC(=O)c(cc1)ccc1O,CCCCOC(=O)C(C)=C,-1.88612798,-0.48668897
OC(=O)c(cc1)ccc1O,CCC(CC)C=O,-2.54562481,-0.59414063
OC(=O)c(cc1)ccc1O,OCC1CCCO1,-7.26729149,-2.03000651
OC(=O)c(cc1)ccc1O,OCc1occc1,-2.92132247,-0.72527205
OC(=O)c(cc1)ccc1O,O=Cc1occc1,-3.54858792,-0.88413058
OC(=O)c(cc1)ccc1O,CC(C)(C)c1ccccc1,7.90200435,1.12902467
OC(=O)c(cc1)ccc1O,OOC(C)(C)c(cc1)ccc1C(C)C,0.72908808,0.17742023
OC(=O)c(cc1)ccc1O,CC(C)(C)c(cc1)ccc1C,8.1840701,1.20679956
OC(=O)c(cc1)ccc1O,OC1CCC(CC1)C(C)(C)C,-3.85981809,-1.0000033
OC(=O)c(cc1)ccc1O,CC(C)(C)C1CCC(CC1)=O,-5.19219386,-1.36497064
OC(=O)c(cc1)ccc1O,CC(C)c1ccccc1,7.77288739,1.08410063
OC(=O)c(cc1)ccc1O,COC(=O)c(ccc1)cc1C,-0.81960266,-0.21779343
OC(=O)c(cc1)ccc1O,OC1CC(CC=C1C)C(C)=C,-2.84404622,-0.70631439
OC(=O)c(cc1)ccc1O,CC(C)c1cc(C(C)C)ccc1,8.38467594,1.26922913
OC(=O)c(cc1)ccc1O,CCCC(CCC)C(O)=O,0.3815878,0.09262244
OC(=O)c(cc1)ccc1O,CC(C=O)c(cc1)ccc1C,-1.02294325,-0.21486458
OC(=O)c(cc1)ccc1O,CC1CCC(C(C)C)CC1,11.02641346,1.57983883
OC(=O)c(cc1)ccc1O,CC(C)c(cc1)ccc1C,8.05348056,1.16502115
OC(=O)c(cc1)ccc1O,C=CC1CC=CCC1,7.90926115,1.10722014
OC(=O)c(cc1)ccc1O,CCc1ccccc1,7.51849172,1.00962161
OC(=O)c(cc1)ccc1O,C=Cc1ccccc1,6.84806727,0.90705542
OC(=O)c(cc1)ccc1O,OCC1CCCCC1,-3.09392219,-0.7739126
OC(=O)c(cc1)ccc1O,COc1ccccc1,2.88702184,0.51275974
OC(=O)c(cc1)ccc1O,OCC1CCCCO1,-6.41866803,-1.7639746
OC(=O)c(cc1)ccc1O,OCC(CO1)OC1(C)C,-4.71540109,-1.24299512
OC(=O)c(cc1)ccc1O,Cc1cc(C=C)ccc1,7.13116613,0.9888602
OC(=O)c(cc1)ccc1O,COc(ccc1)cc1C,2.98339545,0.56067375
OC(=O)c(cc1)ccc1O,COC(=O)Cc1ccccc1,-1.48094181,-0.34799141
OC(=O)c(cc1)ccc1O,COC(OC)Cc1ccccc1,-3.29972263,-0.7558721
OC(=O)c(cc1)ccc1O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,0.22083325,0.05845796
OC(=O)c(cc1)ccc1O,CC(C)COC(=O)Cc1ccccc1,-1.35261521,-0.33896557
OC(=O)c(cc1)ccc1O,O=C(OCc2ccccc2)Cc1ccccc1,-0.61528298,-0.13659854
OC(=O)c(cc1)ccc1O,CCc1cc(CC)cc(CC)c1,8.48068482,1.29371842
OC(=O)c(cc1)ccc1O,CC(=O)Oc(ccc1)cc1O,-0.16423315,-0.04081052
OC(=O)c(cc1)ccc1O,COC(OC)CC(OC)OC,-5.01379737,-1.3394201
OC(=O)c(cc1)ccc1O,CCCCC(CC)COC(C)=O,-2.32227502,-0.62226245
OC(=O)c(cc1)ccc1O,CCCCC(CC)COC(=O)C=C,-0.76170021,-0.2199111
OC(=O)c(cc1)ccc1O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-1.67127377,-0.47768228
OC(=O)c(cc1)ccc1O,COC(CCc1ccccc1)=O,-1.34797785,-0.32352598
OC(=O)c(cc1)ccc1O,CC(C)C(OCc1ccccc1)=O,-0.94058581,-0.22456074
OC(=O)c(cc1)ccc1O,CCCC(OCc1ccccc1)=O,-0.8350562,-0.18932229
OC(=O)c(cc1)ccc1O,CC(C)CC(OCc1ccccc1)=O,-0.43727672,-0.08940237
OC(=O)c(cc1)ccc1O,CC(OCCc1ccccc1)=O,-2.06960806,-0.49821551
OC(=O)c(cc1)ccc1O,CC(C)C(OCCc1ccccc1)=O,-0.86910341,-0.20848626
OC(=O)c(cc1)ccc1O,CC(C)C(OCCOc1ccccc1)=O,-0.5284231,-0.12467818
OC(=O)c(cc1)ccc1O,CCCc1ccccc1,7.7901293,1.09662248
OC(=O)c(cc1)ccc1O,CC(C)C(=O)Oc(cc1)ccc1C,-0.30474362,-0.07453528
OC(=O)c(cc1)ccc1O,CCCc(cc1)ccc1OC,3.40240886,0.69057811
OC(=O)c(cc1)ccc1O,CCCCC1OC(CC1)=O,-4.0773716,-1.04556176
OC(=O)c(cc1)ccc1O,CCCCc1ccccc1,8.02233334,1.1710009
OC(=O)c(cc1)ccc1O,O=COCc1ccccc1,-0.57380538,-0.12452418
