SMILES0,SMILES,gamma1,gamma2
OC(=O)c(cc1O)cc(O)c1,OC(C)C(O)=O,-2.57093009,-0.61534859
OC(=O)c(cc1O)cc(O)c1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,9.29994804,1.57527882
OC(=O)c(cc1O)cc(O)c1,OCC(O)C,-8.57215892,-2.21283391
OC(=O)c(cc1O)cc(O)c1,O=C1CCO1,-4.26708601,-0.96172703
OC(=O)c(cc1O)cc(O)c1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-4.0191736,-0.99485012
OC(=O)c(cc1O)cc(O)c1,CCOCC,-11.5630208,-2.18663502
OC(=O)c(cc1O)cc(O)c1,OCC,-10.37691914,-2.24198222
OC(=O)c(cc1O)cc(O)c1,CCCCCC=O,-5.87779124,-1.28852774
OC(=O)c(cc1O)cc(O)c1,CO,-11.02574385,-2.34362111
OC(=O)c(cc1O)cc(O)c1,OC(C)C,-10.24038189,-2.23070049
OC(=O)c(cc1O)cc(O)c1,CC(C)=O,-11.86769313,-2.94923184
OC(=O)c(cc1O)cc(O)c1,OCCC,-8.81061002,-1.895633
OC(=O)c(cc1O)cc(O)c1,OCCCC,-8.58124586,-1.82275455
OC(=O)c(cc1O)cc(O)c1,OCCCCC,-8.07878745,-1.7030217
OC(=O)c(cc1O)cc(O)c1,CC1OC1,-10.04403596,-2.19672312
OC(=O)c(cc1O)cc(O)c1,CCC(C)(C)C,14.31057324,1.82988724
OC(=O)c(cc1O)cc(O)c1,CC(C)(C)C(C)=O,-9.00299402,-2.13233385
OC(=O)c(cc1O)cc(O)c1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-7.77014097,-1.47303371
OC(=O)c(cc1O)cc(O)c1,COC(C)(C)OC,-10.92941876,-2.64902016
OC(=O)c(cc1O)cc(O)c1,CCC1(CC)CCCCC1,14.2379963,2.01588784
OC(=O)c(cc1O)cc(O)c1,CCOC(C)(OCC)OCC,-12.14545252,-3.59252234
OC(=O)c(cc1O)cc(O)c1,CC(C)CCCC(O)(C)CC,-8.16579348,-1.69723771
OC(=O)c(cc1O)cc(O)c1,CCC(C)C,14.40396557,1.7594973
OC(=O)c(cc1O)cc(O)c1,CC(=C)C=C,10.14536193,1.21315422
OC(=O)c(cc1O)cc(O)c1,CC(=C)C#C,8.08649947,1.00627516
OC(=O)c(cc1O)cc(O)c1,OCC(C)C,-7.3728862,-1.54074905
OC(=O)c(cc1O)cc(O)c1,CC(C)C=O,-6.8140143,-1.51509703
OC(=O)c(cc1O)cc(O)c1,CC(=C)C=O,-7.61151121,-1.74570362
OC(=O)c(cc1O)cc(O)c1,CCC(O)C,-8.83374088,-1.90424704
OC(=O)c(cc1O)cc(O)c1,CCC(C)=O,-10.80130861,-2.68414856
OC(=O)c(cc1O)cc(O)c1,COC(C)=O,-7.94608054,-1.93505392
OC(=O)c(cc1O)cc(O)c1,CC(C)C(C)C,14.3553416,1.83968102
OC(=O)c(cc1O)cc(O)c1,CC(C)C(O)=O,-2.06469973,-0.46887231
OC(=O)c(cc1O)cc(O)c1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-5.79333629,-1.45432747
OC(=O)c(cc1O)cc(O)c1,OOC(C)(C)C(CC1)CCC1C,-0.03385341,0.05105828
OC(=O)c(cc1O)cc(O)c1,CCOC(C(O)(C)C)=O,-10.09190645,-2.34965649
OC(=O)c(cc1O)cc(O)c1,COC(=O)C(C)=C,-4.86416488,-1.18262622
OC(=O)c(cc1O)cc(O)c1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.7375221,0.58656596
OC(=O)c(cc1O)cc(O)c1,COc2cccc3c2C(=O)c1ccccc1C3=O,-6.95018187,-1.63919757
OC(=O)c(cc1O)cc(O)c1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-4.21101172,-0.91152176
OC(=O)c(cc1O)cc(O)c1,CCOC(=O)c1ccccc1C(OCC)=O,-3.39690484,-0.82163678
OC(=O)c(cc1O)cc(O)c1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-2.53512902,-0.60839412
OC(=O)c(cc1O)cc(O)c1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-1.4787039,-0.39002395
OC(=O)c(cc1O)cc(O)c1,CC(C)CCOC(=O)c1ccccc1O,2.03711247,0.51859759
OC(=O)c(cc1O)cc(O)c1,Oc2ccccc2C(OCCc1ccccc1)=O,2.39820238,0.59865253
OC(=O)c(cc1O)cc(O)c1,O=C2c1ccccc1CO2,-5.53070726,-1.33652785
OC(=O)c(cc1O)cc(O)c1,OCC(O)C(O)C(O)CO,-8.18288416,-2.22485641
OC(=O)c(cc1O)cc(O)c1,CCC(CC)C(O)=O,-1.19958322,-0.2439976
OC(=O)c(cc1O)cc(O)c1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-4.24152324,-0.86913655
OC(=O)c(cc1O)cc(O)c1,COc1cc(C)ccc1C(C)(C)C,10.43249435,1.64089236
OC(=O)c(cc1O)cc(O)c1,CC2CCC(CC1=C2CCC1C)=C(C)C,11.24896206,1.91634318
OC(=O)c(cc1O)cc(O)c1,COC(=O)c1ccccc1C,-2.34942339,-0.45617753
OC(=O)c(cc1O)cc(O)c1,CC(=O)c1ccc(C)cc1C,-8.1008781,-1.69497886
OC(=O)c(cc1O)cc(O)c1,Cc2c1ccccc1ccc2,9.34380878,1.36812806
OC(=O)c(cc1O)cc(O)c1,O=C2CCCCC2C1CCCCC1,-7.08034627,-1.60414075
OC(=O)c(cc1O)cc(O)c1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-6.51187882,-1.67729051
OC(=O)c(cc1O)cc(O)c1,CC(C=O)c1ccccc1,-2.91133896,-0.55921203
OC(=O)c(cc1O)cc(O)c1,CCC(O)c1ccccc1,-3.80851604,-0.69650164
OC(=O)c(cc1O)cc(O)c1,CCOC(=O)c1ccccc1,-2.82062611,-0.65136562
OC(=O)c(cc1O)cc(O)c1,CC(OC(C)c2ccccc2)c1ccccc1,-5.05058205,-0.04306737
OC(=O)c(cc1O)cc(O)c1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.10450984,0.03249058
OC(=O)c(cc1O)cc(O)c1,CCOC(=O)c(cc1)ccc1C,-3.21045344,-0.75574613
OC(=O)c(cc1O)cc(O)c1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-47.38704197,-3.98872153
OC(=O)c(cc1O)cc(O)c1,O=C(OCCc1ccccc1)c2ccccc2,-0.38173019,-0.03597794
OC(=O)c(cc1O)cc(O)c1,CCCc2cc1OCOc1cc2,5.97490304,1.09114127
