SMILES0,SMILES,gamma1,gamma2
OC(=O)c(cc1O)cc(O)c1O,OC(C)C(O)=O,-2.77143843,-0.66965537
OC(=O)c(cc1O)cc(O)c1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.62782445,1.39241555
OC(=O)c(cc1O)cc(O)c1O,OCC(O)C,-9.32216704,-2.35353734
OC(=O)c(cc1O)cc(O)c1O,O=C1CCO1,-4.33799354,-0.98844119
OC(=O)c(cc1O)cc(O)c1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-4.5423624,-1.07751196
OC(=O)c(cc1O)cc(O)c1O,CCOCC,-12.71491902,-2.46774155
OC(=O)c(cc1O)cc(O)c1O,OCC,-11.3908683,-2.40317686
OC(=O)c(cc1O)cc(O)c1O,CCCCCC=O,-6.61905678,-1.52748759
OC(=O)c(cc1O)cc(O)c1O,CO,-11.96870636,-2.45963233
OC(=O)c(cc1O)cc(O)c1O,OC(C)C,-11.30109857,-2.42060204
OC(=O)c(cc1O)cc(O)c1O,CC(C)=O,-12.69270148,-3.14755566
OC(=O)c(cc1O)cc(O)c1O,OCCC,-9.8087206,-2.08409441
OC(=O)c(cc1O)cc(O)c1O,OCCCC,-9.6034961,-2.02443914
OC(=O)c(cc1O)cc(O)c1O,OCCCCC,-9.09887427,-1.91154432
OC(=O)c(cc1O)cc(O)c1O,CC1OC1,-10.85331437,-2.42343752
OC(=O)c(cc1O)cc(O)c1O,CCC(C)(C)C,13.08816349,1.58673936
OC(=O)c(cc1O)cc(O)c1O,CC(C)(C)C(C)=O,-9.89104886,-2.38738209
OC(=O)c(cc1O)cc(O)c1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-8.56534183,-1.65915758
OC(=O)c(cc1O)cc(O)c1O,COC(C)(C)OC,-11.94424856,-2.89901389
OC(=O)c(cc1O)cc(O)c1O,CCC1(CC)CCCCC1,13.03470783,1.76192876
OC(=O)c(cc1O)cc(O)c1O,CCOC(C)(OCC)OCC,-13.25022255,-3.78397484
OC(=O)c(cc1O)cc(O)c1O,CC(C)CCCC(O)(C)CC,-9.23158292,-1.91271444
OC(=O)c(cc1O)cc(O)c1O,CCC(C)C,13.15991251,1.51962318
OC(=O)c(cc1O)cc(O)c1O,CC(=C)C=C,9.34276681,1.02576453
OC(=O)c(cc1O)cc(O)c1O,CC(=C)C#C,7.45527124,0.86606023
OC(=O)c(cc1O)cc(O)c1O,OCC(C)C,-8.33300602,-1.73914108
OC(=O)c(cc1O)cc(O)c1O,CC(C)C=O,-7.51009269,-1.74443285
OC(=O)c(cc1O)cc(O)c1O,CC(=C)C=O,-8.27603168,-1.95227421
OC(=O)c(cc1O)cc(O)c1O,CCC(O)C,-9.86217553,-2.11050524
OC(=O)c(cc1O)cc(O)c1O,CCC(C)=O,-11.6753082,-2.91579294
OC(=O)c(cc1O)cc(O)c1O,COC(C)=O,-8.49719465,-2.1007312
OC(=O)c(cc1O)cc(O)c1O,CC(C)C(C)C,13.12580485,1.59531102
OC(=O)c(cc1O)cc(O)c1O,CC(C)C(O)=O,-2.72534007,-0.64717628
OC(=O)c(cc1O)cc(O)c1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-6.59674385,-1.65473077
OC(=O)c(cc1O)cc(O)c1O,OOC(C)(C)C(CC1)CCC1C,-0.81729122,-0.17065298
OC(=O)c(cc1O)cc(O)c1O,CCOC(C(O)(C)C)=O,-10.86320274,-2.50128135
OC(=O)c(cc1O)cc(O)c1O,COC(=O)C(C)=C,-5.46591974,-1.3942698
OC(=O)c(cc1O)cc(O)c1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.68854585,0.51779643
OC(=O)c(cc1O)cc(O)c1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-7.45050498,-1.73835152
OC(=O)c(cc1O)cc(O)c1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-5.06909796,-1.07619073
OC(=O)c(cc1O)cc(O)c1O,CCOC(=O)c1ccccc1C(OCC)=O,-3.85011646,-0.94496033
OC(=O)c(cc1O)cc(O)c1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-3.10059643,-0.7502418
OC(=O)c(cc1O)cc(O)c1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-2.09000204,-0.52753436
OC(=O)c(cc1O)cc(O)c1O,CC(C)CCOC(=O)c1ccccc1O,1.5795419,0.32755361
OC(=O)c(cc1O)cc(O)c1O,Oc2ccccc2C(OCCc1ccccc1)=O,2.08626628,0.453874
OC(=O)c(cc1O)cc(O)c1O,O=C2c1ccccc1CO2,-5.89217171,-1.43932583
OC(=O)c(cc1O)cc(O)c1O,OCC(O)C(O)C(O)CO,-8.56150429,-2.28400825
OC(=O)c(cc1O)cc(O)c1O,CCC(CC)C(O)=O,-1.94283786,-0.44754357
OC(=O)c(cc1O)cc(O)c1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-4.93337633,-1.02225608
OC(=O)c(cc1O)cc(O)c1O,COc1cc(C)ccc1C(C)(C)C,9.60077654,1.42332728
OC(=O)c(cc1O)cc(O)c1O,CC2CCC(CC1=C2CCC1C)=C(C)C,10.33084664,1.66492973
OC(=O)c(cc1O)cc(O)c1O,COC(=O)c1ccccc1C,-2.87250151,-0.6500858
OC(=O)c(cc1O)cc(O)c1O,CC(=O)c1ccc(C)cc1C,-8.90255603,-1.91000343
OC(=O)c(cc1O)cc(O)c1O,Cc2c1ccccc1ccc2,8.6553831,1.18676742
OC(=O)c(cc1O)cc(O)c1O,O=C2CCCCC2C1CCCCC1,-7.98411721,-1.85585642
OC(=O)c(cc1O)cc(O)c1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-7.02208384,-1.77676119
OC(=O)c(cc1O)cc(O)c1O,CC(C=O)c1ccccc1,-3.36904025,-0.73161741
OC(=O)c(cc1O)cc(O)c1O,CCC(O)c1ccccc1,-4.429068,-0.85814575
OC(=O)c(cc1O)cc(O)c1O,CCOC(=O)c1ccccc1,-3.37797978,-0.85382088
OC(=O)c(cc1O)cc(O)c1O,CC(OC(C)c2ccccc2)c1ccccc1,-5.51047645,-0.21428412
OC(=O)c(cc1O)cc(O)c1O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.21543619,-0.06705586
OC(=O)c(cc1O)cc(O)c1O,CCOC(=O)c(cc1)ccc1C,-3.83052352,-0.969004
OC(=O)c(cc1O)cc(O)c1O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-52.14688941,-4.05154903
OC(=O)c(cc1O)cc(O)c1O,O=C(OCCc1ccccc1)c2ccccc2,-0.8218663,-0.19969464
OC(=O)c(cc1O)cc(O)c1O,CCCc2cc1OCOc1cc2,5.55908282,0.92711906
OC(=O)c(cc1O)cc(O)c1O,COC(C1CCC(CC1)C(OC)=O)=O,-6.41873589,-1.65288661
OC(=O)c(cc1O)cc(O)c1O,CCCC1CCCCC1=O,-9.33351238,-2.29417364
OC(=O)c(cc1O)cc(O)c1O,CCOc1ccc(C=CC)cc1O,1.71535246,0.41086056
OC(=O)c(cc1O)cc(O)c1O,CCCC(O)C(CO)CC,-10.99454462,-2.63723267
OC(=O)c(cc1O)cc(O)c1O,Cc(ccc1C)cc1C,9.28924558,1.2396307
OC(=O)c(cc1O)cc(O)c1O,CCOC(=O)C(OCC)=O,-4.48890222,-1.08375896
OC(=O)c(cc1O)cc(O)c1O,CC1OC(C(C)OC1=O)=O,-1.72095234,-0.4148658
OC(=O)c(cc1O)cc(O)c1O,CCCCC(=O)C(C)=O,-1.6573586,-0.44941414
OC(=O)c(cc1O)cc(O)c1O,C=CCOC(=O)C(C)=C,-3.66241619,-0.89450144
OC(=O)c(cc1O)cc(O)c1O,C1OC1c2ccccc2,-2.11743857,-0.36310995
OC(=O)c(cc1O)cc(O)c1O,CCC(C)CC,13.17656801,1.61065077
