SMILES0,SMILES,gamma1,gamma2
OC(=O)c(ccc1)cc1O,OC(C)C(O)=O,-0.92066185,-0.23027368
OC(=O)c(ccc1)cc1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.32420447,1.09269961
OC(=O)c(ccc1)cc1O,OCC(O)C,-4.60272469,-1.25168817
OC(=O)c(ccc1)cc1O,O=C1CCO1,-2.13083845,-0.46819132
OC(=O)c(ccc1)cc1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-2.26610352,-0.52745811
OC(=O)c(ccc1)cc1O,CCOCC,-7.11433516,-1.63786422
OC(=O)c(ccc1)cc1O,OCC,-5.90650101,-1.47114924
OC(=O)c(ccc1)cc1O,CCCCCC=O,-3.42706223,-0.82484462
OC(=O)c(ccc1)cc1O,CO,-6.20742524,-1.50943254
OC(=O)c(ccc1)cc1O,OC(C)C,-5.88854189,-1.49401675
OC(=O)c(ccc1)cc1O,CC(C)=O,-7.46618793,-1.96345387
OC(=O)c(ccc1)cc1O,OCCC,-4.941287,-1.23314498
OC(=O)c(ccc1)cc1O,OCCCC,-4.81709175,-1.2069804
OC(=O)c(ccc1)cc1O,OCCCCC,-4.50030816,-1.13189603
OC(=O)c(ccc1)cc1O,CC1OC1,-6.28658719,-1.51325882
OC(=O)c(ccc1)cc1O,CCC(C)(C)C,10.20235603,1.38405364
OC(=O)c(ccc1)cc1O,CC(C)(C)C(C)=O,-5.50557567,-1.42059726
OC(=O)c(ccc1)cc1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-4.59371632,-1.07510218
OC(=O)c(ccc1)cc1O,COC(C)(C)OC,-6.73279412,-1.80671296
OC(=O)c(ccc1)cc1O,CCC1(CC)CCCCC1,10.14408678,1.50278113
OC(=O)c(ccc1)cc1O,CCOC(C)(OCC)OCC,-7.50567237,-2.23346611
OC(=O)c(ccc1)cc1O,CC(C)CCCC(O)(C)CC,-4.61967076,-1.21212643
OC(=O)c(ccc1)cc1O,CCC(C)C,10.2615592,1.33575921
OC(=O)c(ccc1)cc1O,CC(=C)C=C,7.00511398,0.8823043
OC(=O)c(ccc1)cc1O,CC(=C)C#C,5.3713277,0.69961232
OC(=O)c(ccc1)cc1O,OCC(C)C,-4.05825048,-1.00706219
OC(=O)c(ccc1)cc1O,CC(C)C=O,-4.1076344,-0.98859401
OC(=O)c(ccc1)cc1O,CC(=C)C=O,-4.66852317,-1.14617892
OC(=O)c(ccc1)cc1O,CCC(O)C,-5.02051152,-1.27068782
OC(=O)c(ccc1)cc1O,CCC(C)=O,-6.73735773,-1.786904
OC(=O)c(ccc1)cc1O,COC(C)=O,-4.86833111,-1.23500499
OC(=O)c(ccc1)cc1O,CC(C)C(C)C,10.23134942,1.39038386
OC(=O)c(ccc1)cc1O,CC(C)C(O)=O,-0.87439983,-0.21244889
OC(=O)c(ccc1)cc1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-3.39040801,-0.94681582
OC(=O)c(ccc1)cc1O,OOC(C)(C)C(CC1)CCC1C,0.46063171,0.1173016
OC(=O)c(ccc1)cc1O,CCOC(C(O)(C)C)=O,-6.15677809,-1.65418795
OC(=O)c(ccc1)cc1O,COC(=O)C(C)=C,-2.85375367,-0.7327995
OC(=O)c(ccc1)cc1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.89544194,0.41487999
OC(=O)c(ccc1)cc1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-4.22535133,-1.02765889
OC(=O)c(ccc1)cc1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-2.13550643,-0.6640419
OC(=O)c(ccc1)cc1O,CCOC(=O)c1ccccc1C(OCC)=O,-1.90764817,-0.45464937
OC(=O)c(ccc1)cc1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-1.32584521,-0.32622608
OC(=O)c(ccc1)cc1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.60094815,-0.17789121
OC(=O)c(ccc1)cc1O,CC(C)CCOC(=O)c1ccccc1O,1.70578673,0.4041303
OC(=O)c(ccc1)cc1O,Oc2ccccc2C(OCCc1ccccc1)=O,1.85276532,0.4413319
OC(=O)c(ccc1)cc1O,O=C2c1ccccc1CO2,-3.1813273,-0.78583262
OC(=O)c(ccc1)cc1O,OCC(O)C(O)C(O)CO,-4.45187795,-1.17271039
OC(=O)c(ccc1)cc1O,CCC(CC)C(O)=O,-0.32138903,-0.07324941
OC(=O)c(ccc1)cc1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.32729047,-0.59894567
