SMILES0,SMILES,gamma1,gamma2
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OC(C)C(O)=O,-0.49762765,-0.12254898
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,9.28715142,1.17407091
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCC(O)C,-5.61342049,-1.36555055
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=C1CCO1,-1.41875847,-0.26222077
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.26632808,-0.32115741
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOCC,-8.76166016,-1.41146905
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCC,-7.59559717,-1.57302939
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCCC=O,-3.15225168,-0.56521658
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CO,-8.18386479,-1.64141885
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OC(C)C,-7.4686269,-1.55323616
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)=O,-9.16143501,-1.97065955
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCCC,-6.06230312,-1.27335765
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCCCC,-5.82907227,-1.21388794
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCCCCC,-5.33861356,-1.10723834
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC1OC1,-7.40184328,-1.37585375
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(C)(C)C,15.03627687,1.5281507
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)(C)C(C)=O,-6.17250247,-1.23768099
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-4.99628728,-0.75482984
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(C)(C)OC,-8.07177734,-1.68536073
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC1(CC)CCCCC1,15.05617462,1.73777944
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(C)(OCC)OCC,-9.41128576,-2.49388896
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)CCCC(O)(C)CC,-5.41400577,-1.05892836
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(C)C,15.11678722,1.45638078
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(=C)C=C,10.2312383,0.80276064
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(=C)C#C,7.25655828,0.45841492
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCC(C)C,-4.77249235,-1.00031094
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)C=O,-4.06386159,-0.76973783
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(=C)C=O,-4.99538617,-0.99595046
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(O)C,-6.10675658,-1.26573188
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(C)=O,-8.061598,-1.7303402
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(C)=O,-5.09045343,-1.06482014
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)C(C)C,15.09238452,1.53990047
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)C(O)=O,-0.17089947,-0.0360456
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-3.20544605,-0.68663443
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OOC(C)(C)C(CC1)CCC1C,1.52831595,0.38997081
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(C(O)(C)C)=O,-7.27728774,-1.53200823
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(=O)C(C)=C,-2.20372814,-0.48075455
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.38442796,0.83062579
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,-4.57343655,-0.98567477
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.82935309,-0.37362862
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,-0.94201376,-0.21640348
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.11896254,-0.00194179
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.89757237,0.21446136
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)CCOC(=O)c1ccccc1O,3.78171552,0.77737553
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.61298811,0.72575939
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=C2c1ccccc1CO2,-3.15078398,-0.69730014
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCC(O)C(O)C(O)CO,-5.09437505,-1.31628534
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(CC)C(O)=O,0.5079277,0.13290067
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.55444651,-0.56612828
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COc1cc(C)ccc1C(C)(C)C,10.803385,1.29367655
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,11.97695248,1.6886742
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(=O)c1ccccc1C,-0.22694363,-0.01754989
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(=O)c1ccc(C)cc1C,-5.65654999,-1.03383847
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,Cc2c1ccccc1ccc2,9.33931519,0.93731749
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=C2CCCCC2C1CCCCC1,-4.12772166,-0.73161892
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-4.27540862,-1.00772143
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C=O)c1ccccc1,-0.93378771,-0.1571301
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(O)c1ccccc1,-2.47340409,-0.49906732
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(=O)c1ccccc1,-0.58368589,-0.12675246
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,-3.44825445,-0.02162154
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.69304974,0.36732778
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(=O)c(cc1)ccc1C,-0.85238496,-0.17422008
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-48.25447322,-3.28251306
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=C(OCCc1ccccc1)c2ccccc2,1.2367005,0.28149772
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCc2cc1OCOc1cc2,6.68500898,0.96180762
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,-2.91938047,-0.72189494
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCC1CCCCC1=O,-5.47072103,-1.11291821
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOc1ccc(C=CC)cc1O,2.43435356,0.49781923
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCC(O)C(CO)CC,-7.17320694,-1.61550239
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,Cc(ccc1C)cc1C,10.38013936,1.07424566
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(=O)C(OCC)=O,-1.36378452,-0.29832875
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC1OC(C(C)OC1=O)=O,0.59066517,0.12085674
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCC(=O)C(C)=O,1.2182726,0.24045391
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,C=CCOC(=O)C(C)=C,-0.77904071,-0.15615274
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,C1OC1c2ccccc2,-0.12041187,0.03383927
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(C)CC,15.15983367,1.55851255
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(CC)=O,-6.63606904,-1.40315622
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCC(CO)=O,-3.65046848,-0.90712663
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(=O)C=C,-2.29813505,-0.51339192
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(CO)=O,-5.36655327,-1.21314474
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC1CCCC1,15.13923554,1.518894
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC1CCCO1,-12.45989767,-2.44789151
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=C1CCCO1,-6.54055654,-1.46311141
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCC(C)C(O)=O,0.52486913,0.13468787
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(C(C)C)=O,-2.7714783,-0.55277995
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(=O)C(C)=C,-2.46322077,-0.49819858
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(C(O)C)=O,-6.62291195,-1.43763875
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)C(OC(C(C)C)=O)=O,1.23050989,0.24507424
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)COC(C(C)C)=O,-1.986698,-0.36520589
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)COC(=O)C(C)=C,-1.38525083,-0.2597506
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCOC(C(C)C)=O,-1.76802655,-0.3242737
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCOC(=O)C(C)=C,-1.68216418,-0.31582034
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(CC)C=O,-2.63045633,-0.44051342
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCC1CCCO1,-9.97783952,-2.41664065
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCc1occc1,-4.15728002,-0.93704591
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=Cc1occc1,-4.50644224,-0.98804532
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)(C)c1ccccc1,10.66785534,1.14523736
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OOC(C)(C)c(cc1)ccc1C(C)C,1.21073516,0.2939124
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)(C)c(cc1)ccc1C,11.11426121,1.27157836
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OC1CCC(CC1)C(C)(C)C,-5.08235836,-1.04288013
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)(C)C1CCC(CC1)=O,-6.64751587,-1.41771915
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)c1ccccc1,10.46395449,1.07452662
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(=O)c(ccc1)cc1C,-0.41838793,-0.09433667
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OC1CC(CC=C1C)C(C)=C,-3.75521041,-0.76966421
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)c1cc(C(C)C)ccc1,11.43479655,1.37582325
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCC(CCC)C(O)=O,1.05764265,0.27217134
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C=O)c(cc1)ccc1C,-0.89163274,-0.12490329
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC1CCC(C(C)C)CC1,15.22683202,1.81197822
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)c(cc1)ccc1C,10.91224356,1.20481939
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,C=CC1CC=CCC1,10.72155376,1.13462453
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCc1ccccc1,10.0739818,0.96212874
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,C=Cc1ccccc1,8.94197658,0.77484165
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCC1CCCCC1,-3.95293362,-0.80818741
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COc1ccccc1,3.86062491,0.51372594
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCC1CCCCO1,-8.74100355,-2.0875767
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCC(CO1)OC1(C)C,-6.06703297,-1.48379189
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,Cc1cc(C=C)ccc1,9.43511512,0.91148139
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COc(ccc1)cc1C,4.08850123,0.61081816
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(=O)Cc1ccccc1,-1.51103298,-0.30377759
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(OC)Cc1ccccc1,-4.18841563,-0.76837132
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,0.57865581,0.15072802
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)COC(=O)Cc1ccccc1,-1.25295649,-0.24113054
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=C(OCc2ccccc2)Cc1ccccc1,-0.54543822,-0.08017544
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCc1cc(CC)cc(CC)c1,11.61296442,1.42499539
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(=O)Oc(ccc1)cc1O,-0.25235719,-0.06632797
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(OC)CC(OC)OC,-6.25969389,-1.54555958
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCC(CC)COC(C)=O,-2.29014856,-0.45207273
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCC(CC)COC(=O)C=C,-0.14853403,0.01539085
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-1.24312749,-0.38339102
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COC(CCc1ccccc1)=O,-1.26820294,-0.25524862
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)C(OCc1ccccc1)=O,-0.66760052,-0.11500835
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCC(OCc1ccccc1)=O,-0.54207689,-0.07549883
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)CC(OCc1ccccc1)=O,-0.00485968,0.05082535
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(OCCc1ccccc1)=O,-2.26610449,-0.45456143
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)C(OCCc1ccccc1)=O,-0.53329087,-0.06709896
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)C(OCCOc1ccccc1)=O,-0.15955543,-0.02266533
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCc1ccccc1,10.49537048,1.09465354
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)C(=O)Oc(cc1)ccc1C,0.23027241,0.07987947
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCc(cc1)ccc1OC,4.71519962,0.81736067
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCC1OC(CC1)=O,-4.93000233,-1.1418518
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCc1ccccc1,10.8581259,1.21237904
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=COCc1ccccc1,-0.41024789,-0.08028615
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCCC1OC(CC1)=O,-4.58360867,-1.06153733
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=COCCc1ccccc1,-0.45663566,-0.08149557
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCCCCC1OC(CC1)=O,-3.93307246,-0.90916437
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCC(CO)CC,-3.05724194,-0.59595818
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,COc(cc1)ccc1C,3.77974565,0.58649294
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)COC(CCc1occc1)=O,-0.07613889,0.02081939
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCc1ccc(CC)cc1,11.0150119,1.23029454
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,C=Cc1ccc(C=C)cc1,8.94573717,0.88080601
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCC1OC(CC1)=O,-5.49176975,-1.27780816
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCC=C(C)C#C,-3.97970621,-0.92382447
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCC(C)CO,-3.84535227,-0.79681448
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCC(O)C#C,-2.01685077,-0.44849095
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(CC)=O,-3.80158047,-0.77744498
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(OC=C)=O,1.18334821,0.21784736
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(C)CC(C)=O,-5.70806291,-1.15637745
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(C)CC(O)=O,0.3663629,0.09416509
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC(C)OC(C)=O,-3.87187418,-0.78511161
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(CC(OCC)=O)=O,-1.26336428,-0.30840393
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(CCC)=O,-2.4798675,-0.50016359
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(C)OCC,-7.70310252,-1.63024467
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOC(OCC)=O,-1.29013358,-0.28586239
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCOC(CCC)=O,-2.53565231,-0.50012594
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)CCOC(CC)=O,-1.99750916,-0.38403152
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCOC(=O)C=CC(OCCCC)=O,0.04928301,0.01717527
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,O=C1OCCOC(CCCCCCCCCCC1)=O,-1.43408294,-0.34897292
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCCCCCCCCC(OCCCC)=O,0.13104134,0.07536744
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,OCCC(C)CCCC(C)C,-3.65496757,-0.72508368
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)CCOC(CCC)=O,-1.72503454,-0.33121089
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCCCC(OCC)=O,-1.64532245,-0.2808395
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCC(OC(CCC)=O)=O,0.79634559,0.17265591
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCCCCC(OCC)=O,-1.23365533,-0.21447773
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCC(CC)=O,-5.54396073,-1.19022862
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCOC(CC)=O,-3.38421208,-0.6913936
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(C)COC(=O)C=C,-1.94840025,-0.3974021
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCCC(CC)=O,-5.01770105,-1.04051443
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCCC(OC)=O,-2.10517745,-0.40420456
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CC(CCC=C(C)C)C=O,-1.68659241,-0.24863637
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCCCCCC(OC)=O,-1.54479881,-0.28029348
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCOCCOC(=O)C=C,-4.67388882,-1.055188
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,C=CC2CC1OC1CC2,-3.77884541,-0.60165135
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,C1OC1C3CC2OC2CC3,-5.58532261,-1.2865172
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,CCC1OC1,-5.93232,-1.05435286
OC(=O)c(ccc1C(O)=O)cc1C(O)=O,C=CC(OCC1OC1)=O,-1.87807849,-0.44629066
