SMILES0,SMILES,gamma1,gamma2
OC(=O)c(ccc1O)cc1O,OC(C)C(O)=O,-1.62821763,-0.39997817
OC(=O)c(ccc1O)cc1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.85744856,1.26534687
OC(=O)c(ccc1O)cc1O,OCC(O)C,-6.59399016,-1.73059388
OC(=O)c(ccc1O)cc1O,O=C1CCO1,-2.84758026,-0.64084426
OC(=O)c(ccc1O)cc1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-3.00422728,-0.68232331
OC(=O)c(ccc1O)cc1O,CCOCC,-9.43750377,-1.98429736
OC(=O)c(ccc1O)cc1O,OCC,-8.25541479,-1.89887575
OC(=O)c(ccc1O)cc1O,CCCCCC=O,-4.6084596,-1.08147303
OC(=O)c(ccc1O)cc1O,CO,-8.69314371,-1.95025251
OC(=O)c(ccc1O)cc1O,OC(C)C,-8.19066133,-1.91231765
OC(=O)c(ccc1O)cc1O,CC(C)=O,-9.62835675,-2.44208075
OC(=O)c(ccc1O)cc1O,OCCC,-7.00073485,-1.6168652
OC(=O)c(ccc1O)cc1O,OCCCC,-6.83125415,-1.57309627
OC(=O)c(ccc1O)cc1O,OCCCCC,-6.42401405,-1.47814295
OC(=O)c(ccc1O)cc1O,CC1OC1,-8.13052459,-1.8802989
OC(=O)c(ccc1O)cc1O,CCC(C)(C)C,12.07226892,1.49056847
OC(=O)c(ccc1O)cc1O,CC(C)(C)C(C)=O,-7.25861788,-1.79745918
OC(=O)c(ccc1O)cc1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-6.15495457,-1.28451104
OC(=O)c(ccc1O)cc1O,COC(C)(C)OC,-8.87184948,-2.2446368
OC(=O)c(ccc1O)cc1O,CCC1(CC)CCCCC1,12.01636654,1.64016258
OC(=O)c(ccc1O)cc1O,CCOC(C)(OCC)OCC,-9.90879868,-2.88179191
OC(=O)c(ccc1O)cc1O,CC(C)CCCC(O)(C)CC,-6.52564003,-1.5131638
OC(=O)c(ccc1O)cc1O,CCC(C)C,12.13947591,1.43196127
OC(=O)c(ccc1O)cc1O,CC(=C)C=C,8.56461866,0.96505129
OC(=O)c(ccc1O)cc1O,CC(=C)C#C,6.74080868,0.79807275
OC(=O)c(ccc1O)cc1O,OCC(C)C,-5.84182313,-1.33217594
OC(=O)c(ccc1O)cc1O,CC(C)C=O,-5.38920158,-1.27624053
OC(=O)c(ccc1O)cc1O,CC(=C)C=O,-6.05366243,-1.45492394
OC(=O)c(ccc1O)cc1O,CCC(O)C,-7.05428297,-1.64354668
OC(=O)c(ccc1O)cc1O,CCC(C)=O,-8.75827444,-2.23851664
OC(=O)c(ccc1O)cc1O,COC(C)=O,-6.2572719,-1.56289729
OC(=O)c(ccc1O)cc1O,CC(C)C(C)C,12.10636571,1.49801205
OC(=O)c(ccc1O)cc1O,CC(C)C(O)=O,-1.58068365,-0.3851609
OC(=O)c(ccc1O)cc1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-4.57846176,-1.19127714
OC(=O)c(ccc1O)cc1O,OOC(C)(C)C(CC1)CCC1C,0.06380446,0.02427563
OC(=O)c(ccc1O)cc1O,CCOC(C(O)(C)C)=O,-8.07676321,-1.98980401
OC(=O)c(ccc1O)cc1O,COC(=O)C(C)=C,-3.74645638,-0.96969262
OC(=O)c(ccc1O)cc1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.63401872,0.52719016
OC(=O)c(ccc1O)cc1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-5.44285942,-1.26812753
OC(=O)c(ccc1O)cc1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-3.2592573,-0.81559206
OC(=O)c(ccc1O)cc1O,CCOC(=O)c1ccccc1C(OCC)=O,-2.48773852,-0.5914511
OC(=O)c(ccc1O)cc1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-1.82305743,-0.4304441
OC(=O)c(ccc1O)cc1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-0.95703307,-0.24555559
OC(=O)c(ccc1O)cc1O,CC(C)CCOC(=O)c1ccccc1O,2.01027035,0.42674784
OC(=O)c(ccc1O)cc1O,Oc2ccccc2C(OCCc1ccccc1)=O,2.31923406,0.50510597
OC(=O)c(ccc1O)cc1O,O=C2c1ccccc1CO2,-4.1490707,-1.00874893
OC(=O)c(ccc1O)cc1O,OCC(O)C(O)C(O)CO,-6.12641487,-1.62281246
OC(=O)c(ccc1O)cc1O,CCC(CC)C(O)=O,-0.92075915,-0.21802397
OC(=O)c(ccc1O)cc1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-3.34525835,-0.77157904
OC(=O)c(ccc1O)cc1O,COc1cc(C)ccc1C(C)(C)C,8.81444253,1.31541858
OC(=O)c(ccc1O)cc1O,CC2CCC(CC1=C2CCC1C)=C(C)C,9.56027395,1.54938592
OC(=O)c(ccc1O)cc1O,COC(=O)c1ccccc1C,-1.65439181,-0.38259401
OC(=O)c(ccc1O)cc1O,CC(=O)c1ccc(C)cc1C,-6.51417296,-1.46324104
OC(=O)c(ccc1O)cc1O,Cc2c1ccccc1ccc2,7.9093079,1.09625047
OC(=O)c(ccc1O)cc1O,O=C2CCCCC2C1CCCCC1,-5.62137049,-1.34459997
OC(=O)c(ccc1O)cc1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-5.0909684,-1.30938606
OC(=O)c(ccc1O)cc1O,CC(C=O)c1ccccc1,-2.09222903,-0.45928047
OC(=O)c(ccc1O)cc1O,CCC(O)c1ccccc1,-2.99939076,-0.62898639
OC(=O)c(ccc1O)cc1O,CCOC(=O)c1ccccc1,-2.05646047,-0.53129859
OC(=O)c(ccc1O)cc1O,CC(OC(C)c2ccccc2)c1ccccc1,-3.89280032,-0.16914863
OC(=O)c(ccc1O)cc1O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.41247457,0.09338271
OC(=O)c(ccc1O)cc1O,CCOC(=O)c(cc1)ccc1C,-2.39779678,-0.61935086
OC(=O)c(ccc1O)cc1O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-41.84356061,-3.24889747
OC(=O)c(ccc1O)cc1O,O=C(OCCc1ccccc1)c2ccccc2,-0.02389451,-0.01193223
OC(=O)c(ccc1O)cc1O,CCCc2cc1OCOc1cc2,5.24503855,0.89764135
OC(=O)c(ccc1O)cc1O,COC(C1CCC(CC1)C(OC)=O)=O,-4.53480792,-1.1273577
OC(=O)c(ccc1O)cc1O,CCCC1CCCCC1=O,-6.74695031,-1.71200211
OC(=O)c(ccc1O)cc1O,CCOc1ccc(C=CC)cc1O,1.89578536,0.44062099
OC(=O)c(ccc1O)cc1O,CCCC(O)C(CO)CC,-7.98489128,-2.03400016
OC(=O)c(ccc1O)cc1O,Cc(ccc1C)cc1C,8.53339361,1.15673723
OC(=O)c(ccc1O)cc1O,CCOC(=O)C(OCC)=O,-3.03992835,-0.72850238
OC(=O)c(ccc1O)cc1O,CC1OC(C(C)OC1=O)=O,-0.77660649,-0.18246081
OC(=O)c(ccc1O)cc1O,CCCCC(=O)C(C)=O,-0.65535346,-0.19311144
OC(=O)c(ccc1O)cc1O,C=CCOC(=O)C(C)=C,-2.27943501,-0.57131319
OC(=O)c(ccc1O)cc1O,C1OC1c2ccccc2,-1.09985734,-0.17362628
OC(=O)c(ccc1O)cc1O,CCC(C)CC,12.15155165,1.51106246
OC(=O)c(ccc1O)cc1O,CCC(CC)=O,-7.63375035,-1.95060382
OC(=O)c(ccc1O)cc1O,OCC(CO)=O,-4.60523681,-1.1851325
OC(=O)c(ccc1O)cc1O,COC(=O)C=C,-3.71083174,-0.95649752
OC(=O)c(ccc1O)cc1O,COC(CO)=O,-6.25316176,-1.55767321
OC(=O)c(ccc1O)cc1O,CC1CCCC1,12.12507196,1.4754552
OC(=O)c(ccc1O)cc1O,CC1CCCO1,-12.42731631,-3.00285955
OC(=O)c(ccc1O)cc1O,O=C1CCCO1,-7.40801155,-1.85819528
OC(=O)c(ccc1O)cc1O,CCCC(C)C(O)=O,-0.89478958,-0.21562626
OC(=O)c(ccc1O)cc1O,CCOC(C(C)C)=O,-4.45779424,-1.12884091
OC(=O)c(ccc1O)cc1O,CCOC(=O)C(C)=C,-4.04767516,-1.02534836
OC(=O)c(ccc1O)cc1O,CCOC(C(O)C)=O,-7.49830228,-1.87070126
OC(=O)c(ccc1O)cc1O,CC(C)C(OC(C(C)C)=O)=O,-0.79475395,-0.22595672
OC(=O)c(ccc1O)cc1O,CC(C)COC(C(C)C)=O,-3.83653656,-0.97991082
OC(=O)c(ccc1O)cc1O,CC(C)COC(=O)C(C)=C,-3.17325083,-0.81929971
OC(=O)c(ccc1O)cc1O,CCCCOC(C(C)C)=O,-3.64074983,-0.93509503
OC(=O)c(ccc1O)cc1O,CCCCOC(=O)C(C)=C,-3.44783741,-0.88107858
OC(=O)c(ccc1O)cc1O,CCC(CC)C=O,-4.25339111,-0.98828127
OC(=O)c(ccc1O)cc1O,OCC1CCCO1,-10.36056088,-2.83910905
OC(=O)c(ccc1O)cc1O,OCc1occc1,-4.44712549,-1.03915613
OC(=O)c(ccc1O)cc1O,O=Cc1occc1,-5.29330975,-1.31055295
OC(=O)c(ccc1O)cc1O,CC(C)(C)c1ccccc1,8.77968474,1.21906065
OC(=O)c(ccc1O)cc1O,OOC(C)(C)c(cc1)ccc1C(C)C,0.17595396,0.04767508
OC(=O)c(ccc1O)cc1O,CC(C)(C)c(cc1)ccc1C,9.07980062,1.30628879
OC(=O)c(ccc1O)cc1O,OC1CCC(CC1)C(C)(C)C,-6.23172231,-1.4677264
OC(=O)c(ccc1O)cc1O,CC(C)(C)C1CCC(CC1)=O,-7.67190347,-1.96078391
OC(=O)c(ccc1O)cc1O,CC(C)c1ccccc1,8.64237857,1.16825769
OC(=O)c(ccc1O)cc1O,COC(=O)c(ccc1)cc1C,-1.91042178,-0.49730177
OC(=O)c(ccc1O)cc1O,OC1CC(CC=C1C)C(C)=C,-4.62371368,-1.0529183
OC(=O)c(ccc1O)cc1O,CC(C)c1cc(C(C)C)ccc1,9.29697682,1.3786076
OC(=O)c(ccc1O)cc1O,CCCC(CCC)C(O)=O,-0.3902478,-0.09026215
OC(=O)c(ccc1O)cc1O,CC(C=O)c(cc1)ccc1C,-2.17064363,-0.46946263
OC(=O)c(ccc1O)cc1O,CC1CCC(C(C)C)CC1,12.13075857,1.69243286
OC(=O)c(ccc1O)cc1O,CC(C)c(cc1)ccc1C,8.93782321,1.25814946
OC(=O)c(ccc1O)cc1O,C=CC1CC=CCC1,8.72784929,1.17746615
OC(=O)c(ccc1O)cc1O,CCc1ccccc1,8.36219884,1.08316311
OC(=O)c(ccc1O)cc1O,C=Cc1ccccc1,7.67740485,0.98314683
OC(=O)c(ccc1O)cc1O,OCC1CCCCC1,-5.23098185,-1.20212831
OC(=O)c(ccc1O)cc1O,COc1ccccc1,2.81782316,0.47462048
OC(=O)c(ccc1O)cc1O,OCC1CCCCO1,-9.35075828,-2.51672925
OC(=O)c(ccc1O)cc1O,OCC(CO1)OC1(C)C,-7.0056707,-1.85349978
OC(=O)c(ccc1O)cc1O,Cc1cc(C=C)ccc1,7.97104015,1.07217683
OC(=O)c(ccc1O)cc1O,COc(ccc1)cc1C,2.88190827,0.52082593
OC(=O)c(ccc1O)cc1O,COC(=O)Cc1ccccc1,-2.67789095,-0.63687304
OC(=O)c(ccc1O)cc1O,COC(OC)Cc1ccccc1,-5.08481826,-1.11674783
OC(=O)c(ccc1O)cc1O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-0.49456892,-0.10914464
