SMILES0,SMILES,gamma1,gamma2
OC(=O)c1c(O)cc(O)cc1O,OC(C)C(O)=O,-2.07318957,-0.52372683
OC(=O)c1c(O)cc(O)cc1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.13137567,1.09408193
OC(=O)c1c(O)cc(O)cc1O,OCC(O)C,-7.43279281,-2.05055982
OC(=O)c1c(O)cc(O)cc1O,O=C1CCO1,-4.00868764,-0.92261788
OC(=O)c1c(O)cc(O)cc1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-4.32495483,-1.09853995
OC(=O)c1c(O)cc(O)cc1O,CCOCC,-10.67162883,-2.44162162
OC(=O)c1c(O)cc(O)cc1O,OCC,-9.18360601,-2.27207254
OC(=O)c1c(O)cc(O)cc1O,CCCCCC=O,-5.98131929,-1.48645201
OC(=O)c1c(O)cc(O)cc1O,CO,-9.52146222,-2.28868515
OC(=O)c1c(O)cc(O)cc1O,OC(C)C,-9.18758767,-2.32142382
OC(=O)c1c(O)cc(O)cc1O,CC(C)=O,-10.73509816,-2.89121928
OC(=O)c1c(O)cc(O)cc1O,OCCC,-8.00634083,-1.99277816
OC(=O)c1c(O)cc(O)cc1O,OCCCC,-7.89297435,-1.97287671
OC(=O)c1c(O)cc(O)cc1O,OCCCCC,-7.53815336,-1.89400158
OC(=O)c1c(O)cc(O)cc1O,CC1OC1,-9.36696317,-2.27387987
OC(=O)c1c(O)cc(O)cc1O,CCC(C)(C)C,10.26861603,1.40387528
OC(=O)c1c(O)cc(O)cc1O,CC(C)(C)C(C)=O,-8.51852813,-2.26006026
OC(=O)c1c(O)cc(O)cc1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-7.62650683,-1.82915048
OC(=O)c1c(O)cc(O)cc1O,COC(C)(C)OC,-10.08471837,-2.76620148
OC(=O)c1c(O)cc(O)cc1O,CCC1(CC)CCCCC1,10.22775987,1.55114766
OC(=O)c1c(O)cc(O)cc1O,CCOC(C)(OCC)OCC,-11.17573677,-3.51939368
OC(=O)c1c(O)cc(O)cc1O,CC(C)CCCC(O)(C)CC,-7.82684171,-2.03522897
OC(=O)c1c(O)cc(O)cc1O,CCC(C)C,10.33327221,1.34870769
OC(=O)c1c(O)cc(O)cc1O,CC(=C)C=C,6.74434691,0.82120625
OC(=O)c1c(O)cc(O)cc1O,CC(=C)C#C,5.25694547,0.62126269
OC(=O)c1c(O)cc(O)cc1O,OCC(C)C,-6.93269122,-1.71608387
OC(=O)c1c(O)cc(O)cc1O,CC(C)C=O,-6.69767646,-1.63645439
OC(=O)c1c(O)cc(O)cc1O,CC(=C)C=O,-7.32103938,-1.832379
OC(=O)c1c(O)cc(O)cc1O,CCC(O)C,-8.1386302,-2.05711962
OC(=O)c1c(O)cc(O)cc1O,CCC(C)=O,-9.91760289,-2.70122164
OC(=O)c1c(O)cc(O)cc1O,COC(C)=O,-7.43257744,-1.93982739
OC(=O)c1c(O)cc(O)cc1O,CC(C)C(C)C,10.3033863,1.412319
OC(=O)c1c(O)cc(O)cc1O,CC(C)C(O)=O,-2.10215046,-0.50138911
OC(=O)c1c(O)cc(O)cc1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-6.08576437,-1.74105986
OC(=O)c1c(O)cc(O)cc1O,OOC(C)(C)C(CC1)CCC1C,-0.90771557,-0.19889176
OC(=O)c1c(O)cc(O)cc1O,CCOC(C(O)(C)C)=O,-9.23368022,-2.51160951
OC(=O)c1c(O)cc(O)cc1O,COC(=O)C(C)=C,-5.06708965,-1.33008301
OC(=O)c1c(O)cc(O)cc1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.4269876,0.3286103
OC(=O)c1c(O)cc(O)cc1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-6.79943043,-1.74073368
OC(=O)c1c(O)cc(O)cc1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-4.80863174,-1.3642846
OC(=O)c1c(O)cc(O)cc1O,CCOC(=O)c1ccccc1C(OCC)=O,-3.87861545,-1.00666668
OC(=O)c1c(O)cc(O)cc1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-3.31410256,-0.87575277
OC(=O)c1c(O)cc(O)cc1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-2.51174576,-0.70411413
OC(=O)c1c(O)cc(O)cc1O,CC(C)CCOC(=O)c1ccccc1O,0.35296179,0.14406529
OC(=O)c1c(O)cc(O)cc1O,Oc2ccccc2C(OCCc1ccccc1)=O,0.60834039,0.20704044
OC(=O)c1c(O)cc(O)cc1O,O=C2c1ccccc1CO2,-5.42702962,-1.40660575
OC(=O)c1c(O)cc(O)cc1O,OCC(O)C(O)C(O)CO,-6.96622489,-1.90607003
OC(=O)c1c(O)cc(O)cc1O,CCC(CC)C(O)=O,-1.54895316,-0.35861743
OC(=O)c1c(O)cc(O)cc1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-4.73793356,-1.21711945
OC(=O)c1c(O)cc(O)cc1O,COc1cc(C)ccc1C(C)(C)C,7.02941292,1.17108349
OC(=O)c1c(O)cc(O)cc1O,CC2CCC(CC1=C2CCC1C)=C(C)C,7.59534452,1.42487957
OC(=O)c1c(O)cc(O)cc1O,COC(=O)c1ccccc1C,-3.18215952,-0.74136979
OC(=O)c1c(O)cc(O)cc1O,CC(=O)c1ccc(C)cc1C,-7.9299788,-1.96243565
OC(=O)c1c(O)cc(O)cc1O,Cc2c1ccccc1ccc2,6.15742704,0.93233246
OC(=O)c1c(O)cc(O)cc1O,O=C2CCCCC2C1CCCCC1,-7.00425931,-1.84284894
OC(=O)c1c(O)cc(O)cc1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-6.51312984,-1.83356775
